debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_occupation,debtor_company,debtor_number,debtor_number_of_dependents,debtor_education_level,employment_year,residential_zone,criminality_level,violence_level,gangster_culture,monthly_income,monthly_expenses,asset_value,down_payment_percentage,paid_down_payment,loan_amount,interest_rate,tenor,monthly_payment,ltv,loan_purpose,loan_income_expenses_ratio,default_risk,ses,default_score,default_potential,solutions
6903411025554080,Humaira Mandala,laki-laki,"Lampung, 08-02-1994",29,"Gang Rajiman No. 55
Pekalongan, YO 06619",6619,11,4,Cerai mati,Pegawai Negeri,Perum Kuswoyo Tbk,+62-029-684-0041,0,S1,2,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Rendah,8500000,4200000,380000000.0,0.25,7500000,22500000,11,36,736621.14,66.66666666666666,kendaraan bermotor,17.13,Sangat Baik,Menengah,100,Sangat Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Edukasi Keuangan Lanjutan"
6088367608152910,Natalia Padmasari,perempuan,"Banten, 22-09-1974",49,"Gg. Pasteur No. 9
Parepare, KB 05195",5195,6,16,Menikah,Buruh,PT Dabukke Aryani,+62-0592-583-1360,0,SMA,5,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Rendah,8000000,4300000,120000000.0,0.2,4000000,16000000,11,12,1414106.54,75.0,kendaraan bermotor,38.22,Sangat Baik,Sangat Rendah,225,Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak"
1131668068547401,"Dt. Panji Sirait, S.Pd",perempuan,"Jawa Tengah, 09-08-1980",43,"Gang Sukabumi No. 05
Kupang, PB 02343",2343,6,15,Menikah,Buruh,PD Rahimah Sitorus (Persero) Tbk,+62-54-812-7971,0,S1,6,Zona 8: zona daerah permukiman sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Sedang,30000000,6900000,280000000.0,0.2,40000000,160000000,11,36,5238194.74,75.0,kendaraan bermotor,22.68,Netral,Tinggi,200,Baik,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Pengelolaan Keuangan Lanjutan"
2174760896782585,Yance Wastuti,laki-laki,"Sumatera Selatan, 17-08-1979",44,"Gang H.J Maemunah No. 3
Kupang, KT 70037",70037,8,18,Belum menikah,Pegawai Swasta,PT Maheswara,+62 (957) 550-8561,0,S1,5,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,13500000,6800000,180000000.0,0.25,100000000,300000000,7,174,2749292.99,66.66666666666666,kredit properti,41.03,Beresiko,Sangat Rendah,575,Buruk,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Penyederhanaan Kewajiban Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang"
7778883712231175,Kacung Nasyidah,laki-laki,"Bali, 24-09-1978",45,"Gg. Otto Iskandardinata No. 490
Madiun, DKI Jakarta 76479",76479,3,3,Belum menikah,Buruh,PD Hasanah Tbk,+62 (18) 322 3046,0,SD,0,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Tinggi,Tingkat Kekerasan Rendah,Tinggi,3500000,1600000,170000000.0,0.2,10000000,40000000,11,66,810459.1,75.0,kendaraan bermotor,42.66,Beresiko,Tidak Diketahui,425,Netral,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang"
6256715242912612,Cinta Saefullah,perempuan,"Sulawesi Tengah, 10-09-1987",36,"Jl. W.R. Supratman No. 345
Pekalongan, Jambi 89737",89737,20,19,Cerai mati,Pegawai Negeri,CV Irawan Halimah Tbk,+62 (32) 236 9435,4,SMA,5,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Rendah,10000000,3800000,80000000.0,0.25,125000000,375000000,6,198,2988021.24,66.66666666666666,kredit properti,48.19,Beresiko,Menengah,475,Netral,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang, Edukasi Keuangan Lanjutan"
9330871446196917,"Gasti Gunawan, M.TI.",laki-laki,"Gorontalo, 27-11-1968",55,"Gang Kendalsari No. 3
Tanjungbalai, Nusa Tenggara Barat 03928",3928,4,10,Cerai hidup,Profesional,CV Thamrin (Persero) Tbk,+62 (398) 277-7625,4,S2,4,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Rendah,28000000,8300000,840000000.0,0.25,175000000,525000000,9,138,6119840.71,66.66666666666666,kredit properti,31.07,Netral,Tinggi,275,Netral,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Pengelolaan Keuangan Lanjutan"
6199051285677998,"Puti Keisha Laksmiwati, M.M.",laki-laki,"DI Yogyakarta, 14-03-1964",59,"Jalan Gedebage Selatan No. 4
Banjar, KR 04570",4570,7,16,Cerai hidup,Pegawai Swasta,PD Maryadi Putra,+62 (035) 024 8342,3,SMA,4,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Rendah,5500000,1600000,80000000.0,0.3,150000000,350000000,11,132,4582322.17,57.14285714285714,kredit properti,117.5,Sangat Beresiko,Rendah,850,Sangat Buruk,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Rencana Pembayaran yang Dapat Dikelola, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang, Bantuan Keuangan Pemerintah, Opsi pembayaran pokok saja"
5914782805208768,R.M. Purwadi Sirait,laki-laki,"Sulawesi Tengah, 10-04-1979",44,"Jl. Tebet Barat Dalam No. 5
Tebingtinggi, Banten 94704",94704,5,6,Cerai hidup,Pegawai Negeri,UD Widodo Anggriawan Tbk,+62 (0161) 212 2798,2,SMA,5,Zona 7: zona daerah luar PDK,Tingkat Kriminalitas Rendah,Tingkat Kekerasan Sedang,Sedang,7500000,1700000,150000000.0,0.2,8000000,32000000,10,18,1921826.56,75.0,kendaraan bermotor,33.13,Baik,Rendah,225,Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Bantuan Keuangan Pemerintah"
6964489007922506,Rachel Namaga,perempuan,"Jambi, 05-04-1995",28,"Jalan Lembong No. 226
Ternate, KU 24237",24237,13,9,Cerai mati,Pengusaha,UD Nurdiyanti Maheswara Tbk,+62 (929) 388-3632,3,D4,6,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Rendah,24000000,7000000,610000000.0,0.3,180000000,420000000,11,354,4008533.08,57.14285714285714,kredit properti,23.58,Netral,Tinggi,200,Baik,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Pengelolaan Keuangan Lanjutan"
4544910883476765,Vera Wibowo,perempuan,"Kalimantan Barat, 13-12-1966",57,"Jl. Otto Iskandardinata No. 281
Salatiga, Aceh 40335",40335,8,14,Cerai hidup,Profesional,Perum Marbun,+62 (006) 617 8123,5,S1,5,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,22000000,6800000,240000000.0,0.3,210000000,490000000,11,312,4768323.78,57.14285714285714,kredit properti,31.37,Netral,Menengah,375,Netral,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Edukasi Keuangan Lanjutan"
3179300380878876,Tgk. Malika Maheswara,perempuan,"Jawa Timur, 22-05-1990",33,"Gg. Moch. Toha No. 7
Bima, SS 94584",94584,14,14,Cerai hidup,Pengusaha,UD Melani Suryono (Persero) Tbk,+62 (030) 223-2726,2,S1,9,Zona 8: zona daerah permukiman sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Sedang,30000000,9600000,230000000.0,0.25,50000000,150000000,8,36,4700454.82,66.66666666666666,kendaraan bermotor,23.04,Netral,Tinggi,200,Baik,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Pengelolaan Keuangan Lanjutan"
3694312965743031,Cakrawala Suwarno,laki-laki,"Jambi, 04-02-1964",59,"Jl. PHH. Mustofa No. 6
Bitung, DKI Jakarta 73692",73692,20,13,Belum menikah,Pengusaha,PT Kuswandari,+62 (0071) 566-5821,0,SMA,4,Zona 7: zona daerah luar PDK,Tingkat Kriminalitas Rendah,Tingkat Kekerasan Rendah,Rendah,7500000,3800000,180000000.0,0.2,4000000,16000000,6,48,375760.46,75.0,kendaraan bermotor,10.16,Sangat Baik,Sangat Rendah,150,Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak"
4402566562918858,Dina Iswahyudi,laki-laki,"Kepulauan Riau, 19-05-1976",47,"Jalan Dipatiukur No. 10
Tebingtinggi, MA 09462",9462,12,11,Cerai mati,Pegawai Swasta,PD Winarsih,+62 (028) 155-3876,1,S2,0,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Sedang,19000000,8200000,970000000.0,0.25,100000000,300000000,8,234,2535583.0,66.66666666666666,kredit properti,23.48,Baik,Tinggi,150,Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Pengelolaan Keuangan Lanjutan"
6878407117047371,Hilda Hutapea,laki-laki,"Sumatera Selatan, 27-10-1979",44,"Jalan Moch. Toha No. 897
Mataram, JB 17381",17381,3,9,Belum menikah,Pegawai Negeri,PD Namaga Tbk,+62 (0969) 829-8285,0,SMA,5,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Rendah,Tingkat Kekerasan Sedang,Sedang,6000000,2900000,170000000.0,0.2,8000000,32000000,11,54,753967.6,75.0,kendaraan bermotor,24.32,Sangat Baik,Rendah,100,Sangat Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Bantuan Keuangan Pemerintah"
6562727714088626,"Cut Nilam Simbolon, S.H.",perempuan,"Jawa Timur, 04-07-1969",54,"Gang Rajiman No. 723
Bukittinggi, Kalimantan Utara 96498",96498,17,20,Cerai mati,Buruh,PD Januar,+62 (031) 592 1352,1,D4,2,Zona 7: zona daerah luar PDK,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Tinggi,Rendah,6000000,1800000,270000000.0,0.2,8000000,32000000,11,24,1491450.82,75.0,kendaraan bermotor,35.51,Sangat Baik,Rendah,225,Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Bantuan Keuangan Pemerintah"
9510597330048495,Galur Tarihoran,perempuan,"DKI Jakarta, 15-06-1988",35,"Jl. Rajawali Barat No. 6
Sukabumi, KU 21852",21852,6,2,Cerai hidup,Buruh,UD Ramadan Lestari Tbk,+62-087-038-9524,3,SMA,4,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,8500000,3800000,120000000.0,0.2,8000000,32000000,7,60,633638.35,75.0,kendaraan bermotor,13.48,Sangat Baik,Menengah,50,Sangat Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Edukasi Keuangan Lanjutan"
8967634028499286,Eli Namaga,perempuan,"Gorontalo, 06-10-1984",39,"Jl. Joyoboyo No. 918
Tasikmalaya, SN 76602",76602,7,11,Menikah,Pengusaha,UD Permadi,+62 (05) 799-3277,0,SMA,0,Zona 2: zona grosir dan manufaktur,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,3500000,1000000,190000000.0,0.2,4000000,16000000,7,48,383139.91,75.0,kendaraan bermotor,15.33,Sangat Baik,Rendah,200,Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Bantuan Keuangan Pemerintah"
4089510382510588,"Respati Firmansyah, S.H.",perempuan,"Sumatera Utara, 07-10-1999",24,"Jalan Kiaracondong No. 0
Binjai, NT 59829",59829,17,17,Cerai mati,Pegawai Swasta,PT Januar (Persero) Tbk,+62 (0451) 139-5625,0,D4,5,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,10500000,2800000,280000000.0,0.3,90000000,210000000,12,162,2623352.19,57.14285714285714,kredit properti,34.07,Netral,Menengah,325,Netral,"Berikan edukasi keuangan, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Edukasi Keuangan Lanjutan"
9786358461078959,Kartika Wastuti,laki-laki,"Kalimantan Tengah, 29-03-1978",45,"Gang Rungkut Industri No. 496
Palangkaraya, KR 05216",5216,1,2,Cerai hidup,Profesional,Perum Anggriawan Sudiati Tbk,+62 (011) 016-4831,0,D4,7,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Tinggi,Rendah,27000000,10700000,300000000.0,0.25,150000000,450000000,6,252,3144856.14,66.66666666666666,kredit properti,19.29,Sangat Baik,Tinggi,100,Sangat Baik,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Pengelolaan Keuangan Lanjutan"
7318881861725548,Kani Sinaga,laki-laki,"Nusa Tenggara Timur, 24-01-1983",40,"Gang Yos Sudarso No. 73
Metro, Sumatera Selatan 30516",30516,1,10,Cerai hidup,Profesional,PT Uyainah,+62 (0053) 365 9177,0,SMP,0,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Rendah,6000000,3000000,250000000.0,0.3,120000000,280000000,12,306,2939959.02,57.14285714285714,kredit properti,98.0,Sangat Beresiko,Tidak Diketahui,850,Sangat Buruk,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Rencana Pembayaran yang Dapat Dikelola, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang, Opsi pembayaran pokok saja"
5371897627377244,"Daliono Puspasari, S.T.",laki-laki,"Papua Barat, 28-11-1975",48,"Jl. Jayawijaya No. 35
Lubuklinggau, JI 53172",53172,15,15,Belum menikah,Pegawai Swasta,UD Megantara Habibi (Persero) Tbk,+62-17-143-5069,2,S1,3,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,12000000,3200000,680000000.0,0.3,150000000,350000000,12,246,3831355.76,57.14285714285714,kredit properti,43.54,Beresiko,Tinggi,375,Netral,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang, Pengelolaan Keuangan Lanjutan"
8265551544072497,Ir. Gaman Gunawan,laki-laki,"Maluku Utara, 12-01-1968",55,"Jl. Jakarta No. 8
Dumai, KU 65373",65373,19,12,Cerai hidup,Profesional,PT Usamah,+62 (0889) 176-1435,0,S1,2,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Sedang,12000000,2900000,410000000.0,0.25,75000000,225000000,6,180,1898677.86,66.66666666666666,kredit properti,20.86,Netral,Menengah,300,Netral,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Edukasi Keuangan Lanjutan"
6454805292631898,Tgk. Amelia Hardiansyah,perempuan,"Banten, 01-01-1963",60,"Gang Dipatiukur No. 00
Tarakan, Papua Barat 18359",18359,5,19,Menikah,Profesional,UD Napitupulu Nasyiah Tbk,+62-0304-335-3495,5,S1,0,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Rendah,Tingkat Kekerasan Rendah,Rendah,7000000,3900000,80000000.0,0.2,8000000,32000000,12,18,1951425.53,75.0,kendaraan bermotor,62.95,Beresiko,Sangat Rendah,650,Buruk,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Penyederhanaan Kewajiban Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang"
9252897059366699,Kamila Marpaung,laki-laki,"Papua, 17-08-1973",50,"Gang Asia Afrika No. 825
Tanjungbalai, Sulawesi Barat 56465",56465,1,19,Belum menikah,Buruh,PT Prabowo Usamah Tbk,+62 (29) 141 5646,0,SMP,8,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Sedang,11500000,6200000,230000000.0,0.25,125000000,375000000,6,180,3164463.11,66.66666666666666,kredit properti,59.71,Beresiko,Tidak Diketahui,500,Netral,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang"
7519650775165435,Bahuraksa Rahimah,laki-laki,"Bengkulu, 05-02-1964",59,"Jalan Kutisari Selatan No. 29
Yogyakarta, Kalimantan Selatan 82560",82560,9,13,Cerai mati,Buruh,CV Rajata,+62 (100) 017 8416,0,D3,3,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,17500000,8000000,460000000.0,0.25,75000000,225000000,11,282,2232841.69,66.66666666666666,kredit properti,23.5,Baik,Menengah,100,Sangat Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Edukasi Keuangan Lanjutan"
2436396704364731,"T. Damu Putra, S.Pt",perempuan,"Jawa Tengah, 08-10-1997",26,"Jl. Dipenogoro No. 481
Langsa, PA 13831",13831,17,8,Menikah,Buruh,PD Permata Puspasari,+62 (38) 007 1760,0,SMA,1,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Tinggi,Sedang,4000000,2000000,230000000.0,0.2,10000000,40000000,8,12,3479537.16,75.0,kendaraan bermotor,173.98,Sangat Beresiko,Rendah,800,Sangat Buruk,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Rencana Pembayaran yang Dapat Dikelola, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang, Bantuan Keuangan Pemerintah"
1578515700278651,"Dt. Bancar Laksita, S.I.Kom",perempuan,"Kalimantan Barat, 18-03-1977",46,"Gg. Pelajar Pejuang No. 13
Pematangsiantar, JK 90147",90147,16,15,Cerai hidup,Pengusaha,PT Pradana Budiyanto Tbk,+62-006-935-4969,0,S1,7,Zona 8: zona daerah permukiman sub urban,Tingkat Kriminalitas Tinggi,Tingkat Kekerasan Sedang,Tinggi,22000000,8500000,290000000.0,0.2,40000000,160000000,11,72,3045452.64,75.0,kendaraan bermotor,22.56,Netral,Menengah,250,Baik,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Edukasi Keuangan Lanjutan"
6120549722824829,"H. Prabowo Puspita, S.IP",perempuan,"Papua, 30-05-1996",27,"Gg. Gedebage Selatan No. 473
Kediri, BT 19472",19472,11,1,Belum menikah,Pengusaha,PT Prakasa Budiyanto Tbk,+62-40-905-1906,0,D3,5,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Rendah,8500000,4100000,380000000.0,0.2,4000000,16000000,12,60,355911.16,75.0,kendaraan bermotor,8.09,Sangat Baik,Menengah,50,Sangat Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Edukasi Keuangan Lanjutan"
