debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_occupation,debtor_company,debtor_number,debtor_number_of_dependents,debtor_education_level,employment_year,residential_zone,criminality_level,violence_level,gangster_culture,monthly_income,monthly_expenses,asset_value,collateral_offered,loan_amount,interest_rate,tenor,monthly_payment,loan_purpose,loan_income_expenses_ratio,default_risk,ses,default_score,default_potential,solutions
6903411025554080,Humaira Mandala,laki-laki,"Lampung, 08-02-1994",29,"Gang Rajiman No. 55
Pekalongan, YO 06619",6619,11,4,Cerai mati,Pegawai Negeri,Perum Kuswoyo Tbk,+62-029-684-0041,5,S2,3,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Tinggi,Rendah,19500000,8300000,340000000.0,Yes,106200000,12,36,3527359.7,Kebutuhan darurat,31.49,Baik,Menengah,275,Netral,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Edukasi Keuangan Lanjutan"
6088367608152910,Natalia Padmasari,perempuan,"Banten, 22-09-1974",49,"Gg. Pasteur No. 9
Parepare, KB 05195",5195,6,16,Menikah,Buruh,PT Dabukke Aryani,+62-0592-583-1360,1,SMA,10,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,14000000,6200000,90000000.0,Yes,77300000,6,48,1815392.75,Kebutuhan darurat,23.27,Netral,Menengah,400,Netral,"Penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Edukasi Keuangan Lanjutan"
1131668068547401,"Dt. Panji Sirait, S.Pd",perempuan,"Jawa Tengah, 09-08-1980",43,"Gang Sukabumi No. 05
Kupang, PB 02343",2343,6,15,Menikah,Buruh,PD Rahimah Sitorus (Persero) Tbk,+62-54-812-7971,0,D4,3,Zona 7: zona daerah luar PDK,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Sedang,6000000,1600000,170000000.0,No,34400000,11,6,5918676.44,pernikahan,134.52,Sangat Beresiko,Rendah,650,Buruk,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Penyederhanaan Kewajiban Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang, Bantuan Keuangan Pemerintah"
2174760896782585,Yance Wastuti,laki-laki,"Sumatera Selatan, 17-08-1979",44,"Gang H.J Maemunah No. 3
Kupang, KT 70037",70037,8,18,Belum menikah,Pegawai Swasta,PT Maheswara,+62 (957) 550-8561,0,SMA,14,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,7500000,3200000,90000000.0,No,41800000,10,48,1060155.99,pernikahan,24.65,Baik,Rendah,50,Sangat Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Bantuan Keuangan Pemerintah"
7778883712231175,Kacung Nasyidah,laki-laki,"Bali, 24-09-1978",45,"Gg. Otto Iskandardinata No. 490
Madiun, DKI Jakarta 76479",76479,3,3,Belum menikah,Buruh,PD Hasanah Tbk,+62 (18) 322 3046,4,S1,1,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Sedang,18000000,5500000,330000000.0,No,100500000,11,12,8882356.68,kredit pribadi,71.06,Beresiko,Menengah,550,Buruk,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Penyederhanaan Kewajiban Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang, Edukasi Keuangan Lanjutan"
6256715242912612,Cinta Saefullah,perempuan,"Sulawesi Tengah, 10-09-1987",36,"Jl. W.R. Supratman No. 345
Pekalongan, Jambi 89737",89737,20,19,Cerai mati,Pegawai Negeri,CV Irawan Halimah Tbk,+62 (32) 236 9435,1,SD,0,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Tinggi,Tingkat Kekerasan Sedang,Sedang,3500000,1800000,210000000.0,Yes,38200000,10,48,968850.69,Kebutuhan darurat,56.99,Baik,Tidak Diketahui,450,Netral,"Cairkan aset untuk menutupi pinjaman, Penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan"
9330871446196917,"Gasti Gunawan, M.TI.",laki-laki,"Gorontalo, 27-11-1968",55,"Gang Kendalsari No. 3
Tanjungbalai, Nusa Tenggara Barat 03928",3928,4,10,Cerai hidup,Profesional,CV Thamrin (Persero) Tbk,+62 (398) 277-7625,4,D4,7,Zona 8: zona daerah permukiman sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Tinggi,Rendah,29500000,8200000,650000000.0,No,166800000,7,48,3994233.61,pernikahan,18.75,Sangat Baik,Tinggi,0,Sangat Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Pengelolaan Keuangan Lanjutan"
6199051285677998,"Puti Keisha Laksmiwati, M.M.",laki-laki,"DI Yogyakarta, 14-03-1964",59,"Jalan Gedebage Selatan No. 4
Banjar, KR 04570",4570,7,16,Cerai hidup,Pegawai Swasta,PD Maryadi Putra,+62 (035) 024 8342,0,S1,13,Zona 8: zona daerah permukiman sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,37000000,21800000,430000000.0,No,200200000,12,60,4453338.43,kredit Modal,29.3,Baik,Sangat Rendah,50,Sangat Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak"
5914782805208768,R.M. Purwadi Sirait,laki-laki,"Sulawesi Tengah, 10-04-1979",44,"Jl. Tebet Barat Dalam No. 5
Tebingtinggi, Banten 94704",94704,5,6,Cerai hidup,Pegawai Negeri,UD Widodo Anggriawan Tbk,+62 (0161) 212 2798,4,SMA,8,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Rendah,6000000,2100000,200000000.0,Yes,37900000,11,42,1091287.35,kredit pribadi,27.98,Sangat Baik,Rendah,0,Sangat Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Bantuan Keuangan Pemerintah"
6964489007922506,Rachel Namaga,perempuan,"Jambi, 05-04-1995",28,"Jalan Lembong No. 226
Ternate, KU 24237",24237,13,9,Cerai mati,Pengusaha,UD Nurdiyanti Maheswara Tbk,+62 (929) 388-3632,0,S1,18,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Tinggi,20000000,11600000,740000000.0,Yes,108400000,8,54,2396986.52,lainnya,28.54,Sangat Baik,Sangat Rendah,0,Sangat Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak"
4544910883476765,Vera Wibowo,perempuan,"Kalimantan Barat, 13-12-1966",57,"Jl. Otto Iskandardinata No. 281
Salatiga, Aceh 40335",40335,8,14,Cerai hidup,Profesional,Perum Marbun,+62 (006) 617 8123,5,D4,9,Zona 8: zona daerah permukiman sub urban,Tingkat Kriminalitas Rendah,Tingkat Kekerasan Rendah,Tinggi,30000000,7100000,610000000.0,No,170400000,8,18,10077506.88,Kebutuhan darurat,44.01,Beresiko,Tinggi,475,Netral,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang, Pengelolaan Keuangan Lanjutan"
3179300380878876,Tgk. Malika Maheswara,perempuan,"Jawa Timur, 22-05-1990",33,"Gg. Moch. Toha No. 7
Bima, SS 94584",94584,14,14,Cerai hidup,Pengusaha,UD Melani Suryono (Persero) Tbk,+62 (030) 223-2726,1,S1,0,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,6500000,1500000,240000000.0,Yes,38500000,9,18,2294510.07,kredit Modal,45.89,Baik,Rendah,225,Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Bantuan Keuangan Pemerintah"
3694312965743031,Cakrawala Suwarno,laki-laki,"Jambi, 04-02-1964",59,"Jl. PHH. Mustofa No. 6
Bitung, DKI Jakarta 73692",73692,20,13,Belum menikah,Pengusaha,PT Kuswandari,+62 (0071) 566-5821,0,D4,17,Zona 8: zona daerah permukiman sub urban,Tingkat Kriminalitas Tinggi,Tingkat Kekerasan Rendah,Rendah,33000000,17500000,190000000.0,No,180500000,6,42,4775347.05,lainnya,30.81,Netral,Sangat Rendah,325,Netral,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan"
4402566562918858,Dina Iswahyudi,laki-laki,"Kepulauan Riau, 19-05-1976",47,"Jalan Dipatiukur No. 10
Tebingtinggi, MA 09462",9462,12,11,Cerai mati,Pegawai Swasta,PD Winarsih,+62 (028) 155-3876,3,S2,13,Zona 1: zona PDK (CBD),Tingkat Kriminalitas Rendah,Tingkat Kekerasan Rendah,Tidak ada,111500000,33700000,260000000.0,Yes,633800000,9,18,37772999.62,pernikahan,48.55,Beresiko,Sangat Tinggi,425,Netral,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang"
6878407117047371,Hilda Hutapea,laki-laki,"Sumatera Selatan, 27-10-1979",44,"Jalan Moch. Toha No. 897
Mataram, JB 17381",17381,3,9,Belum menikah,Pegawai Negeri,PD Namaga Tbk,+62 (0969) 829-8285,2,SMA,10,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Sedang,13500000,7000000,140000000.0,No,73000000,10,42,2067127.81,kredit Modal,31.8,Netral,Sangat Rendah,275,Netral,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan"
6562727714088626,"Cut Nilam Simbolon, S.H.",perempuan,"Jawa Timur, 04-07-1969",54,"Gang Rajiman No. 723
Bukittinggi, Kalimantan Utara 96498",96498,17,20,Cerai mati,Buruh,PD Januar,+62 (031) 592 1352,2,S2,2,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Tinggi,Tingkat Kekerasan Sedang,Rendah,17500000,6400000,220000000.0,Yes,97600000,9,36,3103653.91,kredit pribadi,27.96,Baik,Menengah,100,Sangat Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Edukasi Keuangan Lanjutan"
9510597330048495,Galur Tarihoran,perempuan,"DKI Jakarta, 15-06-1988",35,"Jl. Rajawali Barat No. 6
Sukabumi, KU 21852",21852,6,2,Cerai hidup,Buruh,UD Ramadan Lestari Tbk,+62-087-038-9524,2,S1,8,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Sedang,16000000,4200000,490000000.0,No,90800000,9,48,2259561.85,pernikahan,19.15,Sangat Baik,Menengah,0,Sangat Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Edukasi Keuangan Lanjutan"
8967634028499286,Eli Namaga,perempuan,"Gorontalo, 06-10-1984",39,"Jl. Joyoboyo No. 918
Tasikmalaya, SN 76602",76602,7,11,Menikah,Pengusaha,UD Permadi,+62 (05) 799-3277,0,D4,10,Zona 8: zona daerah permukiman sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Sedang,28500000,13200000,680000000.0,No,157800000,7,54,3415040.51,Kebutuhan darurat,22.32,Baik,Tinggi,200,Baik,"Cairkan aset untuk menutupi pinjaman, Penyusunan anggaran untuk kebutuhan mendesak, Pengelolaan Keuangan Lanjutan"
4089510382510588,"Respati Firmansyah, S.H.",perempuan,"Sumatera Utara, 07-10-1999",24,"Jalan Kiaracondong No. 0
Binjai, NT 59829",59829,17,17,Cerai mati,Pegawai Swasta,PT Januar (Persero) Tbk,+62 (0451) 139-5625,0,SMA,0,Zona 6: zona daerah manufaktur berat,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,4000000,2100000,240000000.0,No,37900000,9,36,1205209.87,pernikahan,63.43,Beresiko,Sangat Rendah,500,Netral,"Berikan edukasi keuangan, Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Penyederhanaan Kewajiban Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang"
9786358461078959,Kartika Wastuti,laki-laki,"Kalimantan Tengah, 29-03-1978",45,"Gang Rungkut Industri No. 496
Palangkaraya, KR 05216",5216,1,2,Cerai hidup,Profesional,Perum Anggriawan Sudiati Tbk,+62 (011) 016-4831,4,S1,0,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Sedang,14500000,5800000,450000000.0,No,79200000,6,48,1860014.3,kredit Modal,21.38,Sangat Baik,Menengah,100,Sangat Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Edukasi Keuangan Lanjutan"
7318881861725548,Kani Sinaga,laki-laki,"Nusa Tenggara Timur, 24-01-1983",40,"Gang Yos Sudarso No. 73
Metro, Sumatera Selatan 30516",30516,1,10,Cerai hidup,Profesional,PT Uyainah,+62 (0053) 365 9177,0,SMA,9,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Tinggi,Sedang,6000000,3200000,130000000.0,No,32800000,12,36,1089429.36,lainnya,38.91,Baik,Sangat Rendah,125,Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak"
5371897627377244,"Daliono Puspasari, S.T.",laki-laki,"Papua Barat, 28-11-1975",48,"Jl. Jayawijaya No. 35
Lubuklinggau, JI 53172",53172,15,15,Belum menikah,Pegawai Swasta,UD Megantara Habibi (Persero) Tbk,+62-17-143-5069,3,SD,11,Zona 7: zona daerah luar PDK,Tingkat Kriminalitas Tinggi,Tingkat Kekerasan Sedang,Rendah,8000000,2400000,120000000.0,No,44100000,11,24,2055405.66,Kebutuhan darurat,36.7,Baik,Tidak Diketahui,275,Netral,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan"
8265551544072497,Ir. Gaman Gunawan,laki-laki,"Maluku Utara, 12-01-1968",55,"Jl. Jakarta No. 8
Dumai, KU 65373",65373,19,12,Cerai hidup,Profesional,PT Usamah,+62 (0889) 176-1435,2,S3,7,Zona 5: zona permukiman kelas tinggi,Wilayah Aman,Tingkat Kekerasan Tinggi,Tidak ada,57000000,26600000,720000000.0,No,314400000,9,36,9997835.95,kredit Modal,32.89,Baik,Tinggi,125,Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Pengelolaan Keuangan Lanjutan"
6454805292631898,Tgk. Amelia Hardiansyah,perempuan,"Banten, 01-01-1963",60,"Gang Dipatiukur No. 00
Tarakan, Papua Barat 18359",18359,5,19,Menikah,Profesional,UD Napitupulu Nasyiah Tbk,+62-0304-335-3495,0,S2,9,Zona 5: zona permukiman kelas tinggi,Wilayah Aman,Tingkat Kekerasan Tinggi,Tidak ada,49500000,21900000,990000000.0,No,275100000,7,54,5953597.24,kredit Modal,21.57,Baik,Tinggi,50,Sangat Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Pengelolaan Keuangan Lanjutan"
9252897059366699,Kamila Marpaung,laki-laki,"Papua, 17-08-1973",50,"Gang Asia Afrika No. 825
Tanjungbalai, Sulawesi Barat 56465",56465,1,19,Belum menikah,Buruh,PT Prabowo Usamah Tbk,+62 (29) 141 5646,1,S1,1,Zona 7: zona daerah luar PDK,Tingkat Kriminalitas Tinggi,Tingkat Kekerasan Rendah,Sedang,12000000,2500000,450000000.0,No,69000000,12,6,11905837.3,lainnya,125.32,Sangat Beresiko,Menengah,700,Buruk,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Rencana Pembayaran yang Dapat Dikelola, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang, Edukasi Keuangan Lanjutan"
7519650775165435,Bahuraksa Rahimah,laki-laki,"Bengkulu, 05-02-1964",59,"Jalan Kutisari Selatan No. 29
Yogyakarta, Kalimantan Selatan 82560",82560,9,13,Cerai mati,Buruh,CV Rajata,+62 (100) 017 8416,4,SMA,11,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Rendah,12500000,6500000,260000000.0,No,66500000,12,54,1599762.74,kredit Modal,26.66,Baik,Sangat Rendah,50,Sangat Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak"
2436396704364731,"T. Damu Putra, S.Pt",perempuan,"Jawa Tengah, 08-10-1997",26,"Jl. Dipenogoro No. 481
Langsa, PA 13831",13831,17,8,Menikah,Buruh,PD Permata Puspasari,+62 (38) 007 1760,0,S1,8,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Rendah,16500000,6000000,500000000.0,No,93000000,11,36,3044700.69,kredit Modal,29.0,Sangat Baik,Menengah,0,Sangat Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Edukasi Keuangan Lanjutan"
1578515700278651,"Dt. Bancar Laksita, S.I.Kom",perempuan,"Kalimantan Barat, 18-03-1977",46,"Gg. Pelajar Pejuang No. 13
Pematangsiantar, JK 90147",90147,16,15,Cerai hidup,Pengusaha,PT Pradana Budiyanto Tbk,+62-006-935-4969,0,SMA,13,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,6500000,2900000,80000000.0,Yes,36100000,7,60,714823.27,kredit pribadi,19.86,Sangat Baik,Rendah,0,Sangat Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Bantuan Keuangan Pemerintah"
6120549722824829,"H. Prabowo Puspita, S.IP",perempuan,"Papua, 30-05-1996",27,"Gg. Gedebage Selatan No. 473
Kediri, BT 19472",19472,11,1,Belum menikah,Pengusaha,PT Prakasa Budiyanto Tbk,+62-40-905-1906,0,S1,4,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Tinggi,Tingkat Kekerasan Rendah,Rendah,7000000,1900000,140000000.0,No,40100000,12,18,2445380.12,Kebutuhan darurat,47.95,Beresiko,Rendah,475,Netral,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang, Bantuan Keuangan Pemerintah"
5984348721186623,Salimah Tarihoran,perempuan,"Sulawesi Barat, 07-06-1991",32,"Gg. Ahmad Yani No. 75
Gorontalo, Bengkulu 78283",78283,17,8,Menikah,Pengusaha,CV Saputra Saragih,+62 (76) 205-9000,5,SMA,0,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,4500000,2500000,80000000.0,Yes,22000000,6,54,465890.93,pernikahan,23.29,Baik,Sangat Rendah,150,Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak"
6512783522736873,"Jarwa Suartini, S.T.",laki-laki,"Kalimantan Tengah, 30-06-1989",34,"Gang Raya Ujungberung No. 734
Pagaralam, SB 60077",60077,20,6,Belum menikah,Pengusaha,PD Prastuti (Persero) Tbk,+62 (059) 485 1802,0,S1,13,Zona 5: zona permukiman kelas tinggi,Wilayah Aman,Tingkat Kekerasan Tinggi,Tidak ada,41000000,9000000,540000000.0,No,237000000,10,18,14233527.96,Kebutuhan darurat,44.48,Beresiko,Tinggi,475,Netral,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang, Pengelolaan Keuangan Lanjutan"
