collector_ID,collector_gender,collector_age,collector_age_class,collector_location,collector_province,collector_island,collector_monthly_income,collector_occupation,collector_marital_status,collector_ses,collector_education_level,collector_vehicle,collector_style,collector_workplace,negotiation_skills,proficient_technology_use,flexible_work,communication_channel,responsive_rate,collector_personality,communication_time,working_time,working_time_range,debtor_feedback,year_experience,experience_level,success_rate,handled_case_category,handled_case_count,negotiation_result,debtor_behavior,demography_class
C1247,Perempuan,43,Muda,"Gg. Joyoboyo, RT 8/RW 7, Kalimantan Tengah, Kode Pos: 97911",Kalimantan Tengah,Kalimantan,9593955,Pengusaha,Menikah,B,S1,Motor,Tegas,Meja,Buruk,k,Fleksibel,Telepon,80.12331968781251,Tegas,2023-08-16 04:35:20,Pagi-Sore,08:00-16:00,Baik,41,Sangat Berpengalaman,100,Kredit Kendaraan,821,Rencana pembayaran alternatif,Kabur,Perumahan
J6433,Perempuan,39,Muda,"Jalan Cihampelas, RT 25/RW 11, Riau, Kode Pos: 05644",Riau,Sumatera,8691489,Professional,Cerai Hidup,B,S2,Motor,Bijaksana,Meja,Buruk,i,Kurang Fleksibel,Email,63.49040517787807,Bijaksana,2023-07-13 10:03:07,Malam-Pagi,20:00-08:00,Buruk,23,Sangat Berpengalaman,56,Pinjaman Bisnis,461,Perpanjangan waktu pembayaran,Kabur,Perumahan
P1729,Laki-laki,51,Muda,"Jalan Gardujati, RT 7/RW 14, Jawa Timur, Kode Pos: 22579",Jawa Timur,Jawa,4802725,Pegawai Swasta,Menikah,D,SMA,Motor,Kasar,Lapangan,Baik,Cukup Baik,Fleksibel,SMS,89.2225256697177,Kasar,2023-12-21 17:57:42,Siang-Malam,12:00-20:00,Buruk,18,Sangat Berpengalaman,56,Kredit Kendaraan,359,Keringanan utang,Kabur,Pemukiman Padat Penduduk
y3808,Laki-laki,44,Dewasa,"Gang Waringin, RT 10/RW 20, Aceh, Kode Pos: 10558",Aceh,Sumatera,11238894,Pegawai Negeri,Menikah,A,D3,Mobil,Tegas,Lapangan,Baik,Cukup Baik,Tidak Fleksibel,Email,58.339058519371505,Tegas,2023-03-01 00:53:30,Siang-Malam,12:00-20:00,Baik,7,Pemula,24,Pinjaman Pribadi,134,Pembebasan jaminan atau denda,Kabur,Pemukiman Padat Penduduk
N6103,Laki-laki,52,Muda,"Gg. Asia Afrika, RT 8/RW 1, Papua Barat, Kode Pos: 71337",Papua Barat,Papua,10292595,Professional,Menikah,A,S2,Mobil,Bijaksana,Lapangan,Baik,B,Fleksibel,Telepon,81.63474440152063,Bijaksana,2023-02-07 16:14:37,Pagi-Sore,08:00-16:00,Baik,18,Sangat Berpengalaman,56,Pinjaman Pribadi,360,Keringanan utang,Kabur,Pemukiman Padat Penduduk
E7328,Laki-laki,61,Muda,"Gg. Otto Iskandardinata, RT 24/RW 1, Kalimantan Timur, Kode Pos: 93979",Kalimantan Timur,Kalimantan,5376464,Pegawai Swasta,Menikah,D,SMA,Motor,Tegas,Lapangan,Cukup Baik,Buruk,Kurang Fleksibel,Telepon,66.03057316425419,Tegas,2023-10-10 19:49:47,Malam-Pagi,20:00-08:00,Buruk,25,Sangat Berpengalaman,60,Pinjaman Pribadi,502,Perpanjangan waktu pembayaran,Kabur,Pemukiman Padat Penduduk
T7843,Laki-laki,47,Dewasa,"Jalan Ciumbuleuit, RT 8/RW 14, Sulawesi Barat, Kode Pos: 92723",Sulawesi Barat,Sulawesi,5474807,Pegawai Swasta,Belum Menikah,D,SMA,Motor,Kasar,Lapangan,Cukup Baik,Cukup Baik,Kurang Fleksibel,SMS,60.4374891034521,Kasar,2023-05-13 05:44:57,Malam-Pagi,20:00-08:00,Baik,4,Pemula,28,Kredit Kendaraan,80,Rencana pembayaran alternatif,Kabur,Rusun
a0404,Laki-laki,58,Muda,"Gg. Monginsidi, RT 14/RW 14, Maluku Utara, Kode Pos: 78511",Maluku Utara,Papua,8004624,Pengusaha,Menikah,B,S1,Motor,Tegas,Lapangan,Baik,i,Tidak Fleksibel,Telepon,45.59260630776488,Tegas,2023-06-23 04:37:16,Pagi-Sore,08:00-16:00,Buruk,18,Sangat Berpengalaman,36,Pinjaman Pribadi,359,Pembayaran sejumlah besar sekaligus,Kabur,Pemukiman Padat Penduduk
P1566,Perempuan,42,Dewasa,"Gang Pelajar Pejuang, RT 9/RW 16, Banten, Kode Pos: 63183",Banten,Jawa,8404611,Pegawai Swasta,Cerai Mati,B,D3,Motor,Tegas,Meja,Cukup Baik,Cukup Baik,Tidak Fleksibel,Telepon,46.35394838658236,Tegas,2023-12-05 07:19:28,Pagi-Sore,08:00-16:00,Cukup,13,Cukup Berpengalaman,26,Pinjaman Bisnis,262,Pembayaran sejumlah besar sekaligus,Gagal Bayar,Perumahan
E2559,Perempuan,49,Dewasa,"Jl. Cempaka, RT 3/RW 1, Sulawesi Utara, Kode Pos: 25385",Sulawesi Utara,Sulawesi,1264428,Pegawai Negeri,Cerai Hidup,E,D3,Tidak Ada Kendaraan,Kasar,Meja,Cukup Baik,Baik,Fleksibel,SMS,91.28604797744687,Kasar,2023-05-11 15:06:48,Pagi-Sore,08:00-16:00,Baik,18,Cukup Berpengalaman,56,Pinjaman Pribadi,365,Rencana pembayaran alternatif,Kabur,Rusun
i5708,Perempuan,57,Tua,"Jl. Dipenogoro, RT 8/RW 5, Kepulauan Riau, Kode Pos: 27525",Kepulauan Riau,Sumatera,9377465,Professional,Menikah,B,S1,Motor,Bijaksana,Meja,Baik,k,Fleksibel,Telepon,83.40709316398367,Bijaksana,2023-06-21 15:32:25,Pagi-Sore,08:00-16:00,Baik,7,Cukup Berpengalaman,14,Pinjaman Pribadi,141,Pembayaran sejumlah besar sekaligus,Kabur,Pemukiman Padat Penduduk
w3048,Laki-laki,37,Muda,"Jl. Jend. A. Yani, RT 5/RW 2, Kalimantan Barat, Kode Pos: 16631",Kalimantan Barat,Kalimantan,5026814,Pegawai Swasta,Menikah,D,D3,Motor,Tegas,Meja,Cukup Baik,Baik,Kurang Fleksibel,Telepon,69.3229298888483,Tegas,2023-06-12 19:14:28,Malam-Pagi,20:00-08:00,Cukup,12,Sangat Berpengalaman,44,Kredit Kendaraan,241,Keringanan utang,Gagal Bayar,Perumahan
n1339,Laki-laki,59,Dewasa,"Jalan Pacuan Kuda, RT 19/RW 16, Sulawesi Utara, Kode Pos: 99589",Sulawesi Utara,Sulawesi,3581694,Pegawai Negeri,Cerai Hidup,E,D3,Motor,Tegas,Meja,Baik,Baik,Kurang Fleksibel,Telepon,73.66982491739438,Tegas,2023-02-15 11:06:04,Siang-Malam,12:00-20:00,Buruk,4,Cukup Berpengalaman,18,Pinjaman Pribadi,81,Pembebasan jaminan atau denda,Disiplin,Pemukiman Padat Penduduk
G3319,Laki-laki,36,Muda,"Gg. Joyoboyo, RT 13/RW 8, Sumatera Barat, Kode Pos: 44183",Sumatera Barat,Sumatera,6975661,Pengusaha,Menikah,C,S1,Motor,Tegas,Lapangan,Buruk,k,Fleksibel,SMS,82.54129856408615,Tegas,2023-12-03 11:24:02,Pagi-Sore,08:00-16:00,Cukup,25,Sangat Berpengalaman,50,Kredit Kendaraan,497,Pembayaran sejumlah besar sekaligus,Kabur,Perumahan
D3198,Perempuan,38,Muda,"Jalan Setiabudhi, RT 13/RW 20, Kepulauan Bangka Belitung, Kode Pos: 52852",Bangka Belitung,Sumatera,4421082,Pegawai Swasta,Menikah,D,SMA,Motor,Kasar,Meja,Buruk,Buruk,Kurang Fleksibel,SMS,73.27441710174423,Kasar,2023-02-25 23:04:05,Siang-Malam,12:00-20:00,Buruk,27,Sangat Berpengalaman,64,Pinjaman Bisnis,541,Perpanjangan waktu pembayaran,Kabur,Perumahan
G8369,Laki-laki,48,Dewasa,"Gang Otto Iskandardinata, RT 9/RW 7, Lampung, Kode Pos: 51271",Lampung,Sumatera,2891700,Pegawai Swasta,Menikah,E,D3,Tidak Ada Kendaraan,Tegas,Meja,Buruk,Baik,Tidak Fleksibel,Telepon,44.881463651197855,Tegas,2023-12-29 23:31:57,Malam-Pagi,20:00-08:00,Baik,-7,Pemula,6,Pinjaman Pribadi,0,Keringanan utang,Kabur,Rusun
n8014,Laki-laki,45,Dewasa,"Gang Moch. Toha, RT 19/RW 12, Nusa Tenggara Timur, Kode Pos: 65259",Nusa Tenggara Timur,Bali,10066647,Pegawai Negeri,Menikah,A,D3,Mobil,Tegas,Meja,Buruk,Baik,Fleksibel,Email,93.28944838299748,Tegas,2023-04-07 03:09:47,Siang-Malam,12:00-20:00,Baik,-2,Pemula,6,Kredit Kendaraan,0,Pembebasan jaminan atau denda,Kabur,Rusun
T2946,Perempuan,25,Muda,"Jl. Raya Ujungberung, RT 6/RW 11, Maluku, Kode Pos: 81902",Maluku,Papua,9990655,Pegawai Swasta,Menikah,B,SMA,Motor,Ramah,Meja,Baik,Cukup Baik,Tidak Fleksibel,Chat WA,54.76064559033205,Ramah,2023-11-07 13:23:44,Pagi-Sore,08:00-16:00,Baik,-12,Pemula,-4,Kredit Kendaraan,0,Rencana pembayaran alternatif,Kabur,Pemukiman Padat Penduduk
B3350,Laki-laki,50,Dewasa,"Gg. Kebonjati, RT 8/RW 3, Maluku Utara, Kode Pos: 03784",Maluku Utara,Papua,4063584,Professional,Cerai Hidup,D,S1,Motor,Bijaksana,Lapangan,Buruk,B,Tidak Fleksibel,Telepon,52.165823650847784,Bijaksana,2023-05-18 03:10:06,Pagi-Sore,08:00-16:00,Baik,17,Cukup Berpengalaman,54,Pinjaman Bisnis,341,Rencana pembayaran alternatif,Kabur,Rusun
i6588,Perempuan,56,Tua,"Jl. Moch. Toha, RT 6/RW 20, Jawa Barat, Kode Pos: 51073",Jawa Barat,Jawa,8618680,Buruh,Menikah,B,SMA,Motor,Kasar,Meja,Cukup Baik,Buruk,Kurang Fleksibel,SMS,63.539550247494475,Kasar,2023-12-14 14:15:19,Siang-Malam,12:00-20:00,Baik,4,Cukup Berpengalaman,8,Pinjaman Bisnis,80,Pembayaran sejumlah besar sekaligus,Kabur,Pemukiman Padat Penduduk
s3110,Perempuan,51,Muda,"Gg. Rajiman, RT 11/RW 14, Jawa Barat, Kode Pos: 39306",Jawa Barat,Jawa,9570985,Pegawai Swasta,Menikah,B,SMA,Motor,Ramah,Meja,Cukup Baik,Cukup Baik,Tidak Fleksibel,Chat WA,56.94314948504602,Ramah,2023-06-24 16:21:16,Malam-Pagi,20:00-08:00,Cukup,34,Sangat Berpengalaman,78,Pinjaman Bisnis,680,Pembebasan jaminan atau denda,Kabur,Rusun
O5330,Laki-laki,65,Tua,"Gg. Pasteur, RT 18/RW 20, Sulawesi Tengah, Kode Pos: 49796",Sulawesi Tengah,Sulawesi,11641018,Professional,Menikah,A,S1,Mobil,Bijaksana,Lapangan,Cukup Baik,k,Kurang Fleksibel,Email,63.395871442010105,Bijaksana,2023-06-16 09:56:52,Siang-Malam,12:00-20:00,Buruk,17,Cukup Berpengalaman,54,Pinjaman Pribadi,339,Keringanan utang,Kabur,Pemukiman Padat Penduduk
l0706,Laki-laki,36,Muda,"Gg. S. Parman, RT 18/RW 4, Nusa Tenggara Timur, Kode Pos: 68374",Nusa Tenggara Timur,Bali,7319004,Professional,Menikah,C,S1,Motor,Bijaksana,Lapangan,Buruk,B,Kurang Fleksibel,Telepon,66.19105226823405,Bijaksana,2023-09-13 02:55:28,Siang-Malam,12:00-20:00,Cukup,24,Sangat Berpengalaman,68,Pinjaman Pribadi,478,Rencana pembayaran alternatif,Kabur,Perumahan
e0897,Perempuan,44,Dewasa,"Gg. Moch. Ramdan, RT 5/RW 5, Bali, Kode Pos: 73789",Bali,Bali,11008399,Professional,Belum Menikah,A,S1,Mobil,Bijaksana,Meja,Baik,a,Fleksibel,SMS,87.14327010199956,Bijaksana,2023-04-02 22:07:55,Malam-Pagi,20:00-08:00,Buruk,2,Pemula,24,Kredit Kendaraan,40,Keringanan utang,Disiplin,Pemukiman Padat Penduduk
N3497,Perempuan,59,Dewasa,"Gang Jakarta, RT 20/RW 2, Kalimantan Timur, Kode Pos: 86416",Kalimantan Timur,Kalimantan,13609979,Pengusaha,Cerai Hidup,A,S2,Mobil,Tegas,Meja,Cukup Baik,B,Fleksibel,SMS,91.82778718510023,Tegas,2023-08-13 10:09:27,Malam-Pagi,20:00-08:00,Baik,6,Pemula,22,Kredit Kendaraan,120,Pembebasan jaminan atau denda,Kabur,Pemukiman Padat Penduduk
o3271,Laki-laki,41,Muda,"Gg. Ahmad Yani, RT 13/RW 4, Kepulauan Bangka Belitung, Kode Pos: 99130",Bangka Belitung,Sumatera,4683984,Buruh,Menikah,D,SMA,Motor,Kasar,Lapangan,Baik,Cukup Baik,Tidak Fleksibel,Email,47.27591922969286,Kasar,2023-03-27 03:04:59,Pagi-Sore,08:00-16:00,Buruk,29,Sangat Berpengalaman,78,Kredit Kendaraan,582,Keringanan utang,Kabur,Pemukiman Padat Penduduk
C8019,Laki-laki,45,Muda,"Gang Indragiri, RT 13/RW 3, Aceh, Kode Pos: 81012",Aceh,Sumatera,10906580,Professional,Cerai Mati,A,S1,Mobil,Bijaksana,Lapangan,Cukup Baik,B,Tidak Fleksibel,Email,44.08202331028595,Bijaksana,2023-07-27 05:10:51,Malam-Pagi,20:00-08:00,Cukup,17,Sangat Berpengalaman,54,Pinjaman Pribadi,341,Keringanan utang,Kabur,Perumahan
n3202,Laki-laki,29,Muda,"Jl. K.H. Wahid Hasyim, RT 10/RW 3, Kepulauan Riau, Kode Pos: 23709",Kepulauan Riau,Sumatera,11991957,Pengusaha,Menikah,A,S2,Mobil,Tegas,Lapangan,Baik,k,Tidak Fleksibel,Chat WA,53.31543143895088,Tegas,2023-03-11 04:50:07,Malam-Pagi,20:00-08:00,Baik,19,Cukup Berpengalaman,48,Kredit Kendaraan,381,Perpanjangan waktu pembayaran,Kabur,Pemukiman Padat Penduduk
D5551,Laki-laki,35,Muda,"Jl. Dipenogoro, RT 3/RW 19, Jambi, Kode Pos: 01826",Jambi,Sumatera,9505872,Pegawai Swasta,Cerai Hidup,B,SMA,Motor,Tegas,Lapangan,Buruk,Buruk,Fleksibel,Email,88.5702365682443,Tegas,2023-07-13 14:10:48,Malam-Pagi,20:00-08:00,Baik,26,Sangat Berpengalaman,72,Pinjaman Bisnis,517,Keringanan utang,Kabur,Perumahan
l9188,Laki-laki,49,Muda,"Jl. Rajiman, RT 14/RW 11, Nusa Tenggara Timur, Kode Pos: 35487",Nusa Tenggara Timur,Bali,1707116,Pegawai Swasta,Menikah,E,SMA,Tidak Ada Kendaraan,Kasar,Lapangan,Cukup Baik,Buruk,Fleksibel,SMS,82.7121372892877,Kasar,2023-04-06 13:00:17,Siang-Malam,12:00-20:00,Buruk,39,Sangat Berpengalaman,88,Pinjaman Bisnis,782,Pembebasan jaminan atau denda,Kabur,Rusun
v5435,Laki-laki,27,Muda,"Gg. Moch. Ramdan, RT 17/RW 14, Jawa Barat, Kode Pos: 94110",Jawa Barat,Jawa,9508138,Professional,Cerai Hidup,B,S2,Motor,Bijaksana,Lapangan,Baik,i,Kurang Fleksibel,Email,75.54759694186419,Bijaksana,2023-12-04 12:42:41,Siang-Malam,12:00-20:00,Cukup,15,Sangat Berpengalaman,50,Pinjaman Pribadi,299,Keringanan utang,Gagal Bayar,Pemukiman Padat Penduduk
A2548,Laki-laki,43,Dewasa,"Jl. Dr. Djunjunan, RT 3/RW 12, Lampung, Kode Pos: 03876",Lampung,Sumatera,8848190,Pegawai Swasta,Cerai Hidup,B,SMA,Motor,Tegas,Lapangan,Baik,Cukup Baik,Fleksibel,Telepon,95.94728659238281,Tegas,2023-10-06 17:55:53,Malam-Pagi,20:00-08:00,Buruk,17,Cukup Berpengalaman,44,Pinjaman Bisnis,342,Pembebasan jaminan atau denda,Kabur,Pemukiman Padat Penduduk
Z7998,Laki-laki,64,Dewasa,"Jalan Merdeka, RT 5/RW 14, Bali, Kode Pos: 95868",Bali,Bali,4512302,Pegawai Negeri,Menikah,D,D3,Motor,Ramah,Lapangan,Buruk,Cukup Baik,Kurang Fleksibel,Chat WA,71.89705843946862,Ramah,2023-03-06 09:12:24,Siang-Malam,12:00-20:00,Cukup,14,Cukup Berpengalaman,48,Pinjaman Bisnis,278,Keringanan utang,Gagal Bayar,Pemukiman Padat Penduduk
N0724,Perempuan,56,Muda,"Gang Abdul Muis, RT 6/RW 19, Sumatera Utara, Kode Pos: 03541",Sumatera Utara,Sumatera,11512091,Professional,Menikah,A,S2,Mobil,Bijaksana,Meja,Baik,i,Fleksibel,Telepon,87.81644107280074,Bijaksana,2023-12-23 21:31:12,Pagi-Sore,08:00-16:00,Baik,17,Sangat Berpengalaman,44,Pinjaman Pribadi,335,Pembebasan jaminan atau denda,Kabur,Pemukiman Padat Penduduk
U3994,Perempuan,39,Dewasa,"Jalan Ahmad Dahlan, RT 18/RW 10, Kalimantan Selatan, Kode Pos: 49497",Kalimantan Selatan,Kalimantan,5904970,Pengusaha,Menikah,D,S1,Motor,Tegas,Meja,Cukup Baik,a,Kurang Fleksibel,Telepon,61.151101603504564,Tegas,2023-02-27 05:29:16,Malam-Pagi,20:00-08:00,Baik,5,Pemula,30,Kredit Kendaraan,99,Rencana pembayaran alternatif,Kabur,Perumahan
S6474,Perempuan,61,Tua,"Jl. Kebonjati, RT 1/RW 19, Kalimantan Selatan, Kode Pos: 08970",Kalimantan Selatan,Kalimantan,7833191,Professional,Belum Menikah,C,S1,Motor,Bijaksana,Meja,Baik,i,Tidak Fleksibel,Telepon,50.49446380196971,Bijaksana,2023-07-21 00:24:16,Malam-Pagi,20:00-08:00,Baik,16,Cukup Berpengalaman,52,Pinjaman Pribadi,319,Keringanan utang,Kabur,Pemukiman Padat Penduduk
N2903,Perempuan,57,Muda,"Jl. Pasirkoja, RT 6/RW 3, Jambi, Kode Pos: 00246",Jambi,Sumatera,4090289,Pengusaha,Menikah,D,S1,Motor,Tegas,Meja,Cukup Baik,k,Fleksibel,Telepon,92.05064105943008,Tegas,2023-05-27 17:41:33,Pagi-Sore,08:00-16:00,Buruk,45,Sangat Berpengalaman,100,Pinjaman Pribadi,901,Rencana pembayaran alternatif,Kabur,Pemukiman Padat Penduduk
X0276,Laki-laki,30,Muda,"Jalan Pacuan Kuda, RT 24/RW 15, DKI Jakarta, Kode Pos: 76522",DKI Jakarta,Jawa,4399514,Pegawai Swasta,Cerai Hidup,D,SMA,Motor,Tegas,Lapangan,Buruk,Buruk,Fleksibel,Email,87.70022788858833,Tegas,2023-03-06 06:04:57,Siang-Malam,12:00-20:00,Cukup,16,Sangat Berpengalaman,42,Pinjaman Pribadi,320,Pembebasan jaminan atau denda,Kabur,Apartemen
Z0134,Laki-laki,32,Dewasa,"Jalan H.J Maemunah, RT 8/RW 20, Banten, Kode Pos: 29979",Banten,Jawa,7074392,Pegawai Swasta,Menikah,C,D3,Motor,Ramah,Meja,Buruk,Baik,Tidak Fleksibel,Chat WA,57.29665497538777,Ramah,2023-08-02 00:11:42,Siang-Malam,12:00-20:00,Cukup,-4,Pemula,12,Pinjaman Pribadi,0,Keringanan utang,Disiplin,Apartemen
A6252,Perempuan,35,Dewasa,"Jalan Cikutra Barat, RT 15/RW 18, Jawa Timur, Kode Pos: 96425",Jawa Timur,Jawa,10015900,Professional,Menikah,A,S2,Mobil,Bijaksana,Meja,Baik,B,Kurang Fleksibel,Telepon,62.79548603882008,Bijaksana,2023-08-12 01:07:39,Siang-Malam,12:00-20:00,Buruk,19,Cukup Berpengalaman,48,Pinjaman Pribadi,379,Pembebasan jaminan atau denda,Kabur,Pemukiman Padat Penduduk
J8291,Perempuan,62,Muda,"Gang Sadang Serang, RT 22/RW 17, Sulawesi Tenggara, Kode Pos: 80806",Sulawesi Tenggara,Sulawesi,7713367,Buruh,Menikah,C,SMA,Motor,Kasar,Meja,Cukup Baik,Cukup Baik,Kurang Fleksibel,Telepon,67.03725644198613,Kasar,2023-06-28 09:31:32,Pagi-Sore,08:00-16:00,Buruk,25,Sangat Berpengalaman,50,Pinjaman Bisnis,500,Pembayaran sejumlah besar sekaligus,Kabur,Pemukiman Padat Penduduk
x1104,Perempuan,43,Muda,"Gg. Dipenogoro, RT 9/RW 20, Nusa Tenggara Barat, Kode Pos: 16827",Nusa Tenggara Barat,Bali,4829298,Buruh,Menikah,D,SMA,Motor,Kasar,Meja,Cukup Baik,Buruk,Tidak Fleksibel,Chat WA,49.73505226078595,Kasar,2023-01-13 19:38:08,Malam-Pagi,20:00-08:00,Baik,17,Sangat Berpengalaman,54,Kredit Kendaraan,337,Keringanan utang,Kabur,Perumahan
x2474,Laki-laki,48,Dewasa,"Gang Ciumbuleuit, RT 10/RW 18, Sulawesi Tengah, Kode Pos: 14892",Sulawesi Tengah,Sulawesi,6585233,Buruh,Menikah,C,SMA,Motor,Kasar,Lapangan,Cukup Baik,Cukup Baik,Kurang Fleksibel,Email,67.1388261573402,Kasar,2023-11-20 16:50:54,Malam-Pagi,20:00-08:00,Buruk,-3,Cukup Berpengalaman,14,Pinjaman Pribadi,0,Rencana pembayaran alternatif,Disiplin,Rusun
y2090,Perempuan,57,Tua,"Gg. Peta, RT 14/RW 12, Maluku, Kode Pos: 42063",Maluku,Papua,7902275,Buruh,Menikah,C,SMA,Motor,Kasar,Meja,Baik,Buruk,Kurang Fleksibel,Telepon,64.01483361938442,Kasar,2023-08-19 15:01:40,Malam-Pagi,20:00-08:00,Cukup,-2,Cukup Berpengalaman,6,Pinjaman Bisnis,0,Perpanjangan waktu pembayaran,Disiplin,Pemukiman Padat Penduduk
E2643,Laki-laki,28,Muda,"Jl. Abdul Muis, RT 13/RW 13, Banten, Kode Pos: 09608",Banten,Jawa,14080032,Pengusaha,Menikah,A,S2,Mobil,Tegas,Lapangan,Baik,i,Tidak Fleksibel,Chat WA,42.99061696200766,Tegas,2023-06-21 17:05:39,Malam-Pagi,20:00-08:00,Baik,29,Sangat Berpengalaman,58,Pinjaman Bisnis,581,Pembayaran sejumlah besar sekaligus,Kabur,Pemukiman Padat Penduduk
J4301,Laki-laki,42,Dewasa,"Gg. Rajawali Timur, RT 12/RW 17, Jawa Barat, Kode Pos: 46428",Jawa Barat,Jawa,5738885,Pegawai Swasta,Menikah,D,D3,Motor,Tegas,Meja,Buruk,Baik,Tidak Fleksibel,Email,58.75385666628233,Tegas,2023-05-23 17:41:51,Pagi-Sore,08:00-16:00,Buruk,2,Pemula,14,Kredit Kendaraan,41,Pembebasan jaminan atau denda,Disiplin,Perumahan
