debtor_age,debtor_age_class,debtor_gender,debtor_nik,debtor_address,debtor_province,debtor_island,debtor_marital_status,debtor_number_of_dependents,debtor_education_level,debtor_occupation,debtor_monthly_income,debtor_monthly_expense,debtor_asset_ownership,ses_class,demography_class,debtor_communication_channel,billing_datetime,risk_credit,payment_pattern,payment_method,tenor,interest_rate,monthly_payment,loan_amount,behavior_class,loan_type,working_time,range_working_time,debtor_personality,history_jan,history_feb,history_mar,history_apr,history_may,history_jun,history_jul,history_aug,history_sep,history_oct,history_nov,history_dec,debtor_aging,transaction,remaining_loan,billing_type,field_class
27,Muda,Perempuan,4218192201665544,"Gg. Erlangga, RT 8/RW 6, Sulawesi Barat, Kode Pos: 70433",Sulawesi Barat,Sulawesi,Menikah,4,S1,Pegawai Swasta,2441821,322320,Tidak,D,Pemukiman Padat Penduduk,Chat WA,2023-10-08 02:53:24.245011,Buruk,Pembayaran Terlambat,e-Money,60,0.4,617722.9964768965,36689151,Kabur,Kredit Kendaraan,Malam-Pagi,20:00-08:00,Tegas,1,0,1,2,3,2,1,2,1,0,0,1,DPK,59,243494.20786310732,Surat,Melalui Meja
34,Dewasa,Laki-laki,7265691107977964,"Gg. Setiabudhi, RT 1/RW 20, Sumatera Utara, Kode Pos: 45301",Sumatera Utara,Sumatera,Menikah,4,S3,Pengusaha,20833945,2750081,Ya,A,Apartemen,Email,2023-10-08 02:53:24.245422,Cukup Baik,Pembayaran Tepat Waktu,ATM,60,0.4,796420.4202741449,47302738,Disiplin,Pinjaman Bisnis,Pagi-Sore,08:00-16:00,Ramah,0,0,1,2,1,2,1,2,1,0,1,2,DPK,58,1110353.6240995973,Telepon,Melalui Meja
27,Muda,Perempuan,3735173003814228,"Gg. Suniaraja, RT 22/RW 13, Bali, Kode Pos: 11657",Bali,Bali,Menikah,5,D3,Pegawai Negeri,4004945,440544,Tidak,E,Rusun,Chat WA,2023-10-08 02:53:24.245773,Buruk,Pembayaran Terlambat,e-Money,36,0.2,1339147.4463589806,48060976,Kabur,Pinjaman Bisnis,Pagi-Sore,08:00-16:00,Ramah,1,2,3,2,1,0,1,0,1,2,1,0,Lancar,36,0.0,Telepon,Melalui Meja
32,Dewasa,Perempuan,4190480702988765,"Jl. Raya Setiabudhi, RT 6/RW 16, Papua, Kode Pos: 49488",Papua,Papua,Cerai Mati,5,SMP,Buruh,2966451,326310,Tidak,D,Pemukiman Padat Penduduk,SMS,2023-10-08 02:53:24.246154,Baik,Pembayaran Tepat Waktu,M-Banking,60,0.4,823304.9398207096,48899522,Disiplin,Pinjaman Bisnis,Malam-Pagi,20:00-08:00,Kasar,1,0,0,1,2,1,2,1,2,1,2,1,DPK,59,324530.5505781323,Surat,Melalui Meja
39,Dewasa,Perempuan,7473612610736001,"Jalan KH Amin Jasuta, RT 7/RW 14, DI Yogyakarta, Kode Pos: 65033",DI Yogyakarta,Jawa,Belum Menikah,0,D3,Pegawai Swasta,1019053,672575,Tidak,D,Pemukiman Padat Penduduk,SMS,2023-10-08 02:53:24.246619,Buruk,Pembayaran Terlambat,M-Banking,12,0.1,1723493.8629028162,20670728,Kabur,Pinjaman Pribadi,Malam-Pagi,20:00-08:00,Tegas,0,0,1,2,1,0,0,1,0,0,0,0,Lancar,12,0.0,Telepon,Melalui Meja
21,Muda,Perempuan,3292420204416621,"Gang Jend. A. Yani, RT 24/RW 18, DI Yogyakarta, Kode Pos: 52697",DI Yogyakarta,Jawa,Belum Menikah,0,SMP,Buruh,1603963,1058616,Tidak,D,Pemukiman Padat Penduduk,Telepon,2023-10-08 02:53:24.247003,Cukup Baik,Pembayaran Sebelum Jatuh Tempo,e-Money,36,0.2,1452137.2361467888,52116093,Kabur,Pinjaman Bisnis,Pagi-Sore,08:00-16:00,Ramah,0,1,0,1,2,1,2,3,2,1,2,1,DPK,35,1291289.7348623946,Surat,Melalui Meja
37,Dewasa,Perempuan,6945322503920174,"Jl. Ir. H. Djuanda, RT 13/RW 10, Sumatera Utara, Kode Pos: 89984",Sumatera Utara,Sumatera,Cerai Mati,0,S2,Pengusaha,24456773,16141470,Ya,A,Apartemen,Email,2023-10-08 02:53:24.247413,Cukup Baik,Pembayaran Tepat Waktu,ATM,12,0.1,1616274.8918720677,19384797,Disiplin,Pinjaman Pribadi,Pagi-Sore,08:00-16:00,Ramah,1,0,1,0,0,1,2,1,0,0,1,2,DPK,10,3222048.0812793225,Surat,Melalui Meja
50,Tua,Laki-laki,2055601607966514,"Gang Bangka Raya, RT 17/RW 10, Maluku Utara, Kode Pos: 04344",Maluku Utara,Papua,Belum Menikah,0,D3,Pegawai Swasta,6256425,4129240,Ya,B,Rusun,Telepon,2023-10-08 02:53:24.247759,Buruk,Pembayaran Terlambat,Langsung,48,0.3,687198.1482117635,32784314,Gagal Bayar,Kredit Kendaraan,Pagi-Sore,08:00-16:00,Bijaksana,1,2,1,2,3,4,5,4,3,4,3,4,Kurang Lancar,44,2547595.4786824062,Wakil,Turun Langsung ke Lapangan
21,Muda,Perempuan,8063420809841250,"Gang Jend. Sudirman, RT 8/RW 18, Sumatera Barat, Kode Pos: 58778",Sumatera Barat,Sumatera,Menikah,5,S1,Pegawai Swasta,6095297,670483,Tidak,B,Rusun,Chat WA,2023-10-08 02:53:24.248144,Baik,Pembayaran Sebelum Jatuh Tempo,e-Money,60,0.4,336010.648089408,19957077,Kabur,Pinjaman Pribadi,Siang-Malam,12:00-20:00,Tegas,1,2,1,2,3,2,1,0,0,1,2,3,Kurang Lancar,57,804470.0589037426,Wakil,Turun Langsung ke Lapangan
37,Dewasa,Laki-laki,2544401604262563,"Jalan Stasiun Wonokromo, RT 24/RW 17, Sulawesi Selatan, Kode Pos: 37913",Sulawesi Selatan,Sulawesi,Cerai Mati,4,SMA,Buruh,2262930,298707,Tidak,D,Pemukiman Padat Penduduk,Email,2023-10-08 02:53:24.248548,Cukup Baik,Pembayaran Sebelum Jatuh Tempo,ATM,12,0.1,1501509.1679393866,18008354,Kabur,Pinjaman Pribadi,Malam-Pagi,20:00-08:00,Tegas,1,0,1,0,0,1,0,0,0,0,1,2,DPK,10,2993262.320606135,Telepon,Melalui Meja
21,Muda,Perempuan,398526160503273,"Jl. Ahmad Dahlan, RT 2/RW 19, DI Yogyakarta, Kode Pos: 28419",DI Yogyakarta,Jawa,Belum Menikah,0,S2,Professional,14915791,9844422,Ya,A,Apartemen,Chat WA,2023-10-08 02:53:24.248922,Cukup Baik,Pembayaran Tepat Waktu,M-Banking,48,0.3,1001019.1516800858,47755842,Gagal Bayar,Pinjaman Bisnis,Pagi-Sore,08:00-16:00,Ramah,1,2,1,2,1,0,0,1,2,1,2,3,Kurang Lancar,45,2709980.1743961424,Wakil,Turun Langsung ke Lapangan
38,Dewasa,Laki-laki,2239302010679082,"Gang Cihampelas, RT 8/RW 6, Kalimantan Barat, Kode Pos: 80554",Kalimantan Barat,Kalimantan,Menikah,3,S1,Pegawai Negeri,6320235,1042839,Tidak,B,Rusun,Chat WA,2023-10-08 02:53:24.249289,Buruk,Pembayaran Terlambat,M-Banking,36,0.2,989819.0372766698,35523847,Kabur,Kredit Kendaraan,Pagi-Sore,08:00-16:00,Ramah,0,1,0,1,2,3,2,1,0,1,0,1,DPK,35,880180.6953165606,Surat,Melalui Meja
25,Muda,Laki-laki,1289381112279881,"Jalan Setiabudhi, RT 5/RW 13, Sumatera Utara, Kode Pos: 52137",Sumatera Utara,Sumatera,Belum Menikah,0,D3,Pegawai Swasta,5462825,3605464,Ya,B,Rusun,Email,2023-10-08 02:53:24.249658,Buruk,Pembayaran Terlambat,M-Banking,24,0.15,1314285.0976401863,31493610,Gagal Bayar,Kredit Kendaraan,Siang-Malam,12:00-20:00,Bijaksana,1,0,0,0,0,0,0,0,0,1,2,3,Kurang Lancar,21,3893622.949556086,Wakil,Turun Langsung ke Lapangan
41,Dewasa,Perempuan,7617062712586770,"Gang H.J Maemunah, RT 20/RW 17, Kalimantan Tengah, Kode Pos: 71256",Kalimantan Tengah,Kalimantan,Cerai Mati,1,SMA,Buruh,2317802,764875,Tidak,D,Pemukiman Padat Penduduk,Telepon,2023-10-08 02:53:24.250039,Cukup Baik,Pembayaran Tepat Waktu,M-Banking,60,0.4,848157.4252608487,50375615,Disiplin,Pinjaman Bisnis,Pagi-Sore,08:00-16:00,Tegas,0,0,0,0,0,0,1,0,1,0,0,0,Lancar,60,0.0,Telepon,Melalui Meja
57,Tua,Perempuan,6383902909845836,"Gg. Jend. Sudirman, RT 15/RW 20, Kalimantan Tengah, Kode Pos: 10957",Kalimantan Tengah,Kalimantan,Cerai Mati,5,SMA,Pegawai Swasta,3320449,365249,Tidak,D,Pemukiman Padat Penduduk,Telepon,2023-10-08 02:53:24.250485,Baik,Pembayaran Tepat Waktu,Langsung,48,0.3,340445.1490498113,16241692,Gagal Bayar,Pinjaman Pribadi,Siang-Malam,12:00-20:00,Bijaksana,0,0,0,0,0,1,2,3,2,3,2,3,Kurang Lancar,45,921660.2927584909,Wakil,Turun Langsung ke Lapangan
36,Dewasa,Laki-laki,7205281607967798,"Jalan H.J Maemunah, RT 5/RW 19, Lampung, Kode Pos: 17561",Lampung,Sumatera,Menikah,1,SD,Buruh,2692480,888518,Tidak,D,Pemukiman Padat Penduduk,Chat WA,2023-10-08 02:53:24.250857,Baik,Pembayaran Sebelum Jatuh Tempo,ATM,36,0.2,1397158.3808560476,50142944,Kabur,Pinjaman Bisnis,Malam-Pagi,20:00-08:00,Ramah,0,1,2,1,0,1,0,0,0,0,1,0,Lancar,36,0.0,Telepon,Melalui Meja
62,Tua,Laki-laki,5174822502444619,"Gg. Suniaraja, RT 10/RW 1, Nusa Tenggara Barat, Kode Pos: 48858",Nusa Tenggara Barat,Bali,Menikah,2,SMA,Buruh,2867680,630890,Tidak,D,Pemukiman Padat Penduduk,SMS,2023-10-08 02:53:24.251224,Buruk,Pembayaran Terlambat,ATM,48,0.3,463254.2094863599,22100571,Gagal Bayar,Pinjaman Pribadi,Siang-Malam,12:00-20:00,Tegas,1,0,1,2,3,4,3,4,3,4,3,4,Kurang Lancar,44,1717385.7826001644,Wakil,Turun Langsung ke Lapangan
60,Tua,Perempuan,3655551009228988,"Gang Ciumbuleuit, RT 8/RW 11, DKI Jakarta, Kode Pos: 55792",DKI Jakarta,Jawa,Menikah,1,S2,Pengusaha,19430628,6412107,Ya,A,Apartemen,Telepon,2023-10-08 02:53:24.251629,Baik,Pembayaran Sebelum Jatuh Tempo,ATM,48,0.3,1062396.8620591334,50684002,Kabur,Pinjaman Bisnis,Malam-Pagi,20:00-08:00,Tegas,1,2,1,0,0,0,1,0,0,1,0,0,Lancar,48,0.0,Telepon,Melalui Meja
21,Muda,Perempuan,2269232107783412,"Jl. Siliwangi, RT 15/RW 15, Papua Barat, Kode Pos: 15112",Papua Barat,Papua,Belum Menikah,0,S1,Pegawai Negeri,11052465,7294627,Ya,A,Perumahan,Email,2023-10-08 02:53:24.252008,Baik,Pembayaran Sebelum Jatuh Tempo,e-Money,36,0.2,661806.3241771957,23751722,Kabur,Pinjaman Pribadi,Siang-Malam,12:00-20:00,Bijaksana,1,2,1,2,1,2,3,2,1,2,3,2,DPK,34,1250306.9779753461,Surat,Melalui Meja
35,Dewasa,Perempuan,9449310403582408,"Gang Joyoboyo, RT 9/RW 5, Kepulauan Bangka Belitung, Kode Pos: 74471",Bangka Belitung,Sumatera,Belum Menikah,0,S1,Pegawai Negeri,8994519,5936383,Ya,E,Perumahan,Email,2023-10-08 02:53:24.252386,Baik,Pembayaran Sebelum Jatuh Tempo,ATM,48,0.3,749317.0461758487,35747834,Kabur,Kredit Kendaraan,Siang-Malam,12:00-20:00,Bijaksana,0,0,0,1,0,1,0,0,0,0,1,0,Lancar,48,0.0,Telepon,Melalui Meja
30,Dewasa,Laki-laki,8389731003791797,"Jl. Jayawijaya, RT 12/RW 7, Kalimantan Selatan, Kode Pos: 73161",Kalimantan Selatan,Kalimantan,Belum Menikah,0,SMA,Pegawai Swasta,6035161,3983206,Ya,B,Rusun,Email,2023-10-08 02:53:24.252778,Cukup Baik,Pembayaran Tepat Waktu,M-Banking,36,0.2,1331238.8350921215,47777142,Disiplin,Pinjaman Bisnis,Malam-Pagi,20:00-08:00,Bijaksana,1,2,1,2,1,0,0,0,1,2,1,0,Lancar,36,0.0,Telepon,Melalui Meja
25,Muda,Perempuan,3927421612985451,"Jalan Peta, RT 25/RW 10, Nusa Tenggara Barat, Kode Pos: 94716",Nusa Tenggara Barat,Bali,Belum Menikah,0,D3,Pegawai Negeri,8169285,5391728,Ya,E,Perumahan,Chat WA,2023-10-08 02:53:24.253166,Cukup Baik,Pembayaran Sebelum Jatuh Tempo,M-Banking,36,0.2,1305936.0102620316,46869043,Kabur,Pinjaman Bisnis,Malam-Pagi,20:00-08:00,Ramah,1,0,1,2,3,4,5,4,5,4,3,2,DPK,34,2467218.6510909274,Surat,Melalui Meja
63,Tua,Perempuan,5624491606879972,"Gang Moch. Toha, RT 23/RW 8, Sumatera Barat, Kode Pos: 42639",Sumatera Barat,Sumatera,Menikah,0,S3,Professional,14461576,9544640,Ya,A,Apartemen,Telepon,2023-10-08 02:53:24.253590,Buruk,Pembayaran Terlambat,ATM,24,0.15,2050156.401988376,49126956,Kabur,Pinjaman Bisnis,Pagi-Sore,08:00-16:00,Bijaksana,0,0,1,0,0,0,1,2,1,0,1,2,DPK,22,4023515.1562557295,Surat,Melalui Meja
44,Dewasa,Perempuan,1947451704995279,"Gg. Antapani Lama, RT 21/RW 9, Kepulauan Bangka Belitung, Kode Pos: 27917",Bangka Belitung,Sumatera,Cerai Mati,1,SMA,Buruh,1797613,593212,Tidak,D,Pemukiman Padat Penduduk,Telepon,2023-10-08 02:53:24.253977,Baik,Pembayaran Sebelum Jatuh Tempo,ATM,24,0.15,1958821.8044855434,46938347,Kabur,Pinjaman Bisnis,Pagi-Sore,08:00-16:00,Tegas,1,0,0,0,1,2,1,2,3,4,3,2,DPK,22,3844267.301318042,Surat,Melalui Meja
65,Tua,Perempuan,9699121502842388,"Gang Moch. Toha, RT 1/RW 8, Kepulauan Bangka Belitung, Kode Pos: 51340",Bangka Belitung,Sumatera,Menikah,2,SD,Buruh,2791866,614211,Tidak,D,Pemukiman Padat Penduduk,Telepon,2023-10-08 02:53:24.254368,Cukup Baik,Pembayaran Tepat Waktu,ATM,60,0.4,373310.6493776337,22172480,Disiplin,Pinjaman Pribadi,Siang-Malam,12:00-20:00,Ramah,1,2,3,4,5,4,5,6,5,4,3,2,DPK,58,520462.3360972442,Surat,Melalui Meja
62,Tua,Perempuan,1985273111861879,"Gang Indragiri, RT 19/RW 5, DI Yogyakarta, Kode Pos: 98706",DI Yogyakarta,Jawa,Menikah,0,SMA,Pegawai Swasta,8027925,5298430,Ya,E,Perumahan,SMS,2023-10-08 02:53:24.254773,Baik,Pembayaran Tepat Waktu,ATM,48,0.3,430853.7895041708,20554837,Disiplin,Pinjaman Pribadi,Malam-Pagi,20:00-08:00,Tegas,1,2,3,2,3,2,3,4,3,4,3,2,DPK,46,735562.6828081422,Surat,Melalui Meja
46,Dewasa,Laki-laki,4898880403168593,"Gang Sadang Serang, RT 5/RW 7, Jawa Barat, Kode Pos: 95367",Jawa Barat,Jawa,Menikah,4,SD,Buruh,1882265,248459,Tidak,D,Pemukiman Padat Penduduk,Chat WA,2023-10-08 02:53:24.255162,Baik,Pembayaran Sebelum Jatuh Tempo,M-Banking,24,0.15,2077779.9754360078,49788887,Kabur,Pinjaman Bisnis,Malam-Pagi,20:00-08:00,Ramah,1,2,1,0,0,0,1,2,3,4,3,2,DPK,22,4077727.540407829,Surat,Melalui Meja
58,Tua,Laki-laki,8325342102420785,"Gang Jend. A. Yani, RT 14/RW 14, DI Yogyakarta, Kode Pos: 41593",DI Yogyakarta,Jawa,Menikah,2,SMP,Buruh,2353939,517867,Tidak,D,Pemukiman Padat Penduduk,SMS,2023-10-08 02:53:24.255534,Buruk,Pembayaran Terlambat,Langsung,12,0.1,1682630.6539364154,20180635,Kabur,Pinjaman Pribadi,Malam-Pagi,20:00-08:00,Kasar,1,0,0,0,0,1,0,0,1,2,1,0,Lancar,12,0.0,Telepon,Melalui Meja
51,Tua,Perempuan,8223031505270462,"Jalan Cihampelas, RT 7/RW 11, Kalimantan Tengah, Kode Pos: 45521",Kalimantan Tengah,Kalimantan,Cerai Hidup,5,S2,Pengusaha,14118150,1552996,Ya,E,Apartemen,Telepon,2023-10-08 02:53:24.255883,Buruk,Pembayaran Terlambat,Langsung,12,0.1,1495129.2134742318,17931836,Kabur,Pinjaman Pribadi,Malam-Pagi,20:00-08:00,Tegas,0,0,0,0,0,1,0,0,0,0,0,0,Lancar,12,0.0,Telepon,Melalui Meja
60,Tua,Laki-laki,7627943109686668,"Gg. Otto Iskandardinata, RT 9/RW 9, Aceh, Kode Pos: 47321",Aceh,Sumatera,Menikah,1,SMA,Pegawai Swasta,4453680,1469714,Tidak,C,Rusun,SMS,2023-10-08 02:53:24.256282,Baik,Pembayaran Tepat Waktu,ATM,12,0.1,2896984.9234426045,34744996,Gagal Bayar,Kredit Kendaraan,Siang-Malam,12:00-20:00,Tegas,1,2,1,2,3,2,3,2,3,4,5,4,Kurang Lancar,8,11569116.612459164,Wakil,Turun Langsung ke Lapangan
41,Dewasa,Laki-laki,6192570702251478,"Gg. Siliwangi, RT 22/RW 17, Riau, Kode Pos: 15522",Riau,Sumatera,Menikah,0,S2,Pengusaha,11706461,7726264,Ya,A,Perumahan,SMS,2023-10-08 02:53:24.256686,Baik,Pembayaran Sebelum Jatuh Tempo,ATM,12,0.1,4194453.028774119,50306183,Kabur,Pinjaman Bisnis,Pagi-Sore,08:00-16:00,Tegas,0,1,2,3,2,3,4,3,2,3,2,3,Kurang Lancar,9,12556105.741032928,Wakil,Turun Langsung ke Lapangan
21,Muda,Perempuan,5004610202980085,"Gang Rungkut Industri, RT 18/RW 16, Sulawesi Utara, Kode Pos: 05756",Sulawesi Utara,Sulawesi,Menikah,4,SMA,Buruh,3943981,520605,Tidak,C,Pemukiman Padat Penduduk,Chat WA,2023-10-08 02:53:24.257059,Baik,Pembayaran Sebelum Jatuh Tempo,e-Money,48,0.3,727304.2989299216,34697667,Kabur,Kredit Kendaraan,Siang-Malam,12:00-20:00,Tegas,1,2,1,0,1,2,1,2,3,2,3,2,DPK,46,1241669.2492236085,Surat,Melalui Meja
22,Muda,Laki-laki,2458122202772973,"Gg. Bangka Raya, RT 23/RW 16, Riau, Kode Pos: 30326",Riau,Sumatera,Belum Menikah,0,S1,Pegawai Swasta,9509478,6276255,Ya,E,Perumahan,Email,2023-10-08 02:53:24.257447,Buruk,Pembayaran Terlambat,M-Banking,60,0.4,622964.8568522192,37000487,Gagal Bayar,Kredit Kendaraan,Malam-Pagi,20:00-08:00,Bijaksana,0,0,1,2,3,4,3,4,5,4,5,4,Kurang Lancar,56,2114455.0162757263,Wakil,Turun Langsung ke Lapangan
34,Dewasa,Laki-laki,3679782601308191,"Gang Dr. Djunjunan, RT 25/RW 4, Nusa Tenggara Barat, Kode Pos: 24136",Nusa Tenggara Barat,Bali,Belum Menikah,0,S3,Pengusaha,19155520,12642643,Ya,A,Apartemen,SMS,2023-10-08 02:53:24.257853,Baik,Pembayaran Tepat Waktu,M-Banking,36,0.2,979633.8379916071,35158308,Gagal Bayar,Kredit Kendaraan,Siang-Malam,12:00-20:00,Tegas,0,1,2,3,4,3,4,3,2,3,2,3,Kurang Lancar,33,2830391.346276965,Wakil,Turun Langsung ke Lapangan
43,Dewasa,Perempuan,1591152706315692,"Gg. Pelajar Pejuang, RT 18/RW 18, Papua Barat, Kode Pos: 16602",Papua Barat,Papua,Cerai Hidup,4,S3,Pengusaha,16914154,2232668,Ya,A,Apartemen,Email,2023-10-08 02:53:24.258243,Baik,Pembayaran Tepat Waktu,ATM,48,0.3,334981.1124960205,15981018,Disiplin,Pinjaman Pribadi,Siang-Malam,12:00-20:00,Ramah,1,0,1,0,0,1,0,1,0,0,1,2,DPK,46,571886.8251830563,Surat,Melalui Meja
38,Dewasa,Laki-laki,8086863012356023,"Jl. Laswi, RT 5/RW 11, Kalimantan Selatan, Kode Pos: 58854",Kalimantan Selatan,Kalimantan,Belum Menikah,0,D3,Pegawai Swasta,5093298,3361577,Ya,B,Rusun,Telepon,2023-10-08 02:53:24.258637,Baik,Pembayaran Tepat Waktu,ATM,48,0.3,772746.4971918525,36865588,Gagal Bayar,Kredit Kendaraan,Pagi-Sore,08:00-16:00,Bijaksana,1,2,3,4,5,4,3,2,1,2,3,4,Kurang Lancar,44,2864742.1235584915,Wakil,Turun Langsung ke Lapangan
38,Dewasa,Laki-laki,4069041705752815,"Gg. PHH. Mustofa, RT 15/RW 20, Kalimantan Barat, Kode Pos: 88609",Kalimantan Barat,Kalimantan,Cerai Mati,3,S1,Pegawai Negeri,9677360,1596764,Tidak,E,Perumahan,Telepon,2023-10-08 02:53:24.258992,Buruk,Pembayaran Terlambat,M-Banking,12,0.1,4083688.3879188756,48977727,Kabur,Pinjaman Bisnis,Pagi-Sore,08:00-16:00,Bijaksana,0,0,1,0,0,0,1,2,1,0,0,1,DPK,11,4057154.7328923717,Surat,Melalui Meja
