debtor_name;debtor_nik;debtor_address;debtor_zip;debtor_rt;debtor_rw;debtor_birth_place;debtor_age;debtor_number;debtor_occupation;debtor_marital_status;debtor_company;debtor_gender;debtor_education_level;employment_type;number_of_dependents;net_income;payment_date;loan_amount;tenor;amount_of_late;late_payment_amount;credit_score;arrears_amounts;aset;bil1_late1;bill_late2;bill_late3;bill_late4;bill_late5;bill_late6;bill_late7;bill_late8;bill_late9;bill_late10;bill_late11;bill_late12;arrears1;arrears2;arrears3;arrears4;arrears5;arrears6;arrears7;arrears8;arrears9;arrears10;arrears11;arrears12;aging;credit_risk;loss_reverse
Kartika Wastuti;9,78636E+15;"Gang Rungkut Industri No. 496
Palangkaraya, KR 05216";5216;1;2;Kalimantan Tengah, 29-03-1978;45;+62 (011) 016-4831;Profesional;Cerai hidup;Perum Anggriawan Sudiati Tbk;laki-laki;D1;Contract;4;5500000;2023-05-18;61166667;3;59;4;365;1;6500000;0;0;0;20;0;24;5;0;0;0;10;0;0;0;0;1;0;1;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;15291667
Kani Sinaga;7,31888E+15;"Gang Yos Sudarso No. 73
Metro, Sumatera Selatan 30516";30516;1;10;Nusa Tenggara Timur, 24-01-1983;40;+62 (0053) 365 9177;Profesional;Cerai hidup;PT Uyainah;laki-laki;D3;Retired;4;10500000;2023-03-05;61833333;4;34;3;346;1;6000000;0;0;1;0;0;0;0;16;0;17;0;0;0;0;0;0;0;0;0;1;0;1;0;0;DPK;Tertagih dengan resiko rendah;15458333
Daliono Puspasari, S.T.;5,3719E+15;"Jl. Jayawijaya No. 35
Lubuklinggau, JI 53172";53172;15;15;Papua Barat, 28-11-1975;48;+62-17-143-5069;Pegawai Swasta;Belum menikah;UD Megantara Habibi (Persero) Tbk;laki-laki;S1;Retired;3;18000000;2023-04-06;50333333;19;81;5;573;2;8000000;0;7;0;0;0;0;19;12;0;0;18;25;0;0;0;0;0;0;1;0;0;0;1;2;DPK;Tertagih dengan resiko rendah;25166667
Ir. Gaman Gunawan;8,26555E+15;"Jl. Jakarta No. 8
Dumai, KU 65373";65373;19;12;Maluku Utara, 12-01-1968;55;+62 (0889) 176-1435;Profesional;Cerai hidup;PT Usamah;laki-laki;D1;Full-time;4;25500000;2023-04-05;140000000;17;140;8;355;2;13000000;0;25;0;0;20;24;11;19;10;0;22;9;0;1;0;0;1;2;0;1;0;0;1;0;Diragukan;Tidak tertagih dengan resiko rendah;70000000
Tgk. Amelia Hardiansyah;6,45481E+15;"Gang Dipatiukur No. 00
Tarakan, Papua Barat 18359";18359;5;19;Banten, 01-01-1963;60;+62-0304-335-3495;Profesional;Menikah;UD Napitupulu Nasyiah Tbk;perempuan;D3;Retired;3;10500000;2023-02-21;63000000;1;40;2;325;1;5000000;0;0;20;0;20;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;15750000
Kamila Marpaung;9,2529E+15;"Gang Asia Afrika No. 825
Tanjungbalai, Sulawesi Barat 56465";56465;1;19;Papua, 17-08-1973;50;+62 (29) 141 5646;Buruh;Belum menikah;PT Prabowo Usamah Tbk;laki-laki;D3;Retired;3;15500000;2023-04-29;43500000;25;0;0;656;0;14500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lancar;Tertagih dengan resiko rendah;0
Bahuraksa Rahimah;7,51965E+15;"Jalan Kutisari Selatan No. 29
Yogyakarta, Kalimantan Selatan 82560";82560;9;13;Bengkulu, 05-02-1964;59;+62 (100) 017 8416;Buruh;Cerai mati;CV Rajata;laki-laki;S1;Retired;2;13000000;2023-09-09;55166667;8;27;2;326;1;8500000;9;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;1;0;DPK;Tertagih dengan resiko rendah;13791667
T. Damu Putra, S.Pt;2,4364E+15;"Jl. Dipenogoro No. 481
Langsa, PA 13831";13831;17;8;Jawa Tengah, 08-10-1997;26;+62 (38) 007 1760;Buruh;Menikah;PD Permata Puspasari;perempuan;D3;Retired;3;10500000;2023-08-28;59000000;11;95;6;288;1;4500000;0;28;4;18;0;0;0;0;12;0;7;26;0;1;0;1;0;0;0;0;0;0;0;1;Kurang lancar;Tertagih dengan resiko rendah;14750000
Dt. Bancar Laksita, S.I.Kom;1,57852E+15;"Gg. Pelajar Pejuang No. 13
Pematangsiantar, JK 90147";90147;16;15;Kalimantan Barat, 18-03-1977;46;+62-006-935-4969;Pengusaha;Cerai hidup;PT Pradana Budiyanto Tbk;perempuan;S1;Self-employed;2;29000000;2023-03-26;137166667;32;59;3;229;2;8000000;0;0;0;0;0;0;0;12;25;22;0;0;0;0;0;0;0;0;0;0;1;2;0;0;DPK;Tidak tertagih dengan resiko rendah;68583333
H. Prabowo Puspita, S.IP;6,12055E+15;"Gg. Gedebage Selatan No. 473
Kediri, BT 19472";19472;11;1;Papua, 30-05-1996;27;+62-40-905-1906;Pengusaha;Belum menikah;PT Prakasa Budiyanto Tbk;perempuan;D3;Retired;4;12500000;2023-05-17;60333333;12;19;1;369;1;6000000;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;1;DPK;Tertagih dengan resiko rendah;15083333
Salimah Tarihoran;5,98435E+15;"Gg. Ahmad Yani No. 75
Gorontalo, Bengkulu 78283";78283;17;8;Sulawesi Barat, 07-06-1991;32;+62 (76) 205-9000;Pengusaha;Menikah;CV Saputra Saragih;perempuan;SMA;Contract;2;7700000;2023-03-11;59500000;12;74;4;450;2;5500000;0;0;0;0;0;22;0;0;0;26;25;1;0;0;0;0;0;1;0;0;0;1;2;0;DPK;Tertagih dengan resiko tinggi;29750000
Jarwa Suartini, S.T.;6,51278E+15;"Gang Raya Ujungberung No. 734
Pagaralam, SB 60077";60077;20;6;Kalimantan Tengah, 30-06-1989;34;+62 (059) 485 1802;Pengusaha;Belum menikah;PD Prastuti (Persero) Tbk;laki-laki;S2;Retired;2;13000000;2023-07-02;63833333;2;16;3;372;0;5500000;0;0;0;5;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;0
Kenari Uyainah;2,1351E+15;"Gg. HOS. Cokroaminoto No. 76
Malang, KB 05689";5689;13;12;Sulawesi Tenggara, 22-09-1996;27;+62 (0657) 955-7570;Pegawai Negeri;Belum menikah;PT Sitorus (Persero) Tbk;perempuan;SD;Not-employed;2;2600000;2023-04-01;20166667;2;150;11;17;3;15000000;1;27;21;0;6;7;16;17;15;3;15;22;0;1;2;0;0;0;1;2;3;0;1;2;Diragukan;Tidak tertagih dengan resiko tinggi;15125000
Zalindra Mustofa;8,33522E+15;"Jl. Cikutra Timur No. 1
Blitar, PA 08164";8164;15;19;Nusa Tenggara Barat, 01-06-1994;29;+62 (0364) 672 8454;Profesional;Cerai mati;UD Rahimah;laki-laki;D3;Full-time;4;17500000;2023-09-22;64333333;7;186;8;205;4;7000000;0;28;0;14;27;22;30;29;0;10;26;0;0;1;0;0;1;2;3;4;0;0;1;0;Macet;Tertagih dengan resiko tinggi;64333333
dr. Jaga Santoso;4,26814E+15;"Gang Laswi No. 549
Kota Administrasi Jakarta Pusat, Bengkulu 27778";27778;4;11;Kalimantan Selatan, 10-08-1989;34;+62 (476) 214-4218;Pegawai Swasta;Cerai mati;Perum Hidayanto Prasetyo Tbk;perempuan;D1;Full-time;3;17500000;2023-09-08;88500000;18;15;1;619;1;15000000;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;22125000
Lanang Habibi, S.Pd;2,1233E+15;"Gang Soekarno Hatta No. 461
Pariaman, NB 30138";30138;12;10;Sulawesi Tenggara, 21-06-1965;58;+62 (0119) 232 3985;Buruh;Belum menikah;PT Pradana Nainggolan;perempuan;S1;Retired;2;18000000;2023-02-14;80333333;19;12;2;433;0;8000000;0;6;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;0
Garang Sitompul, S.I.Kom;7,07892E+15;"Jalan Sukabumi No. 850
Yogyakarta, SU 40722";40722;8;1;Jambi, 03-05-1974;49;+62 (0082) 058-6413;Profesional;Belum menikah;Perum Habibi Tbk;perempuan;D3;Retired;4;10500000;2023-08-12;59666667;7;66;4;356;1;8500000;0;15;0;0;23;0;21;0;0;0;7;0;0;1;0;0;1;0;1;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;14916667
Tgk. Siska Saputra;5,81659E+15;"Gang Lembong No. 49
Tual, Sulawesi Utara 20196";20196;11;20;Sumatera Selatan, 27-02-1986;37;+62 (0548) 379 4861;Buruh;Menikah;UD Padmasari;perempuan;D3;Retired;5;15500000;2023-04-13;47166667;5;144;9;154;2;12000000;19;24;0;0;23;14;18;2;0;21;8;15;1;2;0;0;1;0;1;0;0;1;0;1;Diragukan;Tertagih dengan resiko tinggi;23583333
Among Sihotang;4,5093E+15;"Gg. Stasiun Wonokromo No. 29
Tidore Kepulauan, DI Yogyakarta 08669";8669;11;12;Papua, 21-03-1962;61;+62 (098) 970 3865;Profesional;Menikah;CV Hastuti Waskita Tbk;laki-laki;D3;Retired;3;15500000;2023-07-17;91833333;12;118;8;117;1;6500000;0;26;7;23;0;7;9;0;0;24;2;20;0;1;0;1;0;0;0;0;0;1;0;1;Kurang lancar;Tertagih dengan resiko tinggi;22958333
Hartana Suryono, S.Gz;7,21987E+15;"Jl. Pelajar Pejuang No. 13
Sabang, SN 95603";95603;14;3;Jambi, 06-09-1967;56;+62 (0191) 887-7959;Profesional;Menikah;PD Pratama Halim;perempuan;SMA;Contract;5;8700000;2023-02-02;55333333;15;23;1;266;1;6500000;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;13833333
Kania Haryanti;1,02562E+15;"Jl. Ir. H. Djuanda No. 24
Lhokseumawe, SN 21935";21935;10;10;DI Yogyakarta, 16-04-1992;31;+62 (065) 117-6097;Pegawai Negeri;Cerai hidup;PT Sudiati Sudiati;perempuan;S2;Retired;4;13000000;2023-02-18;55833333;11;0;0;367;0;8500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lancar;Tertagih dengan resiko rendah;0
Joko Tampubolon, S.Psi;7,9756E+15;"Gg. H.J Maemunah No. 35
Tanjungbalai, Lampung 92214";92214;11;8;Sulawesi Barat, 09-07-1988;35;+62 (66) 574-1944;Buruh;Menikah;UD Anggriawan (Persero) Tbk;laki-laki;S1;Retired;2;13000000;2023-02-05;56500000;6;49;3;306;1;5500000;0;10;0;0;26;0;13;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;14125000
Tina Suartini;6,38518E+15;"Jl. Monginsidi No. 9
Sungai Penuh, Riau 58925";58925;16;6;Kalimantan Barat, 30-07-1969;54;+62 (076) 067 9489;Pegawai Swasta;Menikah;PD Sitorus Simanjuntak;perempuan;SMA;Contract;5;9700000;2023-01-24;68500000;13;8;2;449;0;6000000;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;0
Ir. Ida Wibisono;8,60362E+15;"Jl. Pasir Koja No. 8
Ternate, Jawa Barat 53252";53252;17;15;Kalimantan Tengah, 11-08-1997;26;+62 (131) 807 9086;Pegawai Swasta;Belum menikah;CV Suartini Pranowo Tbk;perempuan;D2;Retired;3;15500000;2023-09-06;55166667;21;29;2;559;1;19500000;0;0;0;0;0;0;26;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;13791667
Soleh Mustofa;5,8031E+15;"Gang Lembong No. 968
Balikpapan, GO 25444";25444;15;13;Aceh, 03-05-1980;43;+62 (015) 858 1155;Pegawai Negeri;Cerai hidup;UD Halim Nuraini (Persero) Tbk;perempuan;SMA;Contract;1;13700000;2023-04-22;51666667;15;28;2;340;1;6000000;0;0;0;0;0;11;0;0;17;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;DPK;Tertagih dengan resiko rendah;12916667
Yessi Thamrin, S.E.;7,40619E+15;"Jl. Moch. Ramdan No. 69
Dumai, JA 13288";13288;6;11;Papua Barat, 17-06-1996;27;+62 (411) 086 3714;Pengusaha;Cerai mati;CV Nashiruddin Manullang (Persero) Tbk;laki-laki;D1;Retired;5;10500000;2023-05-03;64166667;1;51;2;348;1;9000000;0;22;0;0;0;0;0;0;0;29;0;0;0;1;0;0;0;0;0;0;0;1;0;0;DPK;Tertagih dengan resiko rendah;16041667
Mustofa Palastri;8,31621E+15;"Gg. Cihampelas No. 52
Langsa, NT 54833";54833;11;7;Kalimantan Utara, 05-03-1970;53;+62 (80) 325 8840;Pegawai Swasta;Menikah;UD Pratiwi Pradipta;laki-laki;SMA;Contract;1;13700000;2023-08-09;59333333;17;24;2;477;1;8000000;0;0;0;16;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;14833333
Hilda Widiastuti, S.Pt;5,03705E+15;"Gg. Indragiri No. 133
Kota Administrasi Jakarta Barat, Papua Barat 97413";97413;13;12;Kepulauan Bangka Belitung, 17-11-1992;31;+62-13-479-0986;Pengusaha;Belum menikah;CV Melani Purnawati;perempuan;D3;Retired;3;15500000;2023-03-12;66333333;2;91;5;156;3;8500000;0;0;0;30;25;17;1;0;0;0;18;0;0;0;0;1;2;3;0;0;0;0;1;0;Kurang lancar;Tertagih dengan resiko tinggi;49750000
