collector_name;collector_address;collector_number;collector_nik;collector_zip;collector_rt;collector_rw;collector_birth_place;collector_age;collector_marital_status;collector_gender;avg_bill_methods;debtor_volume_handled;bill_amount_collected;total_actual;total_cost;success_rate;time_to_collect
Kristina Avila;"Jl. Pelajar Pejuang No. 442
Tangerang, SN 10237";+62 (102) 032-1805;7,60955E+15;10237;17;11;Jawa Tengah, 14-07-1975;48;Menikah;laki-laki;sms or WA;14;39800000;110000000;88610;36;2
Carmen Stuart DDS;"Jalan Peta No. 775
Pariaman, JT 04783";+62 (93) 718-6272;4,43468E+15;4783;2;15;Banten, 06-09-1965;58;Cerai hidup;laki-laki;sms or WA;10;20000000;24800000;90662;81;1
Dawn Collins;"Jalan Soekarno Hatta No. 653
Probolinggo, BA 21380";+62 (462) 174 1234;7,34896E+15;21380;20;8;Jawa Barat, 25-08-1964;59;Belum menikah;perempuan;sms or WA;14;43300000;62900000;73975;69;4
Erin Harris;"Gg. Pasir Koja No. 0
Lubuklinggau, PB 80804";+62 (51) 004 9421;6,12432E+15;80804;9;6;Papua, 29-09-1988;35;Cerai mati;perempuan;sms or WA;1;900000;1100000;14250;82;3
Kevin Rice;"Gg. Cihampelas No. 2
Sungai Penuh, Maluku Utara 36299";+62 (05) 646 4108;1,94486E+15;36299;15;7;Papua Barat, 27-07-1968;55;Cerai mati;perempuan;sms or WA;15;8400000;16400000;77875;51;2
Charles Ferrell;"Gg. Abdul Muis No. 787
Pangkalpinang, BA 01643";+62 (0477) 418-9470;5,74761E+15;1643;2;3;Papua Barat, 26-04-1971;52;Menikah;perempuan;sms or WA;12;8200000;52700000;60258;16;0
David Olsen;"Jl. Medokan Ayu No. 5
Pekanbaru, KR 66080";+62-776-290-3934;2,29656E+15;66080;11;11;Maluku Utara, 24-01-1989;34;Menikah;laki-laki;sms or WA;1;3900000;8000000;19496;49;4
Sheri Clarke;"Jl. Veteran No. 5
Payakumbuh, Kepulauan Bangka Belitung 84710";+62 (976) 425-7687;9,11008E+15;84710;12;6;Nusa Tenggara Timur, 23-02-1993;30;Cerai mati;perempuan;sms or WA;9;22500000;58300000;66113;39;4
Andre Hawkins;"Gang Yos Sudarso No. 12
Padang, SU 40605";+62 (779) 009-5337;8,08226E+15;40605;1;3;Kepulauan Bangka Belitung, 29-03-1973;50;Cerai mati;perempuan;sms or WA;3;18200000;27800000;32372;65;1
Brian Mcdonald;"Jalan Lembong No. 97
Kotamobagu, Sulawesi Tenggara 18485";+62 (0075) 673-9364;3,40887E+15;18485;10;4;Nusa Tenggara Barat, 06-07-1969;54;Cerai mati;perempuan;sms or WA;17;38500000;169600000;169652;23;2
Rachel Smith;"Jl. Jakarta No. 470
Tomohon, YO 36062";+62 (023) 105-7831;2,27032E+15;36062;17;5;Gorontalo, 16-06-1999;24;Cerai mati;laki-laki;sms or WA;17;52100000;153600000;175935;34;3
Eric Chan;"Jl. Rajawali Timur No. 960
Surakarta, NT 52696";+62 (0608) 946 8286;6,08852E+15;52696;5;3;Kalimantan Barat, 16-05-1998;25;Cerai hidup;laki-laki;sms or WA;1;6900000;8600000;18650;80;1
Ashley Ponce;"Gg. Pelajar Pejuang No. 72
Surakarta, KU 42933";+62 (044) 620 5377;7,68169E+15;42933;6;18;Maluku Utara, 23-05-1966;57;Cerai mati;perempuan;sms or WA;7;16800000;17000000;42806;99;2
Tanya Ortiz;"Jl. Moch. Toha No. 76
Cimahi, Lampung 16612";+62 (169) 541-6616;7,65203E+15;16612;15;18;Bali, 27-09-1985;38;Belum menikah;laki-laki;sms or WA;4;28800000;31400000;36812;92;4
Ryan Perez;"Gg. Veteran No. 117
Pasuruan, Sulawesi Tengah 28523";+62 (239) 105 5875;6,37674E+15;28523;17;14;DKI Jakarta, 30-04-1961;62;Belum menikah;perempuan;sms or WA;12;15700000;52400000;84858;30;2
Jennifer Medina;"Gang Ahmad Yani No. 11
Ternate, KR 56213";+62 (0605) 209 9523;6,66286E+15;56213;13;7;Kalimantan Selatan, 28-11-1985;38;Belum menikah;laki-laki;sms or WA;13;71700000;122500000;109455;59;3
Kelsey Brown;"Jl. Pasteur No. 2
Tegal, Kalimantan Selatan 44096";+62 (030) 759-5619;9,47455E+15;44096;3;13;Nusa Tenggara Timur, 01-06-1989;34;Cerai hidup;perempuan;sms or WA;3;1800000;2300000;39860;78;0
Mrs. Cheryl Wright MD;"Jl. Abdul Muis No. 58
Langsa, JA 16222";+62 (61) 119-1452;7,13631E+15;16222;12;6;Bali, 29-03-1987;36;Cerai hidup;perempuan;sms or WA;15;12000000;14500000;116840;83;2
Richard Santiago;"Jalan Veteran No. 3
Bekasi, SS 52343";+62 (0514) 850-6833;6,86522E+15;52343;3;18;DKI Jakarta, 22-01-1990;33;Belum menikah;perempuan;sms or WA;1;900000;1200000;9053;75;4
Edwin Crosby;"Jl. Rajawali Barat No. 933
Tanjungbalai, GO 41567";+62 (069) 562-5300;7,16392E+15;41567;9;11;Papua Barat, 15-11-1964;59;Menikah;perempuan;sms or WA;10;39500000;64100000;57276;62;0
Matthew Mullins;"Jalan Rumah Sakit No. 45
Lhokseumawe, Kepulauan Bangka Belitung 35161";+62 (010) 473-3520;7,02494E+15;35161;12;13;Kalimantan Utara, 30-01-1986;37;Cerai mati;perempuan;sms or WA;14;40300000;131100000;110254;31;3
Cynthia Rodriguez DVM;"Jl. Cikutra Timur No. 69
Ternate, BT 83821";+62 (0960) 360-9448;2,09585E+15;83821;16;8;Kepulauan Bangka Belitung, 05-07-1997;26;Cerai hidup;laki-laki;sms or WA;9;9600000;31400000;51886;31;0
Monica Bright;"Gang Cikutra Barat No. 615
Payakumbuh, Nusa Tenggara Barat 14063";+62 (0556) 032 2575;4,78276E+15;14063;19;8;Kalimantan Tengah, 12-05-1979;44;Menikah;perempuan;sms or WA;19;30500000;44600000;153376;68;3
Bridget Campbell;"Jl. HOS. Cokroaminoto No. 1
Meulaboh, Maluku 04564";+62 (70) 603 6542;5,27458E+15;4564;13;19;Nusa Tenggara Barat, 03-08-1969;54;Menikah;perempuan;sms or WA;2;6100000;7900000;24874;77;4
Angela Woods;"Jl. Moch. Ramdan No. 02
Metro, Gorontalo 84926";+62-343-169-2032;3,40174E+15;84926;13;16;Jawa Timur, 13-04-1996;27;Belum menikah;laki-laki;sms or WA;13;81600000;108000000;92063;76;1
Amy Gibson;"Gg. Sadang Serang No. 29
Jambi, JB 53937";+62-0631-098-5004;1,83685E+15;53937;4;10;Sulawesi Selatan, 08-11-2000;23;Cerai hidup;perempuan;sms or WA;19;41900000;95400000;199415;44;2
Eric Love;"Gg. Kutisari Selatan No. 22
Ternate, JT 21887";+62-0082-491-4465;8,19798E+15;21887;2;7;Sulawesi Tengah, 22-03-1981;42;Cerai hidup;perempuan;sms or WA;7;30000000;47000000;64833;64;4
Stacy Austin;"Gg. Jend. Sudirman No. 09
Banjarbaru, DI Yogyakarta 06961";+62 (068) 563 5923;3,80045E+15;6961;9;9;Sulawesi Selatan, 18-11-2000;23;Belum menikah;perempuan;sms or WA;13;8900000;25600000;110229;35;0
Billy Kaiser;"Gg. Jamika No. 110
Semarang, KS 79086";+62-75-925-9569;9,54323E+15;79086;14;13;Aceh, 21-05-1973;50;Cerai hidup;laki-laki;sms or WA;10;4700000;22300000;55227;21;1
Caleb Pierce;"Gg. S. Parman No. 726
Kotamobagu, Jawa Tengah 01783";+62 (379) 928-6287;1,05966E+15;1783;11;20;Papua, 21-07-1999;24;Cerai hidup;perempuan;sms or WA;6;5600000;9200000;33971;61;4
Lisa Booth;"Gang Sukabumi No. 3
Batam, Sulawesi Selatan 74206";+62 (0150) 102-9360;3,82722E+15;74206;19;14;Kalimantan Timur, 16-03-1999;24;Menikah;laki-laki;sms or WA;11;15500000;77400000;104382;20;4
Joe Lowery;"Jl. Pelajar Pejuang No. 97
Kotamobagu, LA 13025";+62 (034) 026-9784;8,94608E+15;13025;8;10;Sulawesi Selatan, 21-09-1990;33;Cerai hidup;laki-laki;sms or WA;8;19400000;46200000;70253;42;1
George Thomas;"Gg. Sukajadi No. 82
Surakarta, Sulawesi Tengah 71653";+62-805-269-3010;8,58098E+15;71653;18;8;Papua Barat, 17-10-1982;41;Cerai hidup;perempuan;sms or WA;15;76500000;78700000;148085;97;3
Bobby Chen DDS;"Gang Veteran No. 252
Depok, DKI Jakarta 60572";+62 (039) 456 5421;9,21621E+15;60572;20;18;Gorontalo, 02-10-1968;55;Menikah;perempuan;sms or WA;18;122200000;176600000;147573;69;1
Alex Garcia;"Jl. H.J Maemunah No. 8
Binjai, SN 24883";+62 (0599) 019 3142;6,95375E+15;24883;8;13;Nusa Tenggara Barat, 29-03-1990;33;Cerai hidup;perempuan;sms or WA;10;8000000;21300000;89384;38;1
Dr. Lisa Armstrong;"Gang Tubagus Ismail No. 45
Kota Administrasi Jakarta Selatan, Kalimantan Utara 69821";+62-916-802-1713;9,51792E+15;69821;1;15;Sumatera Utara, 09-06-1990;33;Cerai hidup;laki-laki;sms or WA;9;76400000;81700000;79350;94;2
Teresa Lopez;"Jl. Ahmad Yani No. 23
Sukabumi, Sulawesi Utara 66992";+62 (0700) 551 3459;7,09938E+15;66992;14;16;Kepulauan Riau, 02-04-1974;49;Menikah;perempuan;sms or WA;12;23800000;78600000;78503;30;2
Gabrielle Ryan;"Gg. Kendalsari No. 2
Tidore Kepulauan, Kepulauan Bangka Belitung 70162";+62-23-185-4398;5,65117E+15;70162;2;7;Banten, 15-10-1967;56;Menikah;laki-laki;sms or WA;13;6100000;7600000;139708;80;1
William Vang;"Gang H.J Maemunah No. 49
Cirebon, BE 24080";+62 (864) 843-9230;1,28117E+15;24080;6;12;Sumatera Selatan, 08-05-1976;47;Cerai mati;laki-laki;sms or WA;12;32100000;32600000;122566;98;4
Joshua Little;"Jl. Tubagus Ismail No. 433
Mojokerto, Kalimantan Tengah 58797";+62-0372-226-9040;8,46746E+15;58797;15;18;Sumatera Selatan, 09-03-1969;54;Cerai mati;perempuan;sms or WA;16;78600000;120200000;81004;65;1
Anthony Williams;"Gg. Rajawali Barat No. 449
Pekalongan, Lampung 43852";+62 (69) 506 8767;7,41732E+15;43852;15;10;Sumatera Barat, 24-09-1978;45;Cerai mati;laki-laki;sms or WA;9;13100000;14300000;47153;92;1
Michelle Hill;"Gg. Kutisari Selatan No. 22
Tasikmalaya, BT 12374";+62 (04) 223 3165;8,47858E+15;12374;18;8;Maluku Utara, 11-04-1994;29;Cerai hidup;perempuan;sms or WA;10;33200000;53400000;107516;62;1
Joshua Arias;"Jl. Lembong No. 517
Jambi, Jawa Tengah 96597";+62 (326) 021-5314;5,93286E+15;96597;2;17;Maluku, 17-10-1986;37;Belum menikah;perempuan;sms or WA;2;5600000;7000000;16480;80;3
Alan Roach;"Jl. Setiabudhi No. 3
Makassar, Nusa Tenggara Timur 53223";+62 (099) 996-2292;4,87901E+15;53223;18;5;Jawa Tengah, 10-10-1986;37;Cerai mati;laki-laki;sms or WA;4;10300000;29200000;49061;35;0
Kevin Williams;"Gg. K.H. Wahid Hasyim No. 3
Serang, KR 86012";+62 (0394) 283 6416;9,27494E+15;86012;6;4;Riau, 29-04-1970;53;Belum menikah;laki-laki;sms or WA;9;4000000;11400000;96687;35;4
Gabrielle Martinez;"Gg. Asia Afrika No. 45
Palangkaraya, Kalimantan Timur 24200";+62 (095) 494 9689;7,35238E+15;24200;12;20;Kepulauan Bangka Belitung, 16-12-1960;63;Belum menikah;laki-laki;sms or WA;4;9900000;10900000;33923;91;0
Vincent Daniel;"Gang Medokan Ayu No. 3
Tangerang, Riau 07639";+62 (0661) 018-2441;8,84969E+15;7639;2;13;Sulawesi Barat, 01-01-1966;57;Belum menikah;laki-laki;sms or WA;13;64400000;75100000;127680;86;4
Christine Wells;"Jalan Dr. Djunjunan No. 26
Prabumulih, Papua Barat 02314";+62 (365) 832-4660;9,6363E+15;2314;17;19;Aceh, 23-10-1982;41;Cerai mati;laki-laki;sms or WA;5;25200000;37000000;36310;68;4
Mary Williams;"Gg. Raya Setiabudhi No. 61
Palangkaraya, NB 25857";+62 (99) 798 1159;9,8133E+15;25857;4;6;Nusa Tenggara Barat, 26-12-1972;51;Cerai hidup;perempuan;sms or WA;1;700000;5100000;13746;14;0
Corey Arnold;"Jalan Pasir Koja No. 773
Kupang, KB 30537";+62-49-028-3346;7,09364E+15;30537;1;13;Nusa Tenggara Timur, 27-09-1972;51;Menikah;laki-laki;sms or WA;19;74000000;173700000;105136;43;2
Mrs. Gabriella Joyce;"Gg. Tebet Barat Dalam No. 30
Salatiga, Sulawesi Barat 53809";+62 (012) 002 0456;4,44166E+15;53809;18;9;Banten, 23-09-1976;47;Belum menikah;laki-laki;sms or WA;1;2000000;7600000;15242;26;3
Gina Bailey;"Gang Setiabudhi No. 8
Kota Administrasi Jakarta Timur, Sumatera Selatan 18437";+62 (024) 137 1201;7,17468E+15;18437;19;11;Kalimantan Tengah, 19-11-1990;33;Cerai hidup;perempuan;sms or WA;4;29300000;35700000;32772;82;3
Renee Hamilton;"Gang HOS. Cokroaminoto No. 3
Sorong, SN 03348";+62 (94) 149 9589;6,17642E+15;3348;4;7;Sulawesi Selatan, 10-02-1964;59;Menikah;perempuan;sms or WA;9;29500000;70300000;60258;42;4
Paul Pollard;"Gang Ir. H. Djuanda No. 0
Sorong, KI 69836";+62 (539) 089 4387;9,71605E+15;69836;5;2;Nusa Tenggara Timur, 09-12-1988;35;Belum menikah;laki-laki;sms or WA;11;12200000;15600000;62020;78;4
Jill Clayton;"Jalan Jayawijaya No. 7
Palangkaraya, Bengkulu 74284";+62 (39) 288-0284;9,15452E+15;74284;13;11;Maluku, 22-11-1994;29;Belum menikah;laki-laki;sms or WA;18;26900000;102500000;141940;26;0
Alexandra Russell;"Gg. Sukabumi No. 65
Ternate, BA 68361";+62 (0519) 719 0362;5,79207E+15;68361;20;17;Maluku, 29-07-1977;46;Menikah;laki-laki;sms or WA;4;13400000;20500000;34950;65;2
Matthew Sullivan;"Gg. Rumah Sakit No. 779
Probolinggo, BT 84344";+62 (027) 471 0998;6,14226E+15;84344;10;11;Kalimantan Barat, 26-11-1985;38;Cerai mati;perempuan;sms or WA;1;3900000;3900000;13383;100;0
Courtney Gordon;"Jl. Gardujati No. 591
Palu, Sulawesi Utara 44757";+62 (21) 942 7829;5,81813E+15;44757;14;19;Gorontalo, 08-12-1987;36;Belum menikah;laki-laki;sms or WA;9;18700000;73700000;91362;25;1
Sharon Fitzgerald;"Gg. Otto Iskandardinata No. 8
Ternate, Kalimantan Barat 55227";+62 (0829) 580-0771;8,75847E+15;55227;18;15;Papua, 25-05-1968;55;Cerai hidup;perempuan;sms or WA;15;20100000;45400000;125413;44;2
Sarah Bates;"Gang Cikapayang No. 393
Pekalongan, Jambi 45867";+62 (30) 704-0335;9,6289E+15;45867;19;5;Jawa Tengah, 07-10-1986;37;Belum menikah;perempuan;sms or WA;11;87600000;107800000;88236;81;2
Jose Sanchez;"Jl. Ahmad Dahlan No. 705
Gorontalo, Nusa Tenggara Barat 80746";+62 (21) 712 8320;4,31006E+15;80746;11;4;Papua Barat, 18-11-1974;49;Cerai mati;laki-laki;sms or WA;7;29800000;63600000;42723;47;0
Michael Walker;"Gg. Erlangga No. 352
Meulaboh, Sulawesi Barat 91790";+62 (88) 844 1481;5,67053E+15;91790;7;18;Sumatera Selatan, 26-11-1988;35;Cerai hidup;perempuan;sms or WA;7;21200000;41200000;50086;51;3
Natasha Ward;"Jalan Sadang Serang No. 9
Bima, ST 47185";+62-61-192-6856;4,42052E+15;47185;19;5;Sulawesi Barat, 19-12-1977;46;Menikah;perempuan;sms or WA;5;4700000;16600000;34524;28;4
Brian Oneal;"Gg. Rajawali Timur No. 382
Samarinda, Sulawesi Utara 76190";+62 (018) 048 0521;9,35988E+15;76190;13;18;Jawa Tengah, 15-02-1983;40;Cerai mati;laki-laki;sms or WA;14;12000000;36100000;95667;33;0
Cynthia Smith;"Gg. Lembong No. 15
Palu, Sulawesi Tenggara 95010";+62 (01) 593-4867;8,21994E+15;95010;18;20;Kalimantan Barat, 11-08-1983;40;Belum menikah;perempuan;sms or WA;13;77400000;126500000;138110;61;2
Wanda Miranda;"Gg. KH Amin Jasuta No. 1
Palembang, KR 92175";+62-406-492-4839;7,39737E+15;92175;5;8;Jawa Tengah, 14-08-1988;35;Cerai hidup;laki-laki;sms or WA;12;58100000;83100000;79555;70;2
Jacob Ryan;"Gang M.H Thamrin No. 517
Bengkulu, JK 03675";+62-0027-181-9010;3,49244E+15;3675;8;7;Maluku, 11-01-1974;49;Menikah;laki-laki;sms or WA;8;9100000;13300000;87519;68;2
Stephanie Foster;"Jl. Jakarta No. 9
Kota Administrasi Jakarta Selatan, Riau 54837";+62 (17) 406 8373;1,57588E+15;54837;6;16;Jawa Tengah, 18-07-1993;30;Belum menikah;perempuan;sms or WA;11;8800000;29800000;112202;30;3
Stephanie Nichols;"Jl. Siliwangi No. 628
Pangkalpinang, Riau 29931";+62 (672) 037 5879;3,03536E+15;29931;7;10;Sulawesi Tengah, 23-01-1967;56;Menikah;perempuan;sms or WA;7;10000000;22200000;77887;45;1
Kenneth Johnson;"Jl. Pasir Koja No. 305
Kota Administrasi Jakarta Pusat, BB 02386";+62 (06) 460 1159;5,31688E+15;2386;11;16;Banten, 02-12-1998;25;Belum menikah;perempuan;sms or WA;9;35900000;74000000;57576;49;2
Zachary Ortiz;"Gg. Kendalsari No. 379
Singkawang, MU 22796";+62-336-719-6150;1,54092E+15;22796;4;20;Kalimantan Barat, 21-08-1988;35;Cerai mati;perempuan;sms or WA;16;13100000;149400000;91408;9;3
Richard Green MD;"Gg. Gegerkalong Hilir No. 42
Bau-Bau, Sulawesi Selatan 50580";+62 (060) 809 3898;5,23024E+15;50580;8;3;Sumatera Barat, 06-10-1973;50;Cerai hidup;laki-laki;sms or WA;19;29500000;113500000;135961;26;3
David Peck;"Jalan Kapten Muslihat No. 255
Kota Administrasi Jakarta Barat, Sulawesi Barat 42743";+62 (016) 980 5295;2,50189E+15;42743;10;6;Kalimantan Selatan, 28-09-2000;23;Menikah;perempuan;sms or WA;18;25300000;30800000;141505;82;3
Paul Carroll;"Gang Ir. H. Djuanda No. 0
Surakarta, Papua 29009";+62 (519) 920 2152;4,91031E+15;29009;4;12;Aceh, 04-05-1966;57;Cerai mati;perempuan;sms or WA;9;22900000;27900000;71758;82;1
Christine Burns;"Jalan Otto Iskandardinata No. 184
Kotamobagu, KR 79192";+62 (269) 294 7300;4,16759E+15;79192;16;9;Sumatera Barat, 24-05-1974;49;Menikah;laki-laki;sms or WA;11;25300000;68900000;76431;37;4
Kimberly Warner;"Gang Rajiman No. 733
Mojokerto, JK 63037";+62 (53) 381-3790;8,03201E+15;63037;14;2;Bali, 08-11-1985;38;Cerai mati;perempuan;sms or WA;6;47400000;53800000;63013;88;2
Deborah Watson;"Gang Dipatiukur No. 967
Palangkaraya, AC 19195";+62-672-762-1060;9,95266E+15;19195;1;16;Sumatera Barat, 11-11-2000;23;Belum menikah;perempuan;sms or WA;2;4300000;10000000;14140;43;1
Sydney Farley;"Gg. Dipatiukur No. 03
Langsa, Sulawesi Utara 43292";+62 (051) 022-3545;6,61016E+15;43292;13;18;Sulawesi Tengah, 28-01-1970;53;Cerai hidup;laki-laki;sms or WA;8;5900000;31900000;66727;18;4
Brandon Mcgee;"Jl. Siliwangi No. 977
Bontang, ST 65193";+62 (098) 666-8417;3,53733E+15;65193;8;18;Bengkulu, 26-04-1969;54;Menikah;laki-laki;sms or WA;4;4500000;32500000;38312;14;4
Jennifer Robbins;"Jl. Joyoboyo No. 2
Gorontalo, Jambi 56349";+62 (803) 528 7504;4,1887E+15;56349;17;20;Kalimantan Selatan, 29-11-1985;38;Cerai mati;laki-laki;sms or WA;13;38100000;110700000;137716;34;0
Ryan Lee;"Gang R.E Martadinata No. 5
Tangerang Selatan, SN 51236";+62 (051) 751-3094;9,93759E+15;51236;16;7;Bali, 12-08-1983;40;Menikah;perempuan;sms or WA;6;9400000;48500000;40404;19;4
William Hawkins;"Jalan W.R. Supratman No. 97
Pekalongan, KI 51914";+62 (85) 211 3328;9,2916E+15;51914;17;7;Jawa Barat, 21-06-1982;41;Cerai mati;laki-laki;sms or WA;6;5700000;23400000;37941;24;0
Brett Martinez;"Gg. Waringin No. 585
Makassar, Kepulauan Riau 53533";+62-20-974-2420;1,40717E+15;53533;10;2;Kalimantan Selatan, 10-04-1968;55;Belum menikah;perempuan;sms or WA;4;30900000;34800000;43068;89;1
Leroy Martinez;"Gg. Pacuan Kuda No. 6
Malang, SS 29588";+62 (050) 285 7973;8,04615E+15;29588;13;14;Jawa Barat, 12-04-1960;63;Cerai hidup;laki-laki;sms or WA;10;9900000;42200000;80525;23;2
Rachel Saunders;"Gang Surapati No. 1
Depok, NB 59047";+62 (70) 308-4714;8,36121E+15;59047;17;15;Banten, 23-09-1979;44;Cerai hidup;perempuan;sms or WA;13;30800000;33800000;108861;91;2
Brittany Huber;"Gang Jakarta No. 307
Pagaralam, Maluku Utara 90280";+62 (0092) 215 5278;3,92712E+15;90280;1;10;Sumatera Barat, 04-09-1963;60;Menikah;laki-laki;sms or WA;12;29200000;70400000;60195;41;3
Natasha Miller;"Gang Jend. A. Yani No. 406
Langsa, Jambi 18664";+62-005-294-2527;7,14675E+15;18664;13;1;Papua, 13-01-1999;24;Menikah;laki-laki;sms or WA;19;45100000;78100000;165038;58;1
Jessica Chang;"Jalan Rumah Sakit No. 82
Kupang, SR 64104";+62 (339) 860 4308;3,98549E+15;64104;11;16;Sulawesi Selatan, 07-11-1997;26;Cerai mati;laki-laki;sms or WA;16;11100000;87900000;126243;13;2
Steven Ryan;"Gg. Rungkut Industri No. 6
Kota Administrasi Jakarta Utara, AC 43482";+62-0495-700-6945;1,77996E+15;43482;3;1;Jawa Barat, 10-08-1967;56;Belum menikah;perempuan;sms or WA;10;20500000;70200000;64450;29;2
Michael Smith;"Gang Cikutra Barat No. 95
Bontang, Jawa Tengah 12389";+62 (31) 792 7563;1,78639E+15;12389;19;16;Bengkulu, 03-12-1975;48;Menikah;laki-laki;sms or WA;18;54700000;137200000;150251;40;4
Joshua Lopez;"Gg. Dipatiukur No. 42
Bukittinggi, JK 14036";+62 (112) 856 8848;7,83098E+15;14036;10;8;Lampung, 05-07-1984;39;Belum menikah;perempuan;sms or WA;11;6700000;10200000;108165;66;3
Katherine Garcia;"Jalan Laswi No. 229
Padang Sidempuan, KI 88066";+62 (46) 086-4828;5,96333E+15;88066;10;5;Sumatera Utara, 15-10-1983;40;Cerai hidup;laki-laki;sms or WA;10;32000000;59300000;57606;54;1
Heather Guerra;"Gang Jakarta No. 5
Tomohon, Nusa Tenggara Timur 54501";+62 (099) 190-8555;6,06591E+15;54501;19;15;Sumatera Selatan, 05-06-1968;55;Cerai mati;laki-laki;sms or WA;2;3900000;6300000;19748;62;1
Nicholas Brooks;"Jl. PHH. Mustofa No. 348
Pariaman, YO 31724";+62-059-019-2470;4,83885E+15;31724;20;16;Jambi, 30-12-1967;56;Menikah;perempuan;sms or WA;11;8500000;12900000;92193;66;3
Robert Gamble;"Gg. H.J Maemunah No. 2
Pasuruan, Maluku 94815";+62-46-868-4923;6,81726E+15;94815;13;19;Sulawesi Tengah, 10-12-1961;62;Cerai hidup;perempuan;sms or WA;5;13100000;30900000;43762;42;3
William Barr;"Jl. S. Parman No. 9
Pontianak, Lampung 98346";+62-0920-844-3341;1,47639E+15;98346;17;9;DKI Jakarta, 30-04-1985;38;Cerai hidup;laki-laki;sms or WA;5;14700000;36200000;53904;41;0
Kyle Brown;"Gg. Pelajar Pejuang No. 5
Banjarbaru, SN 95727";+62 (074) 287-2262;9,27701E+15;95727;19;4;Kalimantan Utara, 21-02-1983;40;Belum menikah;perempuan;sms or WA;19;20300000;71300000;106358;28;4
Lindsay Cook;"Jalan Erlangga No. 568
Probolinggo, KB 02377";+62 (0645) 327-8727;7,88617E+15;2377;7;5;Papua Barat, 03-09-1994;29;Menikah;perempuan;sms or WA;3;2400000;3700000;15765;65;4
Ronald Cannon;"Gg. Sukajadi No. 08
Cilegon, Kepulauan Riau 93339";+62-0707-937-4297;2,44333E+15;93339;14;10;Kalimantan Barat, 05-09-1975;48;Menikah;laki-laki;sms or WA;14;106400000;124600000;116152;85;4
