debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_education_level,debtor_address,debtor_latitude,debtor_longitude,debtor_zip,debtor_rt,debtor_rw,employment_status,debtor_working_day,debtor_working_time,tenor,best_time_to_bill
6.90341E+15,Humaira Mandala,laki-laki,"Lampung, 08-02-1994",29,S2,"Hutan, Blitar, Jawa Timur, Indonesia",-7.953785852,112.2958479,6619,11,4,Part-time,Senin-Jumat,Pagi-Siang,358,Sore
6.08837E+15,Natalia Padmasari,perempuan,"Banten, 22-09-1974",49,S1,"Kujang, Tasikmalaya, Jawa Barat, Indonesia",-7.732363745,108.1448207,5195,6,16,Part-time,Senin-Jumat,Malam-Pagi,131,Pagi
1.13167E+15,"Dt. Panji Sirait, S.Pd",perempuan,"Jawa Tengah, 09-08-1980",43,S2,"Jawa Barat, Jawa, Indonesia",-7.654648437,106.9364881,2343,6,15,Employed,Senin-Jumat,Pagi-Sore,100,Malam
2.17476E+15,Yance Wastuti,laki-laki,"Sumatera Selatan, 17-08-1979",44,S1,"Jawa Barat, Jawa, Indonesia",-7.929008707,108.2900374,70037,8,18,Employed,Senin-Minggu,Pagi-Sore,21,Malam
7.77888E+15,Kacung Nasyidah,laki-laki,"Bali, 24-09-1978",45,SMA,"Kandangsapi, Sragen, Jawa Tengah, Jawa, Indonesia",-7.331067276,111.1324606,76479,3,3,Full-time,Senin-Jumat,Pagi-Sore,337,Malam
6.25672E+15,Cinta Saefullah,perempuan,"Sulawesi Tengah, 10-09-1987",36,D4,"Bodeh, Pemalang, Jawa Tengah, Jawa, Indonesia",-6.96018358,109.5002668,89737,20,19,Self-Employed,Senin-Jumat,Siang-Sore,101,Pagi
9.33087E+15,"Gasti Gunawan, M.TI.",laki-laki,"Gorontalo, 27-11-1968",55,SMA,"Jawa Barat, Jawa, Indonesia",-7.767127698,107.4544379,3928,4,10,Full-time,Senin-Jumat,Sore-Malam,202,Siang
6.19905E+15,"Puti Keisha Laksmiwati, M.M.",laki-laki,"DI Yogyakarta, 14-03-1964",59,S2,"Sukahurip, Pangandaran, Jawa Barat, 46396, Indonesia",-7.651374931,108.6685108,4570,7,16,Full-time,Sabtu-Minggu,Malam-Pagi,103,Siang
5.91478E+15,R.M. Purwadi Sirait,laki-laki,"Sulawesi Tengah, 10-04-1979",44,SMA,"Jajar, Magetan, Jawa Timur, Indonesia",-7.523624575,111.4814178,94704,5,6,Full-time,Senin-Jumat,Pagi-Malam,52,Sore
6.96449E+15,Rachel Namaga,perempuan,"Jambi, 05-04-1995",28,S2,"Kawalimukti, Ciamis, Jawa Barat, Jawa, Indonesia",-7.172225468,108.3684568,24237,13,9,Full-time,Senin-Jumat,Siang-Sore,306,Pagi
4.54491E+15,Vera Wibowo,perempuan,"Kalimantan Barat, 13-12-1966",57,SMA,"Sirnagalih, Garut, Jawa Barat, Indonesia",-7.276872111,107.8024155,40335,8,14,Employed,Senin-Jumat,Malam-Pagi,245,Pagi
3.1793E+15,Tgk. Malika Maheswara,perempuan,"Jawa Timur, 22-05-1990",33,S1,"Grabag, Purworejo, Jawa Tengah, Jawa, Indonesia",-7.886847671,109.9080505,94584,14,14,Full-time,Senin-Jumat,Siang-Malam,276,Pagi
3.69431E+15,Cakrawala Suwarno,laki-laki,"Jambi, 04-02-1964",59,S2,"Ciseureuh, Brebes, Jawa Tengah, Jawa, Indonesia",-7.104177298,108.8435081,73692,20,13,Full-time,Senin-Jumat,Pagi-Sore,344,Malam
4.40257E+15,Dina Iswahyudi,laki-laki,"Kepulauan Riau, 19-05-1976",47,S2,"Jalan Lintas Jabar Selatan, Jayagiri, Cianjur, Jawa Barat, Jawa, Indonesia",-7.47990335,107.1964665,9462,12,11,Retired,,,292,Siang
6.87841E+15,Hilda Hutapea,laki-laki,"Sumatera Selatan, 27-10-1979",44,S3,"Sidoharjo, Kebumen, Jawa Tengah, Jawa, Indonesia",-7.790895437,109.5588786,17381,3,9,Employed,Senin-Minggu,Pagi-Sore,206,Malam
6.56273E+15,"Cut Nilam Simbolon, S.H.",perempuan,"Jawa Timur, 04-07-1969",54,S2,"Jawa Timur, Jawa, Indonesia",-6.690668148,111.794819,96498,17,20,Self-Employed,Senin-Jumat,Siang-Sore,236,Pagi
9.5106E+15,Galur Tarihoran,perempuan,"DKI Jakarta, 15-06-1988",35,S2,"Trayu, Boyolali, Jawa Tengah, Jawa, 57373, Indonesia",-7.526476347,110.69123,21852,6,2,Employed,Senin-Minggu,Pagi-Malam,260,Sore
8.96763E+15,Eli Namaga,perempuan,"Gorontalo, 06-10-1984",39,SMA,"Cipendawa, Cianjur, Jawa Barat, 43253, Indonesia",-6.762291728,107.0279636,76602,7,11,Self-Employed,Senin-Minggu,Pagi-Sore,185,Malam
4.08951E+15,"Respati Firmansyah, S.H.",perempuan,"Sumatera Utara, 07-10-1999",24,SMA,"Wedoro, Bojonegoro, Jawa Timur, Indonesia",-7.354710633,111.9897213,59829,17,17,Full-time,Senin-Jumat,Pagi-Sore,264,Malam
9.78636E+15,Kartika Wastuti,laki-laki,"Kalimantan Tengah, 29-03-1978",45,SMA,"Padaluyu, Cianjur, Jawa Barat, Indonesia",-7.363492949,107.2288002,5216,1,2,Self-Employed,Senin-Jumat,Siang-Malam,342,Pagi
7.31888E+15,Kani Sinaga,laki-laki,"Nusa Tenggara Timur, 24-01-1983",40,D3,"Jawa Timur, Indonesia",-7.296874539,111.2040514,30516,1,10,Employed,Senin-Minggu,Sore-Malam,319,Siang
5.3719E+15,"Daliono Puspasari, S.T.",laki-laki,"Papua Barat, 28-11-1975",48,S3,"Malang, Purworejo, Jawa Tengah, Jawa, Indonesia",-7.8652405,109.9350111,53172,15,15,Employed,Senin-Minggu,Pagi-Siang,203,Sore
8.26555E+15,Ir. Gaman Gunawan,laki-laki,"Maluku Utara, 12-01-1968",55,S1,"Jawa Tengah, Jawa, Indonesia",-6.424436326,111.6516149,65373,19,12,Full-time,Senin-Jumat,Pagi-Siang,92,Sore
6.45481E+15,Tgk. Amelia Hardiansyah,perempuan,"Banten, 01-01-1963",60,S1,"Bringinwareng, Pati, Jawa Tengah, Jawa, 59114, Indonesia",-6.785202507,111.0790199,18359,5,19,Part-time,Senin-Jumat,Siang-Sore,70,Pagi
9.2529E+15,Kamila Marpaung,laki-laki,"Papua, 17-08-1973",50,S1,"Emplak, Pangandaran, Jawa Barat, Indonesia",-7.696679307,108.7257699,56465,1,19,Full-time,Senin-Jumat,Pagi-Siang,255,Sore
7.51965E+15,Bahuraksa Rahimah,laki-laki,"Bengkulu, 05-02-1964",59,SMP,"Santanamekar, Tasikmalaya, Jawa Barat, Indonesia",-7.251291066,108.0915645,82560,9,13,Full-time,Senin-Jumat,Pagi-Sore,240,Malam
2.4364E+15,"T. Damu Putra, S.Pt",perempuan,"Jawa Tengah, 08-10-1997",26,SMP,"Sukahurip, Garut, Jawa Barat, 44171, Indonesia",-7.322711016,107.8045267,13831,17,8,Full-time,Senin-Jumat,Siang-Sore,323,Pagi
1.57852E+15,"Dt. Bancar Laksita, S.I.Kom",perempuan,"Kalimantan Barat, 18-03-1977",46,D3,"Jawa Tengah, Jawa, Indonesia",-6.311134901,109.266346,90147,16,15,Self-Employed,Senin-Jumat,Pagi-Sore,252,Malam
6.12055E+15,"H. Prabowo Puspita, S.IP",perempuan,"Papua, 30-05-1996",27,S1,"Sedayu, Grobogan, Jawa Tengah, Jawa, Indonesia",-6.978145784,110.9676896,19472,11,1,Part-time,Senin-Jumat,Pagi-Siang,268,Malam
5.98435E+15,Salimah Tarihoran,perempuan,"Sulawesi Barat, 07-06-1991",32,S3,"Jawa Barat, Jawa, Indonesia",-7.642642373,106.6406125,78283,17,8,Self-Employed,Senin-Jumat,Siang-Malam,323,Pagi
6.51278E+15,"Jarwa Suartini, S.T.",laki-laki,"Kalimantan Tengah, 30-06-1989",34,S1,"Tambakmulyo, Kebumen, Jawa Tengah, Jawa, Indonesia",-7.78776284,109.4824656,60077,20,6,Full-time,Senin-Jumat,Pagi-Sore,37,Malam
2.1351E+15,Kenari Uyainah,perempuan,"Sulawesi Tenggara, 22-09-1996",27,SMP,"Wunut, Purworejo, Jawa Tengah, Jawa, 54172, Indonesia",-7.811367225,109.9374672,5689,13,12,Part-time,Senin-Jumat,Malam-Pagi,315,Pagi
8.33522E+15,Zalindra Mustofa,laki-laki,"Nusa Tenggara Barat, 01-06-1994",29,SMA,"Jawa Tengah, Jawa, Indonesia",-6.443800738,110.0561247,8164,15,19,Full-time,Senin-Minggu,Pagi-Siang,296,Sore
4.26814E+15,dr. Jaga Santoso,perempuan,"Kalimantan Selatan, 10-08-1989",34,S2,"Jayapura, Tasikmalaya, Jawa Barat, Jawa, 46471, Indonesia",-7.329756348,108.0011993,27778,4,11,Self-Employed,Senin-Jumat,Pagi-Sore,279,Malam
2.1233E+15,"Lanang Habibi, S.Pd",perempuan,"Sulawesi Tenggara, 21-06-1965",58,SMA,"Jawa Barat, Jawa, Indonesia",-7.855815634,108.1264246,30138,12,10,Employed,Senin-Jumat,Siang-Malam,103,Pagi
7.07892E+15,"Garang Sitompul, S.I.Kom",perempuan,"Jambi, 03-05-1974",49,SMA,"Jawa Barat, Jawa, Indonesia",-7.520949856,106.4631623,40722,8,1,Full-time,Senin-Minggu,Pagi-Sore,134,Malam
5.81659E+15,Tgk. Siska Saputra,perempuan,"Sumatera Selatan, 27-02-1986",37,S1,"Setu, Bogor, Jawa Barat, Indonesia",-6.461212698,106.4929713,20196,11,20,Part-time,Senin-Jumat,Pagi-Siang,92,Sore
4.5093E+15,Among Sihotang,laki-laki,"Papua, 21-03-1962",61,SMP,"Kedungwaras, Lamongan, Jawa Timur, Indonesia",-7.188143768,112.1393714,8669,11,12,Self-Employed,Senin-Jumat,Pagi-Sore,272,Malam
7.21987E+15,"Hartana Suryono, S.Gz",perempuan,"Jambi, 06-09-1967",56,S2,"Sirnaraja, Bandung Barat, Jawa Barat, Indonesia",-6.779643614,107.3978204,95603,14,3,Full-time,Senin-Jumat,Pagi-Sore,162,Malam
1.02562E+15,Kania Haryanti,perempuan,"DI Yogyakarta, 16-04-1992",31,SMA,"Jalan Sarbini, Madureso, Temanggung, Jawa Tengah, Jawa, 56271, Indonesia",-7.332792686,110.1969891,21935,10,10,Full-time,Senin-Jumat,Siang-Sore,249,Pagi
7.9756E+15,"Joko Tampubolon, S.Psi",laki-laki,"Sulawesi Barat, 09-07-1988",35,S2,"Sengon, Ngambon, Bojonegoro, Jawa Timur, Jawa, Indonesia",-7.331985509,111.7183423,92214,11,8,Full-time,Senin-Jumat,Pagi-Siang,131,Sore
6.38518E+15,Tina Suartini,perempuan,"Kalimantan Barat, 30-07-1969",54,D4,"Padabeunghar, Jawa Barat, 45652, Indonesia",-6.800614216,108.4231353,58925,16,6,Part-time,Senin-Minggu,Malam-Pagi,32,Pagi
8.60362E+15,Ir. Ida Wibisono,perempuan,"Kalimantan Tengah, 11-08-1997",26,S2,"Kumbung, Majalengka, Jawa Barat, 45471, Indonesia",-6.790936145,108.339139,53252,17,15,Employed,Senin-Jumat,Pagi-Sore,82,Malam
5.8031E+15,Soleh Mustofa,perempuan,"Aceh, 03-05-1980",43,D4,"Ngablak, Nganjungganjung, Boyolali, Jawa Tengah, Jawa, 57382, Indonesia",-7.317017604,110.6224915,25444,15,13,Employed,Senin-Jumat,Sore-Malam,235,Siang
7.40619E+15,"Yessi Thamrin, S.E.",laki-laki,"Papua Barat, 17-06-1996",27,S1,"Garut, Jawa Barat, 44171, Indonesia",-7.339368208,107.8486284,13288,6,11,Part-time,Senin-Jumat,Siang-Sore,172,Malam
8.31621E+15,Mustofa Palastri,laki-laki,"Kalimantan Utara, 05-03-1970",53,SMA,"Cikiara, Tasikmalaya, Jawa Barat, Indonesia",-7.434155324,108.1082591,54833,11,7,Employed,Senin-Jumat,Pagi-Siang,156,Sore
5.03705E+15,"Hilda Widiastuti, S.Pt",perempuan,"Kepulauan Bangka Belitung, 17-11-1992",31,D3,"Jawa Barat, Jawa, Indonesia",-7.604937856,107.1669016,97413,13,12,Retired,,,226,Siang
7.98482E+15,Ibrahim Firmansyah,laki-laki,"Jawa Timur, 08-06-1994",29,D4,"Naluk, Sumedang, Jawa Barat, 45321, Indonesia",-6.772883469,107.9201007,75263,17,7,Full-time,Senin-Minggu,Siang-Malam,105,Pagi
6.35033E+15,Sabrina Zulaika,perempuan,"Gorontalo, 19-09-1966",57,D3,"Jawa Tengah, Jawa, Indonesia",-6.328505001,111.4571446,91291,6,17,Self-Employed,Senin-Jumat,Pagi-Sore,70,Malam
5.74268E+15,Salimah Lestari,laki-laki,"Sulawesi Tengah, 22-08-1990",33,SMA,"Jawa Barat, Jawa, Indonesia",-7.814356533,107.9257563,87368,13,7,Full-time,Senin-Jumat,Pagi-Sore,17,Malam
5.48985E+15,Salsabila Nababan,perempuan,"Aceh, 22-07-1996",27,S1,"Jalan Raya Kudus - Purwodadi, Sambung, Wandankemiri, Grobogan, Jawa Tengah, Jawa, 58162, Indonesia",-6.95495723,110.7741882,64970,7,13,Employed,Senin-Jumat,Pagi-Sore,270,Malam
3.32743E+15,Yuni Sihombing,laki-laki,"Sumatera Barat, 21-10-1976",47,S1,"KEPUNDUHAN CIPADUNG, Tasikmalaya, Jawa Barat, 46473, Indonesia",-7.505185457,108.1127087,73252,12,18,Employed,Senin-Jumat,Siang-Sore,63,Malam
4.48514E+15,Eka Marbun,perempuan,"Kepulauan Riau, 16-11-1969",54,D3,"Crabak, Ponorogo, Jawa Timur, Indonesia",-7.992550327,111.4338723,41144,10,3,Employed,Senin-Jumat,Pagi-Sore,263,Malam
7.0779E+15,Jagaraga Hardiansyah,perempuan,"Bengkulu, 14-07-1981",42,S1,"Kemangen, Banyumanis, Jepara, Jawa Tengah, Jawa, 59454, Indonesia",-6.436195544,110.9025688,82534,17,17,Self-Employed,Senin-Jumat,Pagi-Siang,161,Sore
8.39354E+15,Danuja Tampubolon,laki-laki,"Sulawesi Selatan, 17-09-1983",40,D3,"Sumberbendo, Madiun, Jawa Timur, 63155, Indonesia",-7.471808,111.7190961,9295,14,10,Self-Employed,Senin-Minggu,Malam-Pagi,211,Siang
2.29742E+15,Zulaikha Wahyudin,laki-laki,"Jawa Tengah, 22-04-1965",58,S1,"Ngiyono, Blora, Jawa Tengah, Jawa, Indonesia",-6.880514957,111.3188247,55404,11,1,Full-time,Senin-Jumat,Malam-Pagi,65,Pagi
3.48664E+15,Kenes Lestari,laki-laki,"Maluku, 03-09-1979",44,S1,"Tasikharjo, Rembang, Jawa Tengah, Jawa, 59214, Indonesia",-6.66622333,111.268016,83545,14,18,Full-time,Senin-Jumat,Sore-Malam,37,Siang
9.79644E+15,Tgk. Lasmanto Maulana,perempuan,"Sumatera Barat, 13-03-1960",63,S1,"Gemarang, Jawa Timur, Jawa, Indonesia",-7.411290683,111.3566785,45959,1,3,Full-time,Senin-Jumat,Pagi-Sore,313,Malam
2.7993E+15,Lintang Mandasari,laki-laki,"Kalimantan Timur, 28-11-1998",25,S1,"Tompe, Demak, Jawa Tengah, Jawa, Indonesia",-6.985931595,110.743869,59893,3,2,Employed,Senin-Jumat,Siang-Malam,211,Pagi
8.14759E+15,Rini Siregar,perempuan,"Jawa Barat, 20-03-1999",24,D4,"Lumbir, Banyumas, Jawa Tengah, Jawa, Indonesia",-7.470473683,108.9540579,18086,3,3,Part-time,Senin-Jumat,Pagi-Siang,196,Malam
2.99781E+15,Yoga Kusmawati,perempuan,"Papua, 23-04-1997",26,SD,"Warureja, Tegal, Jawa Tengah, Jawa, Indonesia",-6.953951626,109.315772,8729,9,18,Employed,Senin-Jumat,Pagi-Sore,28,Malam
5.06456E+15,Najib Lestari,laki-laki,"Jawa Timur, 11-05-2000",23,S2,Address not found,-7.714348593,106.6047974,60072,5,20,Self-Employed,Senin-Jumat,Siang-Malam,97,Pagi
9.97293E+15,Dt. Jamil Tarihoran,laki-laki,"Bengkulu, 24-07-1988",35,SMA,"Sumobito, Jombang, Jawa Timur, Jawa, Indonesia",-7.518458309,112.3430949,96758,4,13,Employed,Senin-Jumat,Pagi-Sore,259,Malam
9.55273E+15,"Daruna Winarno, M.TI.",laki-laki,"Maluku, 18-09-1972",51,S1,"Sidobogem, Lamongan, Jawa Timur, Indonesia",-7.160417051,112.2376741,2074,17,13,Full-time,Senin-Jumat,Siang-Malam,19,Pagi
2.83806E+15,Puti Iriana Pradana,perempuan,"Bali, 27-01-1981",42,S2,"Giripurno, Kebumen, Jawa Tengah, Jawa, 54364, Indonesia",-7.607201443,109.583701,86569,16,20,Employed,Senin-Jumat,Siang-Sore,243,Pagi
7.08811E+15,Drs. Kezia Pratiwi,laki-laki,"Jawa Barat, 10-02-1995",28,SMA,"Sirnagalih, Cianjur, Jawa Barat, Indonesia",-7.407206085,107.1131527,57039,6,15,Full-time,Senin-Jumat,Pagi-Sore,237,Malam
9.85644E+15,Cici Mahendra,perempuan,"Bengkulu, 01-01-1964",59,SMA,"Banten, Jawa, Indonesia",-7.07421945,106.0963057,31485,17,19,Full-time,Senin-Jumat,Pagi-Siang,22,Sore
9.21008E+15,Ulva Dabukke,laki-laki,"Jambi, 05-07-1972",51,SMA,"Jawa Timur, Jawa, Indonesia",-6.738166983,112.0724356,44850,14,15,Employed,Senin-Minggu,Pagi-Sore,37,Malam
6.41372E+15,Satya Mulyani,perempuan,"Sulawesi Selatan, 30-04-1974",49,SMP,Address not found,-7.98048624,106.470249,57012,4,11,Full-time,Senin-Minggu,Siang-Malam,290,Pagi
3.3086E+15,"Darijan Santoso, M.TI.",laki-laki,"Jawa Barat, 28-02-1984",39,S2,"RW 05, Ciganjur, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 16431, Indonesia",-6.341201728,106.8053559,73824,18,3,Full-time,Senin-Jumat,Pagi-Sore,308,Malam
3.5695E+15,Umi Mustofa,perempuan,"Maluku, 25-02-1993",30,S1,"Jalan Raya Margasari - Bumiayu, Pakulaut, Tegal, Jawa Tengah, Jawa, 52463, Indonesia",-7.09240021,109.024826,42149,20,16,Self-Employed,Senin-Jumat,Pagi-Sore,256,Malam
5.30158E+15,Sutan Bagus Kusumo,perempuan,"Kalimantan Utara, 17-12-1979",44,S1,"Jawa Tengah, Jawa, Indonesia",-6.738620628,110.0148007,26938,5,13,Employed,Senin-Jumat,Siang-Malam,58,Pagi
8.18895E+15,Ayu Waskita,perempuan,"Kalimantan Timur, 17-08-1962",61,S1,"Sukajaya, Bogor, Jawa Barat, Indonesia",-6.597116006,106.4709376,63719,4,1,Self-Employed,Senin-Jumat,Pagi-Malam,336,Sore
5.01457E+15,R. Adikara Hastuti,laki-laki,"Jawa Timur, 30-11-1967",56,SMA,"Jawa Barat, Jawa, Indonesia",-7.521744204,106.9511795,74381,5,20,Part-time,Senin-Jumat,Malam-Pagi,319,Sore
4.38507E+15,Fitriani Andriani,laki-laki,"DKI Jakarta, 06-12-1985",38,SD,"Citeras, Garut, Jawa Barat, Indonesia",-7.051252195,108.0636668,67771,20,1,Employed,Senin-Jumat,Sore-Malam,26,Siang
7.47642E+15,Eka Puspita,laki-laki,"Nusa Tenggara Barat, 19-10-1993",30,S1,Address not found,-7.761738895,106.9862271,40202,18,2,Part-time,Senin-Jumat,Pagi-Siang,113,Sore
3.02541E+15,Citra Mulyani,perempuan,"Banten, 17-10-1968",55,S2,"Sukabumi, Jawa Barat, Indonesia",-6.809180038,106.6129685,70995,2,13,Employed,Senin-Minggu,Malam-Pagi,263,Siang
9.29997E+15,dr. Candra Zulkarnain,laki-laki,"Papua Barat, 11-01-1995",28,S2,"7, Lebak, Banten, Jawa, Indonesia",-6.825271847,105.9005789,16297,7,4,Part-time,Senin-Minggu,Siang-Sore,334,Pagi
3.7246E+15,"Nadine Hakim, M.M.",laki-laki,"DI Yogyakarta, 21-05-1968",55,S1,"Wedi, Bojonegoro, Jawa Timur, 62181, Indonesia",-7.195471788,111.8931843,25779,4,4,Self-Employed,Senin-Minggu,Siang-Sore,274,Pagi
9.73721E+15,Nyana Farida,perempuan,"Kepulauan Bangka Belitung, 31-01-1998",25,SMA,"Garut, Jawa Barat, Indonesia",-7.540675475,107.7298175,53420,14,15,Full-time,Senin-Jumat,Pagi-Sore,358,Malam
4.54257E+15,"Hj. Hani Prasasta, S.Farm",laki-laki,"Kalimantan Selatan, 15-01-1982",41,SMA,"Durenan, Madiun, Jawa Timur, Jawa, Indonesia",-7.697747571,111.7339539,65017,17,5,Self-Employed,Senin-Jumat,Pagi-Sore,279,Malam
2.33333E+15,Siska Agustina,perempuan,"Kalimantan Timur, 22-02-1972",51,S1,"Mendenrejo, Blora, Jawa Tengah, Jawa, Indonesia",-7.247084316,111.4258637,62373,7,16,Full-time,Senin-Minggu,Pagi-Sore,212,Malam
3.53319E+15,Cinthia Ramadan,laki-laki,"Kalimantan Utara, 23-08-1975",48,S2,"Jawa Barat, Jawa, Indonesia",-7.568794905,106.3358908,28172,7,16,Employed,Senin-Jumat,Pagi-Malam,4,Siang
7.44901E+15,Ilsa Simbolon,laki-laki,"Kalimantan Tengah, 23-11-1993",30,SMA,"Cilacap, Jawa Tengah, 53266, Indonesia",-7.248513869,108.6022169,72904,16,5,Full-time,Senin-Jumat,Pagi-Sore,80,Malam
8.04157E+15,Amelia Winarno,laki-laki,"Sumatera Barat, 27-12-1986",37,D4,"Mekarsari, Bandung Barat, Jawa Barat, Indonesia",-6.955266936,107.3732655,52559,4,14,Employed,Senin-Jumat,Pagi-Malam,6,Sore
2.56872E+15,Farah Melani,laki-laki,"Sulawesi Tenggara, 17-08-1994",29,SD,"Jawa Tengah, Jawa, Indonesia",-6.45222472,109.6762834,83490,13,15,Part-time,Senin-Minggu,Sore-Malam,272,Pagi
5.52269E+15,"R. Ida Narpati, M.Kom.",perempuan,"Banten, 10-12-1967",56,S3,"Jawa Barat, Jawa, Indonesia",-7.772369842,107.3828243,7060,17,17,Self-Employed,Senin-Jumat,Sore-Malam,10,Siang
6.63465E+15,Harimurti Napitupulu,perempuan,"Gorontalo, 20-08-1999",24,SMA,"Kawungsari, Tasikmalaya, Jawa Barat, Indonesia",-7.382505135,107.9295818,65697,19,17,Self-Employed,Senin-Jumat,Sore-Malam,190,Pagi
5.18126E+15,"R.A. Salsabila Widiastuti, S.Pd",perempuan,"DI Yogyakarta, 23-11-1974",49,SMA,"Geger, Tulungagung, Jawa Timur, Indonesia",-7.863686961,111.8118625,44438,11,2,Employed,Senin-Jumat,Pagi-Malam,74,Sore
9.77271E+15,"Tgk. Bala Mulyani, S.Sos",perempuan,"Kepulauan Riau, 06-12-1967",56,S3,"Godong, Grobogan, Jawa Tengah, Jawa, 58162, Indonesia",-7.020243605,110.7734184,13340,10,19,Employed,Senin-Jumat,Siang-Sore,173,Pagi
3.64082E+15,Fitria Budiyanto,perempuan,"Maluku Utara, 17-01-1976",47,S1,"Jawa Tengah, Jawa, Indonesia",-6.609139943,109.0281225,76565,17,8,Self-Employed,Senin-Jumat,Sore-Malam,275,Pagi
4.11819E+15,Kayla Simanjuntak,laki-laki,"DKI Jakarta, 29-03-1968",55,S2,"Girimukti, Cianjur, Jawa Barat, Indonesia",-7.212505444,107.2228595,56312,19,11,Employed,Senin-Jumat,Siang-Sore,335,Pagi
2.39757E+15,"Dr. Aurora Sinaga, S.Pt",laki-laki,"Sulawesi Barat, 14-07-1965",58,D3,"Desa Londer, Londer, Ngesrepbalong, Kendal, Jawa Tengah, Jawa, 51381, Indonesia",-7.142941622,110.3011872,59159,14,3,Self-Employed,Senin-Jumat,Pagi-Sore,286,Malam
4.8023E+15,"Rini Wibisono, S.Sos",perempuan,"DI Yogyakarta, 22-01-1968",55,S1,"Kutajaya, Sukabumi, Jawa Barat, 16110, Indonesia",-6.770008845,106.7945915,35118,20,4,Employed,Senin-Jumat,Pagi-Siang,128,Sore
4.2556E+15,"Diah Haryanto, M.TI.",laki-laki,"Riau, 13-11-1992",31,D4,"Pangandaran, Jawa Barat, Indonesia",-7.663807808,108.461251,25389,5,6,Full-time,Senin-Jumat,Pagi-Sore,311,Malam
6.18489E+15,"dr. Usyi Dabukke, S.E.I",laki-laki,"Nusa Tenggara Timur, 07-08-1999",24,SD,"Jawa Barat, Jawa, Indonesia",-6.476997729,108.8287162,60747,2,14,Employed,Senin-Jumat,Pagi-Sore,148,Malam
6.21946E+15,"Gantar Siregar, S.Kom",laki-laki,"Sulawesi Tengah, 02-07-1987",36,SMA,"Santen Kidul, Tukang, Semarang, Jawa Tengah, Jawa, Indonesia",-7.298585595,110.5736443,94841,14,12,Employed,Senin-Jumat,Malam-Pagi,4,Sore
6.10461E+15,Garan Thamrin,laki-laki,"Kalimantan Selatan, 07-06-1973",50,SMP,"Jawa Tengah, Jawa, Indonesia",-6.400459383,111.3216453,89325,19,7,Employed,Senin-Jumat,Siang-Sore,12,Pagi
