collector_nik,collector_name,collector_birth_place,collector_age,collector_gender,collector_education_level,collector_address,collector_latitude,collector_longitude,collector_zip,collector_rt,collector_rw,collector_workday,collector_worktime
3408872902329174,Brian Mcdonald,"Nusa Tenggara Barat, 06-07-1969",54,perempuan,S1,"Sukamulya, Cianjur, Jawa Barat, Indonesia",-7.221746879,107.3215363,18485,10,4,Senin-Jumat,Pagi-Siang
2270315062767487,Rachel Smith,"Gorontalo, 16-06-1999",24,laki-laki,S1,"Resinda, Purwadana, Jawa Barat, 41316, Indonesia",-6.29200437,107.2728152,36062,17,5,Senin-Minggu,Sore-Malam
6088518302881287,Eric Chan,"Kalimantan Barat, 16-05-1998",25,laki-laki,SMA,"Ponorogo, Jawa Timur, Indonesia",-7.954407819,111.6160536,52696,5,3,Senin-Jumat,Pagi-Sore
7681691719811356,Ashley Ponce,"Maluku Utara, 23-05-1966",57,perempuan,D3,"Kasiman, Bojonegoro, Jawa Timur, 62162, Indonesia",-7.14800474,111.6292166,42933,6,18,Senin-Jumat,Pagi-Siang
7652025987296171,Tanya Ortiz,"Bali, 27-09-1985",38,laki-laki,S1,"Pucangarum, Bojonegoro, Jawa Timur, Indonesia",-7.070293758,112.0826746,16612,15,18,Senin-Jumat,Sore-Malam
6376739351141068,Ryan Perez,"DKI Jakarta, 30-04-1961",62,perempuan,S1,"Bulaksari, Cilacap, Jawa Tengah, Jawa, Indonesia",-7.516982474,108.9141018,28523,17,14,Senin-Jumat,Pagi-Siang
6662862887511746,Jennifer Medina,"Kalimantan Selatan, 28-11-1985",38,laki-laki,S1,"Jawa Tengah, Jawa, Indonesia",-6.405226175,111.4461892,56213,13,7,Senin-Jumat,Pagi-Sore
9474549916298063,Kelsey Brown,"Nusa Tenggara Timur, 01-06-1989",34,perempuan,D4,"Jawa Tengah, Jawa, Indonesia",-6.308993179,110.7884356,44096,3,13,Senin-Jumat,Pagi-Sore
7136306895301615,Mrs. Cheryl Wright MD,"Bali, 29-03-1987",36,perempuan,S1,"Jawa Tengah, Jawa, Indonesia",-7.880394445,109.0907361,16222,12,6,Senin-Minggu,Pagi-Sore
6865217474715083,Richard Santiago,"DKI Jakarta, 22-01-1990",33,perempuan,S1,"Jukung, Rembang, Jawa Tengah, Jawa, Indonesia",-6.849405246,111.3939659,52343,3,18,Senin-Jumat,Siang-Malam
7163916488540115,Edwin Crosby,"Papua Barat, 15-11-1964",59,perempuan,D3,"Geger Satu, Ngasem, Magelang, Jawa Tengah, Jawa, 56114, Indonesia",-7.460402593,110.2360286,41567,9,11,Senin-Jumat,Pagi-Sore
7024944884641886,Matthew Mullins,"Kalimantan Utara, 30-01-1986",37,perempuan,S1,"Jawa Barat, Jawa, Indonesia",-7.919516348,108.4136472,35161,12,13,Senin-Jumat,Siang-Malam
2095851374339167,Cynthia Rodriguez DVM,"Kepulauan Bangka Belitung, 05-07-1997",26,laki-laki,SMA,"Klapanunggal, Bogor, Jawa Barat, 12630, Indonesia",-6.460099244,106.9810238,83821,16,8,Senin-Jumat,Siang-Malam
4782763514756618,Monica Bright,"Kalimantan Tengah, 12-05-1979",44,perempuan,D4,"Jawa Barat, Jawa, Indonesia",-7.557199468,106.5855895,14063,19,8,Senin-Jumat,Pagi-Sore
5274575698766135,Bridget Campbell,"Nusa Tenggara Barat, 03-08-1969",54,perempuan,S1,"Tukung, Ngemplak, Magelang, Jawa Tengah, Jawa, Indonesia",-7.394235102,110.100407,4564,13,19,Senin-Minggu,Siang-Malam
3401742366037561,Angela Woods,"Jawa Timur, 13-04-1996",27,laki-laki,S1,"Bantarsari, Ciamis, Jawa Barat, 46323, Indonesia",-7.411683275,108.501993,84926,13,16,Senin-Minggu,Siang-Malam
1836853885713607,Amy Gibson,"Sulawesi Selatan, 08-11-2000",23,perempuan,D4,"Jawa Tengah, Jawa, Indonesia",-6.325618964,110.2217952,53937,4,10,Senin-Jumat,Siang-Malam
8197983211733787,Eric Love,"Sulawesi Tengah, 22-03-1981",42,perempuan,S1,"Pasir Kembang, Lebak, Banten, Indonesia",-6.384116018,106.3547343,21887,2,7,Senin-Minggu,Pagi-Sore
3800446773682942,Stacy Austin,"Sulawesi Selatan, 18-11-2000",23,perempuan,S1,"Karanggedang, Purworejo, Jawa Tengah, Indonesia",-7.559651623,109.8711249,6961,9,9,Senin-Jumat,Pagi-Siang
9543227487836731,Billy Kaiser,"Aceh, 21-05-1973",50,laki-laki,D4,"Sukajadi, Tasikmalaya, Jawa Barat, 46153, Indonesia",-7.256696203,108.1362212,79086,14,13,Senin-Jumat,Pagi-Siang
1059658779171579,Caleb Pierce,"Papua, 21-07-1999",24,perempuan,S1,"Pajambon, Jawa Barat, 45511, Indonesia",-6.935629425,108.4540119,1783,11,20,Senin-Jumat,Pagi-Sore
3827221796557414,Lisa Booth,"Kalimantan Timur, 16-03-1999",24,laki-laki,S1,"Jawa Tengah, Jawa, Indonesia",-6.518641932,111.6902391,74206,19,14,Senin-Jumat,Pagi-Siang
8946077011927391,Joe Lowery,"Sulawesi Selatan, 21-09-1990",33,laki-laki,S1,"Alamendah, Bandung, Jawa Barat, Jawa, 40973, Indonesia",-7.153045408,107.4116812,13025,8,10,Senin-Jumat,Sore-Malam
8580984590014444,George Thomas,"Papua Barat, 17-10-1982",41,perempuan,S1,"Dukuh Benda, Tegal, Jawa Tengah, Jawa, 52466, Indonesia",-7.205860576,109.1183746,71653,18,8,Senin-Jumat,Sore-Malam
9216209803774729,Bobby Chen DDS,"Gorontalo, 02-10-1968",55,perempuan,S1,"Parengan, Tuban, Jawa Timur, Indonesia",-7.033604867,111.7922266,60572,20,18,Senin-Jumat,Siang-Malam
6.95375E+15,Alex Garcia,"Nusa Tenggara Barat, 29-03-1990",33,perempuan,S1,"Jawa Tengah, Jawa, Indonesia",-6.528021407,111.7196749,24883,8,13,Sabtu-Minggu,Siang-Malam
9517920647710787,Dr. Lisa Armstrong,"Sumatera Utara, 09-06-1990",33,laki-laki,S1,"Jawa Tengah, Jawa, Indonesia",-7.943460676,109.2169388,69821,1,15,Senin-Jumat,Pagi-Sore
7099377690591137,Teresa Lopez,"Kepulauan Riau, 02-04-1974",49,perempuan,S1,"Serang, Cilacap, Jawa Tengah, Jawa, 53261, Indonesia",-7.449579434,108.7549458,66992,14,16,Senin-Jumat,Sore-Malam
5.65117E+15,Gabrielle Ryan,"Banten, 15-10-1967",56,laki-laki,SMA,"Jawa Barat, Jawa, Indonesia",-7.550086881,107.2986337,70162,2,7,Senin-Minggu,Siang-Malam
1.28117E+15,William Vang,"Sumatera Selatan, 08-05-1976",47,laki-laki,SMA,"Jawa Tengah, Jawa, Indonesia",-6.294979161,111.1514815,24080,6,12,Senin-Jumat,Pagi-Siang
8467459514107183,Joshua Little,"Sumatera Selatan, 09-03-1969",54,perempuan,S1,Address not found,-7.949744896,106.6725027,58797,15,18,Senin-Jumat,Sore-Malam
7417317732957842,Anthony Williams,"Sumatera Barat, 24-09-1978",45,laki-laki,SMA,"Koranji, Pandeglang, Banten, 42271, Indonesia",-6.329797965,105.9430371,43852,15,10,Senin-Minggu,Siang-Malam
8478584167001712,Michelle Hill,"Maluku Utara, 11-04-1994",29,perempuan,S2,"Sidorejo, Jawa Timur, Jawa, Indonesia",-7.556311112,111.2782298,12374,18,8,Senin-Jumat,Pagi-Siang
5932857286836357,Joshua Arias,"Maluku, 17-10-1986",37,perempuan,S1,"Gununghalu, Bandung Barat, Jawa Barat, Jawa, Indonesia",-7.073236707,107.3486952,96597,2,17,Senin-Jumat,Pagi-Sore
4879012015325398,Alan Roach,"Jawa Tengah, 10-10-1986",37,laki-laki,S1,"Gobang, Bogor, Jawa Barat, Indonesia",-6.506625554,106.647141,53223,18,5,Senin-Minggu,Sore-Malam
9274942061994354,Kevin Williams,"Riau, 29-04-1970",53,laki-laki,S1,"Maindu, Lamongan, Jawa Timur, Indonesia",-7.146383117,112.230754,86012,6,4,Senin-Jumat,Sore-Malam
7352384804761791,Gabrielle Martinez,"Kepulauan Bangka Belitung, 16-12-1960",63,laki-laki,S1,"Sragen, Jawa Tengah, Jawa, Indonesia",-7.270656927,111.1078002,24200,12,20,Senin-Jumat,Siang-Malam
8849693554250555,Vincent Daniel,"Sulawesi Barat, 01-01-1966",57,laki-laki,S1,"Geneng, Klaten, Jawa Tengah, Jawa, 57454, Indonesia",-7.751542132,110.5093542,7639,2,13,Senin-Jumat,Siang-Malam
9636301797851221,Christine Wells,"Aceh, 23-10-1982",41,laki-laki,S1,"Jawa Barat, Jawa, Indonesia",-6.425620343,108.585289,2314,17,19,Senin-Jumat,Sore-Malam
9813300293254958,Mary Williams,"Nusa Tenggara Barat, 26-12-1972",51,perempuan,D4,"Jawa Tengah, Jawa, Indonesia",-6.311779908,109.2337343,25857,4,6,Senin-Jumat,Pagi-Sore
7093639865811828,Corey Arnold,"Nusa Tenggara Timur, 27-09-1972",51,laki-laki,D4,"Cibangkong, Banyumas, Jawa Tengah, Jawa, 53163, Indonesia",-7.384654127,109.0422021,30537,1,13,Senin-Jumat,Pagi-Siang
4441657335333698,Mrs. Gabriella Joyce,"Banten, 23-09-1976",47,laki-laki,S1,"Jawa Tengah, Jawa, Indonesia",-7.890179934,108.813817,53809,18,9,Senin-Jumat,Sore-Malam
7174676601474007,Gina Bailey,"Kalimantan Tengah, 19-11-1990",33,perempuan,SMA,"Cikaracak, Majalengka, Jawa Barat, Indonesia",-6.861754789,108.3724523,18437,19,11,Senin-Minggu,Siang-Malam
6176422444128091,Renee Hamilton,"Sulawesi Selatan, 10-02-1964",59,perempuan,S1,"Jawa Timur, Jawa, Indonesia",-6.334367027,111.8620966,3348,4,7,Senin-Jumat,Pagi-Siang
9716050150090384,Paul Pollard,"Nusa Tenggara Timur, 09-12-1988",35,laki-laki,S1,"Astanajapura, Jawa Barat, 45181, Indonesia",-6.734422121,108.6506828,69836,5,2,Senin-Minggu,Pagi-Sore
9154518607470912,Jill Clayton,"Maluku, 22-11-1994",29,laki-laki,S1,"Kebonagung, Wonogiri, Jawa Tengah, Jawa, 57682, Indonesia",-7.865856292,111.0643796,74284,13,11,Senin-Minggu,Sore-Malam
5792071294779827,Alexandra Russell,"Maluku, 29-07-1977",46,laki-laki,S1,"Wanakerta, Jawa Barat, Indonesia",-6.369058949,107.2252792,68361,20,17,Senin-Jumat,Pagi-Sore
6142258632266344,Matthew Sullivan,"Kalimantan Barat, 26-11-1985",38,perempuan,S1,"Wates, Bendungan, Wates, Kulon Progo, Daerah Istimewa Yogyakarta, Jawa, 55651, Indonesia",-7.991809491,110.1564465,84344,10,11,Senin-Jumat,Siang-Malam
5818132636113947,Courtney Gordon,"Gorontalo, 08-12-1987",36,laki-laki,S2,"Jawa Tengah, Jawa, Indonesia",-6.30997617,109.252789,44757,14,19,Senin-Jumat,Pagi-Sore
8758473623490347,Sharon Fitzgerald,"Papua, 25-05-1968",55,perempuan,SMA,"Pruwatan, Brebes, Jawa Tengah, Jawa, 52273, Indonesia",-7.277515693,108.9835059,55227,18,15,Senin-Jumat,Sore-Malam
9628895671817547,Sarah Bates,"Jawa Tengah, 07-10-1986",37,perempuan,S2,"Jawa Tengah, Jawa, Indonesia",-6.551614564,109.3113136,45867,19,5,Senin-Jumat,Pagi-Siang
4310060279481235,Jose Sanchez,"Papua Barat, 18-11-1974",49,laki-laki,SMA,"Senden, Jambon, Temanggung, Jawa Tengah, Jawa, 56281, Indonesia",-7.232412797,110.1528417,80746,11,4,Senin-Minggu,Pagi-Siang
5.67053E+15,Michael Walker,"Sumatera Selatan, 26-11-1988",35,perempuan,S3,"Jawa Tengah, Jawa, Indonesia",-7.853993236,109.214908,91790,7,18,Senin-Jumat,Pagi-Sore
4420523240959647,Natasha Ward,"Sulawesi Barat, 19-12-1977",46,perempuan,SMA,"Sempu, Jawa Timur, Jawa, 64175, Indonesia",-7.961111835,112.2146118,47185,19,5,Senin-Jumat,Siang-Malam
9359880651022258,Brian Oneal,"Jawa Tengah, 15-02-1983",40,laki-laki,SMA,"Pagelaran, Lebak, Banten, Indonesia",-6.811398775,106.0607136,76190,13,18,Senin-Jumat,Pagi-Siang
8219943248086151,Cynthia Smith,"Kalimantan Barat, 11-08-1983",40,perempuan,S1,"Pinangsari, Jawa Barat, Indonesia",-6.329405881,107.6300667,95010,18,20,Senin-Minggu,Pagi-Sore
7397371872736178,Wanda Miranda,"Jawa Tengah, 14-08-1988",35,laki-laki,S1,Address not found,-7.762550369,105.9762225,92175,5,8,Senin-Jumat,Pagi-Siang
3492441726035764,Jacob Ryan,"Maluku, 11-01-1974",49,laki-laki,S1,"Cilograng, Lebak, Banten, Indonesia",-6.993997524,106.3574376,3675,8,7,Senin-Jumat,Pagi-Sore
1575883633000914,Stephanie Foster,"Jawa Tengah, 18-07-1993",30,perempuan,S1,"Jawa Barat, Jawa, Indonesia",-6.669151078,108.7945817,54837,6,16,Senin-Jumat,Pagi-Sore
3035361447055699,Stephanie Nichols,"Sulawesi Tengah, 23-01-1967",56,perempuan,SMA,Address not found,-7.92541588,106.9598789,29931,7,10,Senin-Jumat,Pagi-Siang
5316881394383269,Kenneth Johnson,"Banten, 02-12-1998",25,perempuan,SMA,"Wonodadi, Kebumen, Jawa Tengah, Jawa, Indonesia",-7.730385363,109.4466396,2386,11,16,Senin-Jumat,Sore-Malam
1.54092E+15,Zachary Ortiz,"Kalimantan Barat, 21-08-1988",35,perempuan,D4,"Sugihwaras, Tuban, Jawa Timur, Jawa, 62352, Indonesia",-6.847705974,112.036684,22796,4,20,Sabtu-Minggu,Sore-Malam
5230239977931944,Richard Green MD,"Sumatera Barat, 06-10-1973",50,laki-laki,D3,"Cianjur, Jawa Barat, Indonesia",-7.414797051,107.0881479,50580,8,3,Senin-Jumat,Siang-Malam
2501890964645981,David Peck,"Kalimantan Selatan, 28-09-2000",23,perempuan,SMA,"Kelutan, Ngronggot, Nganjuk, Jawa Timur, Jawa, 64395, Indonesia",-7.699904376,112.0641425,42743,10,6,Senin-Jumat,Pagi-Siang
4910311864724481,Paul Carroll,"Aceh, 04-05-1966",57,perempuan,SMA,"Banioro, Kebumen, Jawa Tengah, Indonesia",-7.543626894,109.6739485,29009,4,12,Senin-Jumat,Pagi-Sore
4167590258138917,Christine Burns,"Sumatera Barat, 24-05-1974",49,laki-laki,S1,"Tunjungan, Blora, Jawa Tengah, Jawa, Indonesia",-6.920162227,111.3611733,79192,16,9,Senin-Jumat,Siang-Malam
8.03201E+15,Kimberly Warner,"Bali, 08-11-1985",38,perempuan,SMA,"Jawa Barat, Jawa, Indonesia",-7.718814391,107.1771159,63037,14,2,Senin-Minggu,Pagi-Sore
9952660173856324,Deborah Watson,"Sumatera Barat, 11-11-2000",23,perempuan,S2,"Bangunreja, Cilacap, Jawa Tengah, Jawa, 53261, Indonesia",-7.494278446,108.7865708,19195,1,16,Senin-Jumat,Sore-Malam
6610162290319751,Sydney Farley,"Sulawesi Tengah, 28-01-1970",53,laki-laki,S1,"Jawa Barat, Jawa, Indonesia",-7.512191572,106.8587373,43292,13,18,Senin-Minggu,Siang-Malam
3537325717076179,Brandon Mcgee,"Bengkulu, 26-04-1969",54,laki-laki,S1,"Timbrangan, Rembang, Jawa Tengah, Indonesia",-6.857164037,111.50563,65193,8,18,Senin-Jumat,Sore-Malam
4188696916006798,Jennifer Robbins,"Kalimantan Selatan, 29-11-1985",38,laki-laki,S1,"Jambenenggang, Sukabumi, Jawa Barat, Indonesia",-6.972049411,106.9704817,56349,17,20,Senin-Jumat,Pagi-Sore
9937591967351636,Ryan Lee,"Bali, 12-08-1983",40,perempuan,SMA,"Ringinputih, Klaten, Jawa Tengah, Jawa, 17468, Indonesia",-7.727072184,110.7336216,51236,16,7,Senin-Minggu,Siang-Malam
9291600219863413,William Hawkins,"Jawa Barat, 21-06-1982",41,laki-laki,S2,"Wonogiri, Jawa Tengah, Jawa, Indonesia",-7.866565371,110.8367822,51914,17,7,Senin-Jumat,Sore-Malam
1407167687640806,Brett Martinez,"Kalimantan Selatan, 10-04-1968",55,perempuan,S1,"Gondang, Banjarnegara, Jawa Tengah, Jawa, Indonesia",-7.217573018,109.7218887,53533,10,2,Senin-Jumat,Sore-Malam
8046153482321979,Leroy Martinez,"Jawa Barat, 12-04-1960",63,laki-laki,S1,"Mekarsari, Banjar, Jawa Barat, 46311, Indonesia",-7.381773812,108.5240444,29588,13,14,Senin-Jumat,Sore-Malam
8361208507525521,Rachel Saunders,"Banten, 23-09-1979",44,perempuan,S1,"Jawa Timur, Jawa, Indonesia",-6.365570228,112.4774872,59047,17,15,Senin-Minggu,Pagi-Sore
3927121242597064,Brittany Huber,"Sumatera Barat, 04-09-1963",60,laki-laki,S1,"Planjan, Cilacap, Jawa Tengah, Jawa, 53213, Indonesia",-7.623974878,109.0965937,90280,1,10,Senin-Minggu,Pagi-Sore
7146754122510664,Natasha Miller,"Papua, 13-01-1999",24,laki-laki,S1,"Nglampin, Sekar, Bojonegoro, Jawa Timur, Jawa, Indonesia",-7.37465566,111.7177803,18664,13,1,Senin-Minggu,Pagi-Siang
3985485756190989,Jessica Chang,"Sulawesi Selatan, 07-11-1997",26,laki-laki,S1,"Jawa Tengah, Jawa, Indonesia",-6.486072544,110.4078442,64104,11,16,Senin-Jumat,Pagi-Sore
1779961906369786,Steven Ryan,"Jawa Barat, 10-08-1967",56,perempuan,SMA,"Jawa Tengah, Jawa, Indonesia",-6.692194268,110.2280369,43482,3,1,Senin-Jumat,Sore-Malam
1786390100873635,Michael Smith,"Bengkulu, 03-12-1975",48,laki-laki,S1,"Cikarang, Sukabumi, Jawa Barat, 43181, Indonesia",-7.25347407,106.8996203,12389,19,16,Senin-Jumat,Sore-Malam
7830982971699318,Joshua Lopez,"Lampung, 05-07-1984",39,perempuan,S2,Address not found,-7.950618751,107.1135495,14036,10,8,Senin-Jumat,Pagi-Siang
5963334566772523,Katherine Garcia,"Sumatera Utara, 15-10-1983",40,laki-laki,S1,"tepusan, Tempuran, Semarang, Jawa Tengah, Jawa, Indonesia",-7.200471432,110.6065391,88066,10,5,Senin-Jumat,Pagi-Sore
6065914690494705,Heather Guerra,"Sumatera Selatan, 05-06-1968",55,laki-laki,S1,"Banjarsari, Pekalongan, Jawa Tengah, Jawa, Indonesia",-7.018637761,109.7049423,54501,19,15,Senin-Jumat,Pagi-Sore
4838850815445206,Nicholas Brooks,"Jambi, 30-12-1967",56,perempuan,D4,"Cilacap, Jawa Tengah, Jawa, Indonesia",-7.351291535,108.7625186,31724,20,16,Senin-Jumat,Pagi-Sore
6817260630741459,Robert Gamble,"Sulawesi Tengah, 10-12-1961",62,perempuan,S2,"Mekarmulya, Majalengka, Jawa Barat, Indonesia",-6.621445642,108.088661,94815,13,19,Senin-Jumat,Pagi-Siang
1476392991124086,William Barr,"DKI Jakarta, 30-04-1985",38,laki-laki,SMA,"Jawa Barat, Jawa, Indonesia",-7.969006322,108.5977276,98346,17,9,Senin-Minggu,Siang-Malam
9277005377565885,Kyle Brown,"Kalimantan Utara, 21-02-1983",40,perempuan,S1,"Karangsong, Kabupaten Indramayu, Jawa Barat, 45217, Indonesia",-6.301327213,108.3901031,95727,19,4,Senin-Jumat,Pagi-Siang
7886172937185505,Lindsay Cook,"Papua Barat, 03-09-1994",29,perempuan,SMA,"Simo, Cangkalan Lor, Jepara, Jawa Tengah, Jawa, 59454, Indonesia",-6.491831555,110.9183794,2377,7,5,Senin-Jumat,Siang-Malam
2.44333E+15,Ronald Cannon,"Kalimantan Barat, 05-09-1975",48,laki-laki,S1,"Jawa Barat, Jawa, Indonesia",-7.770882314,107.4526282,93339,14,10,Senin-Jumat,Pagi-Siang
6212247672455112,Brenda Campbell,"Bengkulu, 18-08-1994",29,laki-laki,SMA,"Surodadi, Demak, Jawa Tengah, Jawa, Indonesia",-6.855477834,110.4955542,55756,17,15,Senin-Minggu,Siang-Malam
5783571831440278,Nathan Welch,"Kalimantan Selatan, 01-07-1975",48,laki-laki,D4,"Jalan Gunung Sari, Nasol, Ciamis, Jawa Barat, Indonesia",-7.259817965,108.310676,4360,16,18,Senin-Jumat,Sore-Malam
4823350384191683,Tammy Jones,"Jawa Tengah, 01-07-1995",28,laki-laki,SMA,"Jawa Barat, Jawa, Indonesia",-7.654910513,107.002173,72009,11,9,Senin-Jumat,Siang-Malam
2434105630613765,Laura Cox,"Gorontalo, 09-08-1980",43,perempuan,S1,"Grobogan, Jawa Tengah, Indonesia",-7.218383784,111.0788392,81812,11,19,Senin-Jumat,Pagi-Sore
9642118235824814,Justin Randolph,"Sumatera Barat, 15-11-1969",54,laki-laki,S1,"Kalangan, Trosobo, Boyolali, Jawa Tengah, Jawa, 57376, Indonesia",-7.452793632,110.653905,28671,8,4,Senin-Jumat,Siang-Malam
8.81083E+15,Tiffany Rogers,"Maluku, 23-08-1973",50,laki-laki,S2,"Jalan Solo - Purwodadi, Getas, Grobogan, Jawa Tengah, Jawa, 58172, Indonesia",-7.258688376,110.9056835,47903,9,14,Senin-Jumat,Sore-Malam
9402370424300513,Christina Rodriguez DDS,"Papua, 26-11-1981",42,perempuan,SMA,"Delas, Wonosari, Wonosobo, Jawa Tengah, Jawa, 56371, Indonesia",-7.400035076,110.0019227,35669,20,17,Senin-Jumat,Pagi-Sore
5918090550533673,David Fischer,"Aceh, 17-09-1996",27,laki-laki,S1,"Kepoh Kidul, Bojonegoro, Jawa Timur, Indonesia",-7.290597066,112.029417,7381,18,7,Senin-Jumat,Pagi-Siang
8594201147287348,Linda Leon,"Sulawesi Selatan, 28-08-1981",42,perempuan,S2,"Sukakarya, Sukabumi, Jawa Barat, 43152, Indonesia",-6.920115557,106.8852502,14467,10,14,Senin-Jumat,Siang-Malam
8930506551710004,Erin Peters,"Maluku Utara, 07-04-1974",49,perempuan,S1,"Jawa Tengah, Jawa, Indonesia",-6.718875828,109.5671248,70380,17,16,Senin-Jumat,Siang-Malam
7407419521784401,Elizabeth Thomas,"Jawa Timur, 31-01-1969",54,perempuan,S3,"Jawa Barat, Jawa, Indonesia",-7.40164912,106.3714819,52003,12,15,Senin-Jumat,Sore-Malam
8951571647347113,Jessica Kennedy,"Kalimantan Tengah, 17-02-1962",61,perempuan,S1,"Desa Gitungan, Gintungan, Bandungan, Semarang, Jawa Tengah, Jawa, 50665, Indonesia",-7.21190002,110.3618806,2712,13,16,Senin-Jumat,Pagi-Sore
3093651565126281,Joshua Santos,"Sulawesi Tenggara, 27-08-1982",41,perempuan,S1,"Jawa Tengah, Jawa, Indonesia",-6.487434911,110.606558,8489,17,14,Senin-Jumat,Pagi-Siang
