debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_occupation_group,debtor_company,debtor_number,debtor_occupation,collection_day_type,best_collection_time,loan_amount,debtor_education_level,credit_score,tenure,payment_history_12,payment_history_11,payment_history_10,payment_history_9,payment_history_8,payment_history_7,payment_history_6,payment_history_5,payment_history_4,payment_history_3,payment_history_2,payment_history_1,aging,previous_payment_status,previous_collection_method,best_collection_method,debtor_latitude,debtor_longitude
3179300380878876,Tgk. Malika Maheswara,perempuan,"Jawa Timur, 22-05-1990",33,"Gg. Moch. Toha No. 7
Bima, SS 94584",94584,14,14,Cerai hidup,Pengusaha,UD Melani Suryono (Persero) Tbk,+62 (030) 223-2726,USTADZ/MUBALIGH,Hari kerja,"pagi, malam",80438362,SMA,519,25,1,2,0,1,2,3,4,0,0,0,0,1,Kurang Lancar,Bermasalah,Telepon,Field,-7.361166,107.044129
3694312965743031,Cakrawala Suwarno,laki-laki,"Jambi, 04-02-1964",59,"Jl. PHH. Mustofa No. 6
Bitung, DKI Jakarta 73692",73692,20,13,Belum menikah,Pengusaha,PT Kuswandari,+62 (0071) 566-5821,TRANSPORTASI,Hari kerja,"pagi, malam",83373701,S-3,585,16,0,1,0,1,0,1,2,3,0,0,1,2,Dalam Perhatian Khusus,Bermasalah,Telepon,Telepon,-7.631499,112.13243
4402566562918858,Dina Iswahyudi,laki-laki,"Kepulauan Riau, 19-05-1976",47,"Jalan Dipatiukur No. 10
Tebingtinggi, MA 09462",9462,12,11,Cerai mati,Pegawai Swasta,PD Winarsih,+62 (028) 155-3876,KARYAWAN HONORER,Hari kerja,malam,62505257,D-4,569,21,1,2,3,4,5,6,0,1,2,3,4,0,Diragukan,Lancar,Field,Field,-7.381558,111.630351
6878407117047371,Hilda Hutapea,laki-laki,"Sumatera Selatan, 27-10-1979",44,"Jalan Moch. Toha No. 897
Mataram, JB 17381",17381,3,9,Belum menikah,Pegawai Negeri,PD Namaga Tbk,+62 (0969) 829-8285,KARYAWAN BUMD,Hari kerja,malam,50540494,D-3,669,9,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Lancar,WhatsApp,WhatsApp,-7.431189,113.668018
6562727714088626,"Cut Nilam Simbolon, S.H.",perempuan,"Jawa Timur, 04-07-1969",54,"Gang Rajiman No. 723
Bukittinggi, Kalimantan Utara 96498",96498,17,20,Cerai mati,Buruh,PD Januar,+62 (031) 592 1352,TUKANG KAYU,Hari kerja,malam,68927010,S-3,555,15,1,2,3,4,0,0,0,1,2,3,4,0,Kurang Lancar,Lancar,Field,Field,-7.812776,108.098707
9510597330048495,Galur Tarihoran,perempuan,"DKI Jakarta, 15-06-1988",35,"Jl. Rajawali Barat No. 6
Sukabumi, KU 21852",21852,6,2,Cerai hidup,Buruh,UD Ramadan Lestari Tbk,+62-087-038-9524,BURUH NELAYAN/PERIKANAN,Hari kerja,malam,52326665,S-3,686,10,0,1,0,0,1,2,0,0,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-8.241025,111.896263
8967634028499286,Eli Namaga,perempuan,"Gorontalo, 06-10-1984",39,"Jl. Joyoboyo No. 918
Tasikmalaya, SN 76602",76602,7,11,Menikah,Pengusaha,UD Permadi,+62 (05) 799-3277,PENDETA,Hari kerja,"pagi, malam",86434976,D-4,590,15,1,2,3,0,0,1,2,0,1,0,1,2,Dalam Perhatian Khusus,Bermasalah,Telepon,Telepon,-8.171829,113.613519
4089510382510588,"Respati Firmansyah, S.H.",perempuan,"Sumatera Utara, 07-10-1999",24,"Jalan Kiaracondong No. 0
Binjai, NT 59829",59829,17,17,Cerai mati,Pegawai Swasta,PT Januar (Persero) Tbk,+62 (0451) 139-5625,KARYAWAN HONORER,Hari kerja,malam,23076104,D-1,694,11,0,0,1,2,0,1,0,1,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-8.255336,110.662541
9786358461078959,Kartika Wastuti,laki-laki,"Kalimantan Tengah, 29-03-1978",45,"Gang Rungkut Industri No. 496
Palangkaraya, KR 05216",5216,1,2,Cerai hidup,Profesional,Perum Anggriawan Sudiati Tbk,+62 (011) 016-4831,WARTAWAN,Hari kerja,malam,98397010,Tidak sekolah,414,23,1,2,0,0,1,2,0,1,2,3,4,5,Diragukan,Bermasalah,Field,Field,-6.750567,110.487291
7318881861725548,Kani Sinaga,laki-laki,"Nusa Tenggara Timur, 24-01-1983",40,"Gang Yos Sudarso No. 73
Metro, Sumatera Selatan 30516",30516,1,10,Cerai hidup,Profesional,PT Uyainah,+62 (0053) 365 9177,WARTAWAN,Hari kerja,malam,88308693,SD,550,26,1,2,0,1,2,3,4,5,6,7,0,1,Macet,Bermasalah,Telepon,Field,-7.702211,109.745164
5371897627377244,"Daliono Puspasari, S.T.",laki-laki,"Papua Barat, 28-11-1975",48,"Jl. Jayawijaya No. 35
Lubuklinggau, JI 53172",53172,15,15,Belum menikah,Pegawai Swasta,UD Megantara Habibi (Persero) Tbk,+62-17-143-5069,KARYAWAN HONORER,Hari kerja,malam,44223137,Tidak sekolah,593,9,0,0,1,2,0,0,1,0,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-6.651126,108.756284
8265551544072497,Ir. Gaman Gunawan,laki-laki,"Maluku Utara, 12-01-1968",55,"Jl. Jakarta No. 8
Dumai, KU 65373",65373,19,12,Cerai hidup,Profesional,PT Usamah,+62 (0889) 176-1435,PIALANG,Hari kerja,malam,90374241,S-1,824,19,0,0,0,0,0,0,0,0,0,1,0,0,Dalam Perhatian Khusus,Lancar,Telepon,WhatsApp,-7.289949,111.368996
6454805292631898,Tgk. Amelia Hardiansyah,perempuan,"Banten, 01-01-1963",60,"Gang Dipatiukur No. 00
Tarakan, Papua Barat 18359",18359,5,19,Menikah,Profesional,UD Napitupulu Nasyiah Tbk,+62-0304-335-3495,NOTARIS,Hari kerja,malam,103471384,D-1,651,21,0,0,0,0,0,0,0,0,0,0,1,0,Dalam Perhatian Khusus,Lancar,Telepon,WhatsApp,-6.929088,107.675602
9252897059366699,Kamila Marpaung,laki-laki,"Papua, 17-08-1973",50,"Gang Asia Afrika No. 825
Tanjungbalai, Sulawesi Barat 56465",56465,1,19,Belum menikah,Buruh,PT Prabowo Usamah Tbk,+62 (29) 141 5646,TUKANG LISTRIK,Hari kerja,malam,148644841,SMA,534,34,0,0,0,1,2,0,0,1,0,1,0,0,Dalam Perhatian Khusus,Lancar,Telepon,WhatsApp,-7.945599,112.007792
7519650775165435,Bahuraksa Rahimah,laki-laki,"Bengkulu, 05-02-1964",59,"Jalan Kutisari Selatan No. 29
Yogyakarta, Kalimantan Selatan 82560",82560,9,13,Cerai mati,Buruh,CV Rajata,+62 (100) 017 8416,NELAYAN/PERIKANAN,Hari kerja,malam,42749243,D-3,418,6,1,2,0,1,2,0,0,0,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-7.979023,113.878315
2436396704364731,"T. Damu Putra, S.Pt",perempuan,"Jawa Tengah, 08-10-1997",26,"Jl. Dipenogoro No. 481
Langsa, PA 13831",13831,17,8,Menikah,Buruh,PD Permata Puspasari,+62 (38) 007 1760,BURUH PETERNAKAN,Akhir pekan,"pagi, malam",107158732,SD,373,20,1,2,3,4,0,1,2,3,4,5,6,0,Diragukan,Lancar,Field,Field,-7.250902,111.292885
1578515700278651,"Dt. Bancar Laksita, S.I.Kom",perempuan,"Kalimantan Barat, 18-03-1977",46,"Gg. Pelajar Pejuang No. 13
Pematangsiantar, JK 90147",90147,16,15,Cerai hidup,Pengusaha,PT Pradana Budiyanto Tbk,+62-006-935-4969,WIRASWASTA,Hari kerja,"pagi, malam",51870071,SMP,415,18,1,0,1,0,0,1,0,1,0,1,0,0,Dalam Perhatian Khusus,Lancar,Telepon,WhatsApp,-7.028295,108.328551
6120549722824829,"H. Prabowo Puspita, S.IP",perempuan,"Papua, 30-05-1996",27,"Gg. Gedebage Selatan No. 473
Kediri, BT 19472",19472,11,1,Belum menikah,Pengusaha,PT Prakasa Budiyanto Tbk,+62-40-905-1906,PASTOR,Hari kerja,"pagi, malam",75306049,D-4,656,16,1,0,0,0,0,0,0,1,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-7.707554,106.143971
5984348721186623,Salimah Tarihoran,perempuan,"Sulawesi Barat, 07-06-1991",32,"Gg. Ahmad Yani No. 75
Gorontalo, Bengkulu 78283",78283,17,8,Menikah,Pengusaha,CV Saputra Saragih,+62 (76) 205-9000,BIARAWATI,Akhir pekan,"pagi, sore, malam",73901337,S-2,642,13,0,0,1,0,1,0,0,1,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-6.03474,108.627348
6512783522736873,"Jarwa Suartini, S.T.",laki-laki,"Kalimantan Tengah, 30-06-1989",34,"Gang Raya Ujungberung No. 734
Pagaralam, SB 60077",60077,20,6,Belum menikah,Pengusaha,PD Prastuti (Persero) Tbk,+62 (059) 485 1802,PEDAGANG,Hari kerja,"pagi, malam",97425344,SMA,673,28,0,0,0,0,1,0,0,0,0,1,0,0,Dalam Perhatian Khusus,Lancar,Telepon,WhatsApp,-6.409654,112.529938
2135101076052689,Kenari Uyainah,perempuan,"Sulawesi Tenggara, 22-09-1996",27,"Gg. HOS. Cokroaminoto No. 76
Malang, KB 05689",5689,13,12,Belum menikah,Pegawai Negeri,PT Sitorus (Persero) Tbk,+62 (0657) 955-7570,PENSIUNAN,Hari kerja,malam,83060022,S-1,682,19,0,0,0,0,0,0,0,1,2,3,0,0,Dalam Perhatian Khusus,Lancar,Telepon,WhatsApp,-7.000573,108.954963
8335222605184011,Zalindra Mustofa,laki-laki,"Nusa Tenggara Barat, 01-06-1994",29,"Jl. Cikutra Timur No. 1
Blitar, PA 08164",8164,15,19,Cerai mati,Profesional,UD Rahimah,+62 (0364) 672 8454,PENATA RAMBUT,Hari kerja,malam,148327954,D-2,671,34,0,0,0,1,0,0,0,1,0,1,0,0,Dalam Perhatian Khusus,Lancar,Telepon,WhatsApp,-7.976346,108.63635
4268142379572947,dr. Jaga Santoso,perempuan,"Kalimantan Selatan, 10-08-1989",34,"Gang Laswi No. 549
Kota Administrasi Jakarta Pusat, Bengkulu 27778",27778,4,11,Cerai mati,Pegawai Swasta,Perum Hidayanto Prasetyo Tbk,+62 (476) 214-4218,KARYAWAN HONORER,Hari kerja,malam,81053490,Tidak sekolah,554,16,1,2,0,1,0,0,1,0,0,0,1,0,Dalam Perhatian Khusus,Lancar,Telepon,WhatsApp,-7.244732,113.958171
2123296655970932,"Lanang Habibi, S.Pd",perempuan,"Sulawesi Tenggara, 21-06-1965",58,"Gang Soekarno Hatta No. 461
Pariaman, NB 30138",30138,12,10,Belum menikah,Buruh,PT Pradana Nainggolan,+62 (0119) 232 3985,BURUH PETERNAKAN,Hari kerja,malam,58048420,S-1,488,9,1,2,3,0,1,2,0,0,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-7.311578,112.936616
7078924966167884,"Garang Sitompul, S.I.Kom",perempuan,"Jambi, 03-05-1974",49,"Jalan Sukabumi No. 850
Yogyakarta, SU 40722",40722,8,1,Belum menikah,Profesional,Perum Habibi Tbk,+62 (0082) 058-6413,WARTAWAN,Hari kerja,malam,103846996,D-3,583,25,1,0,1,2,3,4,5,0,1,0,0,0,Diragukan,Lancar,Telepon,Telepon,-7.96881,112.637553
5816586382948294,Tgk. Siska Saputra,perempuan,"Sumatera Selatan, 27-02-1986",37,"Gang Lembong No. 49
Tual, Sulawesi Utara 20196",20196,11,20,Menikah,Buruh,UD Padmasari,+62 (0548) 379 4861,TUKANG JAHIT,Hari libur nasional/cuti bersama,"pagi, malam",124008285,D-3,508,25,0,1,2,3,4,5,6,7,0,1,2,0,Macet,Lancar,Field,Field,-7.449921,105.914098
4509297928410897,Among Sihotang,laki-laki,"Papua, 21-03-1962",61,"Gg. Stasiun Wonokromo No. 29
Tidore Kepulauan, DI Yogyakarta 08669",8669,11,12,Menikah,Profesional,CV Hastuti Waskita Tbk,+62 (098) 970 3865,PENELITI,Akhir pekan,"pagi, sore, malam",104975839,D-3,661,29,0,0,0,1,2,3,0,0,1,2,0,1,Dalam Perhatian Khusus,Bermasalah,Telepon,Telepon,-6.885948,109.105042
7219869693547743,"Hartana Suryono, S.Gz",perempuan,"Jambi, 06-09-1967",56,"Jl. Pelajar Pejuang No. 13
Sabang, SN 95603",95603,14,3,Menikah,Profesional,PD Pratama Halim,+62 (0191) 887-7959,PENGACARA,Hari kerja,malam,93068571,S-3,627,21,1,2,3,4,0,1,2,3,4,0,0,1,Kurang Lancar,Bermasalah,Telepon,Field,-6.377662,108.592669
1025618457483132,Kania Haryanti,perempuan,"DI Yogyakarta, 16-04-1992",31,"Jl. Ir. H. Djuanda No. 24
Lhokseumawe, SN 21935",21935,10,10,Cerai hidup,Pegawai Negeri,PT Sudiati Sudiati,+62 (065) 117-6097,ANGGOTA DPRD PROVINSI,Hari kerja,malam,59164548,D-4,634,8,0,0,0,0,0,1,2,0,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-6.786332,109.594339
7975597010664374,"Joko Tampubolon, S.Psi",laki-laki,"Sulawesi Barat, 09-07-1988",35,"Gg. H.J Maemunah No. 35
Tanjungbalai, Lampung 92214",92214,11,8,Menikah,Buruh,UD Anggriawan (Persero) Tbk,+62 (66) 574-1944,TUKANG JAHIT,Hari kerja,malam,140133747,S-2,529,35,1,2,0,0,1,0,1,2,0,0,1,2,Dalam Perhatian Khusus,Bermasalah,Telepon,Telepon,-6.676567,111.930257
6385177509551766,Tina Suartini,perempuan,"Kalimantan Barat, 30-07-1969",54,"Jl. Monginsidi No. 9
Sungai Penuh, Riau 58925",58925,16,6,Menikah,Pegawai Swasta,PD Sitorus Simanjuntak,+62 (076) 067 9489,KARYAWAN HONORER,Akhir pekan,"pagi, sore, malam",154586209,D-3,681,39,0,0,0,0,1,2,0,0,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-8.064929,110.046072
8603619197205843,Ir. Ida Wibisono,perempuan,"Kalimantan Tengah, 11-08-1997",26,"Jl. Pasir Koja No. 8
Ternate, Jawa Barat 53252",53252,17,15,Belum menikah,Pegawai Swasta,CV Suartini Pranowo Tbk,+62 (131) 807 9086,KARYAWAN HONORER,Hari kerja,malam,45445164,D-1,614,15,1,0,1,2,0,1,2,0,1,0,1,0,Dalam Perhatian Khusus,Lancar,Telepon,WhatsApp,-7.276019,107.556528
5803095020482133,Soleh Mustofa,perempuan,"Aceh, 03-05-1980",43,"Gang Lembong No. 968
Balikpapan, GO 25444",25444,15,13,Cerai hidup,Pegawai Negeri,UD Halim Nuraini (Persero) Tbk,+62 (015) 858 1155,KEPOLISIAN RI,Hari kerja,malam,64609679,D-1,498,16,1,2,3,4,5,0,1,2,3,0,1,2,Diragukan,Bermasalah,Field,Field,-7.995255,113.114479
7406189333273434,"Yessi Thamrin, S.E.",laki-laki,"Papua Barat, 17-06-1996",27,"Jl. Moch. Ramdan No. 69
Dumai, JA 13288",13288,6,11,Cerai mati,Pengusaha,CV Nashiruddin Manullang (Persero) Tbk,+62 (411) 086 3714,USTADZ/MUBALIGH,Hari kerja,"pagi, malam",35906733,D-1,608,3,1,2,0,0,0,0,0,0,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-7.974415,107.591049
8316214771877804,Mustofa Palastri,laki-laki,"Kalimantan Utara, 05-03-1970",53,"Gg. Cihampelas No. 52
Langsa, NT 54833",54833,11,7,Menikah,Pegawai Swasta,UD Pratiwi Pradipta,+62 (80) 325 8840,KARYAWAN SWASTA,Hari kerja,malam,133357216,D-3,426,30,1,0,1,2,3,4,5,0,1,2,3,0,Diragukan,Lancar,Field,Field,-6.740952,107.404588
5037049423786824,"Hilda Widiastuti, S.Pt",perempuan,"Kepulauan Bangka Belitung, 17-11-1992",31,"Gg. Indragiri No. 133
Kota Administrasi Jakarta Barat, Papua Barat 97413",97413,13,12,Belum menikah,Pengusaha,CV Melani Purnawati,+62-13-479-0986,PROMOTOR ACARA,Hari kerja,"pagi, malam",90309755,S-1,652,20,0,0,0,0,1,0,0,0,1,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-7.276981,111.724747
7984818919556660,Ibrahim Firmansyah,laki-laki,"Jawa Timur, 08-06-1994",29,"Jalan Jayawijaya No. 16
Prabumulih, Maluku Utara 75263",75263,17,7,Belum menikah,Buruh,Perum Padmasari Saputra,+62-29-670-2515,TUKANG JAHIT,Hari kerja,malam,75738828,SMP,456,13,0,1,0,0,1,0,1,0,0,0,0,1,Dalam Perhatian Khusus,Bermasalah,WhatsApp,Telepon,-6.444779,106.924671
6350331674136334,Sabrina Zulaika,perempuan,"Gorontalo, 19-09-1966",57,"Gang R.E Martadinata No. 8
Pariaman, Papua 91291",91291,6,17,Cerai hidup,Pengusaha,CV Purnawati,+62 (02) 785-1261,USTADZ/MUBALIGH,Hari kerja,"pagi, malam",48251482,S-1,570,6,1,2,3,0,0,0,0,0,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-7.649578,109.403411
5742679577866396,Salimah Lestari,laki-laki,"Sulawesi Tengah, 22-08-1990",33,"Gg. Jend. Sudirman No. 8
Sawahlunto, Sumatera Utara 87368",87368,13,7,Cerai mati,Pengusaha,UD Puspita,+62 (27) 356-1092,KONSTRUKSI,Hari kerja,"pagi, malam",58870816,D-2,701,14,1,0,1,0,0,0,0,0,0,1,0,0,Dalam Perhatian Khusus,Lancar,Telepon,WhatsApp,-7.003692,110.787816
