debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_occupation,debtor_company,debtor_number,collection_day_type,best_collection_time,loan_amount,debtor_education_level,credit_score,aging,previous_collection_status,previous_payment_status,amount_of_late_days,tenure,best_collection_method,debtor_latitude,debtor_longitude
6256715242912612,Cinta Saefullah,perempuan,"Sulawesi Tengah, 10-09-1987",36,"Jl. W.R. Supratman No. 345
Pekalongan, Jambi 89737",89737,20,19,Cerai mati,Pegawai Swasta,CV Irawan Halimah Tbk,+62 (32) 236 9435,Hari kerja,"pagi, malam",70290930.84481826,SMP,637,Dalam Perhatian Khusus,Berhasil,Tepat waktu,0,19,WhatsApp,-7.958902,106.706615
9330871446196917,"Gasti Gunawan, M.TI.",laki-laki,"Gorontalo, 27-11-1968",55,"Gang Kendalsari No. 3
Tanjungbalai, Nusa Tenggara Barat 03928",3928,4,10,Cerai hidup,Profesional,CV Thamrin (Persero) Tbk,+62 (398) 277-7625,Akhir pekan,"pagi, sore, malam",130359305.28931911,S-1,695,Diragukan,Berhasil,Terlambat,0,30,Telepon,-6.535538,105.907387
6199051285677998,"Puti Keisha Laksmiwati, M.M.",laki-laki,"DI Yogyakarta, 14-03-1964",59,"Jalan Gedebage Selatan No. 4
Banjar, KR 04570",4570,7,16,Cerai hidup,Buruh,PD Maryadi Putra,+62 (035) 024 8342,Akhir pekan,"pagi, malam",85994031.56231219,S-1,663,Lancar,Berhasil,Tepat waktu,0,22,WhatsApp,-6.527452,112.470749
5914782805208768,R.M. Purwadi Sirait,laki-laki,"Sulawesi Tengah, 10-04-1979",44,"Jl. Tebet Barat Dalam No. 5
Tebingtinggi, Banten 94704",94704,5,6,Cerai hidup,Buruh,UD Widodo Anggriawan Tbk,+62 (0161) 212 2798,Akhir pekan,"pagi, malam",82040801.15804568,D-3,643,Dalam Perhatian Khusus,Berhasil,Terlambat,4,18,Telepon,-7.087599,106.61958
6964489007922506,Rachel Namaga,perempuan,"Jambi, 05-04-1995",28,"Jalan Lembong No. 226
Ternate, KU 24237",24237,13,9,Cerai mati,Pengusaha,UD Nurdiyanti Maheswara Tbk,+62 (929) 388-3632,Hari kerja,"pagi, malam",92822348.01023634,S-3,506,Kurang Lancar,Berhasil,Terlambat,17,28,Field,-6.508897,108.967465
4544910883476765,Vera Wibowo,perempuan,"Kalimantan Barat, 13-12-1966",57,"Jl. Otto Iskandardinata No. 281
Salatiga, Aceh 40335",40335,8,14,Cerai hidup,Pegawai Swasta,Perum Marbun,+62 (006) 617 8123,Akhir pekan,"pagi, sore, malam",113945250.2,D-4,500,Macet,Berhasil,Tepat waktu,18,24,Field,-7.276861,108.010635
3179300380878876,Tgk. Malika Maheswara,perempuan,"Jawa Timur, 22-05-1990",33,"Gg. Moch. Toha No. 7
Bima, SS 94584",94584,14,14,Cerai hidup,Profesional,UD Melani Suryono (Persero) Tbk,+62 (030) 223-2726,Hari kerja,"pagi, malam",26054468.43921861,S-1,713,Kurang Lancar,Berhasil,Tepat waktu,0,12,WhatsApp,-6.6876,108.084454
3694312965743031,Cakrawala Suwarno,laki-laki,"Jambi, 04-02-1964",59,"Jl. PHH. Mustofa No. 6
Bitung, DKI Jakarta 73692",73692,20,13,Belum menikah,Pengusaha,PT Kuswandari,+62 (0071) 566-5821,Hari kerja,"pagi, malam",114486084.18569285,S-3,606,Lancar,Berhasil,Tepat waktu,0,25,WhatsApp,-7.838075,112.214062
4402566562918858,Dina Iswahyudi,laki-laki,"Kepulauan Riau, 19-05-1976",47,"Jalan Dipatiukur No. 10
Tebingtinggi, MA 09462",9462,12,11,Cerai mati,Pengusaha,PD Winarsih,+62 (028) 155-3876,Hari kerja,"pagi, malam",9070106.594,S-1,465,Diragukan,Gagal,Terlambat,2,3,Telepon,-6.585149,110.335776
6878407117047371,Hilda Hutapea,laki-laki,"Sumatera Selatan, 27-10-1979",44,"Jalan Moch. Toha No. 897
Mataram, JB 17381",17381,3,9,Belum menikah,Pegawai Swasta,PD Namaga Tbk,+62 (0969) 829-8285,Hari kerja,"pagi, malam",83852379.84657165,S-1,639,Diragukan,Gagal,Terlambat,9,18,Field,-6.209158,105.966856
6562727714088626,"Cut Nilam Simbolon, S.H.",perempuan,"Jawa Timur, 04-07-1969",54,"Gang Rajiman No. 723
Bukittinggi, Kalimantan Utara 96498",96498,17,20,Cerai mati,Pegawai Negeri,PD Januar,+62 (031) 592 1352,Hari kerja,malam,45739207.039060496,SMP,250,Diragukan,Gagal,Terlambat,0,12,Telepon,-6.593863,107.708729
9510597330048495,Galur Tarihoran,perempuan,"DKI Jakarta, 15-06-1988",35,"Jl. Rajawali Barat No. 6
Sukabumi, KU 21852",21852,6,2,Cerai hidup,Profesional,UD Ramadan Lestari Tbk,-9587,Hari kerja,"pagi, malam",25275164.25386764,SMP,638,Dalam Perhatian Khusus,Berhasil,Terlambat,0,12,Telepon,-6.535428,107.174605
8967634028499286,Eli Namaga,perempuan,"Gorontalo, 06-10-1984",39,"Jl. Joyoboyo No. 918
Tasikmalaya, SN 76602",76602,7,11,Menikah,Buruh,UD Permadi,+62 (05) 799-3277,Hari kerja,malam,92966267.77,SD,512,Macet,Berhasil,Terlambat,4,22,Telepon,-8.223081,109.762675
4089510382510588,"Respati Firmansyah, S.H.",perempuan,"Sumatera Utara, 07-10-1999",24,"Jalan Kiaracondong No. 0
Binjai, NT 59829",59829,17,17,Cerai mati,Pegawai Negeri,PT Januar (Persero) Tbk,+62 (0451) 139-5625,Akhir pekan,"pagi, sore, malam",54363285.05843491,S-3,566,Dalam Perhatian Khusus,Gagal,Terlambat,1,11,Telepon,-7.917165,112.114067
9786358461078959,Kartika Wastuti,laki-laki,"Kalimantan Tengah, 29-03-1978",45,"Gang Rungkut Industri No. 496
Palangkaraya, KR 05216",5216,1,2,Cerai hidup,Pengusaha,Perum Anggriawan Sudiati Tbk,+62 (011) 016-4831,Hari kerja,"pagi, malam",76284168.66,SMA,666,Macet,Berhasil,Terlambat,15,21,Field,-6.985694,108.413667
7318881861725548,Kani Sinaga,laki-laki,"Nusa Tenggara Timur, 24-01-1983",40,"Gang Yos Sudarso No. 73
Metro, Sumatera Selatan 30516",30516,1,10,Cerai hidup,Pegawai Negeri,PT Uyainah,+62 (0053) 365 9177,Hari libur nasional/cuti bersama,"pagi, sore, malam",80571849.24,S-3,601,Lancar,Berhasil,Tepat waktu,0,24,WhatsApp,-7.272515,113.666221
5371897627377244,"Daliono Puspasari, S.T.",laki-laki,"Papua Barat, 28-11-1975",48,"Jl. Jayawijaya No. 35
Lubuklinggau, JI 53172",53172,15,15,Belum menikah,Pegawai Negeri,UD Megantara Habibi (Persero) Tbk,-5167,Hari kerja,malam,80196691.52873866,S-3,685,Kurang Lancar,Gagal,Terlambat,10,19,Field,-6.233663,110.262863
8265551544072497,Ir. Gaman Gunawan,laki-laki,"Maluku Utara, 12-01-1968",55,"Jl. Jakarta No. 8
Dumai, KU 65373",65373,19,12,Cerai hidup,Buruh,PT Usamah,+62 (0889) 176-1435,Hari libur nasional/cuti bersama,"pagi, malam",26399848.81778189,SD,582,Macet,Berhasil,Tepat waktu,13,3,WhatsApp,-8.053886,109.951234
6454805292631898,Tgk. Amelia Hardiansyah,perempuan,"Banten, 01-01-1963",60,"Gang Dipatiukur No. 00
Tarakan, Papua Barat 18359",18359,5,19,Menikah,Pegawai Negeri,UD Napitupulu Nasyiah Tbk,-4072,Akhir pekan,"pagi, sore, malam",48899180.05,SD,670,Diragukan,Gagal,Terlambat,5,14,Telepon,-7.735002,110.379931
9252897059366699,Kamila Marpaung,laki-laki,"Papua, 17-08-1973",50,"Gang Asia Afrika No. 825
Tanjungbalai, Sulawesi Barat 56465",56465,1,19,Belum menikah,Profesional,PT Prabowo Usamah Tbk,+62 (29) 141 5646,Hari kerja,"pagi, malam",1000000,SD,453,Diragukan,Gagal,Terlambat,18,3,Field,-6.122671,113.029591
7519650775165435,Bahuraksa Rahimah,laki-laki,"Bengkulu, 05-02-1964",59,"Jalan Kutisari Selatan No. 29
Yogyakarta, Kalimantan Selatan 82560",82560,9,13,Cerai mati,Buruh,CV Rajata,+62 (100) 017 8416,Hari kerja,malam,6064561.332210816,D-3,585,Lancar,Berhasil,Tepat waktu,0,3,WhatsApp,-6.760733,110.191534
2436396704364731,"T. Damu Putra, S.Pt",perempuan,"Jawa Tengah, 08-10-1997",26,"Jl. Dipenogoro No. 481
Langsa, PA 13831",13831,17,8,Menikah,Pegawai Negeri,PD Permata Puspasari,+62 (38) 007 1760,Hari kerja,malam,44122615.44346001,D-4,626,Dalam Perhatian Khusus,Berhasil,Tepat waktu,1,9,WhatsApp,-6.461088,107.131764
1578515700278651,"Dt. Bancar Laksita, S.I.Kom",perempuan,"Kalimantan Barat, 18-03-1977",46,"Gg. Pelajar Pejuang No. 13
Pematangsiantar, JK 90147",90147,16,15,Cerai hidup,Pengusaha,PT Pradana Budiyanto Tbk,-5848,Akhir pekan,"pagi, sore, malam",141583575.71902135,SMP,393,Diragukan,Berhasil,Terlambat,10,33,Telepon,-7.937831,111.652676
6120549722824829,"H. Prabowo Puspita, S.IP",perempuan,"Papua, 30-05-1996",27,"Gg. Gedebage Selatan No. 473
Kediri, BT 19472",19472,11,1,Belum menikah,Pengusaha,PT Prakasa Budiyanto Tbk,-2789,Hari kerja,"pagi, malam",53361366.99660227,S-3,524,Lancar,Berhasil,Terlambat,0,17,Telepon,-8.105812,112.443487
5984348721186623,Salimah Tarihoran,perempuan,"Sulawesi Barat, 07-06-1991",32,"Gg. Ahmad Yani No. 75
Gorontalo, Bengkulu 78283",78283,17,8,Menikah,Pegawai Negeri,CV Saputra Saragih,+62 (76) 205-9000,Hari libur nasional/cuti bersama,"pagi, sore, malam",52895856.74818712,S-1,747,Kurang Lancar,Berhasil,Terlambat,17,16,Field,-7.759032,108.276784
6512783522736873,"Jarwa Suartini, S.T.",laki-laki,"Kalimantan Tengah, 30-06-1989",34,"Gang Raya Ujungberung No. 734
Pagaralam, SB 60077",60077,20,6,Belum menikah,Profesional,PD Prastuti (Persero) Tbk,+62 (059) 485 1802,Akhir pekan,"pagi, sore, malam",91303016.23658492,D-3,537,Kurang Lancar,Berhasil,Tepat waktu,3,19,WhatsApp,-6.607483,109.119983
2135101076052689,Kenari Uyainah,perempuan,"Sulawesi Tenggara, 22-09-1996",27,"Gg. HOS. Cokroaminoto No. 76
Malang, KB 05689",5689,13,12,Belum menikah,Pegawai Swasta,PT Sitorus (Persero) Tbk,+62 (0657) 955-7570,Hari kerja,"pagi, malam",58966914.61950252,SD,643,Lancar,Berhasil,Terlambat,3,13,Telepon,-7.552673,109.897589
8335222605184011,Zalindra Mustofa,laki-laki,"Nusa Tenggara Barat, 01-06-1994",29,"Jl. Cikutra Timur No. 1
Blitar, PA 08164",8164,15,19,Cerai mati,Pegawai Swasta,UD Rahimah,+62 (0364) 672 8454,Akhir pekan,"pagi, sore, malam",67623259.59198694,SMA,676,Dalam Perhatian Khusus,Berhasil,Terlambat,0,11,Telepon,-7.200614,108.311842
4268142379572947,dr. Jaga Santoso,perempuan,"Kalimantan Selatan, 10-08-1989",34,"Gang Laswi No. 549
Kota Administrasi Jakarta Pusat, Bengkulu 27778",27778,4,11,Cerai mati,Profesional,Perum Hidayanto Prasetyo Tbk,+62 (476) 214-4218,Hari kerja,"pagi, malam",89850750.47492342,D-3,535,Macet,Gagal,Terlambat,6,22,Telepon,-7.318886,111.018364
2123296655970932,"Lanang Habibi, S.Pd",perempuan,"Sulawesi Tenggara, 21-06-1965",58,"Gang Soekarno Hatta No. 461
Pariaman, NB 30138",30138,12,10,Belum menikah,Pengusaha,PT Pradana Nainggolan,+62 (0119) 232 3985,Akhir pekan,"pagi, sore, malam",6276191.368521616,D-4,815,Diragukan,Gagal,Terlambat,9,4,Field,-6.273258,109.907692
7078924966167884,"Garang Sitompul, S.I.Kom",perempuan,"Jambi, 03-05-1974",49,"Jalan Sukabumi No. 850
Yogyakarta, SU 40722",40722,8,1,Belum menikah,Buruh,Perum Habibi Tbk,+62 (0082) 058-6413,Hari kerja,malam,136311907.6934713,S-2,611,Diragukan,Berhasil,Terlambat,3,33,Telepon,-7.577746,106.103143
5816586382948294,Tgk. Siska Saputra,perempuan,"Sumatera Selatan, 27-02-1986",37,"Gang Lembong No. 49
Tual, Sulawesi Utara 20196",20196,11,20,Menikah,Profesional,UD Padmasari,+62 (0548) 379 4861,Akhir pekan,"pagi, sore, malam",59111188.813810736,SMP,437,Kurang Lancar,Gagal,Terlambat,11,10,Field,-6.793681,107.731427
4509297928410897,Among Sihotang,laki-laki,"Papua, 21-03-1962",61,"Gg. Stasiun Wonokromo No. 29
Tidore Kepulauan, DI Yogyakarta 08669",8669,11,12,Menikah,Pegawai Negeri,CV Hastuti Waskita Tbk,+62 (098) 970 3865,Hari kerja,malam,1000000,S-2,470,Macet,Gagal,Terlambat,15,3,Field,-6.570612,113.75405
7219869693547743,"Hartana Suryono, S.Gz",perempuan,"Jambi, 06-09-1967",56,"Jl. Pelajar Pejuang No. 13
Sabang, SN 95603",95603,14,3,Menikah,Pengusaha,PD Pratama Halim,+62 (0191) 887-7959,Hari kerja,"pagi, malam",1000000,S-2,838,Dalam Perhatian Khusus,Berhasil,Terlambat,2,3,Telepon,-6.467662,113.827673
1025618457483132,Kania Haryanti,perempuan,"DI Yogyakarta, 16-04-1992",31,"Jl. Ir. H. Djuanda No. 24
Lhokseumawe, SN 21935",21935,10,10,Cerai hidup,Buruh,PT Sudiati Sudiati,+62 (065) 117-6097,Hari libur nasional/cuti bersama,"pagi, malam",58408042.25438331,D-4,757,Dalam Perhatian Khusus,Berhasil,Tepat waktu,0,15,WhatsApp,-7.116545,113.045047
7975597010664374,"Joko Tampubolon, S.Psi",laki-laki,"Sulawesi Barat, 09-07-1988",35,"Gg. H.J Maemunah No. 35
Tanjungbalai, Lampung 92214",92214,11,8,Menikah,Profesional,UD Anggriawan (Persero) Tbk,+62 (66) 574-1944,Hari kerja,"pagi, malam",41460803.97569479,S-1,544,Macet,Gagal,Terlambat,6,8,Telepon,-6.557753,108.898429
6385177509551766,Tina Suartini,perempuan,"Kalimantan Barat, 30-07-1969",54,"Jl. Monginsidi No. 9
Sungai Penuh, Riau 58925",58925,16,6,Menikah,Profesional,PD Sitorus Simanjuntak,+62 (076) 067 9489,Akhir pekan,"pagi, sore, malam",116527270.20608084,SMP,733,Macet,Gagal,Terlambat,9,30,Field,-8.082821,105.982753
8603619197205843,Ir. Ida Wibisono,perempuan,"Kalimantan Tengah, 11-08-1997",26,"Jl. Pasir Koja No. 8
Ternate, Jawa Barat 53252",53252,17,15,Belum menikah,Pengusaha,CV Suartini Pranowo Tbk,+62 (131) 807 9086,Hari kerja,"pagi, malam",68168858.19849123,SMP,534,Macet,Berhasil,Terlambat,3,15,Telepon,-7.521035,111.450144
5803095020482133,Soleh Mustofa,perempuan,"Aceh, 03-05-1980",43,"Gang Lembong No. 968
Balikpapan, GO 25444",25444,15,13,Cerai hidup,Pengusaha,UD Halim Nuraini (Persero) Tbk,+62 (015) 858 1155,Hari kerja,"pagi, malam",100013405.37322688,D-4,696,Diragukan,Berhasil,Terlambat,3,27,Telepon,-8.074755,106.949955
7406189333273434,"Yessi Thamrin, S.E.",laki-laki,"Papua Barat, 17-06-1996",27,"Jl. Moch. Ramdan No. 69
Dumai, JA 13288",13288,6,11,Cerai mati,Pegawai Negeri,CV Nashiruddin Manullang (Persero) Tbk,+62 (411) 086 3714,Hari kerja,malam,111696985.21212682,D-4,613,Dalam Perhatian Khusus,Berhasil,Tepat waktu,0,33,WhatsApp,-7.76525,110.849221
8316214771877804,Mustofa Palastri,laki-laki,"Kalimantan Utara, 05-03-1970",53,"Gg. Cihampelas No. 52
Langsa, NT 54833",54833,11,7,Menikah,Pegawai Negeri,UD Pratiwi Pradipta,+62 (80) 325 8840,Hari kerja,malam,30447371.86890108,D-4,507,Dalam Perhatian Khusus,Berhasil,Tepat waktu,0,6,WhatsApp,-8.02451,113.736142
5037049423786824,"Hilda Widiastuti, S.Pt",perempuan,"Kepulauan Bangka Belitung, 17-11-1992",31,"Gg. Indragiri No. 133
Kota Administrasi Jakarta Barat, Papua Barat 97413",97413,13,12,Belum menikah,Buruh,CV Melani Purnawati,-1416,Akhir pekan,"pagi, malam",117193557.2712699,D-3,673,Lancar,Berhasil,Tepat waktu,0,28,WhatsApp,-6.823546,113.507706
7984818919556660,Ibrahim Firmansyah,laki-laki,"Jawa Timur, 08-06-1994",29,"Jalan Jayawijaya No. 16
Prabumulih, Maluku Utara 75263",75263,17,7,Belum menikah,Pegawai Negeri,Perum Padmasari Saputra,-3152,Akhir pekan,"pagi, sore, malam",82412894.01170184,D-3,741,Dalam Perhatian Khusus,Berhasil,Terlambat,0,16,Telepon,-7.232117,111.494288
6350331674136334,Sabrina Zulaika,perempuan,"Gorontalo, 19-09-1966",57,"Gang R.E Martadinata No. 8
Pariaman, Papua 91291",91291,6,17,Cerai hidup,Pengusaha,CV Purnawati,+62 (02) 785-1261,Hari libur nasional/cuti bersama,"pagi, sore, malam",92097728.05448708,SMP,449,Kurang Lancar,Berhasil,Terlambat,10,17,Telepon,-7.334677,112.816337
5742679577866396,Salimah Lestari,laki-laki,"Sulawesi Tengah, 22-08-1990",33,"Gg. Jend. Sudirman No. 8
Sawahlunto, Sumatera Utara 87368",87368,13,7,Cerai mati,Pegawai Swasta,UD Puspita,+62 (27) 356-1092,Hari kerja,"pagi, malam",144626984.96362427,S-1,589,Lancar,Berhasil,Tepat waktu,4,32,WhatsApp,-8.06784,107.561699
5489854389589191,Salsabila Nababan,perempuan,"Aceh, 22-07-1996",27,"Jalan Bangka Raya No. 5
Palopo, Jawa Timur 64970",64970,7,13,Cerai hidup,Pegawai Swasta,PD Nasyiah Novitasari Tbk,+62 (0725) 134-7237,Hari kerja,"pagi, malam",106844776.22750136,S-2,531,Diragukan,Berhasil,Terlambat,5,28,Telepon,-8.020294,112.885848
3327429592998011,Yuni Sihombing,laki-laki,"Sumatera Barat, 21-10-1976",47,"Jalan Ciumbuleuit No. 31
Tegal, Kalimantan Utara 73252",73252,12,18,Belum menikah,Pengusaha,PD Saputra,+62 (44) 160-2078,Hari kerja,"pagi, malam",98783703.34636515,D-4,563,Dalam Perhatian Khusus,Berhasil,Terlambat,0,28,Telepon,-6.330587,110.334466
4485143554733245,Eka Marbun,perempuan,"Kepulauan Riau, 16-11-1969",54,"Jl. Pacuan Kuda No. 05
Pariaman, BT 41144",41144,10,3,Cerai mati,Pengusaha,PD Latupono Hutapea (Persero) Tbk,-1620,Hari kerja,"pagi, malam",55200815.10409222,D-4,393,Kurang Lancar,Gagal,Terlambat,13,11,Field,-7.627959,108.171042
7077899665233254,Jagaraga Hardiansyah,perempuan,"Bengkulu, 14-07-1981",42,"Jalan Kapten Muslihat No. 447
Kotamobagu, SU 82534",82534,17,17,Cerai hidup,Pegawai Negeri,CV Pangestu Hidayanto,+62 (0569) 202 5656,Akhir pekan,"pagi, sore, malam",66203443.71953599,S-1,597,Dalam Perhatian Khusus,Berhasil,Terlambat,0,20,Telepon,-6.234482,110.780419
8393538880600376,Danuja Tampubolon,laki-laki,"Sulawesi Selatan, 17-09-1983",40,"Gg. Rajawali Barat No. 0
Yogyakarta, SU 09295",9295,14,10,Belum menikah,Profesional,PT Dongoran Mansur (Persero) Tbk,-5116,Hari kerja,"pagi, malam",112957585.31971432,S-1,807,Dalam Perhatian Khusus,Berhasil,Terlambat,2,27,Telepon,-7.763535,107.589087
2297421563335561,Zulaikha Wahyudin,laki-laki,"Jawa Tengah, 22-04-1965",58,"Jalan R.E Martadinata No. 2
Kota Administrasi Jakarta Pusat, JA 55404",55404,11,1,Cerai mati,Profesional,PT Kusmawati Rahmawati Tbk,-3216,Hari kerja,"pagi, malam",89194370.85240133,D-3,682,Dalam Perhatian Khusus,Berhasil,Tepat waktu,5,23,WhatsApp,-6.636176,106.585149
3486642267039591,Kenes Lestari,laki-laki,"Maluku, 03-09-1979",44,"Jalan Jend. Sudirman No. 71
Tangerang Selatan, JB 83545",83545,14,18,Cerai mati,Pengusaha,PT Marpaung Tbk,-10679,Hari kerja,"pagi, malam",105515161.32332584,SMA,500,Diragukan,Gagal,Terlambat,13,32,Field,-7.721404,110.523613
9796438067686348,Tgk. Lasmanto Maulana,perempuan,"Sumatera Barat, 13-03-1960",63,"Gang Kapten Muslihat No. 531
Makassar, PB 45959",45959,1,3,Belum menikah,Profesional,PT Mandasari Tbk,+62 (0088) 620-7201,Hari libur nasional/cuti bersama,"pagi, sore, malam",103973352.60948628,D-3,416,Lancar,Berhasil,Tepat waktu,0,24,WhatsApp,-6.601274,109.533765
2799300546741350,Lintang Mandasari,laki-laki,"Kalimantan Timur, 28-11-1998",25,"Gang Jend. Sudirman No. 30
Tual, Sulawesi Tengah 59893",59893,3,2,Cerai mati,Pegawai Negeri,Perum Aryani Puspita Tbk,-7005,Hari kerja,malam,1000000,D-3,713,Dalam Perhatian Khusus,Berhasil,Tepat waktu,0,3,WhatsApp,-7.764995,109.961798
8147585582880759,Rini Siregar,perempuan,"Jawa Barat, 20-03-1999",24,"Jl. Indragiri No. 494
Batu, Riau 18086",18086,3,3,Cerai mati,Buruh,UD Permata Tbk,+62 (042) 814-8476,Hari kerja,malam,43812469.29936836,SMA,700,Macet,Gagal,Terlambat,9,7,Field,-7.734251,111.165681
