debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_zip,debtor_rt,debtor_rw,debtor_address,debtor_number,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,loan_amount,tenor,billing_frequency,transaction_frequency,interest_rate,other_credit,monthly_income,home_ownership,employment_status,employment_status_duration,public_records,contact_frequency,dti,revolving_credit_balance,occupation,financial_situation,delay_history,amount_of_late_days,number_of_dependents,number_of_vehicles,number_of_complaints,external_factors,communication_channel,working_time,payment_patterns,payment_method,aging,collection_difficulty_score,collection_difficulty_category
7.77888E+15,Kacung Nasyidah,laki-laki,"Bali, 24-09-1978",45,76479,3,3,"Gg. Otto Iskandardinata No. 490
Madiun, DKI Jakarta 76479",+62 (18) 322 3046,0,0,0,0,0,0,0,0,0,0,0,0,152610000,36,7,12,0.1509,1,41443789.01,FALSE,Employed,154,0,4,0.5,97700922,Police Officer/Correction Officer,B,0,159,3,4,0,0,Telepon,Pagi - Sore,Awal Bulan,ATM,0,311,sedang
6.25672E+15,Cinta Saefullah,perempuan,"Sulawesi Tengah, 10-09-1987",36,89737,20,19,"Jl. W.R. Supratman No. 345
Pekalongan, Jambi 89737",+62 (32) 236 9435,0,0,0,0,0,0,0,0,0,0,0,0,33574200,36,7,67,0.2399,4,63034288.76,TRUE,Full-time,305,0,3,0.37,75450384,Nurse (LPN),D,0,870,4,3,0,0,Secara Langsung,Pagi - Sore,Awal Bulan,ATM,0,312,sedang
9.33087E+15,"Gasti Gunawan, M.TI.",laki-laki,"Gorontalo, 27-11-1968",55,3928,4,10,"Gang Kendalsari No. 3
Tanjungbalai, Nusa Tenggara Barat 03928",+62 (398) 277-7625,0,0,0,0,0,0,0,0,0,0,0,0,22891500,36,11,6,0.24,0,43239499.99,FALSE,Full-time,71,0,9,0.42,132694395,Other,E,0,446,2,1,0,0,Secara Langsung,Siang - Malam,Akhir Bulan,ATM,0,301,sedang
6.19905E+15,"Puti Keisha Laksmiwati, M.M.",laki-laki,"DI Yogyakarta, 14-03-1964",59,4570,7,16,"Jalan Gedebage Selatan No. 4
Banjar, KR 04570",+62 (035) 024 8342,0,0,0,0,0,0,0,0,0,0,0,0,30522000,36,15,46,0.2287,0,31030699.99,FALSE,Full-time,88,0,15,0.45,21594315,Administrative Assistant,D,0,319,2,1,0,0,WA,Pagi - Sore,Akhir Bulan,ATM,0,320,sedang
5.91478E+15,R.M. Purwadi Sirait,laki-laki,"Sulawesi Tengah, 10-04-1979",44,94704,5,6,"Jl. Tebet Barat Dalam No. 5
Tebingtinggi, Banten 94704",+62 (0161) 212 2798,0,0,0,0,0,0,0,0,0,0,0,0,61044000,36,27,22,0.1695,1,184403750,TRUE,Full-time,1,0,36,0.09,15474654,Professional,E,0,1326,1,1,0,0,Telepon,Pagi - Sore,Awal Bulan,ATM,0,264,mudah
6.96449E+15,Rachel Namaga,perempuan,"Jambi, 05-04-1995",28,24237,13,9,"Jalan Lembong No. 226
Ternate, KU 24237",+62 (929) 388-3632,0,0,0,0,0,0,0,0,0,0,0,0,112931400,36,16,13,0.108,0,203480000,TRUE,Full-time,21,0,9,0.4,519179220,Executive,E,0,1850,2,3,0,0,Telepon,Pagi - Sore,Awal Bulan,M-Banking,0,267,mudah
4.54491E+15,Vera Wibowo,perempuan,"Kalimantan Barat, 13-12-1966",57,40335,8,14,"Jl. Otto Iskandardinata No. 281
Salatiga, Aceh 40335",+62 (006) 617 8123,0,0,0,0,0,0,0,0,0,0,0,0,61044000,36,22,16,0.1593,0,69946249.99,TRUE,Full-time,227,0,10,0.26,137287956,Civil Service,E,0,815,2,2,0,0,Secara Langsung,Pagi - Sore,Awal Bulan,ATM,0,247,mudah
3.1793E+15,Tgk. Malika Maheswara,perempuan,"Jawa Timur, 22-05-1990",33,94584,14,14,"Gg. Moch. Toha No. 7
Bima, SS 94584",+62 (030) 223-2726,0,0,0,0,0,0,0,0,0,0,0,0,30522000,36,11,24,0.158,0,83935500,FALSE,Full-time,70,0,6,0.14,42120360,Analyst,E,0,1936,4,2,1,0,WA,Malam - Pagi,Awal Bulan,ATM,0,337,sedang
3.69431E+15,Cakrawala Suwarno,laki-laki,"Jambi, 04-02-1964",59,73692,20,13,"Jl. PHH. Mustofa No. 6
Bitung, DKI Jakarta 73692",+62 (0071) 566-5821,0,0,0,0,0,0,0,0,0,0,0,0,38152500,36,9,5,0.2399,2,99196500,FALSE,Employed,47,0,10,0.08,96525825,Professional,D,0,740,1,4,0,1,Telepon,Pagi - Sore,Akhir Bulan,M-Banking,0,322,sedang
4.40257E+15,Dina Iswahyudi,laki-laki,"Kepulauan Riau, 19-05-1976",47,9462,12,11,"Jalan Dipatiukur No. 10
Tebingtinggi, MA 09462",+62 (028) 155-3876,0,0,0,0,0,0,0,0,0,0,0,0,27469800,36,24,34,0.35,7,54588597,FALSE,Full-time,107,0,5,0.44,13841727,Military Enlisted,HR,0,900,0,1,0,0,Telepon,Siang - Malam,Awal Bulan,M-Banking,0,418,sulit
6.87841E+15,Hilda Hutapea,laki-laki,"Sumatera Selatan, 27-10-1979",44,17381,3,9,"Jalan Moch. Toha No. 897
Mataram, JB 17381",+62 (0969) 829-8285,0,0,0,0,0,0,0,0,0,0,0,0,53413500,36,13,10,0.215,0,32963760,TRUE,Full-time,62,0,29,0.72,62997408,Professional,E,0,1628,2,2,1,1,Telepon,Malam - Pagi,Akhir Bulan,M-Banking,0,335,sedang
6.56273E+15,"Cut Nilam Simbolon, S.H.",perempuan,"Jawa Timur, 04-07-1969",54,96498,17,20,"Gang Rajiman No. 723
Bukittinggi, Kalimantan Utara 96498",+62 (031) 592 1352,0,0,0,0,0,0,0,0,0,0,0,0,61044000,36,25,26,0.35,2,117509700,FALSE,Full-time,311,0,9,0.13,144369060,Teacher,HR,0,654,0,4,0,0,Telepon,Pagi - Sore,Awal Bulan,e-Money,0,406,sulit
9.5106E+15,Galur Tarihoran,perempuan,"DKI Jakarta, 15-06-1988",35,21852,6,2,"Jl. Rajawali Barat No. 6
Sukabumi, KU 21852",+62-087-038-9524,0,0,0,0,0,0,0,0,0,0,0,0,30522000,36,5,16,0.3134,0,94109500.01,TRUE,Employed,491,0,6,0.55,1726721106,Medical Technician,HR,0,268,0,0,0,0,WA,Pagi - Sore,Awal Bulan,M-Banking,0,258,mudah
8.96763E+15,Eli Namaga,perempuan,"Gorontalo, 06-10-1984",39,76602,7,11,"Jl. Joyoboyo No. 918
Tasikmalaya, SN 76602",+62 (05) 799-3277,0,0,0,0,0,0,0,0,0,0,0,0,144979500,36,31,45,0.1899,1,92619009,TRUE,Employed,378,0,3,0.32,270501225,Accountant/CPA,C,0,141,4,4,1,0,Telepon,Malam - Pagi,Awal Bulan,ATM,0,318,sedang
4.08951E+15,"Respati Firmansyah, S.H.",perempuan,"Sumatera Utara, 07-10-1999",24,59829,17,17,"Jalan Kiaracondong No. 0
Binjai, NT 59829",+62 (0451) 139-5625,0,0,0,0,0,0,0,0,0,0,0,0,76305000,36,32,28,0.134,0,39083421,FALSE,Full-time,134,0,0,0.28,4959825,Professional,B,0,379,4,0,0,0,SMS,Siang - Malam,Awal Bulan,e-Money,0,299,sedang
9.78636E+15,Kartika Wastuti,laki-laki,"Kalimantan Tengah, 29-03-1978",45,5216,1,2,"Gang Rungkut Industri No. 496
Palangkaraya, KR 05216",+62 (011) 016-4831,0,0,0,0,0,0,0,0,0,0,0,0,76305000,60,21,9,0.261,1,52141750.01,FALSE,Employed,203,0,2,0.37,105896079,Clerical,D,0,152,4,3,1,0,WA,Pagi - Sore,Awal Bulan,M-Banking,0,432,sulit
7.31888E+15,Kani Sinaga,laki-laki,"Nusa Tenggara Timur, 24-01-1983",40,30516,1,10,"Gang Yos Sudarso No. 73
Metro, Sumatera Selatan 30516",+62 (0053) 365 9177,0,0,0,0,0,0,0,0,0,0,0,0,198393000,60,8,31,0.2747,0,16863405,FALSE,Employed,33,0,2,0.4,7859415,Food Service,D,0,495,0,0,2,0,Telepon,Siang - Malam,Akhir Bulan,M-Banking,0,498,sulit
5.3719E+15,"Daliono Puspasari, S.T.",laki-laki,"Papua Barat, 28-11-1975",48,53172,15,15,"Jl. Jayawijaya No. 35
Lubuklinggau, JI 53172",+62-17-143-5069,0,0,0,0,0,0,0,0,0,0,0,0,53413500,60,10,8,0.3032,7,38152500,TRUE,Employed,248,0,5,0.17,46973358,Professional,E,0,172,0,2,0,0,Secara Langsung,Pagi - Sore,Awal Bulan,ATM,0,361,sedang
8.26555E+15,Ir. Gaman Gunawan,laki-laki,"Maluku Utara, 12-01-1968",55,65373,19,12,"Jl. Jakarta No. 8
Dumai, KU 65373",+62 (0889) 176-1435,0,0,0,0,0,0,0,0,0,0,0,0,228915000,60,8,89,0.1219,0,91789828.01,TRUE,Full-time,166,0,6,0.32,583138071,Accountant/CPA,A,0,206,1,0,0,0,Telepon,Pagi - Sore,Awal Bulan,M-Banking,0,368,sedang
6.45481E+15,Tgk. Amelia Hardiansyah,perempuan,"Banten, 01-01-1963",60,18359,5,19,"Gang Dipatiukur No. 00
Tarakan, Papua Barat 18359",+62-0304-335-3495,0,0,0,0,0,0,0,0,0,0,0,0,61044000,36,0,8,0.142,0,32760280.01,TRUE,Part-time,24,0,2,0.23,158485485,Administrative Assistant,E,0,214,1,2,1,0,Email,Pagi - Sore,Awal Bulan,M-Banking,0,207,mudah
9.2529E+15,Kamila Marpaung,laki-laki,"Papua, 17-08-1973",50,56465,1,19,"Gang Asia Afrika No. 825
Tanjungbalai, Sulawesi Barat 56465",+62 (29) 141 5646,0,0,0,0,0,0,0,0,0,0,0,0,61044000,60,16,9,0.3304,1,49216725,TRUE,Employed,121,0,6,0.22,8561421,Other,E,0,366,3,2,0,0,WA,Malam - Pagi,Akhir Bulan,ATM,0,411,sulit
7.51965E+15,Bahuraksa Rahimah,laki-laki,"Bengkulu, 05-02-1964",59,82560,9,13,"Jalan Kutisari Selatan No. 29
Yogyakarta, Kalimantan Selatan 82560",+62 (100) 017 8416,0,0,0,0,0,0,0,0,0,0,0,0,128650230,12,9,9,0.1795,0,38152500,FALSE,Employed,16,0,3,0.64,171243681,Food Service Management,D,0,346,3,3,0,0,Telepon,Pagi - Sore,Akhir Bulan,M-Banking,0,253,mudah
2.4364E+15,"T. Damu Putra, S.Pt",perempuan,"Jawa Tengah, 08-10-1997",26,13831,17,8,"Jl. Dipenogoro No. 481
Langsa, PA 13831",+62 (38) 007 1760,0,0,0,0,0,0,0,0,0,0,0,0,106827000,60,23,5,0.2687,0,95381250,TRUE,Employed,162,0,6,0.28,326570139,Other,D,0,223,1,2,0,0,Secara Langsung,Pagi - Sore,Awal Bulan,M-Banking,0,374,sulit
1.57852E+15,"Dt. Bancar Laksita, S.I.Kom",perempuan,"Kalimantan Barat, 18-03-1977",46,90147,16,15,"Gg. Pelajar Pejuang No. 13
Pematangsiantar, JK 90147",+62-006-935-4969,0,0,0,0,0,0,0,0,0,0,0,0,76305000,36,30,52,0.3099,2,50869999.99,TRUE,Full-time,136,0,10,0.28,103774800,Other,E,0,143,0,3,0,0,Telepon,Pagi - Sore,Akhir Bulan,ATM,0,352,sedang
6.12055E+15,"H. Prabowo Puspita, S.IP",perempuan,"Papua, 30-05-1996",27,19472,11,1,"Gg. Gedebage Selatan No. 473
Kediri, BT 19472",+62-40-905-1906,0,0,0,0,0,0,0,0,0,0,0,0,152610000,60,27,47,0.2499,0,73232452.01,FALSE,Employed,301,1,8,0.18,21807969,Skilled Labor,D,0,325,1,4,1,0,Telepon,Siang - Malam,Akhir Bulan,M-Banking,0,484,sulit
5.98435E+15,Salimah Tarihoran,perempuan,"Sulawesi Barat, 07-06-1991",32,78283,17,8,"Gg. Ahmad Yani No. 75
Gorontalo, Bengkulu 78283",+62 (76) 205-9000,0,0,0,0,0,0,0,0,0,0,0,0,99196500,60,18,61,0.2687,0,37702300.5,TRUE,Retired,20,0,6,0.38,463430787,Other,D,0,413,3,0,0,0,Telepon,Pagi - Sore,Awal Bulan,M-Banking,0,453,sulit
6.51278E+15,"Jarwa Suartini, S.T.",laki-laki,"Kalimantan Tengah, 30-06-1989",34,60077,20,6,"Gang Raya Ujungberung No. 734
Pagaralam, SB 60077",+62 (059) 485 1802,0,0,0,0,0,0,0,0,0,0,0,0,30522000,36,17,12,0.239,1,63534086.51,TRUE,Full-time,164,0,11,0.18,230624232,Social Worker,E,0,1600,2,3,1,0,WA,Malam - Pagi,Awal Bulan,Langsung,0,323,sedang
2.1351E+15,Kenari Uyainah,perempuan,"Sulawesi Tenggara, 22-09-1996",27,5689,13,12,"Gg. HOS. Cokroaminoto No. 76
Malang, KB 05689",+62 (0657) 955-7570,0,0,0,0,0,0,0,0,0,0,0,0,106827000,60,17,19,0.261,3,99196500,TRUE,Employed,45,0,6,0.13,299542908,Teacher,D,0,265,2,1,0,0,Telepon,Pagi - Sore,Akhir Bulan,ATM,0,380,sulit
8.33522E+15,Zalindra Mustofa,laki-laki,"Nusa Tenggara Barat, 01-06-1994",29,8164,15,19,"Jl. Cikutra Timur No. 1
Blitar, PA 08164",+62 (0364) 672 8454,0,0,0,0,0,0,0,0,0,0,0,0,152610000,36,17,6,0.2399,0,38152500,TRUE,Employed,228,0,2,0.31,6424881,Clerical,D,0,417,2,2,0,0,Secara Langsung,Pagi - Sore,Awal Bulan,M-Banking,0,320,sedang
4.26814E+15,dr. Jaga Santoso,perempuan,"Kalimantan Selatan, 10-08-1989",34,27778,4,11,"Gang Laswi No. 549
Kota Administrasi Jakarta Pusat, Bengkulu 27778",+62 (476) 214-4218,0,0,0,0,0,0,0,0,0,0,0,0,15261000,36,28,21,0.29,0,33574200,FALSE,Full-time,29,0,9,0.21,43707504,Sales - Retail,E,0,604,4,2,0,0,Telepon,Siang - Malam,Awal Bulan,M-Banking,0,383,sulit
2.1233E+15,"Lanang Habibi, S.Pd",perempuan,"Sulawesi Tenggara, 21-06-1965",58,30138,12,10,"Gang Soekarno Hatta No. 461
Pariaman, NB 30138",+62 (0119) 232 3985,0,0,0,0,0,0,0,0,0,0,0,0,30522000,36,16,8,0.155,0,31793749.99,TRUE,Full-time,66,0,4,0.45,148108005,Other,E,0,259,2,2,0,0,WA,Pagi - Sore,Akhir Bulan,M-Banking,0,205,mudah
7.07892E+15,"Garang Sitompul, S.I.Kom",perempuan,"Jambi, 03-05-1974",49,40722,8,1,"Jalan Sukabumi No. 850
Yogyakarta, SU 40722",+62 (0082) 058-6413,0,0,0,0,0,0,0,0,0,0,0,0,72489750,36,15,1,0.3099,0,19076250,FALSE,Employed,27,0,6,0.16,0,Food Service,E,0,662,4,2,0,0,WA,Siang - Malam,Awal Bulan,M-Banking,0,401,sulit
5.81659E+15,Tgk. Siska Saputra,perempuan,"Sumatera Selatan, 27-02-1986",37,20196,11,20,"Gang Lembong No. 49
Tual, Sulawesi Utara 20196",+62 (0548) 379 4861,0,0,0,0,0,0,0,0,0,0,0,0,76305000,36,11,9,0.2,0,68565129.49,TRUE,Full-time,16,0,9,0.2,1953789525,Engineer - Electrical,E,0,1838,0,1,0,0,Telepon,Malam - Pagi,Akhir Bulan,M-Banking,0,317,sedang
4.5093E+15,Among Sihotang,laki-laki,"Papua, 21-03-1962",61,8669,11,12,"Gg. Stasiun Wonokromo No. 29
Tidore Kepulauan, DI Yogyakarta 08669",+62 (098) 970 3865,0,0,0,0,0,0,0,0,0,0,0,0,61044000,36,16,9,0.3125,2,98560624.99,TRUE,Employed,120,0,11,0.22,131259861,Other,HR,0,527,2,2,0,0,Telepon,Pagi - Sore,Akhir Bulan,Langsung,0,318,sedang
7.21987E+15,"Hartana Suryono, S.Gz",perempuan,"Jambi, 06-09-1967",56,95603,14,3,"Jl. Pelajar Pejuang No. 13
Sabang, SN 95603",+62 (0191) 887-7959,0,0,0,0,0,0,0,0,0,0,0,0,114457500,36,8,9,0.3199,0,89022499.99,TRUE,Full-time,134,0,5,0.3,78441540,Other,E,0,1020,1,1,0,0,WA,Pagi - Sore,Awal Bulan,ATM,0,357,sedang
1.02562E+15,Kania Haryanti,perempuan,"DI Yogyakarta, 16-04-1992",31,21935,10,10,"Jl. Ir. H. Djuanda No. 24
Lhokseumawe, SN 21935",+62 (065) 117-6097,0,0,0,0,0,0,0,0,0,0,0,0,61044000,36,13,12,0.2099,0,50869999.99,FALSE,Full-time,76,0,4,0.29,72596577,Clerical,E,0,1373,2,5,0,0,WA,Pagi - Sore,Awal Bulan,ATM,0,362,sedang
7.9756E+15,"Joko Tampubolon, S.Psi",laki-laki,"Sulawesi Barat, 09-07-1988",35,92214,11,8,"Gg. H.J Maemunah No. 35
Tanjungbalai, Lampung 92214",+62 (66) 574-1944,0,0,0,0,0,0,0,0,0,0,0,0,61044000,60,5,6,0.3057,0,38152500,FALSE,Employed,73,0,7,0.84,102920184,Other,E,0,478,2,5,0,0,WA,Malam - Pagi,Akhir Bulan,M-Banking,0,448,sulit
6.38518E+15,Tina Suartini,perempuan,"Kalimantan Barat, 30-07-1969",54,58925,16,6,"Jl. Monginsidi No. 9
Sungai Penuh, Riau 58925",+62 (076) 067 9489,0,0,0,0,0,0,0,0,0,0,0,0,36626400,36,16,66,0.316,0,65749474.99,FALSE,Employed,38,0,6,0.33,234668397,Professional,E,0,266,5,0,0,0,SMS,Pagi - Sore,Awal Bulan,Langsung,0,391,sulit
8.60362E+15,Ir. Ida Wibisono,perempuan,"Kalimantan Tengah, 11-08-1997",26,53252,17,15,"Jl. Pasir Koja No. 8
Ternate, Jawa Barat 53252",+62 (131) 807 9086,0,0,0,0,0,0,0,0,0,0,0,0,45783000,36,7,6,0.35,8,27978499.99,TRUE,Full-time,64,0,20,0.29,87262398,Clerical,E,0,2112,0,2,0,0,Telepon,Siang - Malam,Awal Bulan,M-Banking,0,413,sulit
5.8031E+15,Soleh Mustofa,perempuan,"Aceh, 03-05-1980",43,25444,15,13,"Gang Lembong No. 968
Balikpapan, GO 25444",+62 (015) 858 1155,0,0,0,0,0,0,0,0,0,0,0,0,61044000,36,28,27,0.35,1,76305000,FALSE,Full-time,125,0,20,0.23,3235332,Professional,HR,0,776,3,2,1,0,Telepon,Malam - Pagi,Akhir Bulan,M-Banking,0,445,sulit
7.40619E+15,"Yessi Thamrin, S.E.",laki-laki,"Papua Barat, 17-06-1996",27,13288,6,11,"Jl. Moch. Ramdan No. 69
Dumai, JA 13288",+62 (411) 086 3714,0,0,0,0,0,0,0,0,0,0,0,0,228915000,60,13,2,0.1939,0,38152500,FALSE,Employed,13,0,5,0.24,335742,Retail Management,B,0,241,1,2,1,0,Telepon,Pagi - Sore,Akhir Bulan,M-Banking,0,449,sulit
8.31621E+15,Mustofa Palastri,laki-laki,"Kalimantan Utara, 05-03-1970",53,54833,11,7,"Gg. Cihampelas No. 52
Langsa, NT 54833",+62 (80) 325 8840,0,0,0,0,0,0,0,0,0,0,0,0,30522000,36,33,7,0.2575,0,23486679,TRUE,Retired,131,0,7,0.39,93992499,Other,D,0,434,2,3,0,0,Telepon,Siang - Malam,Awal Bulan,ATM,0,328,sedang
5.03705E+15,"Hilda Widiastuti, S.Pt",perempuan,"Kepulauan Bangka Belitung, 17-11-1992",31,97413,13,12,"Gg. Indragiri No. 133
Kota Administrasi Jakarta Barat, Papua Barat 97413",+62-13-479-0986,0,0,0,0,0,0,0,0,0,0,0,0,61044000,60,7,21,0.1334,1,36880750.01,TRUE,Employed,70,0,7,0.32,97609356,Truck Driver,A,0,181,1,4,0,1,WA,Siang - Malam,Awal Bulan,M-Banking,0,282,sedang
7.98482E+15,Ibrahim Firmansyah,laki-laki,"Jawa Timur, 08-06-1994",29,75263,17,7,"Jalan Jayawijaya No. 16
Prabumulih, Maluku Utara 75263",+62-29-670-2515,0,0,0,0,0,0,0,0,0,0,0,0,228915000,60,17,8,0.183,0,99196500,TRUE,Employed,110,0,7,0.18,4593561,Other,B,0,220,1,5,0,0,Secara Langsung,Pagi - Sore,Awal Bulan,e-Money,0,390,sulit
6.35033E+15,Sabrina Zulaika,perempuan,"Gorontalo, 19-09-1966",57,91291,6,17,"Gang R.E Martadinata No. 8
Pariaman, Papua 91291",+62 (02) 785-1261,0,0,0,0,0,0,0,0,0,0,0,0,30522000,36,19,11,0.316,2,43239499.99,FALSE,Full-time,278,0,10,0.33,52955670,Other,E,0,419,2,1,0,0,Telepon,Pagi - Sore,Awal Bulan,ATM,0,360,sedang
5.74268E+15,Salimah Lestari,laki-laki,"Sulawesi Tengah, 22-08-1990",33,87368,13,7,"Gg. Jend. Sudirman No. 8
Sawahlunto, Sumatera Utara 87368",+62 (27) 356-1092,0,0,0,0,0,0,0,0,0,0,0,0,61044000,36,22,18,0.2999,1,47034402,TRUE,Full-time,64,0,6,0.25,187359297,Medical Technician,E,0,145,3,0,0,0,Telepon,Malam - Pagi,Awal Bulan,M-Banking,0,318,sedang
