debtor_name,debtor_gender,debtor_age,debtor_marital_status,number_of_number_of_dependents,debtor_education_level,employment_year,monthly_income,monthly_expenses,asset_value,down_payment_percentage,paid_down_payment,loan_amount,interest_rate,tenor,monthly_payment,loan_income_expenses_ratio,total_capital,clasify_total_capital,ses,default_risk,loan_purpose,default_score,default_potential,recommendation
Fathonah Novitasari,laki-laki,46,Sudah menikah,1,S1,6,34500000,17200000,610000000.0,0.3,240000000,560000000,11,120,7714001,44.59,688600000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit properti,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 560000000 dengan cicilan per bulan sebesar 7714001 dan bunga pertahun sebesar 11%."
Zulfa Mustofa,laki-laki,43,Belum menikah,0,S1,6,29000000,7200000,330000000.0,0.2,600000,2400000,4,72,37548,0.17,648600000.0,Sangat Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 37548 dan bunga pertahun sebesar 4%."
"drg. Diah Padmasari, S.Sos",perempuan,47,Sudah menikah,3,S1,3,7500000,4400000,500000000.0,0.2,16000000,64000000,8,48,1562427,50.4,180200000.0,Cukup,Sangat Tinggi,Baik,kredit kendaraan bermotor,450,Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1562427 dan bunga pertahun sebesar 8%."
Elisa Maheswara,laki-laki,49,Belum menikah,0,SD,6,7500000,2100000,80000000.0,0.2,16000000,64000000,12,48,1685365,31.21,168800000.0,Cukup,Rendah,Netral,kredit kendaraan bermotor,1400,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1685365 dan bunga pertahun sebesar 12%."
"Dr. Belinda Putra, S.Pt",perempuan,34,Belum menikah,0,D3,2,9000000,2100000,370000000.0,0.2,16000000,64000000,8,48,1562427,22.64,229800000.0,Cukup,Tinggi,Sangat Baik,kredit kendaraan bermotor,100,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1562427 dan bunga pertahun sebesar 8%."
Mahdi Iswahyudi,laki-laki,28,Belum menikah,0,SMA,3,4000000,1900000,100000000.0,0.2,70000000,280000000,7,72,4773722,227.32,86200000.0,Sangat Lemah,Menengah,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 4773722 dan bunga pertahun sebesar 7%."
"Kardi Sudiati, S.Ked",perempuan,44,Sudah menikah,3,SMA,7,9500000,5600000,80000000.0,0.2,16000000,64000000,8,48,1562427,40.06,175800000.0,Cukup,Sangat Rendah,Beresiko,kredit kendaraan bermotor,1900,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1562427 dan bunga pertahun sebesar 8%."
Jatmiko Natsir,perempuan,48,Belum menikah,0,S3,2,18000000,10400000,310000000.0,0.2,60000000,240000000,10,48,6087020,80.09,340200000.0,Kuat,Menengah,Sangat Beresiko,kredit kendaraan bermotor,2150,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 6087020 dan bunga pertahun sebesar 10%."
Damar Hartati,perempuan,38,Belum menikah,0,SMA,4,5000000,2800000,250000000.0,0.2,70000000,280000000,6,72,4640409,210.93,115400000.0,Lemah,Sangat Rendah,Sangat Beresiko,kredit usaha,2550,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 4640409 dan bunga pertahun sebesar 6%."
"Paiman Dongoran, S.H.",laki-laki,35,Sudah menikah,2,D4,5,22500000,8500000,540000000.0,0.15,450000,2550000,7,72,43475,0.31,497000000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 43475 dan bunga pertahun sebesar 7%."
Wani Widodo,laki-laki,42,Sudah menikah,3,SMA,3,3000000,900000,220000000.0,0.2,70000000,280000000,8,72,4909307,233.78,86200000.0,Sangat Lemah,Sangat Rendah,Sangat Beresiko,kredit usaha,2550,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 4909307 dan bunga pertahun sebesar 8%."
"Candra Latupono, S.Pd",laki-laki,28,Sudah menikah,4,SMA,8,6000000,2500000,80000000.0,0.3,150000000,350000000,6,120,3885718,111.02,130000000.0,Lemah,Rendah,Sangat Beresiko,kredit properti,2300,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 3885718 dan bunga pertahun sebesar 6%."
Kenes Hariyah,laki-laki,57,Belum menikah,0,SMA,6,14500000,4700000,140000000.0,0.2,600000,2400000,6,72,39775,0.41,311600000.0,Kuat,Menengah,Sangat Baik,kredit usaha,250,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 39775 dan bunga pertahun sebesar 6%."
Maya Wahyudin,perempuan,40,Belum menikah,0,D3,5,4000000,800000,150000000.0,0.25,125000000,375000000,10,120,4955653,154.86,106400000.0,Lemah,Menengah,Sangat Beresiko,kredit properti,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 375000000 dengan cicilan per bulan sebesar 4955653 dan bunga pertahun sebesar 10%."
Gandi Mahendra,laki-laki,42,Belum menikah,0,SMA,8,7000000,4000000,210000000.0,0.2,16000000,64000000,11,48,1654113,55.14,149000000.0,Lemah,Sangat Rendah,Beresiko,kredit kendaraan bermotor,1700,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1654113 dan bunga pertahun sebesar 11%."
Kamaria Setiawan,laki-laki,48,Belum menikah,0,SMA,5,4000000,1400000,250000000.0,0.2,16000000,64000000,7,48,1532560,58.94,109200000.0,Lemah,Tinggi,Beresiko,kredit kendaraan bermotor,950,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1532560 dan bunga pertahun sebesar 7%."
Anom Pratama,laki-laki,47,Sudah menikah,4,SMA,9,12500000,4000000,230000000.0,0.35,175000000,325000000,8,120,3943147,46.39,284000000.0,Kuat,Tinggi,Beresiko,kredit properti,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 325000000 dengan cicilan per bulan sebesar 3943147 dan bunga pertahun sebesar 8%."
Harja Wasita,perempuan,22,Belum menikah,0,D3,0,5500000,1800000,400000000.0,0.2,70000000,280000000,3,72,4254229,114.98,150400000.0,Cukup,Tinggi,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 4254229 dan bunga pertahun sebesar 3%."
"Safina Waskita, M.M.",perempuan,37,Belum menikah,0,S1,5,22500000,5200000,690000000.0,0.25,750000,2250000,8,72,39450,0.23,551600000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2250000 dengan cicilan per bulan sebesar 39450 dan bunga pertahun sebesar 8%."
Salwa Wijaya,perempuan,32,Sudah menikah,3,S1,5,20500000,9000000,460000000.0,0.25,200000000,600000000,10,120,7929044,68.95,435000000.0,Sangat Kuat,Tinggi,Sangat Beresiko,kredit properti,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 600000000 dengan cicilan per bulan sebesar 7929044 dan bunga pertahun sebesar 10%."
Restu Sitorus,laki-laki,45,Belum menikah,0,SMA,2,6000000,1600000,280000000.0,0.3,150000000,350000000,11,120,4821250,109.57,154800000.0,Cukup,Tinggi,Sangat Beresiko,kredit properti,1900,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4821250 dan bunga pertahun sebesar 11%."
Lamar Tampubolon,perempuan,34,Belum menikah,0,SMA,6,6000000,2700000,290000000.0,0.3,150000000,350000000,9,120,4433652,134.35,146600000.0,Lemah,Tinggi,Sangat Beresiko,kredit properti,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4433652 dan bunga pertahun sebesar 9%."
"Dt. Tirtayasa Sihombing, S.Sos",laki-laki,49,Belum menikah,0,S2,7,33000000,17300000,140000000.0,0.2,100000000,400000000,4,72,6258073,39.86,605400000.0,Sangat Kuat,Tinggi,Netral,kredit kendaraan bermotor,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 400000000 dengan cicilan per bulan sebesar 6258073 dan bunga pertahun sebesar 4%."
"R. Shakila Puspasari, S.I.Kom",perempuan,31,Sudah menikah,3,S3,1,18500000,6100000,650000000.0,0.35,175000000,325000000,12,120,4662806,37.6,436800000.0,Sangat Kuat,Sangat Tinggi,Netral,kredit properti,700,Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 325000000 dengan cicilan per bulan sebesar 4662806 dan bunga pertahun sebesar 12%."
Ir. Makara Mangunsong,laki-laki,32,Belum menikah,0,SMP,4,7500000,4200000,130000000.0,0.15,52500000,297500000,3,72,4520119,136.97,146600000.0,Lemah,Sangat Rendah,Sangat Beresiko,kredit usaha,2550,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 297500000 dengan cicilan per bulan sebesar 4520119 dan bunga pertahun sebesar 3%."
Vera Novitasari,laki-laki,40,Sudah menikah,1,D3,10,12500000,5800000,190000000.0,0.2,600000,2400000,8,72,42080,0.63,259400000.0,Kuat,Menengah,Sangat Baik,kredit usaha,250,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 42080 dan bunga pertahun sebesar 8%."
Harimurti Siregar,perempuan,32,Sudah menikah,4,SMA,7,7500000,1900000,230000000.0,0.3,150000000,350000000,12,120,5021483,89.67,187200000.0,Cukup,Tinggi,Sangat Beresiko,kredit properti,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 5021483 dan bunga pertahun sebesar 12%."
Bajragin Rajata,laki-laki,32,Sudah menikah,5,SMA,2,5000000,1800000,210000000.0,0.15,52500000,297500000,8,72,5216139,163.0,121400000.0,Lemah,Tinggi,Sangat Beresiko,kredit usaha,1900,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 297500000 dengan cicilan per bulan sebesar 5216139 dan bunga pertahun sebesar 8%."
Ir. Elma Prasasta,perempuan,34,Belum menikah,0,D4,0,17000000,9100000,720000000.0,0.2,60000000,240000000,6,48,5636407,71.35,370800000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit kendaraan bermotor,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5636407 dan bunga pertahun sebesar 6%."
Raina Dabukke,perempuan,36,Belum menikah,0,S1,4,24000000,7700000,740000000.0,0.2,100000000,400000000,9,72,7210215,44.23,561600000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit kendaraan bermotor,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 400000000 dengan cicilan per bulan sebesar 7210215 dan bunga pertahun sebesar 9%."
"Faizah Permata, M.Kom.",perempuan,33,Belum menikah,0,S1,6,16500000,8700000,320000000.0,0.2,60000000,240000000,5,48,5527030,70.86,329600000.0,Kuat,Tinggi,Sangat Beresiko,kredit kendaraan bermotor,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5527030 dan bunga pertahun sebesar 5%."
Ifa Hartati,laki-laki,21,Sudah menikah,3,SMA,1,5500000,1200000,80000000.0,0.25,125000000,375000000,8,120,4549785,105.81,126600000.0,Lemah,Rendah,Sangat Beresiko,kredit properti,2400,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 375000000 dengan cicilan per bulan sebesar 4549785 dan bunga pertahun sebesar 8%."
Umi Handayani,laki-laki,14,Sudah menikah,3,SMA,0,5500000,1600000,80000000.0,0.2,16000000,64000000,7,48,1532560,39.3,120800000.0,Lemah,Rendah,Netral,kredit kendaraan bermotor,1650,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1532560 dan bunga pertahun sebesar 7%."
Dt. Aslijan Hidayanto,laki-laki,26,Sudah menikah,5,SMA,2,5500000,3200000,130000000.0,0.25,125000000,375000000,7,120,4354068,189.31,108600000.0,Lemah,Sangat Rendah,Sangat Beresiko,kredit properti,2650,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 375000000 dengan cicilan per bulan sebesar 4354068 dan bunga pertahun sebesar 7%."
T. Laswi Budiyanto,perempuan,38,Belum menikah,0,SMA,5,5500000,1200000,150000000.0,0.15,52500000,297500000,3,72,4520119,105.12,137600000.0,Lemah,Menengah,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 297500000 dengan cicilan per bulan sebesar 4520119 dan bunga pertahun sebesar 3%."
Sarah Latupono,perempuan,47,Cerai Hidup,1,D4,3,11500000,6400000,390000000.0,0.2,60000000,240000000,6,48,5636407,110.52,241200000.0,Cukup,Tinggi,Sangat Beresiko,kredit kendaraan bermotor,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5636407 dan bunga pertahun sebesar 6%."
Indah Andriani,laki-laki,55,Belum menikah,0,S1,5,7500000,1900000,140000000.0,0.2,16000000,64000000,5,48,1473875,26.32,176200000.0,Cukup,Menengah,Baik,kredit kendaraan bermotor,500,Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1473875 dan bunga pertahun sebesar 5%."
"drg. Ophelia Januar, S.Kom",laki-laki,16,Belum menikah,0,SMA,0,6000000,3600000,90000000.0,0.2,70000000,280000000,7,72,4773722,198.91,109800000.0,Lemah,Sangat Rendah,Sangat Beresiko,kredit usaha,2800,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 4773722 dan bunga pertahun sebesar 7%."
Amelia Pangestu,laki-laki,48,Belum menikah,0,S1,7,18500000,7700000,350000000.0,0.2,60000000,240000000,5,48,5527030,51.18,393600000.0,Sangat Kuat,Tinggi,Beresiko,kredit kendaraan bermotor,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5527030 dan bunga pertahun sebesar 5%."
Salwa Novitasari,perempuan,38,Sudah menikah,1,D4,4,8000000,3900000,280000000.0,0.25,125000000,375000000,11,120,5165625,125.99,177200000.0,Cukup,Menengah,Sangat Beresiko,kredit properti,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 375000000 dengan cicilan per bulan sebesar 5165625 dan bunga pertahun sebesar 11%."
Erik Hasanah,laki-laki,28,Belum menikah,0,S1,4,10500000,5100000,700000000.0,0.3,150000000,350000000,9,120,4433652,82.1,264800000.0,Kuat,Sangat Tinggi,Sangat Beresiko,kredit properti,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4433652 dan bunga pertahun sebesar 9%."
Dr. Gantar Maulana,perempuan,34,Sudah menikah,3,S2,3,13000000,7200000,560000000.0,0.25,75000000,225000000,5,48,5181591,89.34,284600000.0,Kuat,Sangat Tinggi,Sangat Beresiko,kredit kendaraan bermotor,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 225000000 dengan cicilan per bulan sebesar 5181591 dan bunga pertahun sebesar 5%."
"H. Timbul Susanti, S.Sos",perempuan,37,Cerai Hidup,3,SMA,7,6000000,1500000,90000000.0,0.2,70000000,280000000,8,72,4909307,109.1,142000000.0,Lemah,Rendah,Sangat Beresiko,kredit usaha,2300,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 4909307 dan bunga pertahun sebesar 8%."
Cindy Ardianto,perempuan,19,Sudah menikah,2,SMA,0,4000000,1400000,100000000.0,0.2,16000000,64000000,9,48,1592643,61.26,89200000.0,Sangat Lemah,Menengah,Sangat Beresiko,kredit kendaraan bermotor,2000,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1592643 dan bunga pertahun sebesar 9%."
Puti Intan Sudiati,perempuan,15,Sudah menikah,1,SD,0,5000000,1100000,180000000.0,0.15,52500000,297500000,7,72,5072079,130.05,124800000.0,Lemah,Menengah,Sangat Beresiko,kredit usaha,2300,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 297500000 dengan cicilan per bulan sebesar 5072079 dan bunga pertahun sebesar 7%."
Emong Anggraini,perempuan,25,Sudah menikah,4,S1,1,9500000,3800000,180000000.0,0.2,70000000,280000000,5,72,4509381,79.11,201400000.0,Cukup,Menengah,Sangat Beresiko,kredit usaha,2150,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 4509381 dan bunga pertahun sebesar 5%."
Heryanto Megantara,perempuan,27,Sudah menikah,5,D3,4,9500000,3900000,450000000.0,0.2,70000000,280000000,10,72,5187235,92.63,230200000.0,Cukup,Tinggi,Sangat Beresiko,kredit usaha,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 5187235 dan bunga pertahun sebesar 10%."
"Yuliana Sihombing, M.TI.",perempuan,34,Belum menikah,0,S2,6,48500000,11900000,590000000.0,0.15,300000000,1700000000,10,300,15447913,42.21,1086200000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit usaha,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 1700000000 dengan cicilan per bulan sebesar 15447913 dan bunga pertahun sebesar 10%."
"Kayla Prabowo, M.Pd",laki-laki,37,Belum menikah,0,SMP,3,5000000,2400000,240000000.0,0.15,52500000,297500000,9,72,5362597,206.25,118200000.0,Lemah,Tinggi,Sangat Beresiko,kredit usaha,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 297500000 dengan cicilan per bulan sebesar 5362597 dan bunga pertahun sebesar 9%."
Malika Mahendra,perempuan,33,Sudah menikah,4,S2,3,10500000,2200000,540000000.0,0.3,150000000,350000000,6,120,3885718,46.82,282600000.0,Kuat,Sangat Tinggi,Beresiko,kredit properti,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 3885718 dan bunga pertahun sebesar 6%."
Adika Wahyudin,perempuan,39,Belum menikah,0,SMA,5,10000000,5300000,130000000.0,0.25,75000000,225000000,9,48,5599135,119.13,194400000.0,Cukup,Sangat Rendah,Sangat Beresiko,kredit kendaraan bermotor,2550,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 225000000 dengan cicilan per bulan sebesar 5599135 dan bunga pertahun sebesar 9%."
drg. Kusuma Pertiwi,laki-laki,33,Sudah menikah,2,SMA,5,6000000,3100000,170000000.0,0.2,16000000,64000000,4,48,1445059,49.83,128800000.0,Lemah,Sangat Rendah,Beresiko,kredit kendaraan bermotor,1600,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1445059 dan bunga pertahun sebesar 4%."
