debtor_name,debtor_gender,debtor_age,debtor_marital_status,number_of_number_of_dependents,debtor_education_level,employment_year,monthly_income,monthly_expenses,asset_value,down_payment_percentage,paid_down_payment,loan_amount,interest_rate,tenor,monthly_payment,loan_income_expenses_ratio,total_capital,clasify_total_capital,ses,default_risk,loan_purpose,default_score,default_potential,recommendation
Dt. Prayoga Widodo,laki-laki,26,Sudah menikah,2,D4,2,13500000,7800000,740000000.0,0.25,125000000,375000000,10,120,4955652.63,86.94,306400000.0,Kuat,Sangat Tinggi,Sangat Beresiko,kredit properti,1900,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 10% dengan cicilan selama 120 bulan"
Titi Sitompul,perempuan,58,Sudah menikah,1,S3,4,27500000,9000000,390000000.0,0.25,200000000,600000000,6,120,6661230.12,36.01,595000000.0,Sangat Kuat,Tinggi,Netral,kredit properti,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 800000000 dengan bunga sebesar 6% dengan cicilan selama 120 bulan"
"drg. Icha Maryadi, S.I.Kom",perempuan,32,Belum menikah,0,SMA,6,5500000,1800000,80000000.0,0.2,16000000,64000000,5,48,1473874.79,39.83,124400000.0,Lemah,Rendah,Netral,kredit kendaraan bermotor,1400,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 5% dengan cicilan selama 48 bulan"
Rahmi Prasetyo,perempuan,33,Sudah menikah,4,SMA,3,5500000,2100000,210000000.0,0.3,150000000,350000000,7,120,4063796.77,119.52,130800000.0,Lemah,Tinggi,Sangat Beresiko,kredit properti,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 7% dengan cicilan selama 120 bulan"
Samiah Hidayanto,laki-laki,33,Belum menikah,0,D3,6,4500000,1000000,80000000.0,0.25,125000000,375000000,9,120,4750341.52,135.72,110000000.0,Lemah,Rendah,Sangat Beresiko,kredit properti,2300,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 9% dengan cicilan selama 120 bulan"
"H. Danu Saragih, M.Pd",laki-laki,31,Belum menikah,0,S2,4,29500000,7400000,230000000.0,0.2,100000000,400000000,12,72,7820077.0,35.38,646200000.0,Sangat Kuat,Tinggi,Netral,kredit kendaraan bermotor,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 12% dengan cicilan selama 72 bulan"
Lukman Hakim,laki-laki,39,Belum menikah,0,S1,4,17000000,6300000,250000000.0,0.2,60000000,240000000,11,48,6202925.43,57.97,361400000.0,Sangat Kuat,Menengah,Beresiko,kredit kendaraan bermotor,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 11% dengan cicilan selama 48 bulan"
Hartana Tampubolon,perempuan,40,Sudah menikah,4,D3,4,8500000,2800000,270000000.0,0.2,16000000,64000000,6,48,1503041.86,26.37,201400000.0,Cukup,Menengah,Baik,kredit kendaraan bermotor,500,Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 6% dengan cicilan selama 48 bulan"
Salimah Hassanah,laki-laki,33,Belum menikah,0,S2,5,20500000,8900000,840000000.0,0.2,100000000,400000000,8,72,7013296.24,60.46,474200000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit kendaraan bermotor,950,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 8% dengan cicilan selama 72 bulan"
"KH. Heru Sinaga, S.IP",laki-laki,37,Sudah menikah,5,D4,7,36000000,12600000,680000000.0,0.15,450000,2550000,9,72,45965.12,0.2,787800000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 9% dengan cicilan selama 72 bulan"
Drs. Balapati Pradana,laki-laki,13,Belum menikah,0,SMA,0,4500000,2300000,170000000.0,0.25,87500000,262500000,9,72,4731703.51,215.08,97400000.0,Sangat Lemah,Sangat Rendah,Sangat Beresiko,kredit usaha,2800,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 9% dengan cicilan selama 72 bulan"
Kezia Andriani,perempuan,41,Sudah menikah,1,S2,7,33000000,11300000,370000000.0,0.15,450000,2550000,5,72,41067.58,0.19,700400000.0,Sangat Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 5% dengan cicilan selama 72 bulan"
"T. Cahyono Budiman, M.M.",laki-laki,37,Belum menikah,0,SMA,2,3500000,900000,300000000.0,0.2,70000000,280000000,6,72,4640408.61,178.48,105200000.0,Lemah,Sangat Rendah,Sangat Beresiko,kredit usaha,2650,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 6% dengan cicilan selama 72 bulan"
Gada Winarno,perempuan,31,Belum menikah,0,SMA,5,5000000,1500000,270000000.0,0.2,16000000,64000000,7,48,1532559.66,43.79,134000000.0,Lemah,Tinggi,Beresiko,kredit kendaraan bermotor,850,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 7% dengan cicilan selama 48 bulan"
Agus Saptono,laki-laki,21,Belum menikah,0,SMA,0,3000000,600000,150000000.0,0.2,16000000,64000000,6,48,1503041.86,62.63,79800000.0,Sangat Lemah,Sangat Rendah,Beresiko,kredit kendaraan bermotor,1950,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 6% dengan cicilan selama 48 bulan"
R.M. Mitra Jailani,laki-laki,36,Sudah menikah,2,SMA,6,4500000,2000000,180000000.0,0.2,16000000,64000000,9,48,1592642.71,63.71,108000000.0,Lemah,Menengah,Beresiko,kredit kendaraan bermotor,1200,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 9% dengan cicilan selama 48 bulan"
Tgk. Jamal Maryati,laki-laki,17,Sudah menikah,2,SMP,0,5000000,1100000,90000000.0,0.15,52500000,297500000,4,72,4654441.96,119.34,115800000.0,Lemah,Rendah,Sangat Beresiko,kredit usaha,2550,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 4% dengan cicilan selama 72 bulan"
"Martaka Padmasari, S.Psi",perempuan,27,Sudah menikah,1,S2,0,16500000,7600000,680000000.0,0.3,150000000,350000000,12,120,5021483.19,56.42,372800000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit properti,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 12% dengan cicilan selama 120 bulan"
"Paulin Kurniawan, S.E.I",laki-laki,41,Sudah menikah,2,S1,4,5500000,2700000,640000000.0,0.2,16000000,64000000,11,48,1654113.45,59.08,167600000.0,Cukup,Sangat Tinggi,Baik,kredit kendaraan bermotor,450,Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 11% dengan cicilan selama 48 bulan"
Shakila Firgantoro,laki-laki,27,Sudah menikah,5,S2,0,11000000,3400000,610000000.0,0.2,60000000,240000000,9,48,5972410.17,78.58,284200000.0,Kuat,Sangat Tinggi,Beresiko,kredit kendaraan bermotor,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 9% dengan cicilan selama 48 bulan"
"Prima Winarno, S.Pt",perempuan,34,Sudah menikah,2,D3,2,10000000,2000000,280000000.0,0.25,125000000,375000000,10,120,4955652.63,61.95,246000000.0,Cukup,Menengah,Sangat Beresiko,kredit properti,1850,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 10% dengan cicilan selama 120 bulan"
Baktianto Tarihoran,laki-laki,49,Cerai Mati,2,S2,6,28000000,16700000,490000000.0,0.2,100000000,400000000,5,72,6441973.06,57.01,526600000.0,Sangat Kuat,Tinggi,Beresiko,kredit kendaraan bermotor,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 5% dengan cicilan selama 72 bulan"
Icha Utama,laki-laki,35,Belum menikah,0,S1,3,9500000,2300000,160000000.0,0.2,16000000,64000000,7,48,1532559.66,21.29,219400000.0,Cukup,Menengah,Baik,kredit kendaraan bermotor,500,Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 7% dengan cicilan selama 48 bulan"
"Edi Hartati, S.Pd",perempuan,37,Sudah menikah,2,S1,3,18000000,8600000,560000000.0,0.2,60000000,240000000,12,48,6320120.5,67.24,387800000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit kendaraan bermotor,950,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 12% dengan cicilan selama 48 bulan"
"Mustofa Zulaika, S.H.",perempuan,25,Sudah menikah,2,D4,1,14500000,5400000,370000000.0,0.25,125000000,375000000,6,120,4163268.82,45.75,321200000.0,Kuat,Tinggi,Beresiko,kredit properti,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 6% dengan cicilan selama 120 bulan"
"Dr. Vanesa Nababan, S.I.Kom",laki-laki,44,Belum menikah,0,SMA,1,4000000,1200000,170000000.0,0.15,52500000,297500000,10,72,5511436.74,196.84,99600000.0,Sangat Lemah,Menengah,Sangat Beresiko,kredit usaha,2150,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 10% dengan cicilan selama 72 bulan"
Muhammad Pratama,perempuan,44,Sudah menikah,3,S1,5,22500000,5200000,630000000.0,0.2,100000000,400000000,4,72,6258073.23,36.17,545600000.0,Sangat Kuat,Sangat Tinggi,Netral,kredit kendaraan bermotor,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 4% dengan cicilan selama 72 bulan"
Sutan Cakrabuana Suartini,perempuan,26,Belum menikah,0,S1,2,15000000,4000000,440000000.0,0.2,60000000,240000000,9,48,5972410.17,54.29,358000000.0,Sangat Kuat,Tinggi,Beresiko,kredit kendaraan bermotor,1350,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 9% dengan cicilan selama 48 bulan"
Iriana Widodo,laki-laki,29,Belum menikah,0,S1,5,18500000,4900000,370000000.0,0.3,150000000,350000000,11,120,4821250.4,35.45,427200000.0,Sangat Kuat,Tinggi,Netral,kredit properti,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 11% dengan cicilan selama 120 bulan"
Devi Astuti,laki-laki,23,Sudah menikah,4,D4,0,6500000,1700000,650000000.0,0.2,70000000,280000000,10,72,5187234.58,108.07,200600000.0,Cukup,Sangat Tinggi,Sangat Beresiko,kredit usaha,1750,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 10% dengan cicilan selama 72 bulan"
Bakijan Mandala,perempuan,21,Belum menikah,0,SMA,1,3500000,1400000,90000000.0,0.25,125000000,375000000,12,120,5380160.57,256.2,77200000.0,Sangat Lemah,Sangat Rendah,Sangat Beresiko,kredit properti,2650,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 12% dengan cicilan selama 120 bulan"
Hasim Agustina,perempuan,30,Belum menikah,0,SMA,7,8000000,3200000,80000000.0,0.25,20000000,60000000,11,48,1550731.36,32.31,168600000.0,Cukup,Menengah,Netral,kredit kendaraan bermotor,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 11% dengan cicilan selama 48 bulan"
Bakianto Simanjuntak,laki-laki,47,Belum menikah,0,SMA,8,9000000,2400000,100000000.0,0.25,125000000,375000000,12,120,5380160.57,81.52,205200000.0,Cukup,Menengah,Sangat Beresiko,kredit properti,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 12% dengan cicilan selama 120 bulan"
"Dt. Rafi Oktaviani, M.M.",perempuan,29,Cerai Mati,0,SMA,5,7000000,3200000,240000000.0,0.2,16000000,64000000,10,48,1623205.34,42.72,158600000.0,Cukup,Tinggi,Beresiko,kredit kendaraan bermotor,850,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 10% dengan cicilan selama 48 bulan"
Pia Widiastuti,perempuan,35,Sudah menikah,4,S2,6,55000000,29100000,910000000.0,0.2,100000000,400000000,7,72,6819602.59,26.33,1067800000.0,Sangat Kuat,Sangat Tinggi,Baik,kredit kendaraan bermotor,250,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 7% dengan cicilan selama 72 bulan"
Gara Suryatmi,laki-laki,34,Belum menikah,0,S1,6,16500000,5900000,120000000.0,0.2,60000000,240000000,8,48,5859101.36,55.27,343200000.0,Kuat,Menengah,Beresiko,kredit kendaraan bermotor,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 8% dengan cicilan selama 48 bulan"
drg. Mariadi Farida,perempuan,18,Sudah menikah,2,SMA,0,3500000,900000,170000000.0,0.2,16000000,64000000,11,48,1654113.45,63.62,90200000.0,Sangat Lemah,Sangat Rendah,Beresiko,kredit kendaraan bermotor,1950,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 11% dengan cicilan selama 48 bulan"
Umi Wijayanti,laki-laki,44,Sudah menikah,5,S2,7,52500000,26400000,630000000.0,0.15,300000000,1700000000,9,300,14266338.18,54.66,1013200000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit usaha,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2000000000 dengan bunga sebesar 9% dengan cicilan selama 300 bulan"
Sadina Susanti,laki-laki,33,Sudah menikah,2,S1,6,38500000,17900000,310000000.0,0.2,100000000,400000000,4,72,6258073.23,30.38,746200000.0,Sangat Kuat,Tinggi,Netral,kredit kendaraan bermotor,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 4% dengan cicilan selama 72 bulan"
Balapati Kuswoyo,perempuan,38,Belum menikah,0,S2,6,34000000,11700000,190000000.0,0.2,100000000,400000000,10,72,7410335.11,33.23,700600000.0,Sangat Kuat,Tinggi,Netral,kredit kendaraan bermotor,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 10% dengan cicilan selama 72 bulan"
"Dt. Luwes Dabukke, S.Ked",perempuan,28,Sudah menikah,2,S2,1,14500000,7900000,290000000.0,0.25,125000000,375000000,10,120,4955652.63,75.09,283200000.0,Kuat,Menengah,Sangat Beresiko,kredit properti,2150,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 10% dengan cicilan selama 120 bulan"
"Hj. Almira Pratama, S.T.",perempuan,43,Belum menikah,0,SD,4,4000000,1800000,270000000.0,0.15,52500000,297500000,10,72,5511436.74,250.52,105400000.0,Lemah,Tinggi,Sangat Beresiko,kredit usaha,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 10% dengan cicilan selama 72 bulan"
Luluh Nainggolan,laki-laki,38,Cerai Mati,0,S2,6,46500000,22100000,430000000.0,0.2,100000000,400000000,4,72,6258073.23,25.65,899800000.0,Sangat Kuat,Tinggi,Netral,kredit kendaraan bermotor,800,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 4% dengan cicilan selama 72 bulan"
Hilda Hutapea,perempuan,34,Sudah menikah,5,SD,1,4500000,2400000,170000000.0,0.3,150000000,350000000,7,120,4063796.77,193.51,97200000.0,Sangat Lemah,Sangat Rendah,Sangat Beresiko,kredit properti,2650,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 7% dengan cicilan selama 120 bulan"
"Sutan Xanana Wijayanti, M.Pd",laki-laki,40,Belum menikah,0,S2,2,10500000,4400000,740000000.0,0.2,60000000,240000000,6,48,5636406.97,92.4,275200000.0,Kuat,Sangat Tinggi,Sangat Beresiko,kredit kendaraan bermotor,1600,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 6% dengan cicilan selama 48 bulan"
Hj. Natalia Pertiwi,perempuan,15,Sudah menikah,3,SMP,0,4000000,800000,270000000.0,0.25,87500000,262500000,5,72,4227544.82,132.11,113400000.0,Lemah,Tinggi,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 5% dengan cicilan selama 72 bulan"
Himawan Irawan,laki-laki,35,Sudah menikah,2,S1,4,14500000,7000000,160000000.0,0.2,60000000,240000000,5,48,5527030.46,73.69,284000000.0,Kuat,Menengah,Sangat Beresiko,kredit kendaraan bermotor,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 5% dengan cicilan selama 48 bulan"
"Wirda Mangunsong, M.Pd",perempuan,39,Belum menikah,0,S2,5,21000000,9300000,640000000.0,0.15,450000,2550000,9,72,45965.12,0.39,461400000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 9% dengan cicilan selama 72 bulan"
"dr. Maryadi Pratama, S.Kom",perempuan,50,Cerai Mati,3,D4,4,13000000,2800000,390000000.0,0.2,60000000,240000000,11,48,6202925.43,60.81,321400000.0,Kuat,Tinggi,Sangat Beresiko,kredit kendaraan bermotor,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 11% dengan cicilan selama 48 bulan"
"Eka Kuswoyo, S.Pt",laki-laki,35,Belum menikah,0,D3,6,7000000,3700000,280000000.0,0.2,16000000,64000000,7,48,1532559.66,46.44,157600000.0,Cukup,Menengah,Beresiko,kredit kendaraan bermotor,1100,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 7% dengan cicilan selama 48 bulan"
Citra Anggraini,perempuan,27,Sudah menikah,2,S2,0,16500000,5500000,340000000.0,0.3,150000000,350000000,12,120,5021483.19,45.65,364000000.0,Sangat Kuat,Tinggi,Beresiko,kredit properti,1400,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 12% dengan cicilan selama 120 bulan"
Kardi Winarsih,laki-laki,39,Belum menikah,0,S3,5,28500000,15300000,460000000.0,0.2,100000000,400000000,6,72,6629155.16,50.22,551400000.0,Sangat Kuat,Tinggi,Beresiko,kredit kendaraan bermotor,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 6% dengan cicilan selama 72 bulan"
Nadia Putra,perempuan,24,Belum menikah,0,S1,0,5000000,2700000,350000000.0,0.25,125000000,375000000,9,120,4750341.52,206.54,122600000.0,Lemah,Tinggi,Sangat Beresiko,kredit properti,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 9% dengan cicilan selama 120 bulan"
