debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_company,debtor_number,debtor_id,debtor_age,debtor_occupation,monthly_income,debt,dti,monthly_expenses,net_income,asset_value,previous_credit_monthly_income,financial_changes,business_conditions,credit_score,amount_of_late_days,credit_goals,collateral,interest_rate,number_of_dependents,old_tenor,old_collateral,fee_installments,ltv,remaining_loan,arrear_amount,monthly_income_family,monthly_expense_family,family_health,asset_value_family,old_monthly_payments,tenor,monthly_payments,loan_amount
4544910883476765,Vera Wibowo,perempuan,"Kalimantan Barat, 13-12-1966","Jl. Otto Iskandardinata No. 281
Salatiga, Aceh 40335",40335,8,14,Cerai hidup,Perum Marbun,+62 (006) 617 8123,4240550815288978,24,Pengusaha,68800000,4858333.333333333,0.0706153100775193,42600000,26200000,12300000,46000000,22800000,-47,523,359,Properti pribadi,7700000,4.576271186440678,3,51,2600000,40000,1.27168284789644,1000000,1,15100000,22500000,Sehat,15700000,268583.3056386396,105,130454.74845305351,13098333.333333332
3179300380878876,Tgk. Malika Maheswara,perempuan,"Jawa Timur, 22-05-1990","Gg. Moch. Toha No. 7
Bima, SS 94584",94584,14,14,Cerai hidup,UD Melani Suryono (Persero) Tbk,+62 (030) 223-2726,4592817261638665,18,Pengusaha,96600000,4950000.0,0.0512422360248447,16900000,79700000,77700000,16900000,79700000,73,603,69,Bisnis,5700000,13.728813559322036,0,18,46900000,980000,0.894106463878327,31300000,1,21600000,83000000,Sehat,23700000,2971481.1676082863,180,297148.11676082865,47030000.0
3694312965743031,Cakrawala Suwarno,laki-laki,"Jambi, 04-02-1964","Jl. PHH. Mustofa No. 6
Bitung, DKI Jakarta 73692",73692,20,13,Belum menikah,PT Kuswandari,+62 (0071) 566-5821,501850604676,57,Pegawai Negeri,35500000,5991666.666666667,0.1687793427230047,14400000,21100000,17300000,73300000,-37800000,71,732,227,Properti pribadi,100000,0.0,3,18,12400000,170000,1.2793333333333334,3100000,7,13400000,34600000,Tidak sehat,6900000,888425.925925926,18,888425.925925926,15991666.666666668
4402566562918858,Dina Iswahyudi,laki-laki,"Kepulauan Riau, 19-05-1976","Jalan Dipatiukur No. 10
Tebingtinggi, MA 09462",9462,12,11,Cerai mati,PD Winarsih,+62 (028) 155-3876,180087984928951,55,Buruh,9700000,3308333.333333333,0.3410652920962199,1900000,7800000,14500000,86100000,-76400000,12,551,341,Bisnis,1300000,-2.796610169491525,3,60,10600000,930000,1.0780112044817929,5600000,2,24400000,6600000,Tidak sehat,34000000,207826.24764595102,27,461836.1058798912,12828333.333333334
6878407117047371,Hilda Hutapea,laki-laki,"Sumatera Selatan, 27-10-1979","Jalan Moch. Toha No. 897
Mataram, JB 17381",17381,3,9,Belum menikah,PD Namaga Tbk,+62 (0969) 829-8285,3573047955627486,25,Pegawai Negeri,20000000,7750000.0,0.3875,16800000,3200000,9300000,2200000,17800000,-65,529,242,Properti pribadi,300000,0.0,2,27,5300000,630000,2.1839285714285714,200000,5,5200000,6600000,Sehat,32700000,452962.962962963,27,452962.962962963,12230000.0
6562727714088626,"Cut Nilam Simbolon, S.H.",perempuan,"Jawa Timur, 04-07-1969","Gang Rajiman No. 723
Bukittinggi, Kalimantan Utara 96498",96498,17,20,Cerai mati,PD Januar,+62 (031) 592 1352,4400081779421,22,Pengusaha,64600000,6391666.666666667,0.0989422084623323,62500000,2100000,48800000,19700000,44900000,-93,339,104,Lainnya,6900000,8.898305084745763,5,30,31400000,50000,0.9668842471714534,16300000,3,7400000,56600000,Sehat,49000000,1344228.5781544254,135,298717.4618120945,37031666.66666666
9510597330048495,Galur Tarihoran,perempuan,"DKI Jakarta, 15-06-1988","Jl. Rajawali Barat No. 6
Sukabumi, KU 21852",21852,6,2,Cerai hidup,UD Ramadan Lestari Tbk,+62-087-038-9524,676340379608,18,Pegawai Negeri,39400000,6766666.666666667,0.1717428087986463,37400000,2000000,33500000,5400000,34000000,-29,456,176,Investasi,1700000,0.0,3,12,26400000,270000,1.0408066429418743,4000000,4,16800000,26400000,Tidak sehat,16400000,2437222.2222222225,12,2437222.2222222225,29246666.666666668
8967634028499286,Eli Namaga,perempuan,"Gorontalo, 06-10-1984","Jl. Joyoboyo No. 918
Tasikmalaya, SN 76602",76602,7,11,Menikah,UD Permadi,+62 (05) 799-3277,4957166347738415,31,Pengusaha,92100000,5833333.333333333,0.0633369525877669,35300000,56800000,71200000,85700000,6400000,-57,800,17,Lainnya,35200000,11.271186440677964,4,21,4700000,820000,0.9461988304093568,5000000,1,96100000,32200000,Sehat,25500000,2000408.6629001885,154,272782.99948638934,37753333.333333336
4089510382510588,"Respati Firmansyah, S.H.",perempuan,"Sumatera Utara, 07-10-1999","Jalan Kiaracondong No. 0
Binjai, NT 59829",59829,17,17,Cerai mati,PT Januar (Persero) Tbk,+62 (0451) 139-5625,589871100873,37,Pegawai Swasta,54400000,5675000.0,0.1043198529411764,33900000,20500000,7000000,13000000,41400000,83,453,38,Investasi,400000,2.88135593220339,1,39,4900000,740000,1.870754716981132,2500000,2,10400000,33800000,Sehat,40300000,261556.06258148633,73,139735.43069421872,9915000.0
9786358461078959,Kartika Wastuti,laki-laki,"Kalimantan Tengah, 29-03-1978","Gang Rungkut Industri No. 496
Palangkaraya, KR 05216",5216,1,2,Cerai hidup,Perum Anggriawan Sudiati Tbk,+62 (011) 016-4831,30159883696393,46,Pengusaha,81300000,7941666.666666667,0.0976834768347683,36200000,45100000,76000000,29800000,51500000,56,512,127,Investasi,55700000,11.94915254237288,3,24,8700000,310000,0.9233178053830228,41000000,1,12100000,68800000,Tidak sehat,3000000,2773617.996704331,165,403435.34497517545,59461666.66666666
7318881861725548,Kani Sinaga,laki-laki,"Nusa Tenggara Timur, 24-01-1983","Gang Yos Sudarso No. 73
Metro, Sumatera Selatan 30516",30516,1,10,Cerai hidup,PT Uyainah,+62 (0053) 365 9177,2224753365410430,57,Pegawai Negeri,43300000,7500000.0,0.1732101616628175,43000000,300000,1500000,11600000,31700000,-13,305,103,Investasi,0,-0.5084745762711864,1,54,1400000,470000,6.1571428571428575,2500000,2,19200000,10700000,Sehat,24300000,158817.95354676712,48,178670.197740113,8620000.0
5371897627377244,"Daliono Puspasari, S.T.",laki-laki,"Papua Barat, 28-11-1975","Jl. Jayawijaya No. 35
Lubuklinggau, JI 53172",53172,15,15,Belum menikah,UD Megantara Habibi (Persero) Tbk,+62-17-143-5069,630490695784,54,Pengusaha,51200000,7258333.333333333,0.1417643229166666,37700000,13500000,70500000,51200000,0,34,777,233,Bisnis,48200000,0.0,5,9,7600000,670000,0.9300776583034648,46500000,4,54800000,39000000,Tidak sehat,5100000,5766481.481481481,9,5766481.481481481,51898333.333333336
8265551544072497,Ir. Gaman Gunawan,laki-laki,"Maluku Utara, 12-01-1968","Jl. Jakarta No. 8
Dumai, KU 65373",65373,19,12,Cerai hidup,PT Usamah,+62 (0889) 176-1435,676170742016,23,Buruh,22800000,5525000.0,0.2423245614035087,5100000,17700000,67600000,79100000,-56300000,41,794,192,Investasi,17700000,0.0,5,18,31100000,190000,0.913217213114754,40400000,5,14200000,19500000,Sehat,86100000,2475833.3333333335,18,2475833.333333333,44565000.0
6454805292631898,Tgk. Amelia Hardiansyah,perempuan,"Banten, 01-01-1963","Gang Dipatiukur No. 00
Tarakan, Papua Barat 18359",18359,5,19,Menikah,UD Napitupulu Nasyiah Tbk,+62-0304-335-3495,4869658583318263,38,Buruh,22700000,5483333.333333333,0.2415565345080763,16500000,6200000,23300000,93400000,-70700000,-42,669,68,Lainnya,300000,3.1355932203389827,3,6,5100000,690000,1.815432098765432,1300000,3,4700000,13200000,Tidak sehat,84200000,1685120.9981167605,43,235133.16252792007,9803333.333333332
9252897059366699,Kamila Marpaung,laki-laki,"Papua, 17-08-1973","Gang Asia Afrika No. 825
Tanjungbalai, Sulawesi Barat 56465",56465,1,19,Belum menikah,PT Prabowo Usamah Tbk,+62 (29) 141 5646,376366164502271,35,Buruh,29400000,825000.0,0.0280612244897959,18500000,10900000,39900000,79400000,-50000000,-53,531,201,Bisnis,3700000,6.610169491525424,1,6,32600000,570000,0.8227272727272728,7000000,2,14400000,11400000,Sehat,29800000,5306521.186440677,84,379037.2276029056,29865000.0
7519650775165435,Bahuraksa Rahimah,laki-laki,"Bengkulu, 05-02-1964","Jalan Kutisari Selatan No. 29
Yogyakarta, Kalimantan Selatan 82560",82560,9,13,Cerai mati,CV Rajata,+62 (100) 017 8416,3577991713415328,46,Pengusaha,13000000,3333333.333333333,0.2564102564102564,5000000,8000000,16200000,55300000,-42300000,91,826,101,Properti pribadi,13700000,-0.1694915254237288,2,39,1500000,280000,1.0192982456140351,13500000,2,84800000,12200000,Sehat,68300000,396591.626828915,37,418029.0120629104,15493333.333333334
2436396704364731,"T. Damu Putra, S.Pt",perempuan,"Jawa Tengah, 08-10-1997","Jl. Dipenogoro No. 481
Langsa, PA 13831",13831,17,8,Menikah,PD Permata Puspasari,+62 (38) 007 1760,3567544851845814,22,Pegawai Negeri,10400000,4108333.3333333335,0.3950320512820513,6000000,4400000,67200000,63400000,-53000000,-50,500,292,Investasi,13100000,2.542372881355932,1,39,12800000,950000,0.9586229086229088,11700000,2,9200000,1000000,Sehat,82400000,652809.2858177605,69,368979.161549169,24828333.333333336
1578515700278651,"Dt. Bancar Laksita, S.I.Kom",perempuan,"Kalimantan Barat, 18-03-1977","Gg. Pelajar Pejuang No. 13
Pematangsiantar, JK 90147",90147,16,15,Cerai hidup,PT Pradana Budiyanto Tbk,+62-006-935-4969,676119065362,26,Buruh,21000000,8316666.666666667,0.396031746031746,14700000,6300000,60800000,5000000,16000000,22,516,186,Investasi,0,8.64406779661017,0,15,60700000,500000,0.9370126304228446,40900000,1,8100000,7900000,Sehat,20800000,4119541.619585687,117,528146.3614853446,56876666.66666666
6120549722824829,"H. Prabowo Puspita, S.IP",perempuan,"Papua, 30-05-1996","Gg. Gedebage Selatan No. 473
Kediri, BT 19472",19472,11,1,Belum menikah,PT Prakasa Budiyanto Tbk,+62-40-905-1906,4064140071855,31,Pegawai Swasta,79700000,6875000.0,0.0862609786700125,73400000,6300000,13800000,41700000,38000000,-60,778,115,Lainnya,4100000,0.0,5,45,9600000,540000,1.301824817518248,9500000,5,96800000,31000000,Sehat,32800000,396333.3333333333,45,396333.3333333333,17835000.0
5984348721186623,Salimah Tarihoran,perempuan,"Sulawesi Barat, 07-06-1991","Gg. Ahmad Yani No. 75
Gorontalo, Bengkulu 78283",78283,17,8,Menikah,CV Saputra Saragih,+62 (76) 205-9000,4716721039464480,19,Pengusaha,61400000,6350000.0,0.1034201954397394,35200000,26200000,68300000,66100000,-4700000,-13,603,236,Lainnya,32000000,6.694915254237288,0,51,3200000,840000,0.9803977272727272,22600000,3,85200000,15200000,Tidak sehat,41200000,721968.9265536723,130,283233.963494133,34510000.0
6512783522736873,"Jarwa Suartini, S.T.",laki-laki,"Kalimantan Tengah, 30-06-1989","Gang Raya Ujungberung No. 734
Pagaralam, SB 60077",60077,20,6,Belum menikah,PD Prastuti (Persero) Tbk,+62 (059) 485 1802,4319378590475,56,Pegawai Negeri,47100000,1983333.3333333333,0.0421089879688605,31600000,15500000,82100000,19400000,27700000,54,780,307,Lainnya,2200000,3.5593220338983054,3,33,13300000,940000,0.9279569892473116,7000000,1,47100000,43800000,Sehat,5300000,451372.19654168806,75,198603.7664783428,14383333.333333332
2135101076052689,Kenari Uyainah,perempuan,"Sulawesi Tenggara, 22-09-1996","Gg. HOS. Cokroaminoto No. 76
Malang, KB 05689",5689,13,12,Belum menikah,PT Sitorus (Persero) Tbk,+62 (0657) 955-7570,566755518396,60,Pegawai Negeri,38600000,683333.3333333334,0.0177029360967184,16800000,21800000,97000000,76700000,-38100000,31,832,263,Properti pribadi,4900000,5.338983050847458,4,60,62200000,450000,0.8101838052657725,53300000,2,13100000,3200000,Tidak sehat,67100000,954429.7080979286,123,465575.4673648432,54363333.333333336
8335222605184011,Zalindra Mustofa,laki-laki,"Nusa Tenggara Barat, 01-06-1994","Jl. Cikutra Timur No. 1
Blitar, PA 08164",8164,15,19,Cerai mati,UD Rahimah,+62 (0364) 672 8454,503833885182,35,Professional,4900000,1175000.0,0.2397959183673469,1900000,3000000,90300000,34800000,-29900000,-92,567,358,Properti pribadi,32400000,0.0,2,30,42800000,420000,0.815625,3000000,9,2400000,2600000,Sehat,29000000,2044500.0,30,2044500.0,61335000.0
4268142379572947,dr. Jaga Santoso,perempuan,"Kalimantan Selatan, 10-08-1989","Gang Laswi No. 549
Kota Administrasi Jakarta Pusat, Bengkulu 27778",27778,4,11,Cerai mati,Perum Hidayanto Prasetyo Tbk,+62 (476) 214-4218,4573114723550636,59,Buruh,25700000,1341666.6666666667,0.0522049286640726,17800000,7900000,21100000,20100000,5600000,-43,697,219,Investasi,1900000,0.0,1,15,13300000,830000,0.8882675438596491,4800000,5,30200000,13000000,Tidak sehat,63900000,900111.1111111111,15,900111.1111111111,13501666.666666666
2123296655970932,"Lanang Habibi, S.Pd",perempuan,"Sulawesi Tenggara, 21-06-1965","Gang Soekarno Hatta No. 461
Pariaman, NB 30138",30138,12,10,Belum menikah,PT Pradana Nainggolan,+62 (0119) 232 3985,3516583307246666,30,Pegawai Swasta,50800000,4850000.0,0.0954724409448818,29600000,21200000,71900000,71700000,-20900000,34,526,74,Lainnya,21000000,7.203389830508475,4,24,4000000,580000,0.994,600000,2,54500000,14900000,Sehat,19800000,1110001.7655367232,109,244404.05846680145,24850000.0
7078924966167884,"Garang Sitompul, S.I.Kom",perempuan,"Jambi, 03-05-1974","Jalan Sukabumi No. 850
Yogyakarta, SU 40722",40722,8,1,Belum menikah,Perum Habibi Tbk,+62 (0082) 058-6413,4307172857503022,28,Pegawai Negeri,36700000,6533333.333333333,0.1780199818346957,17500000,19200000,35200000,89700000,-53000000,-39,371,360,Investasi,1700000,0.0,1,27,30100000,790000,1.0054507337526204,19400000,8,40700000,17200000,Tidak sehat,87200000,1184197.5308641973,27,1184197.5308641975,31973333.33333333
5816586382948294,Tgk. Siska Saputra,perempuan,"Sumatera Selatan, 27-02-1986","Gang Lembong No. 49
Tual, Sulawesi Utara 20196",20196,11,20,Menikah,UD Padmasari,+62 (0548) 379 4861,3549672467804652,62,Pegawai Negeri,18100000,2183333.333333333,0.1206261510128913,7400000,10700000,95200000,36600000,-18500000,-17,773,184,Bisnis,24900000,7.118644067796611,1,33,55600000,610000,0.8271221532091098,38500000,2,6700000,2900000,Sehat,23900000,2161307.9952063006,117,609599.6909556232,66583333.333333336
4509297928410897,Among Sihotang,laki-laki,"Papua, 21-03-1962","Gg. Stasiun Wonokromo No. 29
Tidore Kepulauan, DI Yogyakarta 08669",8669,11,12,Menikah,CV Hastuti Waskita Tbk,+62 (098) 970 3865,3517862257128580,49,Pegawai Negeri,39700000,5741666.666666667,0.1446263643996641,25900000,13800000,17300000,74100000,-34400000,-98,427,317,Properti pribadi,7900000,3.1355932203389827,3,21,1500000,180000,1.4108156028368797,11000000,3,8600000,15300000,Tidak sehat,82900000,651309.456550982,58,235818.9411650107,13261666.666666666
7219869693547743,"Hartana Suryono, S.Gz",perempuan,"Jambi, 06-09-1967","Jl. Pelajar Pejuang No. 13
Sabang, SN 95603",95603,14,3,Menikah,PD Pratama Halim,+62 (0191) 887-7959,630444641363,47,Pegawai Negeri,16300000,3558333.333333333,0.2183026584867075,13800000,2500000,38400000,42700000,-26400000,-9,737,232,Lainnya,17800000,2.0338983050847457,0,42,19000000,860000,0.8966938405797101,30000000,2,46600000,2600000,Tidak sehat,19800000,801654.4256120527,66,510143.725389488,32998333.33333333
1025618457483132,Kania Haryanti,perempuan,"DI Yogyakarta, 16-04-1992","Jl. Ir. H. Djuanda No. 24
Lhokseumawe, SN 21935",21935,10,10,Cerai hidup,PT Sudiati Sudiati,+62 (065) 117-6097,4060843653239,33,Professional,9300000,616666.6666666666,0.0663082437275985,6500000,2800000,88700000,36600000,-27300000,49,549,311,Investasi,25300000,0.0,4,15,50000000,30000,0.8081894643647631,27100000,4,8400000,1500000,Tidak sehat,35100000,4057111.1111111105,15,4057111.111111111,60856666.66666666
7975597010664374,"Joko Tampubolon, S.Psi",laki-laki,"Sulawesi Barat, 09-07-1988","Gg. H.J Maemunah No. 35
Tanjungbalai, Lampung 92214",92214,11,8,Menikah,UD Anggriawan (Persero) Tbk,+62 (66) 574-1944,676301477383,23,Buruh,19600000,5633333.333333333,0.2874149659863945,8700000,10900000,54200000,46500000,-26900000,-67,680,111,Bisnis,10600000,2.88135593220339,2,48,20300000,750000,0.9823085221143472,14700000,1,26600000,5400000,Sehat,23800000,650581.6854990582,82,380828.3037067659,30353333.33333333
