collector_name,collector_address,collector_number,collector_nik,collector_zip,collector_rt,collector_rw,collector_birth_place,collector_age,collector_marital_status,collector_gender,collector_location,collector_vehicle,collector_id,collector_location_coord,workload_score
Brian Mcdonald,"Jalan Lembong No. 97
Kotamobagu, Sulawesi Tenggara 18485",+62 (0075) 673-9364,3408872902329174,18485,10,4,"Nusa Tenggara Barat, 06-07-1969",54,Cerai mati,perempuan,Malang,Punya,C0023,-7.9771206:112.6340291,218.3013674757676
Rachel Smith,"Jl. Jakarta No. 470
Tomohon, YO 36062",+62 (023) 105-7831,2270315062767487,36062,17,5,"Gorontalo, 16-06-1999",24,Cerai mati,laki-laki,Semarang,Punya,C0024,-6.9903988:110.4229104,757.7073083628784
Eric Chan,"Jl. Rajawali Timur No. 960
Surakarta, NT 52696",+62 (0608) 946 8286,6088518302881287,52696,5,3,"Kalimantan Barat, 16-05-1998",25,Cerai hidup,laki-laki,Malang,Punya,C0025,-7.9771206:112.6340291,447.6958512120764
Ashley Ponce,"Gg. Pelajar Pejuang No. 72
Surakarta, KU 42933",+62 (044) 620 5377,7681691719811356,42933,6,18,"Maluku Utara, 23-05-1966",57,Cerai mati,perempuan,Makassar,Punya,C0026,-5.1342962:119.4124282,501.120432022959
Tanya Ortiz,"Jl. Moch. Toha No. 76
Cimahi, Lampung 16612",+62 (169) 541-6616,7652025987296171,16612,15,18,"Bali, 27-09-1985",38,Belum menikah,laki-laki,Bandung,Punya,C0027,-6.9215529:107.6110212,437.47180304513313
Ryan Perez,"Gg. Veteran No. 117
Pasuruan, Sulawesi Tengah 28523",+62 (239) 105 5875,6376739351141068,28523,17,14,"DKI Jakarta, 30-04-1961",62,Belum menikah,perempuan,Mataram,Punya,C0028,-8.5837726:116.10685,682.3454296095297
Jennifer Medina,"Gang Ahmad Yani No. 11
Ternate, KR 56213",+62 (0605) 209 9523,6662862887511746,56213,13,7,"Kalimantan Selatan, 28-11-1985",38,Belum menikah,laki-laki,Pekanbaru,Punya,C0029,0.5262455:101.4515727,649.4179860728327
Kelsey Brown,"Jl. Pasteur No. 2
Tegal, Kalimantan Selatan 44096",+62 (030) 759-5619,9474549916298063,44096,3,13,"Nusa Tenggara Timur, 01-06-1989",34,Cerai hidup,perempuan,Depok,Punya,C0030,-6.40719:106.8158371,645.1948361404648
Mrs. Cheryl Wright MD,"Jl. Abdul Muis No. 58
Langsa, JA 16222",+62 (61) 119-1452,7136306895301615,16222,12,6,"Bali, 29-03-1987",36,Cerai hidup,perempuan,Yogyakarta,Punya,C0031,-7.9778383999999996:110.36722565020224,481.32485403941246
Richard Santiago,"Jalan Veteran No. 3
Bekasi, SS 52343",+62 (0514) 850-6833,6865217474715083,52343,3,18,"DKI Jakarta, 22-01-1990",33,Belum menikah,perempuan,Jakarta,Punya,C0032,-6.175247:106.8270488,338.35388930074987
Edwin Crosby,"Jl. Rajawali Barat No. 933
Tanjungbalai, GO 41567",+62 (069) 562-5300,7163916488540115,41567,9,11,"Papua Barat, 15-11-1964",59,Menikah,perempuan,Pontianak,Punya,C0033,-0.0226903:109.3447488,597.8922017536242
Matthew Mullins,"Jalan Rumah Sakit No. 45
Lhokseumawe, Kepulauan Bangka Belitung 35161",+62 (010) 473-3520,7024944884641886,35161,12,13,"Kalimantan Utara, 30-01-1986",37,Cerai mati,perempuan,Yogyakarta,Punya,C0034,-7.9778383999999996:110.36722565020224,541.8629345943045
Cynthia Rodriguez DVM,"Jl. Cikutra Timur No. 69
Ternate, BT 83821",+62 (0960) 360-9448,2095851374339167,83821,16,8,"Kepulauan Bangka Belitung, 05-07-1997",26,Cerai hidup,laki-laki,Semarang,Punya,C0035,-6.9903988:110.4229104,705.4876472244214
Monica Bright,"Gang Cikutra Barat No. 615
Payakumbuh, Nusa Tenggara Barat 14063",+62 (0556) 032 2575,4782763514756618,14063,19,8,"Kalimantan Tengah, 12-05-1979",44,Menikah,perempuan,Surabaya,Punya,C0036,-7.2459717:112.7378266,486.78384579520207
Bridget Campbell,"Jl. HOS. Cokroaminoto No. 1
Meulaboh, Maluku 04564",+62 (70) 603 6542,5274575698766135,4564,13,19,"Nusa Tenggara Barat, 03-08-1969",54,Menikah,perempuan,Pekanbaru,Punya,C0037,0.5262455:101.4515727,614.9135655244754
Angela Woods,"Jl. Moch. Ramdan No. 02
Metro, Gorontalo 84926",+62-343-169-2032,3401742366037561,84926,13,16,"Jawa Timur, 13-04-1996",27,Belum menikah,laki-laki,Bogor,Punya,C0038,-6.5962986:106.7972421,693.9059030230565
Amy Gibson,"Gg. Sadang Serang No. 29
Jambi, JB 53937",+62-0631-098-5004,1836853885713607,53937,4,10,"Sulawesi Selatan, 08-11-2000",23,Cerai hidup,perempuan,Jakarta,Punya,C0039,-6.175247:106.8270488,206.4161295197846
Eric Love,"Gg. Kutisari Selatan No. 22
Ternate, JT 21887",+62-0082-491-4465,8197983211733787,21887,2,7,"Sulawesi Tengah, 22-03-1981",42,Cerai hidup,perempuan,Depok,Punya,C0040,-6.40719:106.8158371,318.4944828194275
Stacy Austin,"Gg. Jend. Sudirman No. 09
Banjarbaru, DI Yogyakarta 06961",+62 (068) 563 5923,3800446773682942,6961,9,9,"Sulawesi Selatan, 18-11-2000",23,Belum menikah,perempuan,Tangerang,Punya,C0041,-6.1761924:106.6382161,756.9433119292953
Billy Kaiser,"Gg. Jamika No. 110
Semarang, KS 79086",+62-75-925-9569,9543227487836731,79086,14,13,"Aceh, 21-05-1973",50,Cerai hidup,laki-laki,Semarang,Punya,C0042,-6.9903988:110.4229104,356.6678255528677
Caleb Pierce,"Gg. S. Parman No. 726
Kotamobagu, Jawa Tengah 01783",+62 (379) 928-6287,1059658779171579,1783,11,20,"Papua, 21-07-1999",24,Cerai hidup,perempuan,Samarinda,Punya,C0043,-0.5017804:117.1393089,457.9239124421729
Lisa Booth,"Gang Sukabumi No. 3
Batam, Sulawesi Selatan 74206",+62 (0150) 102-9360,3827221796557414,74206,19,14,"Kalimantan Timur, 16-03-1999",24,Menikah,laki-laki,Depok,Punya,C0044,-6.40719:106.8158371,236.3859108361357
Joe Lowery,"Jl. Pelajar Pejuang No. 97
Kotamobagu, LA 13025",+62 (034) 026-9784,8946077011927391,13025,8,10,"Sulawesi Selatan, 21-09-1990",33,Cerai hidup,laki-laki,Jakarta,Punya,C0045,-6.175247:106.8270488,493.2459940429544
George Thomas,"Gg. Sukajadi No. 82
Surakarta, Sulawesi Tengah 71653",+62-805-269-3010,8580984590014444,71653,18,8,"Papua Barat, 17-10-1982",41,Cerai hidup,perempuan,Medan,Punya,C0046,3.5896654:98.6738261,265.97919311962323
Bobby Chen DDS,"Gang Veteran No. 252
Depok, DKI Jakarta 60572",+62 (039) 456 5421,9216209803774729,60572,20,18,"Gorontalo, 02-10-1968",55,Menikah,perempuan,Batam,Punya,C0047,1.1030815:104.0383696,395.52980813843897
Alex Garcia,"Jl. H.J Maemunah No. 8
Binjai, SN 24883",+62 (0599) 019 3142,6953750429734460,24883,8,13,"Nusa Tenggara Barat, 29-03-1990",33,Cerai hidup,perempuan,Balikpapan,Punya,C0048,-1.2398711:116.8593379,643.6880968091718
Dr. Lisa Armstrong,"Gang Tubagus Ismail No. 45
Kota Administrasi Jakarta Selatan, Kalimantan Utara 69821",+62-916-802-1713,9517920647710787,69821,1,15,"Sumatera Utara, 09-06-1990",33,Cerai hidup,laki-laki,Bogor,Tidak Punya,C0049,-6.5962986:106.7972421,420.4731645757274
Teresa Lopez,"Jl. Ahmad Yani No. 23
Sukabumi, Sulawesi Utara 66992",+62 (0700) 551 3459,7099377690591137,66992,14,16,"Kepulauan Riau, 02-04-1974",49,Menikah,perempuan,Depok,Punya,C0050,-6.40719:106.8158371,570.8208930499968
Gabrielle Ryan,"Gg. Kendalsari No. 2
Tidore Kepulauan, Kepulauan Bangka Belitung 70162",+62-23-185-4398,5651174410281250,70162,2,7,"Banten, 15-10-1967",56,Menikah,laki-laki,Palembang,Punya,C0051,-2.9888243:104.7568507,626.6721384023549
William Vang,"Gang H.J Maemunah No. 49
Cirebon, BE 24080",+62 (864) 843-9230,1281173779797980,24080,6,12,"Sumatera Selatan, 08-05-1976",47,Cerai mati,laki-laki,Surabaya,Punya,C0052,-7.2459717:112.7378266,607.9440833630506
Joshua Little,"Jl. Tubagus Ismail No. 433
Mojokerto, Kalimantan Tengah 58797",+62-0372-226-9040,8467459514107183,58797,15,18,"Sumatera Selatan, 09-03-1969",54,Cerai mati,perempuan,Manado,Punya,C0053,1.4900578:124.8408708,364.991102549684
Anthony Williams,"Gg. Rajawali Barat No. 449
Pekalongan, Lampung 43852",+62 (69) 506 8767,7417317732957842,43852,15,10,"Sumatera Barat, 24-09-1978",45,Cerai mati,laki-laki,Tangerang,Punya,C0054,-6.1761924:106.6382161,487.01877143321326
Michelle Hill,"Gg. Kutisari Selatan No. 22
Tasikmalaya, BT 12374",+62 (04) 223 3165,8478584167001712,12374,18,8,"Maluku Utara, 11-04-1994",29,Cerai hidup,perempuan,Semarang,Punya,C0055,-6.9903988:110.4229104,543.6072929375805
Joshua Arias,"Jl. Lembong No. 517
Jambi, Jawa Tengah 96597",+62 (326) 021-5314,5932857286836357,96597,2,17,"Maluku, 17-10-1986",37,Belum menikah,perempuan,Pontianak,Punya,C0056,-0.0226903:109.3447488,446.79441227854113
Alan Roach,"Jl. Setiabudhi No. 3
Makassar, Nusa Tenggara Timur 53223",+62 (099) 996-2292,4879012015325398,53223,18,5,"Jawa Tengah, 10-10-1986",37,Cerai mati,laki-laki,Pontianak,Tidak Punya,C0057,-0.0226903:109.3447488,889.8040298847191
Kevin Williams,"Gg. K.H. Wahid Hasyim No. 3
Serang, KR 86012",+62 (0394) 283 6416,9274942061994354,86012,6,4,"Riau, 29-04-1970",53,Belum menikah,laki-laki,Pontianak,Punya,C0058,-0.0226903:109.3447488,504.5405900439946
Gabrielle Martinez,"Gg. Asia Afrika No. 45
Palangkaraya, Kalimantan Timur 24200",+62 (095) 494 9689,7352384804761791,24200,12,20,"Kepulauan Bangka Belitung, 16-12-1960",63,Belum menikah,laki-laki,Medan,Punya,C0059,3.5896654:98.6738261,618.4599090970587
Vincent Daniel,"Gang Medokan Ayu No. 3
Tangerang, Riau 07639",+62 (0661) 018-2441,8849693554250555,7639,2,13,"Sulawesi Barat, 01-01-1966",57,Belum menikah,laki-laki,Makassar,Punya,C0060,-5.1342962:119.4124282,540.4244665207516
Christine Wells,"Jalan Dr. Djunjunan No. 26
Prabumulih, Papua Barat 02314",+62 (365) 832-4660,9636301797851221,2314,17,19,"Aceh, 23-10-1982",41,Cerai mati,laki-laki,Semarang,Punya,C0061,-6.9903988:110.4229104,511.36151981394505
Mary Williams,"Gg. Raya Setiabudhi No. 61
Palangkaraya, NB 25857",+62 (99) 798 1159,9813300293254958,25857,4,6,"Nusa Tenggara Barat, 26-12-1972",51,Cerai hidup,perempuan,Semarang,Punya,C0062,-6.9903988:110.4229104,435.8367508092488
Corey Arnold,"Jalan Pasir Koja No. 773
Kupang, KB 30537",+62-49-028-3346,7093639865811828,30537,1,13,"Nusa Tenggara Timur, 27-09-1972",51,Menikah,laki-laki,Surabaya,Tidak Punya,C0063,-7.2459717:112.7378266,170.71966239481117
Mrs. Gabriella Joyce,"Gg. Tebet Barat Dalam No. 30
Salatiga, Sulawesi Barat 53809",+62 (012) 002 0456,4441657335333698,53809,18,9,"Banten, 23-09-1976",47,Belum menikah,laki-laki,Bandung,Punya,C0064,-6.9215529:107.6110212,448.15928877182887
Gina Bailey,"Gang Setiabudhi No. 8
Kota Administrasi Jakarta Timur, Sumatera Selatan 18437",+62 (024) 137 1201,7174676601474007,18437,19,11,"Kalimantan Tengah, 19-11-1990",33,Cerai hidup,perempuan,Medan,Punya,C0065,3.5896654:98.6738261,539.7511766790121
Renee Hamilton,"Gang HOS. Cokroaminoto No. 3
Sorong, SN 03348",+62 (94) 149 9589,6176422444128091,3348,4,7,"Sulawesi Selatan, 10-02-1964",59,Menikah,perempuan,Tangerang,Punya,C0066,-6.1761924:106.6382161,513.0531811916735
Paul Pollard,"Gang Ir. H. Djuanda No. 0
Sorong, KI 69836",+62 (539) 089 4387,9716050150090384,69836,5,2,"Nusa Tenggara Timur, 09-12-1988",35,Belum menikah,laki-laki,Samarinda,Punya,C0067,-0.5017804:117.1393089,499.1048134581943
Jill Clayton,"Jalan Jayawijaya No. 7
Palangkaraya, Bengkulu 74284",+62 (39) 288-0284,9154518607470912,74284,13,11,"Maluku, 22-11-1994",29,Belum menikah,laki-laki,Semarang,Punya,C0068,-6.9903988:110.4229104,563.7921640325221
Alexandra Russell,"Gg. Sukabumi No. 65
Ternate, BA 68361",+62 (0519) 719 0362,5792071294779827,68361,20,17,"Maluku, 29-07-1977",46,Menikah,laki-laki,Tangerang,Punya,C0069,-6.1761924:106.6382161,511.8881572484388
Matthew Sullivan,"Gg. Rumah Sakit No. 779
Probolinggo, BT 84344",+62 (027) 471 0998,6142258632266344,84344,10,11,"Kalimantan Barat, 26-11-1985",38,Cerai mati,perempuan,Mataram,Punya,C0070,-8.5837726:116.10685,261.884686430014
Courtney Gordon,"Jl. Gardujati No. 591
Palu, Sulawesi Utara 44757",+62 (21) 942 7829,5818132636113947,44757,14,19,"Gorontalo, 08-12-1987",36,Belum menikah,laki-laki,Mataram,Punya,C0071,-8.5837726:116.10685,404.2182792295644
Sharon Fitzgerald,"Gg. Otto Iskandardinata No. 8
Ternate, Kalimantan Barat 55227",+62 (0829) 580-0771,8758473623490347,55227,18,15,"Papua, 25-05-1968",55,Cerai hidup,perempuan,Makassar,Punya,C0072,-5.1342962:119.4124282,472.3862868257565
Sarah Bates,"Gang Cikapayang No. 393
Pekalongan, Jambi 45867",+62 (30) 704-0335,9628895671817547,45867,19,5,"Jawa Tengah, 07-10-1986",37,Belum menikah,perempuan,Tangerang,Tidak Punya,C0073,-6.1761924:106.6382161,169.8197634961398
Jose Sanchez,"Jl. Ahmad Dahlan No. 705
Gorontalo, Nusa Tenggara Barat 80746",+62 (21) 712 8320,4310060279481235,80746,11,4,"Papua Barat, 18-11-1974",49,Cerai mati,laki-laki,Malang,Punya,C0074,-7.9771206:112.6340291,581.6857961002388
Michael Walker,"Gg. Erlangga No. 352
Meulaboh, Sulawesi Barat 91790",+62 (88) 844 1481,5670528475757780,91790,7,18,"Sumatera Selatan, 26-11-1988",35,Cerai hidup,perempuan,Mataram,Punya,C0075,-8.5837726:116.10685,637.0285760116531
Natasha Ward,"Jalan Sadang Serang No. 9
Bima, ST 47185",+62-61-192-6856,4420523240959647,47185,19,5,"Sulawesi Barat, 19-12-1977",46,Menikah,perempuan,Manado,Punya,C0076,1.4900578:124.8408708,660.4445060838771
Brian Oneal,"Gg. Rajawali Timur No. 382
Samarinda, Sulawesi Utara 76190",+62 (018) 048 0521,9359880651022258,76190,13,18,"Jawa Tengah, 15-02-1983",40,Cerai mati,laki-laki,Balikpapan,Tidak Punya,C0077,-1.2398711:116.8593379,361.6623472794308
Cynthia Smith,"Gg. Lembong No. 15
Palu, Sulawesi Tenggara 95010",+62 (01) 593-4867,8219943248086151,95010,18,20,"Kalimantan Barat, 11-08-1983",40,Belum menikah,perempuan,Bandung,Punya,C0078,-6.9215529:107.6110212,424.9276994693792
Wanda Miranda,"Gg. KH Amin Jasuta No. 1
Palembang, KR 92175",+62-406-492-4839,7397371872736178,92175,5,8,"Jawa Tengah, 14-08-1988",35,Cerai hidup,laki-laki,Bekasi,Punya,C0079,-6.2349858:106.9945444,519.8046963206725
Jacob Ryan,"Gang M.H Thamrin No. 517
Bengkulu, JK 03675",+62-0027-181-9010,3492441726035764,3675,8,7,"Maluku, 11-01-1974",49,Menikah,laki-laki,Bandung,Punya,C0080,-6.9215529:107.6110212,808.0683962515905
Stephanie Foster,"Jl. Jakarta No. 9
Kota Administrasi Jakarta Selatan, Riau 54837",+62 (17) 406 8373,1575883633000914,54837,6,16,"Jawa Tengah, 18-07-1993",30,Belum menikah,perempuan,Pekanbaru,Tidak Punya,C0081,0.5262455:101.4515727,552.3394447133178
Stephanie Nichols,"Jl. Siliwangi No. 628
Pangkalpinang, Riau 29931",+62 (672) 037 5879,3035361447055699,29931,7,10,"Sulawesi Tengah, 23-01-1967",56,Menikah,perempuan,Makassar,Punya,C0082,-5.1342962:119.4124282,524.8702180786931
Kenneth Johnson,"Jl. Pasir Koja No. 305
Kota Administrasi Jakarta Pusat, BB 02386",+62 (06) 460 1159,5316881394383269,2386,11,16,"Banten, 02-12-1998",25,Belum menikah,perempuan,Bandung,Punya,C0083,-6.9215529:107.6110212,743.4352571891213
Zachary Ortiz,"Gg. Kendalsari No. 379
Singkawang, MU 22796",+62-336-719-6150,1540920361320570,22796,4,20,"Kalimantan Barat, 21-08-1988",35,Cerai mati,perempuan,Semarang,Punya,C0084,-6.9903988:110.4229104,583.6366519777221
Richard Green MD,"Gg. Gegerkalong Hilir No. 42
Bau-Bau, Sulawesi Selatan 50580",+62 (060) 809 3898,5230239977931944,50580,8,3,"Sumatera Barat, 06-10-1973",50,Cerai hidup,laki-laki,Bandung,Punya,C0085,-6.9215529:107.6110212,909.3779608710028
David Peck,"Jalan Kapten Muslihat No. 255
Kota Administrasi Jakarta Barat, Sulawesi Barat 42743",+62 (016) 980 5295,2501890964645981,42743,10,6,"Kalimantan Selatan, 28-09-2000",23,Menikah,perempuan,Manado,Punya,C0086,1.4900578:124.8408708,328.25787636003224
Paul Carroll,"Gang Ir. H. Djuanda No. 0
Surakarta, Papua 29009",+62 (519) 920 2152,4910311864724481,29009,4,12,"Aceh, 04-05-1966",57,Cerai mati,perempuan,Depok,Punya,C0087,-6.40719:106.8158371,389.36074848356657
Christine Burns,"Jalan Otto Iskandardinata No. 184
Kotamobagu, KR 79192",+62 (269) 294 7300,4167590258138917,79192,16,9,"Sumatera Barat, 24-05-1974",49,Menikah,laki-laki,Surabaya,Punya,C0088,-7.2459717:112.7378266,601.1681727650866
Kimberly Warner,"Gang Rajiman No. 733
Mojokerto, JK 63037",+62 (53) 381-3790,8032005903522470,63037,14,2,"Bali, 08-11-1985",38,Cerai mati,perempuan,Semarang,Punya,C0089,-6.9903988:110.4229104,550.3013783635688
Deborah Watson,"Gang Dipatiukur No. 967
Palangkaraya, AC 19195",+62-672-762-1060,9952660173856324,19195,1,16,"Sumatera Barat, 11-11-2000",23,Belum menikah,perempuan,Mataram,Punya,C0090,-8.5837726:116.10685,418.1554619425733
Sydney Farley,"Gg. Dipatiukur No. 03
Langsa, Sulawesi Utara 43292",+62 (051) 022-3545,6610162290319751,43292,13,18,"Sulawesi Tengah, 28-01-1970",53,Cerai hidup,laki-laki,Depok,Punya,C0091,-6.40719:106.8158371,598.404484015482
Brandon Mcgee,"Jl. Siliwangi No. 977
Bontang, ST 65193",+62 (098) 666-8417,3537325717076179,65193,8,18,"Bengkulu, 26-04-1969",54,Menikah,laki-laki,Yogyakarta,Punya,C0092,-7.9778383999999996:110.36722565020224,649.9999980829307
Jennifer Robbins,"Jl. Joyoboyo No. 2
Gorontalo, Jambi 56349",+62 (803) 528 7504,4188696916006798,56349,17,20,"Kalimantan Selatan, 29-11-1985",38,Cerai mati,laki-laki,Palembang,Punya,C0093,-2.9888243:104.7568507,521.0799333011091
Ryan Lee,"Gang R.E Martadinata No. 5
Tangerang Selatan, SN 51236",+62 (051) 751-3094,9937591967351636,51236,16,7,"Bali, 12-08-1983",40,Menikah,perempuan,Yogyakarta,Punya,C0094,-7.9778383999999996:110.36722565020224,443.6226830490341
William Hawkins,"Jalan W.R. Supratman No. 97
Pekalongan, KI 51914",+62 (85) 211 3328,9291600219863413,51914,17,7,"Jawa Barat, 21-06-1982",41,Cerai mati,laki-laki,Semarang,Tidak Punya,C0095,-6.9903988:110.4229104,440.1835321016261
Brett Martinez,"Gg. Waringin No. 585
Makassar, Kepulauan Riau 53533",+62-20-974-2420,1407167687640806,53533,10,2,"Kalimantan Selatan, 10-04-1968",55,Belum menikah,perempuan,Palembang,Punya,C0096,-2.9888243:104.7568507,283.3097987053334
Leroy Martinez,"Gg. Pacuan Kuda No. 6
Malang, SS 29588",+62 (050) 285 7973,8046153482321979,29588,13,14,"Jawa Barat, 12-04-1960",63,Cerai hidup,laki-laki,Tangerang,Punya,C0097,-6.1761924:106.6382161,370.30480941501446
Rachel Saunders,"Gang Surapati No. 1
Depok, NB 59047",+62 (70) 308-4714,8361208507525521,59047,17,15,"Banten, 23-09-1979",44,Cerai hidup,perempuan,Balikpapan,Punya,C0098,-1.2398711:116.8593379,383.16037865547696
Brittany Huber,"Gang Jakarta No. 307
Pagaralam, Maluku Utara 90280",+62 (0092) 215 5278,3927121242597064,90280,1,10,"Sumatera Barat, 04-09-1963",60,Menikah,laki-laki,Surabaya,Punya,C0099,-7.2459717:112.7378266,465.4271858695429
Natasha Miller,"Gang Jend. A. Yani No. 406
Langsa, Jambi 18664",+62-005-294-2527,7146754122510664,18664,13,1,"Papua, 13-01-1999",24,Menikah,laki-laki,Pekanbaru,Tidak Punya,C0100,0.5262455:101.4515727,427.8406324246316
Jessica Chang,"Jalan Rumah Sakit No. 82
Kupang, SR 64104",+62 (339) 860 4308,3985485756190989,64104,11,16,"Sulawesi Selatan, 07-11-1997",26,Cerai mati,laki-laki,Tangerang,Punya,C0101,-6.1761924:106.6382161,423.40915830869926
Steven Ryan,"Gg. Rungkut Industri No. 6
Kota Administrasi Jakarta Utara, AC 43482",+62-0495-700-6945,1779961906369786,43482,3,1,"Jawa Barat, 10-08-1967",56,Belum menikah,perempuan,Jakarta,Punya,C0102,-6.175247:106.8270488,432.9249673171144
