debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_occupation,debtor_company,debtor_number,debtor_education_level,debtor_location,debtor_personality,total_text,total_calls,total_visit,foreclosure,write_off,delay_history,arrears_amounts,credit_score,debtor_number_of_dependents,debtor_cars_count,debtor_motorcycle_count,debtor_house_count,monthly_income,loan_amount,tenor,interest_rate,collector_name
5742679577866396,Salimah Lestari,laki-laki,"Sulawesi Tengah, 22-08-1990",33,"Gg. Jend. Sudirman No. 8
Sawahlunto, Sumatera Utara 87368",87368,13,7,Cerai mati,Pengusaha,UD Puspita,+62 (27) 356-1092,SMP,Banjarmasin,keras,2,5,3,1,1,13,2,572,3,2,2,1,370065173,5872068054.032758,9,9,Lauren Robertson
5489854389589191,Salsabila Nababan,perempuan,"Aceh, 22-07-1996",27,"Jalan Bangka Raya No. 5
Palopo, Jawa Timur 64970",64970,7,13,Cerai hidup,Pengusaha,PD Nasyiah Novitasari Tbk,+62 (0725) 134-7237,S2,Semarang,kalem,3,4,5,1,0,13,1,455,3,2,1,0,400139489,4940669431.60377,9,8,Randall Hoffman
3327429592998011,Yuni Sihombing,laki-laki,"Sumatera Barat, 21-10-1976",47,"Jalan Ciumbuleuit No. 31
Tegal, Kalimantan Utara 73252",73252,12,18,Belum menikah,Profesional,PD Saputra,+62 (44) 160-2078,S3,Samarinda,keras,4,2,5,1,1,7,1,623,4,3,2,2,507631093,6052174943.348942,11,9,Monica Bright
4485143554733245,Eka Marbun,perempuan,"Kepulauan Riau, 16-11-1969",54,"Jl. Pacuan Kuda No. 05
Pariaman, BT 41144",41144,10,3,Cerai mati,Pegawai Swasta,PD Latupono Hutapea (Persero) Tbk,+62-328-087-1267,S1,Yogyakarta,keras,2,4,0,0,0,3,1,845,3,2,2,0,404991475,4100969480.3189793,5,8,Mrs. Gabriella Joyce
7077899665233254,Jagaraga Hardiansyah,perempuan,"Bengkulu, 14-07-1981",42,"Jalan Kapten Muslihat No. 447
Kotamobagu, SU 82534",82534,17,17,Cerai hidup,Buruh,CV Pangestu Hidayanto,+62 (0569) 202 5656,SD,Padang,kalem,3,2,3,0,0,14,4,557,4,2,3,2,590522927,7566958019.433784,13,9,Steven Alvarado
8393538880600376,Danuja Tampubolon,laki-laki,"Sulawesi Selatan, 17-09-1983",40,"Gg. Rajawali Barat No. 0
Yogyakarta, SU 09295",9295,14,10,Belum menikah,Profesional,PT Dongoran Mansur (Persero) Tbk,+62-0499-091-4588,S2,Pekanbaru,kalem,5,2,4,0,0,20,2,444,4,3,3,2,497372516,7631643479.819875,12,9,Alex Garcia
2297421563335561,Zulaikha Wahyudin,laki-laki,"Jawa Tengah, 22-04-1965",58,"Jalan R.E Martadinata No. 2
Kota Administrasi Jakarta Pusat, JA 55404",55404,11,1,Cerai mati,Pegawai Swasta,PT Kusmawati Rahmawati Tbk,+62-050-894-2334,SMA,Palembang,keras,4,2,1,0,0,8,3,685,1,2,2,1,332572754,3202314000.198641,6,8,Caleb Pierce
3486642267039591,Kenes Lestari,laki-laki,"Maluku, 03-09-1979",44,"Jalan Jend. Sudirman No. 71
Tangerang Selatan, JB 83545",83545,14,18,Cerai mati,Pegawai Swasta,PT Marpaung Tbk,+62-533-838-9370,SMA,Depok,kalem,5,3,0,0,0,9,3,686,2,1,2,1,543649861,5148012094.088754,11,9,Amanda Hamilton
9796438067686348,Tgk. Lasmanto Maulana,perempuan,"Sumatera Barat, 13-03-1960",63,"Gang Kapten Muslihat No. 531
Makassar, PB 45959",45959,1,3,Belum menikah,Pegawai Negeri,PT Mandasari Tbk,+62 (0088) 620-7201,SMP,Makassar,keras,3,3,1,1,0,0,0,811,1,1,0,0,383854539,3355490374.501914,8,8,Jennifer Robbins
2799300546741350,Lintang Mandasari,laki-laki,"Kalimantan Timur, 28-11-1998",25,"Gang Jend. Sudirman No. 30
Tual, Sulawesi Tengah 59893",59893,3,2,Cerai mati,Pengusaha,Perum Aryani Puspita Tbk,+62-0373-968-5726,S2,Padang,sedang,2,3,2,0,0,0,0,715,4,3,3,1,512740025,5861562316.280944,10,9,Edwin Crosby
8147585582880759,Rini Siregar,perempuan,"Jawa Barat, 20-03-1999",24,"Jl. Indragiri No. 494
Batu, Riau 18086",18086,3,3,Cerai mati,Pegawai Negeri,UD Permata Tbk,+62 (042) 814-8476,SMP,Banjarmasin,keras,1,3,3,0,0,10,1,613,1,0,1,0,305530499,2520947539.7990456,4,8,Gary Robinson
2997806210437057,Yoga Kusmawati,perempuan,"Papua, 23-04-1997",26,"Jl. Jakarta No. 79
Tomohon, SU 08729",8729,9,18,Cerai hidup,Pengusaha,Perum Haryanti Tbk,+62-619-954-7007,SMP,Samarinda,keras,4,5,3,0,0,15,4,514,6,4,2,2,583038990,6181315765.21823,14,9,Sean Harper
5064562509078584,Najib Lestari,laki-laki,"Jawa Timur, 11-05-2000",23,"Jl. Rajawali Timur No. 352
Samarinda, Sulawesi Selatan 60072",60072,5,20,Cerai hidup,Pengusaha,PT Budiyanto Prastuti,+62 (88) 419 3270,S2,Medan,kalem,4,5,3,0,0,6,4,689,3,2,1,1,421551479,5193531714.550066,8,8,Stephanie Dennis
9972933125778219,Dt. Jamil Tarihoran,laki-laki,"Bengkulu, 24-07-1988",35,"Gang Indragiri No. 2
Tangerang Selatan, SU 96758",96758,4,13,Menikah,Pegawai Swasta,PT Maulana Tbk,+62 (0622) 531 4107,S2,Batam,sedang,3,4,2,1,1,11,3,469,3,2,2,1,540765245,5537204074.063765,11,9,Erin Harris
9552729303331248,"Daruna Winarno, M.TI.",laki-laki,"Maluku, 18-09-1972",51,"Jalan Ahmad Dahlan No. 4
Depok, Kalimantan Utara 02074",2074,17,13,Belum menikah,Pegawai Negeri,CV Budiman Rahayu (Persero) Tbk,+62 (035) 466 8668,D3,Bogor,keras,3,1,1,1,1,19,1,363,3,1,1,1,384425698,4647184393.134718,10,8,Dr. Lee Torres
7088107621596918,Drs. Kezia Pratiwi,laki-laki,"Jawa Barat, 10-02-1995",28,"Jalan Ahmad Dahlan No. 9
Kota Administrasi Jakarta Selatan, BE 57039",57039,6,15,Menikah,Buruh,CV Nasyidah,+62-025-387-4965,SD,Bekasi,sedang,1,5,3,1,1,20,3,303,3,3,3,1,685798691,7937931856.283342,12,9,Heather Velez
9856442981822894,Cici Mahendra,perempuan,"Bengkulu, 01-01-1964",59,"Jalan Ciwastra No. 5
Gorontalo, Maluku 31485",31485,17,19,Cerai hidup,Pengusaha,UD Purwanti,+62 (35) 708 0335,SMP,Tangerang,sedang,1,0,0,0,0,8,4,676,4,2,2,2,497778952,5782456913.96615,12,9,Angela Woods
9210077542691376,Ulva Dabukke,laki-laki,"Jambi, 05-07-1972",51,"Gg. Jayawijaya No. 166
Manado, Bali 44850",44850,14,15,Cerai hidup,Profesional,PT Nasyidah Hidayat,+62 (863) 557 0887,D3,Yogyakarta,keras,3,3,0,0,0,3,0,821,4,3,3,2,528190279,5677070462.556698,11,9,Stephen Lee
6413717379245003,Satya Mulyani,perempuan,"Sulawesi Selatan, 30-04-1974",49,"Jalan H.J Maemunah No. 732
Pekalongan, Sulawesi Selatan 57012",57012,4,11,Cerai hidup,Buruh,CV Aryani (Persero) Tbk,+62 (045) 440-8324,S3,Semarang,keras,2,4,2,1,0,16,1,353,4,2,2,1,448109136,6743014873.641707,10,9,Gabrielle Martinez
