debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_occupation,debtor_company,debtor_number,total_text,total_calls,total_visit,foreclosure,write_off,debtor_location,debtor_number_of_dependents,debtor_cars_count,debtor_motorcycle_count,debtor_house_count,debtor_education_level,monthly_income,debtor_personality,loan_amount,tenor,interest_rate,delay_history,credit_score,action_code,category_campaign,collector_name
6903411025554080,Humaira Mandala,laki-laki,"Lampung, 08-02-1994",29.0,"Gang Rajiman No. 55
Pekalongan, YO 06619",6619,11.0,4.0,Cerai mati,Pegawai Negeri,Perum Kuswoyo Tbk,+62-029-684-0041,5.0,0.0,0.0,0.0,0.0,Jakarta,3.0,1.0,1.0,1.0,SMP,362663516.0,kalem,3688307274.0,8.0,8.0,6.0,526.0,OTHR,Digital,Jessica Choi
6088367608152910,Natalia Padmasari,perempuan,"Banten, 22-09-1974",49.0,"Gg. Pasteur No. 9
Parepare, KB 05195",5195,6.0,16.0,Menikah,Buruh,PT Dabukke Aryani,+62-0592-583-1360,20.0,6.0,0.0,0.0,0.0,Jakarta,3.0,3.0,2.0,1.0,SMA,723507590.0,kalem,6839967166.0,11.0,9.0,10.0,551.0,WRPH,Call,Richard Green MD
1131668068547401,"Dt. Panji Sirait, S.Pd",perempuan,"Jawa Tengah, 09-08-1980",43.0,"Gang Sukabumi No. 05
Kupang, PB 02343",2343,6.0,15.0,Menikah,Buruh,PD Rahimah Sitorus (Persero) Tbk,+62-54-812-7971,20.0,10.0,0.0,0.0,0.0,Jakarta,4.0,3.0,2.0,1.0,D3,507634816.0,sedang,5641367054.0,11.0,9.0,14.0,665.0,DISC,Call,Tanya Ortiz
2174760896782585,Yance Wastuti,laki-laki,"Sumatera Selatan, 17-08-1979",44.0,"Gang H.J Maemunah No. 3
Kupang, KT 70037",70037,8.0,18.0,Belum menikah,Pegawai Swasta,PT Maheswara,+62 (957) 550-8561,20.0,8.0,0.0,0.0,0.0,Malang,5.0,2.0,2.0,1.0,D3,433008009.0,sedang,6603826863.0,12.0,9.0,14.0,610.0,DISC,Call,Christopher Washington
7778883712231175,Kacung Nasyidah,laki-laki,"Bali, 24-09-1978",45.0,"Gg. Otto Iskandardinata No. 490
Madiun, DKI Jakarta 76479",76479,3.0,3.0,Belum menikah,Buruh,PD Hasanah Tbk,+62 (18) 322 3046,10.0,8.0,0.0,0.0,0.0,Banjarmasin,2.0,1.0,2.0,1.0,SMA,531500602.0,kalem,4058949079.0,8.0,8.0,7.0,550.0,INCO,Digital,Brian Mcdonald
6256715242912612,Cinta Saefullah,perempuan,"Sulawesi Tengah, 10-09-1987",36.0,"Jl. W.R. Supratman No. 345
Pekalongan, Jambi 89737",89737,20.0,19.0,Cerai mati,Pegawai Negeri,CV Irawan Halimah Tbk,+62 (32) 236 9435,10.0,6.0,2.0,0.0,0.0,Balikpapan,2.0,2.0,1.0,1.0,SMP,464353897.0,kalem,4779069890.0,9.0,8.0,8.0,440.0,ATPU,Digital,Colleen Lawrence
9330871446196917,"Gasti Gunawan, M.TI.",laki-laki,"Gorontalo, 27-11-1968",55.0,"Gang Kendalsari No. 3
Tanjungbalai, Nusa Tenggara Barat 03928",3928,4.0,10.0,Cerai hidup,Profesional,CV Thamrin (Persero) Tbk,+62 (398) 277-7625,5.0,10.0,1.0,0.0,0.0,Banjarmasin,3.0,2.0,2.0,1.0,D3,433876882.0,kalem,5261764146.0,10.0,9.0,14.0,554.0,DISC,Call,Brian Mcdonald
6199051285677998,"Puti Keisha Laksmiwati, M.M.",laki-laki,"DI Yogyakarta, 14-03-1964",59.0,"Jalan Gedebage Selatan No. 4
Banjar, KR 04570",4570,7.0,16.0,Cerai hidup,Pegawai Swasta,PD Maryadi Putra,+62 (035) 024 8342,20.0,10.0,0.0,0.0,0.0,Padang,3.0,2.0,2.0,1.0,SMA,561469694.0,kalem,4498753611.0,8.0,9.0,8.0,496.0,WRPH,Call,Dylan Taylor
5914782805208768,R.M. Purwadi Sirait,laki-laki,"Sulawesi Tengah, 10-04-1979",44.0,"Jl. Tebet Barat Dalam No. 5
Tebingtinggi, Banten 94704",94704,5.0,6.0,Cerai hidup,Pegawai Negeri,UD Widodo Anggriawan Tbk,+62 (0161) 212 2798,20.0,0.0,0.0,0.0,0.0,Semarang,4.0,2.0,3.0,1.0,S1,466920428.0,sedang,6691006819.0,11.0,9.0,17.0,598.0,INCO,Call,Spencer Fisher
6964489007922506,Rachel Namaga,perempuan,"Jambi, 05-04-1995",28.0,"Jalan Lembong No. 226
Ternate, KU 24237",24237,13.0,9.0,Cerai mati,Pengusaha,UD Nurdiyanti Maheswara Tbk,+62 (929) 388-3632,0.0,4.0,1.0,1.0,0.0,Bandung,3.0,2.0,2.0,1.0,SMA,477943352.0,kalem,4467360999.0,10.0,8.0,9.0,576.0,PTPR,Call,Tara Osborne
4544910883476765,Vera Wibowo,perempuan,"Kalimantan Barat, 13-12-1966",57.0,"Jl. Otto Iskandardinata No. 281
Salatiga, Aceh 40335",40335,8.0,14.0,Cerai hidup,Profesional,Perum Marbun,+62 (006) 617 8123,15.0,2.0,0.0,0.0,0.0,Makassar,5.0,4.0,3.0,2.0,S2,606441012.0,sedang,6666470448.0,15.0,9.0,15.0,646.0,WRPH,Call,Alan Roach
3179300380878876,Tgk. Malika Maheswara,perempuan,"Jawa Timur, 22-05-1990",33.0,"Gg. Moch. Toha No. 7
Bima, SS 94584",94584,14.0,14.0,Cerai hidup,Pengusaha,UD Melani Suryono (Persero) Tbk,+62 (030) 223-2726,0.0,8.0,3.0,0.0,0.0,Medan,4.0,3.0,2.0,1.0,D3,522002190.0,sedang,5141977999.0,12.0,9.0,10.0,620.0,INCO,Digital,Antonio Newman
3694312965743031,Cakrawala Suwarno,laki-laki,"Jambi, 04-02-1964",59.0,"Jl. PHH. Mustofa No. 6
Bitung, DKI Jakarta 73692",73692,20.0,13.0,Belum menikah,Pengusaha,PT Kuswandari,+62 (0071) 566-5821,0.0,8.0,1.0,0.0,0.0,Jakarta,3.0,1.0,1.0,1.0,SMA,396491587.0,kalem,4269269618.0,9.0,8.0,8.0,595.0,PTPR,Digital,Jessica Choi
4402566562918858,Dina Iswahyudi,laki-laki,"Kepulauan Riau, 19-05-1976",47.0,"Jalan Dipatiukur No. 10
Tebingtinggi, MA 09462",9462,12.0,11.0,Cerai mati,Pegawai Swasta,PD Winarsih,+62 (028) 155-3876,0.0,4.0,0.0,0.0,0.0,Denpasar,4.0,2.0,2.0,1.0,D3,610149478.0,kalem,4929363111.0,14.0,9.0,10.0,659.0,WRPH,Call,Sierra Richards
6878407117047371,Hilda Hutapea,laki-laki,"Sumatera Selatan, 27-10-1979",44.0,"Jalan Moch. Toha No. 897
Mataram, JB 17381",17381,3.0,9.0,Belum menikah,Pegawai Negeri,PD Namaga Tbk,+62 (0969) 829-8285,20.0,2.0,5.0,0.0,0.0,Balikpapan,2.0,3.0,1.0,1.0,SMP,393220910.0,sedang,6705456444.0,7.0,8.0,8.0,521.0,DISP,Digital,Mrs. Cheryl Wright MD
9510597330048495,Galur Tarihoran,perempuan,"DKI Jakarta, 15-06-1988",35.0,"Jl. Rajawali Barat No. 6
Sukabumi, KU 21852",21852,6.0,2.0,Cerai hidup,Buruh,UD Ramadan Lestari Tbk,+62-087-038-9524,15.0,4.0,5.0,1.0,0.0,Bandung,3.0,1.0,2.0,1.0,SMP,554554675.0,kalem,4792882377.0,5.0,8.0,6.0,544.0,WRPH,Digital,Tara Osborne
8967634028499286,Eli Namaga,perempuan,"Gorontalo, 06-10-1984",39.0,"Jl. Joyoboyo No. 918
Tasikmalaya, SN 76602",76602,7.0,11.0,Menikah,Pengusaha,UD Permadi,+62 (05) 799-3277,5.0,4.0,1.0,0.0,0.0,Pekanbaru,0.0,2.0,2.0,1.0,SMA,417193292.0,kalem,3894319901.0,7.0,8.0,7.0,509.0,ATPU,Digital,Ashley Marshall
4089510382510588,"Respati Firmansyah, S.H.",perempuan,"Sumatera Utara, 07-10-1999",24.0,"Jalan Kiaracondong No. 0
Binjai, NT 59829",59829,17.0,17.0,Cerai mati,Pegawai Swasta,PT Januar (Persero) Tbk,+62 (0451) 139-5625,5.0,6.0,0.0,0.0,0.0,Padang,3.0,2.0,3.0,1.0,D3,449495315.0,kalem,4712462197.0,8.0,9.0,11.0,534.0,INCO,Call,Corey Smith
9786358461078959,Kartika Wastuti,laki-laki,"Kalimantan Tengah, 29-03-1978",45.0,"Gang Rungkut Industri No. 496
Palangkaraya, KR 05216",5216,1.0,2.0,Cerai hidup,Profesional,Perum Anggriawan Sudiati Tbk,+62 (011) 016-4831,20.0,6.0,2.0,0.0,0.0,Bandung,2.0,1.0,2.0,1.0,SMA,381128136.0,kalem,4224756935.0,7.0,8.0,8.0,503.0,OTHR,Digital,Joshua Lopez
5371897627377244,"Daliono Puspasari, S.T.",laki-laki,"Papua Barat, 28-11-1975",48.0,"Jl. Jayawijaya No. 35
Lubuklinggau, JI 53172",53172,15.0,15.0,Belum menikah,Pegawai Swasta,UD Megantara Habibi (Persero) Tbk,+62-17-143-5069,0.0,6.0,4.0,1.0,0.0,Bandung,3.0,2.0,1.0,1.0,SMA,447319938.0,kalem,5136027035.0,10.0,8.0,7.0,545.0,OTHR,Digital,Aaron Smith
8265551544072497,Ir. Gaman Gunawan,laki-laki,"Maluku Utara, 12-01-1968",55.0,"Jl. Jakarta No. 8
Dumai, KU 65373",65373,19.0,12.0,Cerai hidup,Profesional,PT Usamah,+62 (0889) 176-1435,15.0,10.0,4.0,1.0,0.0,Denpasar,3.0,1.0,2.0,1.0,D3,564065476.0,kalem,5511057490.0,9.0,8.0,8.0,597.0,INCO,Digital,Sierra Richards
6454805292631898,Tgk. Amelia Hardiansyah,perempuan,"Banten, 01-01-1963",60.0,"Gang Dipatiukur No. 00
Tarakan, Papua Barat 18359",18359,5.0,19.0,Menikah,Profesional,UD Napitupulu Nasyiah Tbk,+62-0304-335-3495,10.0,4.0,0.0,0.0,0.0,Samarinda,3.0,2.0,2.0,1.0,SMA,491170947.0,sedang,4691491856.0,11.0,9.0,10.0,630.0,WRPH,Call,Nathan Welch
9252897059366699,Kamila Marpaung,laki-laki,"Papua, 17-08-1973",50.0,"Gang Asia Afrika No. 825
Tanjungbalai, Sulawesi Barat 56465",56465,1.0,19.0,Belum menikah,Buruh,PT Prabowo Usamah Tbk,+62 (29) 141 5646,5.0,6.0,3.0,1.0,0.0,Surabaya,2.0,1.0,2.0,1.0,SMA,422012475.0,kalem,4301999379.0,6.0,8.0,8.0,581.0,OTHR,Digital,Ashley Ponce
7519650775165435,Bahuraksa Rahimah,laki-laki,"Bengkulu, 05-02-1964",59.0,"Jalan Kutisari Selatan No. 29
Yogyakarta, Kalimantan Selatan 82560",82560,9.0,13.0,Cerai mati,Buruh,CV Rajata,+62 (100) 017 8416,20.0,0.0,0.0,0.0,0.0,Tangerang,3.0,2.0,2.0,1.0,D3,568775925.0,kalem,5101139511.0,10.0,8.0,8.0,577.0,WRPH,Digital,Kelsey Brown
2436396704364731,"T. Damu Putra, S.Pt",perempuan,"Jawa Tengah, 08-10-1997",26.0,"Jl. Dipenogoro No. 481
Langsa, PA 13831",13831,17.0,8.0,Menikah,Buruh,PD Permata Puspasari,+62 (38) 007 1760,15.0,6.0,5.0,0.0,0.0,Pekanbaru,3.0,2.0,2.0,1.0,D3,433489867.0,sedang,5588794634.0,9.0,8.0,10.0,655.0,OTHR,Digital,Ryan Williams
1578515700278651,"Dt. Bancar Laksita, S.I.Kom",perempuan,"Kalimantan Barat, 18-03-1977",46.0,"Gg. Pelajar Pejuang No. 13
Pematangsiantar, JK 90147",90147,16.0,15.0,Cerai hidup,Pengusaha,PT Pradana Budiyanto Tbk,+62-006-935-4969,5.0,4.0,0.0,0.0,0.0,Bandung,3.0,3.0,3.0,2.0,S1,654920558.0,sedang,6552110564.0,12.0,9.0,15.0,729.0,INCO,Call,Lisa Booth
6120549722824829,"H. Prabowo Puspita, S.IP",perempuan,"Papua, 30-05-1996",27.0,"Gg. Gedebage Selatan No. 473
Kediri, BT 19472",19472,11.0,1.0,Belum menikah,Pengusaha,PT Prakasa Budiyanto Tbk,+62-40-905-1906,5.0,8.0,2.0,1.0,0.0,Bekasi,4.0,2.0,2.0,1.0,D3,454073071.0,sedang,4066426429.0,10.0,9.0,6.0,593.0,INCO,Digital,Amy Frye
5984348721186623,Salimah Tarihoran,perempuan,"Sulawesi Barat, 07-06-1991",32.0,"Gg. Ahmad Yani No. 75
Gorontalo, Bengkulu 78283",78283,17.0,8.0,Menikah,Pengusaha,CV Saputra Saragih,+62 (76) 205-9000,10.0,6.0,5.0,0.0,0.0,Balikpapan,4.0,3.0,2.0,1.0,D3,436474179.0,sedang,5460166730.0,12.0,9.0,11.0,713.0,WRPH,Call,Taylor Long
6512783522736873,"Jarwa Suartini, S.T.",laki-laki,"Kalimantan Tengah, 30-06-1989",34.0,"Gang Raya Ujungberung No. 734
Pagaralam, SB 60077",60077,20.0,6.0,Belum menikah,Pengusaha,PD Prastuti (Persero) Tbk,+62 (059) 485 1802,0.0,6.0,1.0,0.0,0.0,Malang,4.0,3.0,2.0,1.0,SMA,668062316.0,sedang,6349179652.0,13.0,9.0,9.0,571.0,DISC,Call,Joshua Little
2135101076052689,Kenari Uyainah,perempuan,"Sulawesi Tenggara, 22-09-1996",27.0,"Gg. HOS. Cokroaminoto No. 76
Malang, KB 05689",5689,13.0,12.0,Belum menikah,Pegawai Negeri,PT Sitorus (Persero) Tbk,+62 (0657) 955-7570,10.0,0.0,0.0,0.0,0.0,Tangerang,3.0,3.0,3.0,1.0,S1,738215458.0,sedang,7222689519.0,15.0,9.0,11.0,596.0,HUPD,Call,Andrew Murray II
4268142379572947,dr. Jaga Santoso,perempuan,"Kalimantan Selatan, 10-08-1989",34.0,"Gang Laswi No. 549
Kota Administrasi Jakarta Pusat, Bengkulu 27778",27778,4.0,11.0,Cerai mati,Pegawai Swasta,Perum Hidayanto Prasetyo Tbk,+62 (476) 214-4218,10.0,4.0,3.0,0.0,0.0,Palembang,3.0,2.0,2.0,1.0,D3,413856608.0,kalem,4171645468.0,9.0,8.0,12.0,538.0,PTPR,Digital,Billy Kaiser
2123296655970932,"Lanang Habibi, S.Pd",perempuan,"Sulawesi Tenggara, 21-06-1965",58.0,"Gang Soekarno Hatta No. 461
Pariaman, NB 30138",30138,12.0,10.0,Belum menikah,Buruh,PT Pradana Nainggolan,+62 (0119) 232 3985,20.0,4.0,0.0,0.0,0.0,Padang,3.0,1.0,2.0,1.0,SMA,389092648.0,kalem,4475972951.0,9.0,9.0,9.0,513.0,ATPU,Call,Steven Alvarado
5816586382948294,Tgk. Siska Saputra,perempuan,"Sumatera Selatan, 27-02-1986",37.0,"Gang Lembong No. 49
Tual, Sulawesi Utara 20196",20196,11.0,20.0,Menikah,Buruh,UD Padmasari,+62 (0548) 379 4861,15.0,2.0,5.0,1.0,1.0,Jakarta,4.0,2.0,1.0,1.0,D3,448707641.0,sedang,4799226666.0,11.0,9.0,9.0,573.0,DISP,Call,Tanya Ortiz
4509297928410897,Among Sihotang,laki-laki,"Papua, 21-03-1962",61.0,"Gg. Stasiun Wonokromo No. 29
Tidore Kepulauan, DI Yogyakarta 08669",8669,11.0,12.0,Menikah,Profesional,CV Hastuti Waskita Tbk,+62 (098) 970 3865,15.0,8.0,1.0,1.0,1.0,Denpasar,4.0,1.0,1.0,1.0,SMA,394646857.0,kalem,4211460486.0,7.0,9.0,9.0,497.0,PTPR,Digital,Matthew Mullins
7219869693547743,"Hartana Suryono, S.Gz",perempuan,"Jambi, 06-09-1967",56.0,"Jl. Pelajar Pejuang No. 13
Sabang, SN 95603",95603,14.0,3.0,Menikah,Profesional,PD Pratama Halim,+62 (0191) 887-7959,10.0,2.0,4.0,1.0,1.0,Bandung,3.0,3.0,2.0,1.0,D3,637048685.0,kalem,6354209087.0,15.0,9.0,12.0,637.0,MUPD,Call,Julie Torres
1025618457483132,Kania Haryanti,perempuan,"DI Yogyakarta, 16-04-1992",31.0,"Jl. Ir. H. Djuanda No. 24
Lhokseumawe, SN 21935",21935,10.0,10.0,Cerai hidup,Pegawai Negeri,PT Sudiati Sudiati,+62 (065) 117-6097,15.0,2.0,4.0,0.0,0.0,Jakarta,3.0,2.0,1.0,1.0,SMA,472561780.0,kalem,3727639398.0,7.0,8.0,6.0,532.0,ATPU,Digital,Sean Strong
7975597010664374,"Joko Tampubolon, S.Psi",laki-laki,"Sulawesi Barat, 09-07-1988",35.0,"Gg. H.J Maemunah No. 35
Tanjungbalai, Lampung 92214",92214,11.0,8.0,Menikah,Buruh,UD Anggriawan (Persero) Tbk,+62 (66) 574-1944,10.0,0.0,0.0,0.0,0.0,Yogyakarta,3.0,2.0,2.0,1.0,SMA,652420222.0,kalem,4979364228.0,10.0,8.0,8.0,506.0,INCO,Call,Daniel Berry
6385177509551766,Tina Suartini,perempuan,"Kalimantan Barat, 30-07-1969",54.0,"Jl. Monginsidi No. 9
Sungai Penuh, Riau 58925",58925,16.0,6.0,Menikah,Pegawai Swasta,PD Sitorus Simanjuntak,+62 (076) 067 9489,10.0,8.0,1.0,0.0,0.0,Semarang,4.0,2.0,2.0,2.0,D3,617416147.0,kalem,4596861079.0,12.0,9.0,9.0,563.0,WRPH,Call,Randall Hoffman
8603619197205843,Ir. Ida Wibisono,perempuan,"Kalimantan Tengah, 11-08-1997",26.0,"Jl. Pasir Koja No. 8
Ternate, Jawa Barat 53252",53252,17.0,15.0,Belum menikah,Pegawai Swasta,CV Suartini Pranowo Tbk,+62 (131) 807 9086,20.0,6.0,2.0,0.0,0.0,Balikpapan,2.0,2.0,2.0,1.0,SMA,478968233.0,sedang,6990273146.0,10.0,9.0,11.0,714.0,WRPH,Call,Carmen Stuart DDS
5803095020482133,Soleh Mustofa,perempuan,"Aceh, 03-05-1980",43.0,"Gang Lembong No. 968
Balikpapan, GO 25444",25444,15.0,13.0,Cerai hidup,Pegawai Negeri,UD Halim Nuraini (Persero) Tbk,+62 (015) 858 1155,5.0,0.0,0.0,0.0,0.0,Bogor,3.0,2.0,2.0,1.0,D3,648985932.0,kalem,6205697202.0,13.0,9.0,11.0,632.0,DISC,Digital,Paul Jimenez
7406189333273434,"Yessi Thamrin, S.E.",laki-laki,"Papua Barat, 17-06-1996",27.0,"Jl. Moch. Ramdan No. 69
Dumai, JA 13288",13288,6.0,11.0,Cerai mati,Pengusaha,CV Nashiruddin Manullang (Persero) Tbk,+62 (411) 086 3714,20.0,2.0,1.0,1.0,1.0,Makassar,3.0,2.0,2.0,1.0,SMA,505984216.0,sedang,4360651899.0,11.0,9.0,10.0,609.0,WRPH,Digital,Michelle Hill
8316214771877804,Mustofa Palastri,laki-laki,"Kalimantan Utara, 05-03-1970",53.0,"Gg. Cihampelas No. 52
Langsa, NT 54833",54833,11.0,7.0,Menikah,Pegawai Swasta,UD Pratiwi Pradipta,+62 (80) 325 8840,0.0,10.0,2.0,0.0,0.0,Surabaya,5.0,3.0,3.0,2.0,D3,743693705.0,sedang,8331670397.0,17.0,9.0,12.0,836.0,WUPD,Call,Eric Love
5037049423786824,"Hilda Widiastuti, S.Pt",perempuan,"Kepulauan Bangka Belitung, 17-11-1992",31.0,"Gg. Indragiri No. 133
Kota Administrasi Jakarta Barat, Papua Barat 97413",97413,13.0,12.0,Belum menikah,Pengusaha,CV Melani Purnawati,+62-13-479-0986,0.0,10.0,5.0,0.0,0.0,Bandung,6.0,3.0,3.0,2.0,S1,655622122.0,sedang,7637064368.0,13.0,9.0,16.0,744.0,FDBK,Call,Eric Chan
7984818919556660,Ibrahim Firmansyah,laki-laki,"Jawa Timur, 08-06-1994",29.0,"Jalan Jayawijaya No. 16
Prabumulih, Maluku Utara 75263",75263,17.0,7.0,Belum menikah,Buruh,Perum Padmasari Saputra,+62-29-670-2515,0.0,2.0,1.0,0.0,0.0,Samarinda,5.0,2.0,2.0,2.0,S1,573967388.0,kalem,4651828078.0,11.0,9.0,14.0,550.0,WRPH,Call,Zachary Ortiz
5742679577866396,Salimah Lestari,laki-laki,"Sulawesi Tengah, 22-08-1990",33.0,"Gg. Jend. Sudirman No. 8
Sawahlunto, Sumatera Utara 87368",87368,13.0,7.0,Cerai mati,Pengusaha,UD Puspita,+62 (27) 356-1092,5.0,10.0,3.0,1.0,1.0,Makassar,2.0,1.0,1.0,0.0,D3,491851758.0,kalem,3595201136.0,10.0,8.0,6.0,494.0,OTHR,Digital,Jeffery Wiggins
5489854389589191,Salsabila Nababan,perempuan,"Aceh, 22-07-1996",27.0,"Jalan Bangka Raya No. 5
Palopo, Jawa Timur 64970",64970,7.0,13.0,Cerai hidup,Pengusaha,PD Nasyiah Novitasari Tbk,+62 (0725) 134-7237,10.0,8.0,5.0,1.0,0.0,Bandung,3.0,2.0,2.0,1.0,D3,591253219.0,kalem,5169761341.0,10.0,9.0,9.0,603.0,INCO,Call,Corey Arnold
3327429592998011,Yuni Sihombing,laki-laki,"Sumatera Barat, 21-10-1976",47.0,"Jalan Ciumbuleuit No. 31
Tegal, Kalimantan Utara 73252",73252,12.0,18.0,Belum menikah,Profesional,PD Saputra,+62 (44) 160-2078,15.0,4.0,5.0,1.0,1.0,Pekanbaru,3.0,2.0,1.0,1.0,SMA,296054259.0,kalem,4689477352.0,5.0,8.0,9.0,492.0,OTHR,Digital,Alex Garcia
4485143554733245,Eka Marbun,perempuan,"Kepulauan Riau, 16-11-1969",54.0,"Jl. Pacuan Kuda No. 05
Pariaman, BT 41144",41144,10.0,3.0,Cerai mati,Pegawai Swasta,PD Latupono Hutapea (Persero) Tbk,+62-328-087-1267,5.0,8.0,0.0,0.0,0.0,Palembang,4.0,3.0,3.0,2.0,D3,591604607.0,sedang,5728213952.0,14.0,9.0,15.0,611.0,WRPH,Call,Cynthia Rodriguez DVM
7077899665233254,Jagaraga Hardiansyah,perempuan,"Bengkulu, 14-07-1981",42.0,"Jalan Kapten Muslihat No. 447
Kotamobagu, SU 82534",82534,17.0,17.0,Cerai hidup,Buruh,CV Pangestu Hidayanto,+62 (0569) 202 5656,10.0,4.0,3.0,0.0,0.0,Semarang,2.0,1.0,1.0,1.0,SMA,421063918.0,kalem,3692328331.0,9.0,8.0,7.0,506.0,OTHR,Digital,Randall Hoffman
8393538880600376,Danuja Tampubolon,laki-laki,"Sulawesi Selatan, 17-09-1983",40.0,"Gg. Rajawali Barat No. 0
Yogyakarta, SU 09295",9295,14.0,10.0,Belum menikah,Profesional,PT Dongoran Mansur (Persero) Tbk,+62-0499-091-4588,20.0,4.0,4.0,0.0,0.0,Jakarta,3.0,2.0,2.0,1.0,SMA,575470214.0,sedang,6103180508.0,8.0,9.0,7.0,589.0,INCO,Digital,Sean Wilcox
