debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,num_of_dependents,debtor_education_level,debtor_occupation,debtor_company,debtor_number,monthly_income,monthly_expense,loan_type,debtor_tenor,loan_amount,payment_history_jan,payment_history_feb,payment_history_mar,payment_history_apr,payment_history_may,payment_history_jun,payment_history_jul,payment_history_aug,payment_history_sep,payment_history_oct,payment_history_nov,payment_history_dec,debtor_aging,transaction_frequency,remaining_loan,billing_frequency,billing_type,debtor_response,consumerism_level,debtor_mode,collector_type,collector_reputation,collector_fee,transportation_type,distance,travel_frequency,transportation_cost,remedial_score,remedial_label
6903411025554080,Humaira Mandala,laki-laki,"Lampung, 08-02-1994",46,"Gang Rajiman No. 55
Pekalongan, YO 06619",6619,11,4,Menikah,3,S1,Pegawai Negeri,Perum Kuswoyo Tbk,+62-029-684-0041,5297537,3708276,Pinjaman Pribadi,19,30347693,1,2,3,2,2,3,4,4,3,2,1,1,DPK,11,12865822,1,Surat,Positif,Rendah,Membayar utang,Komunikasi,Baik,8063879,Mobil,203,2,348195,833,Remedial
6088367608152910,Natalia Padmasari,perempuan,"Banten, 22-09-1974",34,"Gg. Pasteur No. 9
Parepare, KB 05195",5195,6,16,Menikah,3,D3,Pegawai Negeri,PT Dabukke Aryani,+62-0592-583-1360,4833173,3383221,Pinjaman Pribadi,17,24773046,1,0,0,1,1,2,2,3,2,3,3,3,DPK,9,11723478,1,Surat,Positif,Rendah,Membayar utang,Komunikasi,Cukup,7308480,Mobil,185,2,300931,777,Remedial
1131668068547401,"Dt. Panji Sirait, S.Pd",perempuan,"Jawa Tengah, 09-08-1980",44,"Gang Sukabumi No. 05
Kupang, PB 02343",2343,6,15,Menikah,3,S1,Pegawai Negeri,PD Rahimah Sitorus (Persero) Tbk,+62-54-812-7971,5648841,3954189,Pinjaman Pribadi,16,27250688,1,1,0,0,0,0,0,0,0,0,1,1,DPK,11,8609516,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Cukup,7667387,Mobil,218,2,347900,777,Remedial
2174760896782585,Yance Wastuti,laki-laki,"Sumatera Selatan, 17-08-1979",32,"Gang H.J Maemunah No. 3
Kupang, KT 70037",70037,8,18,Menikah,3,S1,Pegawai Negeri,PT Maheswara,+62 (957) 550-8561,6147828,4303480,Pinjaman Bisnis,16,29608256,1,0,1,2,1,0,0,0,0,1,1,2,DPK,10,11164776,1,Surat,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,7325850,Motor,179,2,253909,722,Remedial
7778883712231175,Kacung Nasyidah,laki-laki,"Bali, 24-09-1978",60,"Gg. Otto Iskandardinata No. 490
Madiun, DKI Jakarta 76479",76479,3,3,Menikah,3,S3,Professional,PD Hasanah Tbk,+62 (18) 322 3046,7102648,4971854,Pinjaman Pribadi,17,36405534,0,1,2,2,1,0,0,0,0,0,0,0,Lancar,12,0,2,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Cukup,7400122,Motor,205,2,316493,611,No Remedial
6256715242912612,Cinta Saefullah,perempuan,"Sulawesi Tengah, 10-09-1987",49,"Jl. W.R. Supratman No. 345
Pekalongan, Jambi 89737",89737,20,19,Belum Menikah,0,S2,Professional,CV Irawan Halimah Tbk,+62 (32) 236 9435,6506977,2602791,Pinjaman Bisnis,20,78344860,0,0,0,0,0,0,0,1,1,1,2,3,DPK,9,43207186,3,Surat,Positif,Rendah,Membayar utang,Komunikasi,Sangat Buruk,6729543,Motor,175,2,286650,722,Remedial
9330871446196917,"Gasti Gunawan, M.TI.",laki-laki,"Gorontalo, 27-11-1968",46,"Gang Kendalsari No. 3
Tanjungbalai, Nusa Tenggara Barat 03928",3928,4,10,Belum Menikah,0,S2,Professional,CV Thamrin (Persero) Tbk,+62 (398) 277-7625,6763982,2705593,Pinjaman Pribadi,16,65260528,1,2,3,4,4,4,5,6,5,6,6,7,Macet,5,44968583,1,Hukum,Positif,Rendah,Membayar utang,Penagihan hukum,Baik,7337020,Mobil,166,2,324813,722,Remedial
6199051285677998,"Puti Keisha Laksmiwati, M.M.",laki-laki,"DI Yogyakarta, 14-03-1964",43,"Jalan Gedebage Selatan No. 4
Banjar, KR 04570",4570,7,16,Cerai Mati,0,S1,Pegawai Negeri,PD Maryadi Putra,+62 (035) 024 8342,4805642,1922257,Pinjaman Bisnis,17,49181476,0,0,0,0,0,0,1,2,2,3,3,3,DPK,9,23231011,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Cukup,7042282,Motor,172,2,263409,777,Remedial
5914782805208768,R.M. Purwadi Sirait,laki-laki,"Sulawesi Tengah, 10-04-1979",57,"Jl. Tebet Barat Dalam No. 5
Tebingtinggi, Banten 94704",94704,5,6,Menikah,3,S3,Professional,UD Widodo Anggriawan Tbk,+62 (0161) 212 2798,8356626,5849638,Pinjaman Pribadi,18,45352548,0,0,0,1,1,0,0,0,0,0,1,1,DPK,11,17775680,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Cukup,8045238,Motor,204,2,289644,777,Remedial
6964489007922506,Rachel Namaga,perempuan,"Jambi, 05-04-1995",44,"Jalan Lembong No. 226
Ternate, KU 24237",24237,13,9,Menikah,3,S1,Pegawai Negeri,UD Nurdiyanti Maheswara Tbk,+62 (929) 388-3632,5756348,4029444,Pinjaman Bisnis,19,32920920,1,0,0,1,2,3,3,3,3,2,2,1,DPK,11,13924976,2,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Baik,7027644,Mobil,210,2,289546,666,No Remedial
4544910883476765,Vera Wibowo,perempuan,"Kalimantan Barat, 13-12-1966",41,"Jl. Otto Iskandardinata No. 281
Salatiga, Aceh 40335",40335,8,14,Menikah,3,S1,Pegawai Swasta,Perum Marbun,+62 (006) 617 8123,4999549,3499684,Kartu Kredit,17,25820467,1,0,1,0,0,0,0,0,0,0,1,2,DPK,10,10821817,3,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Baik,8231555,Motor,226,2,302057,500,No Remedial
3179300380878876,Tgk. Malika Maheswara,perempuan,"Jawa Timur, 22-05-1990",33,"Gg. Moch. Toha No. 7
Bima, SS 94584",94584,14,14,Belum Menikah,0,D3,Pegawai Negeri,UD Melani Suryono (Persero) Tbk,+62 (030) 223-2726,4646984,1858794,Pinjaman Bisnis,19,53152785,0,0,1,0,0,1,0,0,1,2,1,0,Lancar,12,0,1,Telepon,Positif,Sedang,Membayar utang,Komunikasi,Baik,8342144,Mobil,199,2,354446,611,No Remedial
3694312965743031,Cakrawala Suwarno,laki-laki,"Jambi, 04-02-1964",37,"Jl. PHH. Mustofa No. 6
Bitung, DKI Jakarta 73692",73692,20,13,Menikah,3,D3,Pegawai Negeri,PT Kuswandari,+62 (0071) 566-5821,4903166,3432216,Pinjaman Bisnis,20,29517400,0,0,1,0,0,0,0,0,0,0,0,0,Lancar,12,0,3,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Baik,6395419,Motor,240,2,309692,444,No Remedial
4402566562918858,Dina Iswahyudi,laki-laki,"Kepulauan Riau, 19-05-1976",43,"Jalan Dipatiukur No. 10
Tebingtinggi, MA 09462",9462,12,11,Cerai Hidup,3,S1,Pegawai Negeri,PD Winarsih,+62 (028) 155-3876,4596544,3217581,Pinjaman Pribadi,21,29103732,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,12,0,2,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Baik,8096523,Mobil,177,2,302529,611,No Remedial
6878407117047371,Hilda Hutapea,laki-laki,"Sumatera Selatan, 27-10-1979",45,"Jalan Moch. Toha No. 897
Mataram, JB 17381",17381,3,9,Belum Menikah,0,S2,Professional,PD Namaga Tbk,+62 (0969) 829-8285,6293016,2517206,Pinjaman Bisnis,22,83345636,0,0,0,0,0,0,0,1,2,2,1,0,Lancar,12,0,2,Telepon,Positif,Sedang,Membayar utang,Komunikasi,Sangat Baik,7803326,Mobil,207,2,336183,555,No Remedial
6562727714088626,"Cut Nilam Simbolon, S.H.",perempuan,"Jawa Timur, 04-07-1969",47,"Gang Rajiman No. 723
Bukittinggi, Kalimantan Utara 96498",96498,17,20,Menikah,3,S2,Professional,PD Januar,+62 (031) 592 1352,6114340,4280038,Pinjaman Pribadi,18,33183360,0,0,0,1,0,0,0,0,1,1,2,3,DPK,9,16674642,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Cukup,7754226,Motor,186,2,309596,722,Remedial
9510597330048495,Galur Tarihoran,perempuan,"DKI Jakarta, 15-06-1988",38,"Jl. Rajawali Barat No. 6
Sukabumi, KU 21852",21852,6,2,Menikah,3,S1,Pegawai Negeri,UD Ramadan Lestari Tbk,+62-087-038-9524,5246656,3672659,Pinjaman Pribadi,18,28474326,1,0,1,0,0,0,0,0,0,0,1,0,Lancar,12,0,2,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Baik,7222556,Motor,182,2,332716,611,No Remedial
8967634028499286,Eli Namaga,perempuan,"Gorontalo, 06-10-1984",47,"Jl. Joyoboyo No. 918
Tasikmalaya, SN 76602",76602,7,11,Menikah,3,S2,Pegawai Negeri,UD Permadi,+62 (05) 799-3277,6055980,4239186,Pinjaman Pribadi,19,34692556,0,0,0,1,0,1,0,1,1,2,2,1,DPK,11,14707822,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,8104900,Motor,168,2,209929,777,Remedial
4089510382510588,"Respati Firmansyah, S.H.",perempuan,"Sumatera Utara, 07-10-1999",38,"Jalan Kiaracondong No. 0
Binjai, NT 59829",59829,17,17,Belum Menikah,0,D3,Pegawai Negeri,PT Januar (Persero) Tbk,+62 (0451) 139-5625,4837336,1934934,Pinjaman Pribadi,19,55422753,1,0,1,2,1,0,0,1,2,2,3,2,DPK,10,26398733,3,Surat,Positif,Rendah,Membayar utang,Komunikasi,Cukup,7064339,Mobil,205,2,290623,888,Remedial
9786358461078959,Kartika Wastuti,laki-laki,"Kalimantan Tengah, 29-03-1978",42,"Gang Rungkut Industri No. 496
Palangkaraya, KR 05216",5216,1,2,Cerai Hidup,3,D3,Pegawai Negeri,Perum Anggriawan Sudiati Tbk,+62 (011) 016-4831,4619739,3233817,Pinjaman Pribadi,20,27857720,1,2,1,0,1,1,2,2,1,2,3,3,DPK,9,15384422,3,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,7434603,Motor,215,2,240799,666,No Remedial
7318881861725548,Kani Sinaga,laki-laki,"Nusa Tenggara Timur, 24-01-1983",50,"Gang Yos Sudarso No. 73
Metro, Sumatera Selatan 30516",30516,1,10,Cerai Mati,0,S2,Professional,PT Uyainah,+62 (0053) 365 9177,7778008,3111203,Pinjaman Pribadi,18,84424608,1,2,3,2,2,3,3,4,3,3,3,2,DPK,10,37756558,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Baik,7711332,Motor,218,2,295903,944,Remedial
5371897627377244,"Daliono Puspasari, S.T.",laki-laki,"Papua Barat, 28-11-1975",26,"Jl. Jayawijaya No. 35
Lubuklinggau, JI 53172",53172,15,15,Menikah,3,SMA,Buruh,UD Megantara Habibi (Persero) Tbk,+62-17-143-5069,3084374,2159062,Pinjaman Bisnis,19,17639733,0,1,1,0,0,1,2,3,2,2,3,3,DPK,9,9311925,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Baik,7577189,Mobil,202,2,335453,611,No Remedial
8265551544072497,Ir. Gaman Gunawan,laki-laki,"Maluku Utara, 12-01-1968",41,"Jl. Jakarta No. 8
Dumai, KU 65373",65373,19,12,Menikah,3,D3,Pegawai Negeri,PT Usamah,+62 (0889) 176-1435,5047972,3533580,Pinjaman Bisnis,22,33428054,0,0,1,0,1,2,2,1,1,2,2,2,DPK,10,18284134,2,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Baik,5857825,Motor,168,2,359411,666,No Remedial
6454805292631898,Tgk. Amelia Hardiansyah,perempuan,"Banten, 01-01-1963",45,"Gang Dipatiukur No. 00
Tarakan, Papua Barat 18359",18359,5,19,Menikah,3,S2,Professional,UD Napitupulu Nasyiah Tbk,+62-0304-335-3495,6385269,4469688,Pinjaman Bisnis,17,32673796,0,0,0,0,1,1,0,0,1,2,3,3,DPK,9,15433567,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,7915203,Mobil,205,2,291526,611,No Remedial
9252897059366699,Kamila Marpaung,laki-laki,"Papua, 17-08-1973",26,"Gang Asia Afrika No. 825
Tanjungbalai, Sulawesi Barat 56465",56465,1,19,Menikah,3,SMA,Pegawai Swasta,PT Prabowo Usamah Tbk,+62 (29) 141 5646,4421273,3094891,Pinjaman Bisnis,19,25285542,0,1,1,2,1,1,0,0,0,0,0,0,Lancar,12,0,2,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Baik,6592317,Mobil,171,2,309752,500,No Remedial
7519650775165435,Bahuraksa Rahimah,laki-laki,"Bengkulu, 05-02-1964",52,"Jalan Kutisari Selatan No. 29
Yogyakarta, Kalimantan Selatan 82560",82560,9,13,Belum Menikah,0,S2,Professional,CV Rajata,+62 (100) 017 8416,5289536,2115814,Pinjaman Bisnis,18,57318048,0,0,0,0,1,1,0,0,0,0,0,1,DPK,11,22407106,3,Surat,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,7812415,Motor,225,2,333882,777,Remedial
2436396704364731,"T. Damu Putra, S.Pt",perempuan,"Jawa Tengah, 08-10-1997",37,"Jl. Dipenogoro No. 481
Langsa, PA 13831",13831,17,8,Menikah,3,D3,Pegawai Negeri,PD Permata Puspasari,+62 (38) 007 1760,4787339,3351137,Pinjaman Bisnis,19,27379095,0,1,1,1,0,0,1,0,1,2,2,1,DPK,11,11580873,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Baik,8025405,Motor,190,2,283126,666,No Remedial
1578515700278651,"Dt. Bancar Laksita, S.I.Kom",perempuan,"Kalimantan Barat, 18-03-1977",50,"Gg. Pelajar Pejuang No. 13
Pematangsiantar, JK 90147",90147,16,15,Belum Menikah,0,S2,Professional,PT Pradana Budiyanto Tbk,+62-006-935-4969,5417464,2166986,Pinjaman Pribadi,19,62069428,0,1,0,0,0,1,2,1,1,2,3,3,DPK,9,32815126,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,7442075,Mobil,190,2,286796,888,Remedial
6120549722824829,"H. Prabowo Puspita, S.IP",perempuan,"Papua, 30-05-1996",35,"Gg. Gedebage Selatan No. 473
Kediri, BT 19472",19472,11,1,Cerai Hidup,3,D3,Pegawai Negeri,PT Prakasa Budiyanto Tbk,+62-40-905-1906,5322880,3726016,Pinjaman Bisnis,16,25635280,1,2,1,2,2,3,4,4,5,4,3,3,DPK,9,11263504,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Buruk,7364478,Mobil,193,2,307435,611,No Remedial
5984348721186623,Salimah Tarihoran,perempuan,"Sulawesi Barat, 07-06-1991",46,"Gg. Ahmad Yani No. 75
Gorontalo, Bengkulu 78283",78283,17,8,Menikah,3,S2,Pegawai Negeri,CV Saputra Saragih,+62 (76) 205-9000,6279073,4395351,Pinjaman Bisnis,17,32130374,0,0,0,0,0,1,1,0,1,0,1,1,DPK,11,11409432,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,7367196,Mobil,161,2,298207,666,No Remedial
6512783522736873,"Jarwa Suartini, S.T.",laki-laki,"Kalimantan Tengah, 30-06-1989",26,"Gang Raya Ujungberung No. 734
Pagaralam, SB 60077",60077,20,6,Menikah,3,SMA,Buruh,PD Prastuti (Persero) Tbk,+62 (059) 485 1802,3199313,2239519,Pinjaman Pribadi,21,20256957,0,0,0,0,0,0,0,0,1,2,1,2,DPK,10,10659017,1,Surat,Positif,Rendah,Membayar utang,Komunikasi,Sangat Buruk,7504157,Mobil,195,2,351557,833,Remedial
2135101076052689,Kenari Uyainah,perempuan,"Sulawesi Tenggara, 22-09-1996",43,"Gg. HOS. Cokroaminoto No. 76
Malang, KB 05689",5689,13,12,Belum Menikah,0,S1,Pegawai Negeri,PT Sitorus (Persero) Tbk,+62 (0657) 955-7570,5708378,2283351,Kartu Kredit,19,65899258,1,0,0,1,0,0,1,0,0,1,1,2,DPK,10,31648988,2,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Cukup,7219912,Mobil,190,2,306589,722,Remedial
8335222605184011,Zalindra Mustofa,laki-laki,"Nusa Tenggara Barat, 01-06-1994",33,"Jl. Cikutra Timur No. 1
Blitar, PA 08164",8164,15,19,Menikah,3,D3,Pegawai Swasta,UD Rahimah,+62 (0364) 672 8454,5157734,3610414,Pinjaman Bisnis,19,29497405,0,0,0,1,1,1,1,2,2,1,1,0,Lancar,12,0,2,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Sangat Buruk,7117995,Motor,195,2,339180,500,No Remedial
4268142379572947,dr. Jaga Santoso,perempuan,"Kalimantan Selatan, 10-08-1989",34,"Gang Laswi No. 549
Kota Administrasi Jakarta Pusat, Bengkulu 27778",27778,4,11,Belum Menikah,0,S1,Pegawai Negeri,Perum Hidayanto Prasetyo Tbk,+62 (476) 214-4218,5112932,2045173,Pinjaman Pribadi,20,61663500,0,0,0,0,0,0,0,1,2,3,3,3,DPK,9,34053669,1,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,7730701,Mobil,199,2,311870,944,Remedial
2123296655970932,"Lanang Habibi, S.Pd",perempuan,"Sulawesi Tenggara, 21-06-1965",34,"Gang Soekarno Hatta No. 461
Pariaman, NB 30138",30138,12,10,Menikah,3,S1,Pegawai Negeri,PT Pradana Nainggolan,+62 (0119) 232 3985,5222437,3655706,Kartu Kredit,17,26971571,0,0,1,1,0,1,0,0,1,0,0,0,Lancar,12,0,2,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Baik,7862035,Mobil,219,2,314463,388,No Remedial
7078924966167884,"Garang Sitompul, S.I.Kom",perempuan,"Jambi, 03-05-1974",39,"Jalan Sukabumi No. 850
Yogyakarta, SU 40722",40722,8,1,Cerai Mati,0,S1,Pegawai Swasta,Perum Habibi Tbk,+62 (0082) 058-6413,5279585,2111834,Pinjaman Bisnis,20,63566900,0,0,0,0,1,0,1,2,2,3,3,3,DPK,9,35057141,3,Surat,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,7377772,Mobil,206,2,287829,722,Remedial
5816586382948294,Tgk. Siska Saputra,perempuan,"Sumatera Selatan, 27-02-1986",61,"Gang Lembong No. 49
Tual, Sulawesi Utara 20196",20196,11,20,Menikah,3,S3,Pengusaha,UD Padmasari,+62 (0548) 379 4861,7500990,5250693,Pinjaman Bisnis,17,38382991,1,2,1,2,1,0,1,2,3,4,4,5,Diragukan,7,22630912,2,Hukum,Positif,Rendah,Membayar utang,Penagihan hukum,Baik,7367336,Mobil,175,2,276163,500,No Remedial
4509297928410897,Among Sihotang,laki-laki,"Papua, 21-03-1962",40,"Gg. Stasiun Wonokromo No. 29
Tidore Kepulauan, DI Yogyakarta 08669",8669,11,12,Belum Menikah,0,D3,Pegawai Swasta,CV Hastuti Waskita Tbk,+62 (098) 970 3865,4238329,1695332,Pinjaman Pribadi,17,43448192,0,1,0,0,0,1,0,0,0,0,0,0,Lancar,12,0,2,Telepon,Positif,Sedang,Membayar utang,Komunikasi,Baik,7243394,Motor,214,2,285433,666,No Remedial
7219869693547743,"Hartana Suryono, S.Gz",perempuan,"Jambi, 06-09-1967",39,"Jl. Pelajar Pejuang No. 13
Sabang, SN 95603",95603,14,3,Belum Menikah,0,S1,Pegawai Negeri,PD Pratama Halim,+62 (0191) 887-7959,5919737,2367895,Pinjaman Bisnis,19,67710699,0,0,0,0,0,0,0,1,1,2,2,3,DPK,9,35744121,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Cukup,7718942,Motor,166,2,273624,777,Remedial
1025618457483132,Kania Haryanti,perempuan,"DI Yogyakarta, 16-04-1992",50,"Jl. Ir. H. Djuanda No. 24
Lhokseumawe, SN 21935",21935,10,10,Cerai Hidup,3,S2,Professional,PT Sudiati Sudiati,+62 (065) 117-6097,6672954,4671068,Pinjaman Bisnis,18,36154458,0,1,1,2,2,2,3,3,2,3,3,3,DPK,9,18137484,1,Surat,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,7348577,Motor,206,2,306804,666,No Remedial
7975597010664374,"Joko Tampubolon, S.Psi",laki-laki,"Sulawesi Barat, 09-07-1988",34,"Gg. H.J Maemunah No. 35
Tanjungbalai, Lampung 92214",92214,11,8,Belum Menikah,0,S1,Pegawai Negeri,UD Anggriawan (Persero) Tbk,+62 (66) 574-1944,4825954,1930382,Pinjaman Bisnis,17,49389352,1,0,0,0,0,1,1,1,2,1,2,3,DPK,9,23329204,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,7277424,Mobil,209,2,318135,777,Remedial
6385177509551766,Tina Suartini,perempuan,"Kalimantan Barat, 30-07-1969",30,"Jl. Monginsidi No. 9
Sungai Penuh, Riau 58925",58925,16,6,Menikah,4,D3,Pegawai Swasta,PD Sitorus Simanjuntak,+62 (076) 067 9489,4117303,3293842,Pinjaman Pribadi,17,14069183,0,1,2,2,2,3,2,3,3,3,3,4,Kurang Lancar,8,7481495,2,Wakil,Positif,Rendah,Membayar utang,Penagihan utang,Sangat Baik,7099314,Mobil,218,2,310137,666,No Remedial
8603619197205843,Ir. Ida Wibisono,perempuan,"Kalimantan Tengah, 11-08-1997",44,"Jl. Pasir Koja No. 8
Ternate, Jawa Barat 53252",53252,17,15,Menikah,3,D3,Pegawai Swasta,CV Suartini Pranowo Tbk,+62 (131) 807 9086,3892082,2724457,Pinjaman Bisnis,17,19916010,0,1,1,0,1,2,2,3,3,4,4,4,Kurang Lancar,8,10575010,2,Wakil,Positif,Rendah,Membayar utang,Penagihan utang,Sangat Baik,7123405,Mobil,192,2,304012,555,No Remedial
