debtor_nik,payment_history_1,payment_history_2,payment_history_3,payment_history_4,payment_history_5,payment_history_6,payment_history_7,payment_history_8,payment_history_9,payment_history_10,payment_history_11,payment_history_12,limit_ball,bill_amount,payment_amount,default_payment_next_month
2409970349051392,-1,0,-2,0,-1,0,-1,-1,-1,0,-1,-1,7088686,4174267,4884628,0
4621653678216036,-2,-1,-2,-2,-1,-2,-1,-1,-1,-1,-2,-1,5368809,3756801,3992175,0
2356628706899348,0,0,0,-1,-1,-1,-1,0,-1,1,0,0,10028570,4944321,5187640,0
8522568956133535,0,-1,0,-1,0,-1,0,1,0,0,-1,0,11686616,4098691,6539381,0
5294127498788616,0,-1,-2,-1,0,0,0,-1,0,0,-1,0,8968750,3529704,4581738,0
5847488398587159,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,11423749,5661601,5342332,0
8786981327166525,0,0,0,0,0,0,1,-1,0,0,0,-1,9797044,5795330,5684461,1
4901466368444473,0,0,-1,-1,1,0,0,0,1,-1,-1,0,8644997,4838313,3348708,1
1936074210199220,-2,-1,-1,-2,-2,-2,-1,-1,-2,-1,-3,-1,5772838,3680256,3854462,0
6118014509963100,1,0,1,0,1,1,0,1,0,1,0,1,14172276,7748995,6491469,1
6148011618370984,0,-1,0,0,0,1,0,0,0,0,0,0,10833968,5702718,4677434,0
9078880988834802,-1,-1,-1,-1,-1,-1,-1,-2,0,-1,-1,-1,7046943,4207850,4200120,0
8605256482729359,0,0,-1,-1,-2,0,1,-1,-1,0,0,1,12067520,5171832,2294299,0
6523882818626664,0,1,1,0,0,0,0,0,1,-1,0,0,13712538,7714212,7142832,1
4251127314760831,-1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-1,-1,9497683,4104321,3402093,0
3811262217963891,-1,0,-2,-1,-2,-1,-1,-1,-2,-2,-1,-2,5533924,2941699,3753355,0
5209279524223474,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-3,-2,5746998,3470348,4643493,0
3568910450277671,1,0,0,0,1,-1,0,0,0,0,1,0,11373250,4943029,4323197,1
3977687034454511,0,0,-1,-1,0,-1,0,-1,-1,-1,1,-1,10398926,5419529,4202268,0
8040176833522795,0,0,1,0,-1,0,0,1,1,0,1,0,12881763,6866125,5376128,1
4608905956972863,-2,-2,-1,-2,-2,-2,-2,-2,-2,-3,-2,-2,5881638,3974685,3705480,0
1892820782051494,-1,-2,-1,-1,-2,-1,-1,-1,-1,-2,-2,-1,9281176,3933062,4352035,0
5083106866503442,-3,-3,-3,-2,-1,-3,-2,-1,-2,-2,-2,-1,6374146,2320133,1807144,0
4251783188881434,0,1,2,0,0,0,0,0,0,0,-1,-1,13085852,6779128,5616106,1
7826865710567780,-2,-2,-1,0,-1,-1,-2,-1,-1,-1,-1,-2,9684647,3364007,3497730,0
8997032256923786,-1,-2,-1,-2,-2,-1,-2,-1,-2,-3,-2,-2,8607829,5163757,3760076,0
8287161335159931,-2,-1,-1,0,-1,0,0,-1,0,0,0,-1,9274748,4365712,4122357,0
1074218916799217,0,-1,-1,-1,0,0,1,1,-1,-1,0,0,10321216,3838615,3816434,1
9342427853249360,-1,0,-1,0,0,0,-1,-1,-1,0,-1,-1,9885252,4433551,5560057,1
9524882824477940,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10085982,4587159,4031724,0
3074676441316449,0,0,-1,0,0,0,0,-1,0,-1,0,0,9194930,6088604,4456388,1
5078648157194137,-1,0,0,0,0,0,1,0,0,0,0,0,12592889,6139419,4740880,0
4997749245892031,0,-1,-1,-1,0,0,0,0,-1,-1,-1,0,10800620,4819474,5553984,0
8989377809722846,1,0,1,0,0,1,1,1,1,0,1,1,15057911,7013788,6387664,1
7838011268102843,0,-1,-1,-2,-1,-1,-1,-1,-1,-1,-2,-1,6433750,2822833,4315659,0
6277174548850913,0,0,1,1,0,0,0,0,0,0,0,0,13254135,6694025,4974413,1
8881777086941295,-1,0,0,-1,-1,-1,0,-1,-1,0,0,0,8957700,5041124,4132706,0
1246957680175935,-1,0,-1,-1,-1,-1,0,-2,-1,-2,-1,-2,7236220,3815711,2473256,0
4755069702333816,-1,-1,-2,-2,-1,0,0,0,-2,-2,0,0,9862753,5186292,3787234,1
6080666348835667,-2,-1,-3,-2,-2,-2,-1,-2,-2,-2,-3,-1,3474402,2413043,2927342,0
4848018925392943,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10062655,5208616,5038887,0
4426354883741952,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,10486900,5083350,4239661,0
5837595011688799,0,-1,1,-1,0,-2,-1,1,0,-1,-2,1,14009730,5258871,6164505,0
6082578765221538,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,9792187,4445624,5012695,0
4726572152898492,0,0,-1,-1,0,0,0,-1,0,-1,0,0,9645017,5060554,3787388,1
3305590179048276,1,1,1,1,0,0,0,0,1,0,1,0,9993266,6596447,7222986,1
4150174232764874,-1,-1,-2,-1,-1,0,-1,0,-1,-1,0,-1,9577551,5606895,4730588,1
3843829500743897,0,0,0,0,0,0,-1,0,0,0,0,0,11876206,5069906,5603412,0
9561710592029108,-2,-1,-1,-1,-2,-1,-2,-1,-1,-2,-1,-2,7193004,4281150,4554800,0
3208283962997801,-2,-1,-1,-2,-2,-2,-2,-1,-1,0,0,-1,9234049,3560287,4627804,0
2122983158073376,-2,-1,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,9009421,2662668,4178484,0
5747372896513527,0,1,0,0,0,0,1,0,-1,1,0,0,13115835,5334451,5823680,1
3012086594008981,-1,0,-2,-1,-1,0,0,-1,-1,-1,0,0,9494411,4224612,2953919,0
8965578392650199,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,7348582,2084286,2997563,0
9538328339881072,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,7227521,3586872,3625871,0
5878145359675299,-2,-2,-2,-2,-1,-2,-1,-2,-2,-3,-2,-2,8466937,2664736,3284027,0
1397053051692314,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,8653751,3415813,3229213,0
1536540805429720,1,1,2,1,1,0,1,1,1,1,1,2,16298622,7725201,6833562,1
7959796694782578,1,0,0,1,-1,1,1,-1,0,1,1,-1,11838744,6465935,6738957,1
2746549898038480,1,1,1,0,0,0,1,1,1,1,1,1,15277348,6618480,6945455,1
3434508781805025,-1,-1,-2,-1,0,0,-1,0,-1,-2,0,0,10488369,5306112,3955008,1
2051216187421147,-4,-2,-2,-2,-2,-3,-3,-3,-2,-2,-2,-3,4770259,2912210,2429372,0
3674977194217693,-1,-2,-1,-1,-1,-1,-1,-1,-2,-1,-2,-2,9835560,4221915,5481835,0
9219750144904916,1,1,1,1,1,0,0,0,1,1,0,1,13243966,5534520,7414113,1
2081502162104274,0,1,0,-1,0,1,-1,0,-1,0,0,-1,8438362,6444318,6620832,1
1862820381781274,0,0,0,0,0,0,0,0,-1,0,-1,-1,10964507,4339738,5961866,0
7790317016993168,-2,-1,-1,-1,-1,-1,-1,-1,-3,-2,-1,-2,10486851,3919317,2790824,0
9517746945926008,0,0,0,0,-1,0,0,0,-1,0,1,0,11272394,6483685,6087644,1
4211485669108715,-1,-3,-2,-3,-2,-2,-2,-1,-3,-3,-3,-1,8705984,2518776,591113,0
8389124020158087,1,0,1,0,1,1,0,2,1,1,0,1,18187077,7915987,6766352,1
7758744229060022,0,0,0,0,-1,0,1,0,-1,-1,0,0,9442380,5314874,3685693,1
1982711098382453,1,1,0,1,1,2,1,1,1,2,1,1,13789982,5882160,6711631,1
6470866089639034,-1,-2,-2,-2,0,-2,-1,0,-1,-1,-1,-1,9425792,3841043,4028599,1
9643802999264368,0,1,0,0,1,0,1,0,0,0,0,0,11135770,5371953,6026311,1
9537406862856700,0,1,0,1,-1,1,0,0,0,0,0,0,11353106,5769981,5179023,0
3323149556471655,0,1,-1,0,2,0,1,-1,1,0,0,0,9670620,5750347,6359915,1
3418413964171565,1,0,1,1,2,1,0,1,0,0,0,0,13734546,7160406,6636272,1
1716529183787328,-1,-2,-1,-2,-2,-1,-1,-1,-1,0,-2,-2,7186281,3192223,3147482,0
2035870489879123,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,8923212,5584882,3728926,1
3708993723357285,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,12410296,4340825,4292805,0
4974777979098927,-2,-2,0,0,-1,-2,-1,-1,-1,-2,-1,-2,10094219,5548117,4316274,0
9150399311166838,-2,-2,-2,-2,-2,-3,-2,-1,-3,-2,-2,-2,8355355,1959052,1958964,0
1302011774768136,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,7838987,3351903,3741282,0
4287656107647250,-2,-2,-1,-1,-3,-1,-2,-2,-2,-2,-2,-2,7109120,4686054,3723076,0
3819086693612433,-1,0,0,1,0,0,0,-1,0,0,0,-1,10869763,5692064,4658633,1
9732475351760836,1,0,0,-1,0,0,-1,1,-1,0,1,-1,12213241,5272901,6868196,0
8086449372222449,-1,0,0,0,-1,0,-1,0,-1,1,0,0,12208381,5030623,5790957,0
6182595925762079,0,0,-1,-1,-1,0,1,0,0,1,0,0,9632863,5083252,7037823,1
3061757193887509,-1,0,0,0,-1,0,-1,0,-1,0,0,-1,12663482,5497405,6103887,1
1687374303762163,-2,0,-2,-1,-1,-2,-1,-2,-1,-1,-1,-1,9018529,3671295,5079979,0
4743266749564398,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-1,-2,7253275,3711239,4022430,0
9361869270906120,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-1,7468242,4077049,2422754,0
8742948634239523,0,-2,-2,-1,-1,-1,-1,-1,-1,-2,-3,-2,10233075,1385724,3577322,0
4572780233333573,-1,0,0,-1,-2,-1,-1,-2,0,-2,-1,-1,7327266,6637351,4655845,0
4834923873568249,-1,-2,-1,-1,-1,0,-1,-1,0,0,-1,-2,6253346,4618825,5361220,0
6847796214834776,0,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,8411735,5271546,4760724,0
3512666148795280,-1,-1,-1,-1,-1,-2,0,-1,-1,-2,-1,-2,10725153,3983390,5244948,0
6591727655114682,0,1,0,0,1,1,1,-1,0,0,0,-1,13187615,7815804,6440321,0
8908486603107218,1,1,1,1,2,2,2,1,1,1,1,2,15750552,8081601,7148944,1
8278321092621166,1,0,2,1,1,1,1,2,2,1,1,2,15784095,7309424,7445790,1
6977820762763169,1,1,0,1,1,1,1,1,1,1,0,2,13977204,7224681,7361170,1
8979509566986891,-1,-1,-1,-1,-1,-1,-2,-1,0,-1,-1,-1,9315071,3908392,3860418,0
7476426668269909,-1,-1,-1,-1,0,-1,0,0,1,-1,0,1,11825940,5406310,3684173,1
4957138483397461,-1,-1,0,-1,-1,0,-2,-1,0,-1,-2,-2,7740197,4796476,5798127,0
2030056076809442,-1,0,-1,1,1,0,0,0,1,0,1,0,11840071,4966574,6129311,1
1778712918451042,0,-1,0,0,0,0,0,0,0,-1,0,-1,10652888,4707490,5710740,0
8177383822688262,-2,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,12142035,5148421,4974761,0
2666698038972116,-1,0,-1,0,-1,0,0,-2,-1,-1,0,-2,7005097,3942635,4566076,0
1444048557292134,-1,-2,-1,-1,-1,-2,-2,-1,-1,-1,-1,-2,10466984,3993825,4806237,0
7888808264421412,0,0,0,0,-2,0,-1,0,0,-1,-1,0,8803416,4821490,5385994,0
9552874342201046,1,-1,0,0,-1,-1,0,-2,0,0,-1,-1,9320648,3967403,4558690,0
2364543539230330,1,0,0,0,0,-1,0,-1,0,-1,0,-1,12770149,5276129,6031616,0
8532775750824989,-1,-3,-2,-2,-1,-2,-2,-2,-3,-2,-3,-2,9234488,2941794,1861639,0
7620851904488887,-1,-1,-2,-1,-1,-1,0,-1,-1,-2,0,-1,8768211,3781527,3561230,0
1910203325039971,1,1,1,0,0,1,1,0,0,1,1,1,13504972,7068429,7061871,0
5041672708219245,0,-1,0,-1,0,-1,-1,1,0,0,0,0,11566342,5334877,5056867,1
5827358902994367,-1,-2,-2,-1,-2,-2,-1,-2,-1,-2,-2,-2,7523405,3169230,3058624,0
9937609278759218,-2,-2,-1,-3,-2,-2,-3,-2,-2,-2,-2,-2,6802309,3145535,1809765,0
8935538944822411,-1,0,0,0,-1,0,-1,-1,0,0,0,0,10772419,5504008,5971205,0
5999710688702712,-2,-2,-2,-2,-1,-3,-2,-2,-2,-1,-2,-1,7896809,1719363,1206457,0
9327416804096604,1,-1,0,0,1,0,0,1,0,0,1,1,14570053,5559150,6277920,1
8725731232754999,0,-1,0,-1,0,-1,-1,0,0,0,-1,-1,9357844,3916614,4487782,0
9655098002960322,1,0,0,0,0,1,0,0,0,1,0,1,12492394,7427650,7467353,0
6880210742333108,0,-2,-1,-2,-2,-1,-2,-1,-1,-2,-2,-1,7329659,4133358,3974875,0
8927262942367525,-2,-1,-1,-2,-1,-1,-2,-1,-1,-1,-2,-2,8194244,3494404,4209593,0
4634250564403024,0,-2,1,-1,0,-1,-2,0,-2,0,-1,-1,13220285,4404464,5816587,0
7736454591926710,1,2,0,1,0,1,1,0,1,0,1,1,11375584,6055277,5146499,1
2009432334913475,0,-1,0,0,0,0,1,1,0,0,-1,1,12308782,5633310,4907415,1
4892009424525459,1,3,2,2,2,2,2,1,2,2,1,3,16093291,8244461,7805655,1
5372902035654287,-1,0,-1,-1,0,-1,0,-2,0,0,1,0,8522950,5378083,4406160,1
1214588443708036,-3,-2,-2,-3,-1,-3,-3,-2,-1,-2,-2,-1,7411631,2883223,2346519,0
4150188289056449,0,-2,-1,-1,-2,0,-1,0,-1,0,-1,-1,10699749,4556545,4458223,0
4509392976098826,0,-1,0,0,0,0,0,1,-1,0,0,0,13102606,3741173,3877499,1
5566585782137199,-2,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,-2,7970159,3661700,2429063,0
4105744386256060,-2,-1,-1,-2,-1,-1,-2,-1,-1,-1,0,0,9521580,5081865,4622623,0
9728508457021012,-1,-2,-1,-2,-2,-1,-2,-1,-2,-2,-2,-2,8085042,4565539,4263635,0
6861532871712056,0,-1,0,-1,-1,0,0,1,0,0,-1,0,11889078,5834051,5454519,1
3177669129167963,-2,-2,-1,-1,-1,-2,-2,-1,0,-1,-2,-2,8956873,3653369,3764962,0
7555284552977569,-2,0,-1,-1,0,0,-1,-1,0,0,-1,-1,8388485,4911001,4764979,0
7516459783077599,-1,-1,-1,0,0,0,0,-1,-1,0,-1,-1,9374513,5227678,6128546,0
6007732181048998,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,8532890,3244444,4948410,0
8054894342133189,1,0,1,2,1,2,1,0,1,0,1,1,14376860,9394751,7031046,1
3618122527123486,0,1,0,1,0,2,0,0,1,1,1,1,12257288,8304785,6932207,1
9606157334059872,-1,-1,0,0,-2,-2,0,-1,0,-1,-1,-1,10998111,3185123,4088018,0
3964840337300976,-2,-1,-1,-1,-1,-2,-1,-1,0,-1,-1,0,11409929,3974162,3265631,0
7454866292721337,1,0,1,0,0,0,0,0,1,-1,1,1,10918405,7319927,5001803,1
7854536179627397,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,-1,7465057,3114859,2942060,0
2136422856370671,1,-1,1,0,0,0,0,1,0,1,-1,1,16457323,4664608,4560125,0
5847468014112402,1,1,0,2,1,1,2,1,1,1,0,0,13616715,5757302,6154866,1
6058309287628878,-1,1,-1,0,0,0,0,-1,0,-1,1,0,11843775,7118900,4784657,1
6386747751285103,-2,-1,0,0,0,-2,-1,-2,0,-2,-2,-2,9021471,4044702,2668168,0
7148160999147928,0,0,0,0,0,0,0,1,0,0,0,1,14570260,5174491,5721726,1
8109455252745123,-1,-2,-1,-2,-1,-2,-2,-2,-2,-3,-2,-2,8678210,4208559,3626747,0
5180655479503549,-1,0,0,0,0,0,-1,1,-1,0,0,0,12125434,6132619,6421193,0
5106178013265105,-1,-1,-1,-1,-1,0,-1,-2,0,-1,-2,-2,8374651,6422758,6803150,0
9613170591853420,1,1,0,1,1,1,1,0,1,1,0,1,12153208,6372963,6957156,0
2283063978309319,-1,-1,-1,-1,0,-1,-2,0,-1,-1,-1,-1,8810677,3968686,4817810,0
4928436715708063,-2,-2,-2,-2,-2,-2,-3,-2,-1,-1,-2,-1,5703132,3383731,2165021,0
6295684480951350,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-2,7415907,4675817,3672831,0
1107964496637907,-3,-1,-2,-2,-2,-2,-3,-2,-1,-2,-2,-1,6870596,2753918,3457491,0
1286234122837613,-3,-2,-2,-1,-1,-3,-1,-2,0,-2,-1,-2,6844969,2130593,2792978,0
5152445539825037,1,1,1,0,1,1,0,1,0,2,1,1,13246872,5586788,7538683,1
4251499650173220,0,-1,-1,-1,0,-1,-1,0,-1,-1,-1,0,10002169,4135555,4197703,0
7402949760662737,0,-2,-1,-2,0,0,-2,-1,-1,-1,-1,0,10478927,4731896,4444003,0
6339027772190262,-3,-3,-3,-4,-2,-3,-4,-2,-3,-2,-4,-3,1851618,1260032,2036542,0
5263529164975354,0,0,0,-2,-1,-1,-1,-1,-1,-1,-1,0,8036372,5305088,4046081,0
7845439344496345,1,1,1,0,0,1,0,1,1,0,0,1,12977414,7775594,6385859,1
2225308996769300,-1,-1,-2,-2,-1,-1,0,-2,-2,-1,-2,-2,8182716,4031600,4025683,0
8057104388018231,-1,-1,-1,0,-1,-1,-1,-2,-1,0,-1,-1,7701649,3499154,5403433,0
6217824969204000,-1,-2,-3,-2,0,-1,-1,-1,-1,-2,-2,-2,6469157,4178719,3859062,0
6852200322224832,1,0,1,0,1,0,1,0,0,0,1,1,13367023,7515085,5428433,1
2731481500614746,2,1,1,0,1,1,0,1,1,1,0,1,10212309,7267033,7705978,1
9043389120056758,0,0,0,-1,1,0,-1,0,-1,-1,0,-1,9903736,4705435,5377199,1
4249722302664260,-1,-1,-1,-1,0,-1,-1,0,-2,-1,-1,-2,9573807,4346845,4962575,0
4425917794546737,0,-2,-2,-2,0,-1,-1,-2,-1,-2,-1,-1,8447392,3935428,1809352,0
8320966843775542,0,1,0,0,0,0,0,0,1,0,-1,0,9884750,4745450,6763985,1
9348128470505272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,7060531,4211176,4305613,0
4893538381939600,1,0,0,-1,1,0,0,1,0,0,0,0,10269084,7194802,5375591,1
5565917793000801,-1,0,0,0,0,-1,0,-1,1,-1,0,-1,12148388,5702237,5240155,1
6548695917544018,-1,0,-1,-1,0,-1,0,0,-1,1,0,0,12408664,3781487,4233905,0
3273638300632596,-2,-2,-2,-1,-2,-1,-1,-3,-1,-2,-2,-2,6350714,4105915,2151309,0
9742641657379092,-1,-2,0,-2,-1,-2,-1,-1,-1,-1,-2,-2,8807993,4238754,3899359,0
3641719737627342,1,0,1,1,1,0,1,0,1,1,1,0,15140740,5693523,5413241,1
9924772600265996,0,1,0,-1,0,-1,1,0,0,0,0,0,12245069,5941972,5757018,0
4765171488486931,2,1,1,1,0,1,1,1,1,0,1,2,14075789,8107251,6348550,1
4940481678872676,1,1,1,2,0,1,1,0,1,1,1,1,13137924,5724561,5696161,1
7620378958700089,-1,0,0,-1,-1,-1,0,-1,0,-1,0,-1,8485795,5138481,5873554,0
9310273355724394,-1,-1,-1,-1,0,-1,-2,0,-1,-1,-1,-1,10444140,4447476,4614210,0
5673273702194985,0,0,-1,0,0,1,0,1,0,1,0,0,11491919,5933756,7432909,0
1439181403571963,1,1,1,2,1,2,1,1,2,1,1,0,13858466,7910365,7467811,1
2008683220190585,0,0,0,0,0,0,0,-1,0,0,0,-1,11779847,6146011,5437761,1
8116486712562031,-2,-1,0,-1,-2,-2,-1,-1,-1,-1,-1,-1,10455572,3544602,3938706,0
6856690363739451,0,0,0,0,0,0,-1,-1,0,0,0,-1,10023079,5515203,5815531,0
5812820428947626,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,9998667,4945386,5906384,0
9902002688876016,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,12714607,5371049,5254363,0
8029095158231316,0,1,0,1,0,1,0,-1,0,1,0,0,11127181,6265244,6018527,1
9898544174840608,-2,-3,-2,-3,-2,-2,-3,-2,-2,-2,-4,-3,4501303,1567882,2782163,0
4864042260804140,0,1,1,1,1,1,0,0,1,1,0,0,14471590,7066330,7663374,0
5795347008946464,0,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,11815526,5857758,4272382,0
5876123939676425,-1,-2,-1,0,0,-1,-1,-1,-1,-1,-2,-1,9894310,3986775,4937901,0
2484757375463648,-1,-1,-1,-1,-2,0,-1,-1,-1,-1,0,-1,9867266,3980056,5138880,0
9184990899555348,-1,0,-1,-2,-1,-1,-1,-1,-2,-1,-1,0,8828217,4039956,5303042,0
6484874401082581,1,2,1,1,1,1,1,0,1,1,1,1,13744266,7618580,6068747,1
1189783128310333,-1,-1,-2,-1,-1,-1,0,-2,-1,-2,-1,-1,7752266,4540497,3048164,0
3305753729918734,0,-1,-1,0,1,-1,-1,-1,0,-1,-1,-1,9437779,5230857,5474492,0
5702231125525498,0,0,-1,-1,-1,0,-1,0,0,0,0,0,7658854,4588110,4267863,0
1593235564592254,-1,-1,0,0,0,-2,-1,-2,0,-1,-1,-1,12195710,3224728,3071556,0
4475440788478611,1,1,1,1,1,1,1,2,1,1,1,2,15085585,8138524,7600141,1
8908998267807216,-1,-2,-1,-1,-2,-2,-1,-1,-2,-1,-2,-2,8846795,2846070,2911383,0
9220780157361296,1,0,0,0,0,0,0,0,0,1,1,0,12763310,5502005,6643964,1
1897288048429395,-1,0,-2,-2,-2,-1,0,-2,-1,-1,-1,0,8193618,3624291,4225351,0
4834600430368338,-1,0,-1,0,1,-1,0,0,-1,0,-1,-1,10769745,4808476,4351337,0
8578735051370971,1,1,0,0,1,0,0,0,1,1,0,1,12276135,5511060,6654733,0
6001890301641483,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-2,7457353,3269396,4071431,0
7460313929026890,-1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,9495093,3935297,3742624,0
7255779620555903,0,0,0,0,1,1,-1,1,0,0,1,0,12985957,7037218,5420265,1
4808095688221897,0,1,0,1,0,1,0,-1,0,1,0,0,10397154,6135661,6046130,1
5023867758127530,-1,0,-1,0,-1,0,0,-2,-2,-1,0,-2,8640439,4797009,4268096,0
5413557768037544,0,-1,1,1,0,0,0,0,1,0,-1,-1,11461453,5226895,5549298,1
3478916571930894,-2,-2,-2,-2,-3,-2,-3,-3,-2,-2,-2,-2,7124756,2912411,3319770,0
9195693211801736,-1,-1,-2,-1,-1,-1,-1,-1,-2,-2,-1,0,9290663,4005680,1730998,0
5929869941997835,1,0,1,1,1,1,0,1,1,1,1,1,16533722,7159473,6203817,1
7744471657530812,-1,0,-1,-1,0,-1,0,-1,-1,1,1,0,10823526,2606923,3628780,1
3798079267816845,2,3,2,2,2,2,3,2,3,3,1,2,14056094,8332999,9012781,1
2436952150499800,-1,-2,-1,-1,0,-2,-1,0,-1,0,-1,0,11959553,3692304,5094312,0
3715426454748750,1,0,1,0,0,0,0,0,0,1,-1,0,11494584,5622839,4964024,1
4233093207188548,-2,-1,-2,-1,-2,-1,-1,-2,-2,-2,-1,-2,6320291,3980626,3608468,0
9945621568077000,-1,0,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,9148080,2660195,4468950,0
8453670694864842,0,0,0,0,0,0,-1,0,1,0,-1,-1,8677262,6884953,6133986,1
5466382420201098,0,0,0,-1,-1,0,0,1,-1,0,1,0,12051570,6378707,6339129,1
5220368366302995,-1,0,-1,-1,-2,-1,-1,-2,-1,-1,-1,-1,10139989,4526533,3728529,0
2178295804898641,-3,-1,-1,-1,-2,-1,-1,-2,-1,-2,0,-1,8782868,4023140,3541497,0
8203165659802353,1,0,1,0,0,1,1,1,1,1,1,0,12731061,7132255,6686928,1
1246896765441205,-1,1,-1,0,1,0,1,0,0,0,0,0,12025860,5829707,5261022,1
2620157146259871,-1,-1,-1,-1,-2,-1,-2,-1,-1,-1,-2,-1,8146670,4731893,5311077,0
8991747710200359,-1,-1,-2,-2,-1,-2,-1,-1,-2,-1,-1,-1,10675683,4505381,3400331,0
8878576763878933,-1,-2,-1,-1,-2,-1,-1,0,-1,-1,-1,-1,8305205,4790848,4085054,0
9685853223113236,-1,0,-1,-2,-2,-1,-1,-1,0,-1,-1,0,5525661,4583231,3645028,0
6326947766505625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8443276,4307875,5779018,0
9194846094342246,1,1,0,1,1,1,1,0,0,0,0,0,12566669,5926560,6187664,1
3722152321405330,-1,0,-1,0,1,-1,0,-1,0,0,-1,0,10166511,3646801,5640025,0
2115235395127157,0,-1,0,-1,0,-1,-1,0,-1,-1,0,-1,10462348,6049175,4960466,0
2397875335548966,1,-1,0,0,-1,0,0,0,-1,0,0,0,13600224,5034437,5991115,0
6656941016436023,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-1,6959777,3380740,2321027,0
8346885481118997,1,0,1,0,0,0,1,1,0,1,-1,0,12068156,4132103,5590829,0
6572820762072598,2,0,1,0,1,0,0,1,1,0,0,0,12383086,6089117,5106939,1
8858051776946976,-1,0,-1,0,-1,0,0,0,-1,0,-1,-1,9166634,3407515,4697090,0
7069203915232031,-1,-2,-1,-1,-1,-2,0,-1,-2,-1,0,-2,9335276,5204152,3648725,0
7254637544850957,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,9446195,3698719,4124158,0
