collector_name,collector_number,collector_address,collector_nik,collector_gender,collector_education_level,collector_location,action_code_history,collector_personality,collector_martial_status
Robert Keith,080 191 7386,"Gg. Sadang Serang No. 8
Bengkulu, NT 99942",6978114186265973,laki-laki,D3,Yogyakarta,HUPD,sedang,Menikah
Richard Briggs,+62 (213) 856 9891,"Gg. W.R. Supratman No. 93
Bontang, Maluku Utara 84726",8179261280374805,laki-laki,S1,Bogor,PTPR,sedang,Menikah
Caleb Lopez,(0114) 699 4355,"Jl. Moch. Toha No. 6
Langsa, KS 52262",5905075795514668,laki-laki,S1,Bogor,WUPD,sedang,Menikah
Bryan Moreno,+62-02-904-3372,"Jl. S. Parman No. 9
Probolinggo, Papua 53413",4708481410532206,laki-laki,D3,Bekasi,WUPD,sedang,Menikah
Karina Roth,+62 (712) 144-7463,"Gang Tubagus Ismail No. 0
Tasikmalaya, Aceh 91747",9531689095238211,laki-laki,S1,Batam,DISC,sedang,Menikah
Margaret Reed,0854656200,"Gang Dipatiukur No. 0
Kendari, SS 80681",6419033208797775,laki-laki,SMA,Yogyakarta,DISP,kalem,Belum menikah
Rhonda Moore,+62 (290) 711 3405,"Gg. Ciumbuleuit No. 626
Lubuklinggau, Sulawesi Selatan 89739",2289329943946200,laki-laki,D3,Malang,INCO,sedang,Menikah
Debra Moore,+62 (36) 646 3056,"Gg. Jend. A. Yani No. 5
Tomohon, Papua 87107",1663185700625643,laki-laki,SMA,Palembang,OTHR,kalem,Belum menikah
Michelle Leon,(083) 576 3998,"Jl. W.R. Supratman No. 05
Tidore Kepulauan, Sulawesi Barat 72275",5506737405214093,laki-laki,S1,Bekasi,WRPH,sedang,Menikah
Benjamin Foster,(021) 171 6532,"Jalan Abdul Muis No. 38
Ternate, NB 61275",9206216121562598,laki-laki,S1,Padang,MUPD,sedang,Menikah
Dustin Johnson,+62-01-338-8173,"Gg. Otto Iskandardinata No. 326
Semarang, KR 84026",6140092985409212,laki-laki,SMA,Palembang,CBLT,kalem,Belum menikah
Anita Cantu,+62 (227) 861-3388,"Gang Moch. Toha No. 18
Subulussalam, DI Yogyakarta 08813",4353673799529225,laki-laki,SMA,Bekasi,LMSG,kalem,Belum menikah
Emily Landry,+62-0215-250-4750,"Jl. BKR No. 7
Padang, Kepulauan Riau 63225",3909776971372214,laki-laki,D3,Tangerang,INCO,sedang,Menikah
David Jones,(024) 549 0211,"Gang Astana Anyar No. 763
Batu, Sulawesi Selatan 87241",6441736205060246,laki-laki,SMP,Bekasi,INCO,kalem,Menikah
Dakota Sanders,+62 (04) 564 0478,"Jalan W.R. Supratman No. 555
Tual, Sumatera Selatan 94896",6198260061355636,laki-laki,SMA,Depok,OTHR,sedang,Belum menikah
Stacy Mason,+62-865-959-7245,"Gang Erlangga No. 8
Bogor, PB 19710",7611540052573181,laki-laki,D3,Bekasi,ATPU,kalem,Belum menikah
Heather Trevino,+62 (13) 358 2348,"Jl. Abdul Muis No. 07
Makassar, Kalimantan Tengah 77031",7383658489573282,laki-laki,SMP,Depok,OTHR,kalem,Belum menikah
Michaela Thompson,+62 (077) 124 4935,"Jalan Kutisari Selatan No. 67
Banda Aceh, MU 04061",5504377199677326,laki-laki,SMA,Makassar,INCO,kalem,Belum menikah
Elizabeth Hess,+62 (61) 324-4576,"Gg. Jend. Sudirman No. 325
Depok, KT 15691",1060203209755263,laki-laki,SMP,Semarang,CBLT,kalem,Belum menikah
Kathryn Ayala,+62 (0258) 428-5186,"Jalan Jakarta No. 4
Bontang, PB 73958",6278802879225402,laki-laki,D3,Bekasi,DISP,kalem,Belum menikah
Felicia Anderson,0874205132,"Jl. Lembong No. 05
Cirebon, Jawa Barat 04425",7844310982087325,laki-laki,SMA,Bekasi,CBLT,sedang,Menikah
Tammy Kirby,+62 (0143) 508-8591,"Jalan Moch. Ramdan No. 41
Semarang, PA 01027",1136773331426444,laki-laki,SMA,Palembang,INCO,kalem,Belum menikah
Frederick Smith,(0165) 950 3883,"Jl. Astana Anyar No. 5
Medan, LA 26260",2437988628197636,laki-laki,D3,Batam,DISC,sedang,Menikah
Margaret Chang,+62 (0507) 052 7843,"Gang Rumah Sakit No. 800
Padang Sidempuan, ST 44401",8056297395225201,laki-laki,SMA,Tangerang,CBLT,kalem,Belum menikah
Daniel Reynolds,+62 (132) 675 4814,"Gg. Gardujati No. 03
Bukittinggi, KR 76445",6053312577031220,laki-laki,D3,Malang,WRPH,sedang,Menikah
Christine Carson,+62 (75) 444 0787,"Jl. Cikapayang No. 753
Kotamobagu, KU 01915",8952335372128710,laki-laki,D3,Tangerang,PTPR,sedang,Menikah
Shannon Choi,0803407723,"Jl. Kendalsari No. 01
Ternate, Papua 37245",2327664597816875,laki-laki,D3,Malang,MUPD,sedang,Menikah
Tammy Henderson,(092) 797-9559,"Jl. Jakarta No. 74
Makassar, Kepulauan Bangka Belitung 97979",6766218008947095,laki-laki,D3,Bekasi,WRPH,kalem,Menikah
Sarah Roberson,+62 (15) 503-4134,"Jalan Astana Anyar No. 3
Cilegon, Papua 22526",6191480050507960,laki-laki,S1,Yogyakarta,MUPD,kalem,Belum menikah
David Jenkins,0839730454,"Gang Pasir Koja No. 452
Parepare, Nusa Tenggara Timur 07492",3874429800295945,laki-laki,SMA,Tangerang,PTPR,kalem,Belum menikah
Destiny Wilson,(067) 878 9563,"Jl. HOS. Cokroaminoto No. 87
Pariaman, Jawa Tengah 94591",7771266926825496,laki-laki,S1,Bekasi,HUPD,sedang,Menikah
Daniel Moran,089 358 9797,"Jl. Cikutra Barat No. 505
Subulussalam, ST 65522",4993899283649779,laki-laki,SMP,Depok,INCO,kalem,Menikah
Amy Rich,(0075) 452 1312,"Jalan Ahmad Yani No. 6
Parepare, BT 24132",4492911386386443,laki-laki,SMA,Makassar,DISP,kalem,Belum menikah
Ricardo Martin,+62 (646) 125-7221,"Gang Laswi No. 6
Bandar Lampung, Bali 90773",4567105246568543,laki-laki,SMP,Palembang,DISP,kalem,Menikah
Benjamin Foster,+62 (0668) 842 0360,"Jl. Indragiri No. 47
Binjai, Sulawesi Utara 64828",2226831470839363,laki-laki,S1,Yogyakarta,HUPD,sedang,Menikah
Michael Mendoza,(0265) 091-1447,"Jl. Kutai No. 17
Pematangsiantar, Bali 66632",6669848207020523,laki-laki,SMP,Depok,OTHR,kalem,Belum menikah
John Campbell,+62 (196) 428 1681,"Gang Jend. Sudirman No. 7
Bontang, Jawa Timur 57772",5145805483779970,laki-laki,SMA,Yogyakarta,INCO,kalem,Belum menikah
Kyle Harris,+62 (136) 534-4259,"Jl. Kebonjati No. 2
Tual, JT 74542",9369239443096181,laki-laki,SMA,Palembang,LMSG,kalem,Belum menikah
Tara Ellis,+62 (68) 275-4251,"Gg. Surapati No. 22
Depok, KT 75710",1627114051774623,laki-laki,SMA,Bekasi,NOCO,kalem,Belum menikah
Mary Solis,+62 (57) 904-9018,"Gang KH Amin Jasuta No. 96
Kupang, Gorontalo 04057",4599616600405459,laki-laki,D3,Bekasi,INCO,sedang,Belum menikah
Mary Garcia,(041) 705-9212,"Gang M.H Thamrin No. 6
Kediri, YO 13766",4322559428338432,laki-laki,D3,Bogor,PTPY,sedang,Menikah
Robert Brown,+62 (52) 387 4219,"Jl. Waringin No. 798
Cimahi, Gorontalo 02589",2208995305971205,laki-laki,SMA,Tangerang,INCO,sedang,Menikah
Taylor Chapman,(0492) 668-9287,"Gang Astana Anyar No. 7
Banjarbaru, BB 20552",5687339158597489,laki-laki,D3,Malang,INCO,sedang,Menikah
Nicole Forbes,(084) 881-8389,"Gang Cikapayang No. 431
Palu, Nusa Tenggara Barat 72433",7328146923278388,laki-laki,SMA,Semarang,PTPR,kalem,Belum menikah
Michael Rivera,0845502646,"Jl. Cempaka No. 3
Bau-Bau, JB 25348",6889874624446907,laki-laki,SMA,Tangerang,INCO,kalem,Belum menikah
Elizabeth Lee,+62 (87) 918 7049,"Jalan Ciumbuleuit No. 354
Makassar, BA 28936",2253008660556748,laki-laki,SMA,Tangerang,OTHR,kalem,Belum menikah
Diana Ferguson,+62 (656) 842-0976,"Jl. Merdeka No. 8
Pontianak, Aceh 46321",9571555960550942,laki-laki,D3,Malang,HUPD,sedang,Menikah
Gina Cook,+62 (027) 710 9821,"Jl. Rajiman No. 08
Lubuklinggau, JK 73941",1170882497069674,laki-laki,SMA,Malang,HUPD,sedang,Menikah
Derek Malone,+62 (065) 493 3970,"Jalan Sukabumi No. 32
Surabaya, SU 69056",8904285120307752,laki-laki,S2,Padang,DISC,sedang,Menikah
Kimberly Holloway,+62 (097) 251 7955,"Gang Ronggowarsito No. 87
Kediri, LA 83535",1866082322778557,laki-laki,D3,Malang,WRPH,sedang,Menikah
Chad Johnson,+62-827-880-9677,"Jalan Raya Ujungberung No. 34
Salatiga, BE 61785",1776128660519278,laki-laki,SMP,Semarang,BUSY,kalem,Belum menikah
William Dickson,+62-070-399-8955,"Gang Waringin No. 1
Subulussalam, YO 15930",4392005835195868,laki-laki,D3,Padang,DISC,sedang,Menikah
Wanda Black,+62 (98) 779-7896,"Gang Bangka Raya No. 115
Kendari, Bengkulu 41087",9660175226804096,laki-laki,D3,Tangerang,WRPH,sedang,Menikah
Jose Jones,+62-69-406-6840,"Jalan Jend. A. Yani No. 48
Bekasi, Papua 35963",7333318097520445,laki-laki,SMA,Malang,WRPH,sedang,Menikah
Elizabeth Wolfe,+62 (0281) 056-8879,"Gg. Ahmad Dahlan No. 96
Cirebon, Aceh 55481",7489827942946758,laki-laki,D3,Yogyakarta,DISC,sedang,Menikah
Colleen Gordon,(0311) 572 3470,"Gg. Suniaraja No. 9
Manado, Kalimantan Utara 13706",3956921179672666,laki-laki,S1,Bogor,PTPR,sedang,Menikah
Rita Vega,+62 (050) 453 1555,"Jalan Ciwastra No. 280
Magelang, DKI Jakarta 46640",4641405769023495,laki-laki,SMA,Depok,DISP,sedang,Belum menikah
Justin Martin,(0146) 152-3240,"Jl. Cihampelas No. 95
Payakumbuh, SG 15457",9070304622663937,laki-laki,D3,Yogyakarta,DISC,kalem,Menikah
Dr. Travis Taylor MD,+62 (005) 302-7134,"Gang Cempaka No. 8
Ternate, KT 99154",2238171689330304,laki-laki,D3,Malang,DISC,sedang,Menikah
Brianna Rush,0852160540,"Jl. Waringin No. 38
Sorong, AC 45649",6941856542175456,laki-laki,D3,Tangerang,WRPH,sedang,Belum menikah
Christopher Hunter,+62-0374-373-0752,"Jl. Ir. H. Djuanda No. 9
Blitar, Sulawesi Utara 33884",1322956241339966,laki-laki,SMA,Tangerang,ATPU,sedang,Belum menikah
Patricia Castaneda,(070) 096-0466,"Jalan Kutai No. 1
Lhokseumawe, Maluku 66656",5159555255524641,laki-laki,D3,Batam,DISC,sedang,Menikah
Michael Hoffman,0828997255,"Gang Monginsidi No. 669
Bitung, Sulawesi Selatan 50425",2192784874604853,laki-laki,SMA,Depok,PTPR,kalem,Belum menikah
Linda Griffin,(017) 988-7724,"Jalan H.J Maemunah No. 255
Tanjungpinang, Maluku 57187",9682491028416061,laki-laki,D3,Yogyakarta,INCO,sedang,Menikah
Timothy Hines,+62 (728) 897 6083,"Gang Jend. Sudirman No. 85
Kota Administrasi Jakarta Utara, BB 17564",5855482631062742,laki-laki,SMA,Depok,PTPR,sedang,Menikah
Stacey Munoz,(049) 372 7656,"Jl. Ir. H. Djuanda No. 817
Ambon, MU 84822",9613816708439377,laki-laki,SMA,Tangerang,PTPR,sedang,Belum menikah
Darren Pratt,+62 (066) 860-9469,"Gang Gedebage Selatan No. 821
Kota Administrasi Jakarta Selatan, Maluku 96216",3918684970721980,laki-laki,D3,Malang,HUPD,sedang,Menikah
Todd Barker,+62 (56) 371-3100,"Gg. Veteran No. 539
Banda Aceh, Sumatera Barat 29999",9488862686598387,laki-laki,SMA,Depok,OTHR,sedang,Menikah
Johnathan Williams,+62-050-270-4793,"Jalan Cikutra Timur No. 4
Banjarmasin, Sumatera Selatan 41040",1254078731333734,laki-laki,SMA,Palembang,OTHR,kalem,Belum menikah
Bobby Carter,+62-30-621-2867,"Gang Kutisari Selatan No. 6
Sungai Penuh, MA 14939",2524810531794866,laki-laki,SMA,Depok,ATPU,kalem,Belum menikah
Brittany Rhodes,+62 (0273) 513 7148,"Gg. Gardujati No. 8
Batam, Jawa Timur 62064",8673986481831306,laki-laki,D3,Bekasi,PTPR,sedang,Menikah
Melissa Norton,+62 (0032) 419 3062,"Jl. Veteran No. 5
Bengkulu, Lampung 30993",5845524978542904,laki-laki,S2,Padang,FDBK,sedang,Menikah
Heather Watson,0873211729,"Gang Gedebage Selatan No. 00
Surakarta, Sulawesi Barat 38139",9386462082628279,laki-laki,SMA,Yogyakarta,INCO,sedang,Belum menikah
Mark Lewis,+62 (51) 152 8244,"Jl. Rajiman No. 564
Cilegon, Kepulauan Riau 15173",3564014262522704,laki-laki,D3,Tangerang,HUPD,sedang,Menikah
William Oliver,(0857) 390-4955,"Gg. Otto Iskandardinata No. 98
Pagaralam, Riau 24594",7842362443305510,laki-laki,D3,Bogor,DISP,sedang,Menikah
Kathryn Anderson,0856295725,"Gg. Sentot Alibasa No. 7
Batam, Kalimantan Utara 52525",1748599657859803,laki-laki,D3,Tangerang,MUPD,kalem,Menikah
Marilyn Williams,+62 (67) 786 5314,"Jl. Stasiun Wonokromo No. 76
Tanjungbalai, BA 01854",9822910501202820,laki-laki,SMA,Semarang,ATPU,kalem,Belum menikah
Julie Harper,+62-639-671-4471,"Gang Raya Setiabudhi No. 09
Pariaman, PB 95754",6583596256934926,laki-laki,SMA,Tangerang,INCO,sedang,Menikah
James Osborne,0868878428,"Jl. Peta No. 63
Banjar, Kepulauan Bangka Belitung 09262",2206983219627053,laki-laki,D3,Yogyakarta,DISC,kalem,Menikah
Adam Edwards,+62 (046) 260-4679,"Gang Merdeka No. 83
Banjarmasin, NB 93475",6266212344391677,laki-laki,D3,Bekasi,HUPD,sedang,Menikah
Mrs. Lindsay Grimes,+62-0838-352-6696,"Jl. Ir. H. Djuanda No. 81
Denpasar, Lampung 03119",1246202412954624,laki-laki,D3,Tangerang,PTPR,kalem,Menikah
Linda Medina,+62 (67) 887-7753,"Gg. Kebonjati No. 18
Bontang, Kepulauan Bangka Belitung 29726",4616259038270332,laki-laki,SMA,Tangerang,ATPU,sedang,Belum menikah
Jack House,+62 (20) 153-9989,"Gang Abdul Muis No. 150
Bogor, Sumatera Utara 85238",2290337797127525,laki-laki,S1,Malang,PTPR,sedang,Menikah
Maria Bryant,(0248) 556 3128,"Jl. Suryakencana No. 8
Palembang, JA 20062",9649796402991760,laki-laki,D3,Batam,PTPR,kalem,Belum menikah
Sherri Coffey,+62 (36) 525 0236,"Jl. Ahmad Dahlan No. 920
Pematangsiantar, SN 41999",9776882681350551,laki-laki,S1,Malang,DISC,sedang,Menikah
Jennifer Lee,+62 (61) 408 8196,"Jalan Suryakencana No. 91
Parepare, LA 45630",7542068718565811,laki-laki,S1,Bogor,DISC,sedang,Menikah
Sean Thompson,0829117327,"Gg. Astana Anyar No. 319
Sibolga, Jambi 78717",5503066339502993,laki-laki,SMA,Depok,INCO,kalem,Belum menikah
Laurie Boone,(090) 165 5736,"Gg. Dr. Djunjunan No. 218
Tomohon, Maluku 99133",3057466592833619,laki-laki,SMA,Depok,OTHR,sedang,Belum menikah
Nicole Matthews,+62 (0617) 702-9191,"Jl. Otto Iskandardinata No. 18
Bima, Riau 01969",2097450596216721,laki-laki,D3,Yogyakarta,CBLT,sedang,Menikah
Kayla Ramsey,(009) 742-1368,"Gang Raya Setiabudhi No. 67
Palu, Bengkulu 16406",6363107121826734,laki-laki,D3,Bekasi,WRPH,sedang,Menikah
Jacqueline Garcia,0840685709,"Gang Jayawijaya No. 121
Depok, DI Yogyakarta 43729",7575910991492278,laki-laki,SMA,Tangerang,ATPU,sedang,Belum menikah
Sarah Flowers,+62-0079-398-2975,"Gg. K.H. Wahid Hasyim No. 4
Serang, KB 99761",2635305273708337,laki-laki,S1,Balikpapan,WUPD,sedang,Menikah
Richard Freeman,+62 (379) 135-5428,"Jl. Pasteur No. 6
Langsa, KI 37850",6986348473256545,laki-laki,SMA,Tangerang,PTPR,sedang,Menikah
Bonnie Carrillo,+62 (062) 779-9206,"Jl. Ciwastra No. 07
Tual, Riau 15152",9855822662358465,laki-laki,D3,Yogyakarta,MUPD,sedang,Menikah
Michael Rogers,(034) 993-4701,"Jalan Raya Ujungberung No. 3
Prabumulih, Sulawesi Barat 12119",8047232990128631,laki-laki,D3,Depok,PTPR,kalem,Belum menikah
Michelle Kelly,084 642 9469,"Gang M.H Thamrin No. 0
Pasuruan, SN 32227",9466198120502017,laki-laki,SMA,Depok,ATPU,kalem,Belum menikah
Chelsea Kennedy,082 557 0391,"Gang Stasiun Wonokromo No. 66
Bengkulu, SS 96564",3081438823999123,laki-laki,D3,Depok,INCO,kalem,Belum menikah
Tanya Flores,+62 (357) 448 8647,"Gg. Ciwastra No. 89
Yogyakarta, Bengkulu 20838",3777856352297449,laki-laki,S1,Tangerang,WRPH,sedang,Menikah
Joseph Ryan,+62 (137) 729-4001,"Gg. Waringin No. 045
Kupang, Kalimantan Tengah 72573",6487758504355137,laki-laki,SMA,Depok,WRPH,kalem,Menikah
Angelica Gonzalez DDS,(077) 187-5038,"Jalan Dipenogoro No. 69
Surabaya, Gorontalo 83659",8629082950588555,laki-laki,D3,Tangerang,DISC,sedang,Menikah
James Neal,(0974) 715 1008,"Jl. Kendalsari No. 2
Blitar, SR 59772",5047950006282249,laki-laki,D3,Yogyakarta,INCO,sedang,Menikah
Allen Arellano,+62 (62) 552 2666,"Gang Cikutra Barat No. 6
Kota Administrasi Jakarta Barat, BA 05590",1646161689119203,laki-laki,D3,Bogor,DISP,sedang,Menikah
Brett Brown,+62-046-877-5394,"Gg. Rajawali Timur No. 30
Madiun, Kalimantan Timur 35472",4664658961198340,laki-laki,SMP,Tangerang,OTHR,kalem,Menikah
Jessica Morgan,+62 (095) 651 0083,"Jalan K.H. Wahid Hasyim No. 5
Sawahlunto, JB 05399",9715039951201961,laki-laki,SMA,Palembang,PTPR,kalem,Belum menikah
Tara Espinoza,+62-60-583-9654,"Jalan Ahmad Dahlan No. 6
Metro, Kalimantan Tengah 84365",1556927533200676,laki-laki,S1,Malang,DISP,sedang,Menikah
Carol Compton,+62 (076) 526 8090,"Gang BKR No. 88
Pasuruan, AC 41741",2285959609100759,laki-laki,D3,Bekasi,WRPH,sedang,Menikah
Kyle Dorsey,+62 (886) 484 9129,"Jl. Yos Sudarso No. 1
Banjarmasin, Sumatera Barat 96119",9634111190003895,laki-laki,D3,Bogor,MUPD,sedang,Menikah
Michele Howe,+62 (11) 271 4968,"Jl. Suniaraja No. 99
Cilegon, Jambi 74077",9756213613807419,laki-laki,S1,Depok,DISP,kalem,Belum menikah
Brittney Mccall,0815249774,"Jalan Tubagus Ismail No. 54
Samarinda, MU 58743",3581362186618869,laki-laki,D3,Malang,MUPD,kalem,Menikah
Jesse Wallace,0896089809,"Jalan Ciwastra No. 4
Bengkulu, AC 14129",3077098063424650,laki-laki,D3,Malang,WRPH,sedang,Menikah
Gabrielle Adams,+62 (331) 151 6677,"Jl. Jayawijaya No. 359
Banjarbaru, Riau 53312",7528430127531409,laki-laki,SMA,Depok,INCO,kalem,Belum menikah
Jenna Jennings,(0563) 729-8352,"Jl. Pasteur No. 5
Langsa, Kalimantan Selatan 56703",4987214924101711,laki-laki,S1,Bogor,MUPD,sedang,Menikah
David Mitchell DVM,+62 (047) 502 3264,"Jalan Rungkut Industri No. 672
Solok, Kepulauan Riau 68798",2143798372829447,laki-laki,SMA,Depok,DISP,sedang,Menikah
Brooke Hall,+62 (41) 869-1947,"Gg. Ahmad Dahlan No. 258
Semarang, NB 65161",4796143393322314,laki-laki,D3,Bekasi,INCO,kalem,Belum menikah
Tammy Gomez,(054) 151-9355,"Jl. H.J Maemunah No. 8
Banjarmasin, Sulawesi Barat 08893",8483218786761100,laki-laki,SMA,Depok,OTHR,sedang,Belum menikah
Jessica Wallace,+62 (070) 845-3266,"Gg. Medokan Ayu No. 13
Denpasar, SU 32405",7562999793760810,laki-laki,SMP,Makassar,ATPU,kalem,Belum menikah
Penny Robbins,(016) 216 2075,"Jalan Rajawali Barat No. 07
Solok, JI 57831",5749214348101505,laki-laki,D3,Malang,MUPD,sedang,Menikah
Andrea Sanchez,+62 (0456) 807-1278,"Jalan Gegerkalong Hilir No. 55
Sukabumi, JB 59812",7413801130421341,laki-laki,SMA,Palembang,DISP,sedang,Belum menikah
Michelle Washington,+62-547-395-3284,"Gg. HOS. Cokroaminoto No. 8
Sukabumi, BB 59327",8905472633990859,laki-laki,S1,Bogor,DISC,sedang,Menikah
Tina Schwartz,+62-694-964-2770,"Gg. H.J Maemunah No. 67
Tual, Sulawesi Tenggara 52390",3343253922503361,laki-laki,S1,Batam,INCO,sedang,Menikah
Erin Roth,+62-0494-929-7948,"Gg. W.R. Supratman No. 0
Singkawang, KI 32095",6350166969790210,laki-laki,D3,Tangerang,ATPU,kalem,Menikah
Renee Fleming,(045) 616-0709,"Jalan Gedebage Selatan No. 1
Sawahlunto, Sulawesi Barat 28601",1999672108942737,laki-laki,D3,Batam,HUPD,sedang,Menikah
Randy Marsh,+62 (088) 120-4176,"Jalan Pacuan Kuda No. 576
Prabumulih, KR 82896",4378576048290468,laki-laki,SMA,Depok,PTPR,kalem,Belum menikah
Brenda Bennett,(0117) 860-7982,"Jl. Sentot Alibasa No. 04
Langsa, Kepulauan Bangka Belitung 51065",4692035346688550,laki-laki,SMA,Tangerang,WRPH,kalem,Menikah
Chad Turner,+62-31-970-8090,"Gang Indragiri No. 3
Pekanbaru, Nusa Tenggara Barat 68305",5932650010112149,laki-laki,D3,Tangerang,INCO,sedang,Menikah
Robert Burke III,+62 (87) 923 7580,"Jalan PHH. Mustofa No. 481
Kota Administrasi Jakarta Pusat, Kalimantan Utara 35281",5752882564057075,laki-laki,D3,Batam,WRPH,sedang,Menikah
Tiffany Heath,+62 (22) 973-0745,"Gang Cikutra Barat No. 5
Dumai, BA 34923",2402803151362155,laki-laki,SMA,Palembang,OTHR,sedang,Belum menikah
Shane Jackson,+62 (0226) 129-5515,"Gang Setiabudhi No. 703
Tebingtinggi, DI Yogyakarta 42189",2885548063529913,laki-laki,D3,Balikpapan,MUPD,sedang,Menikah
Crystal Wright,0898579359,"Gang Wonoayu No. 04
Meulaboh, DI Yogyakarta 00958",7201164145346870,laki-laki,D3,Yogyakarta,MUPD,sedang,Menikah
Roger Cabrera,+62 (035) 059 6225,"Jl. Indragiri No. 8
Subulussalam, Papua 77671",4231985984103730,laki-laki,S1,Malang,WRPH,sedang,Menikah
Kristina Thomas,+62 (16) 201-8024,"Jl. PHH. Mustofa No. 98
Bitung, SU 11317",1789590251871327,laki-laki,SMA,Palembang,OTHR,kalem,Belum menikah
Daniel Castro,+62-000-455-2119,"Jl. Merdeka No. 7
Solok, Bali 22685",4985429080266986,laki-laki,D3,Bogor,INCO,sedang,Menikah
Daniel Ramsey,+62-442-622-9858,"Gang Moch. Ramdan No. 511
Cirebon, Bali 80719",4093348349457008,laki-laki,SMP,Palembang,OTHR,kalem,Belum menikah
Meghan Stone,+62 (622) 757 7879,"Gg. Rajawali Barat No. 63
Makassar, BT 80806",7174903742419579,laki-laki,D3,Makassar,PTPR,sedang,Menikah
Corey Walker,+62-060-057-4587,"Jl. S. Parman No. 24
Sungai Penuh, SS 62542",9857674874732386,laki-laki,D3,Yogyakarta,OTHR,kalem,Belum menikah
Alicia Cox,(0323) 167 7389,"Jalan Pasirkoja No. 0
Palembang, NB 72602",7420643767420723,laki-laki,D3,Bogor,MUPD,sedang,Menikah
Michael Smith,(085) 881-5558,"Gang Ciwastra No. 6
Surakarta, LA 38468",6623271213192431,laki-laki,SMA,Yogyakarta,WRPH,sedang,Menikah
